ts, default broker, COLDPower18, EWIIS3, VidyutVanika, Bunnie, total
1153, 3585, 0, 8, 34525, 19382, 57500
1159, 3495, 0, 9, 4625, 49371, 57500
1165, 3307, 0, 10, 7741, 46442, 57500
1171, 3248, 0, 10, 14272, 39970, 57500
1177, 3239, 0, 10, 18860, 35391, 57500
1183, 3303, 0, 10, 23569, 30618, 57500
1189, 3240, 0, 11, 26660, 27589, 57500
1195, 3073, 0, 11, 30726, 23690, 57500
1201, 3055, 0, 13, 31535, 22897, 57500
1207, 3088, 0, 11, 32668, 21733, 57500
1213, 3190, 0, 12, 33949, 20349, 57500
1219, 3276, 0, 11, 35250, 18963, 57500
1225, 3470, 0, 11, 33100, 20919, 57500
1231, 3503, 0, 11, 34583, 19403, 57500
1237, 3436, 0, 11, 34963, 19090, 57500
1243, 3581, 0, 11, 36146, 17762, 57500
1249, 3631, 0, 12, 34586, 19271, 57500
1255, 3499, 0, 12, 16061, 37928, 57500
1261, 3336, 0, 11, 15826, 38327, 57500
1267, 3466, 0, 10, 19847, 34177, 57500
1273, 3553, 0, 9, 21658, 32280, 57500
1279, 3595, 0, 10, 23171, 30724, 57500
1285, 3432, 0, 10, 24983, 29075, 57500
1291, 3556, 0, 9, 27445, 26490, 57500
1297, 3468, 0, 9, 27550, 26473, 57500
1303, 3466, 0, 9, 27032, 26993, 57500
1309, 3297, 0, 8, 28585, 25610, 57500
1315, 3457, 0, 8, 30478, 23557, 57500
1321, 3545, 0, 8, 30354, 23593, 57500
1327, 3472, 0, 9, 30865, 23154, 57500
1333, 3489, 0, 10, 31487, 22514, 57500
1339, 3446, 0, 9, 33037, 21008, 57500
1345, 3475, 0, 9, 32030, 21986, 57500
1351, 3580, 0, 10, 31162, 22748, 57500
1357, 3751, 0, 11, 32832, 20906, 57500
1363, 3849, 0, 11, 34002, 19638, 57500
1369, 3943, 0, 10, 32679, 20868, 57500
1375, 3900, 0, 9, 34272, 19319, 57500
1381, 3933, 0, 8, 36639, 16920, 57500
1387, 3921, 0, 7, 38065, 15507, 57500
1393, 3822, 0, 9, 37366, 16303, 57500
1399, 3766, 0, 10, 38332, 15392, 57500
1405, 3957, 0, 9, 39161, 14373, 57500
1411, 3983, 0, 11, 39719, 13787, 57500
1417, 3839, 0, 10, 39921, 13730, 57500
1423, 3922, 0, 9, 22436, 31133, 57500
1429, 3891, 0, 11, 21456, 32142, 57500
1435, 3632, 0, 11, 27833, 26024, 57500
1441, 3789, 0, 11, 28607, 25093, 57500
1447, 3909, 0, 11, 30216, 23364, 57500
1453, 3816, 0, 12, 32293, 21379, 57500
1459, 3806, 0, 11, 34474, 19209, 57500
1465, 3943, 0, 11, 34552, 18994, 57500
1471, 3667, 0, 11, 32253, 21569, 57500
1477, 3593, 0, 11, 35882, 18014, 57500
1483, 3638, 0, 10, 37916, 15936, 57500
1489, 3353, 0, 11, 37698, 16438, 57500
1495, 3461, 0, 10, 36997, 17032, 57500
1501, 3737, 0, 9, 38296, 15458, 57500
1507, 3793, 0, 8, 38609, 15090, 57500
1513, 3607, 0, 10, 36221, 17662, 57500
1519, 3402, 0, 10, 36269, 17819, 57500
1525, 3482, 0, 10, 37653, 16355, 57500
1531, 3677, 0, 11, 37827, 15985, 57500
1537, 3875, 0, 12, 33735, 19878, 57500
1543, 3683, 0, 13, 34714, 19090, 57500
1549, 3487, 0, 12, 36398, 17603, 57500
1555, 3396, 0, 11, 38659, 15434, 57500
1561, 3399, 0, 12, 35306, 18783, 57500
1567, 3329, 0, 12, 36045, 18114, 57500
1573, 3406, 0, 12, 37192, 16890, 57500
1579, 3525, 0, 12, 38312, 15651, 57500
1585, 3566, 0, 11, 37747, 16176, 57500
1591, 3579, 0, 8, 20140, 33773, 57500
1597, 3605, 0, 8, 18705, 35182, 57500
1603, 3563, 0, 9, 24342, 29586, 57500
1609, 3423, 0, 8, 28601, 25468, 57500
1615, 3383, 0, 7, 30333, 23777, 57500
1621, 3437, 0, 9, 30756, 23298, 57500
