ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 4, 249, 7245, 26034, 23975, 57507
367, 1, 150, 7248, 26137, 23971, 57507
373, 3, 156, 7246, 30908, 19194, 57507
379, 3, 154, 7246, 33281, 16823, 57507
385, 3, 128, 7256, 34605, 15515, 57507
391, 3, 107, 7255, 35253, 14889, 57507
397, 1, 126, 7284, 36228, 13868, 57507
403, 1, 233, 7526, 5457, 44290, 57507
409, 1, 199, 7526, 5719, 44062, 57507
415, 1, 177, 7658, 6470, 43201, 57507
421, 1, 303, 7783, 7919, 41501, 57507
427, 2, 243, 7899, 8361, 41002, 57507
433, 2, 153, 7899, 8610, 40843, 57507
439, 1, 153, 8042, 9528, 39783, 57507
445, 1, 162, 11974, 2983, 42387, 57507
451, 2, 145, 13197, 3736, 40427, 57507
457, 2, 100, 15478, 4210, 37717, 57507
463, 2, 96, 16390, 4727, 36292, 57507
469, 2, 90, 17745, 5519, 34151, 57507
475, 2, 88, 20317, 6484, 30616, 57507
481, 4, 77, 21104, 7042, 29280, 57507
487, 4, 63, 21975, 2341, 33124, 57507
493, 3, 63, 22130, 4093, 31218, 57507
499, 3, 63, 21798, 5774, 29869, 57507
505, 3, 63, 21616, 6842, 28983, 57507
511, 2, 64, 21507, 7316, 28618, 57507
517, 1, 65, 21132, 7811, 28498, 57507
523, 1, 64, 19163, 9184, 29095, 57507
529, 1, 65, 17523, 3222, 36696, 57507
535, 1, 65, 16303, 3746, 37392, 57507
541, 1, 64, 14613, 5444, 37385, 57507
547, 0, 64, 14297, 5706, 37440, 57507
553, 0, 62, 12818, 6096, 38531, 57507
559, 0, 61, 10678, 8231, 38537, 57507
565, 1, 61, 9846, 9373, 38226, 57507
571, 1, 62, 9445, 5192, 42807, 57507
577, 2, 60, 8893, 8306, 40246, 57507
583, 2, 60, 8513, 10186, 38746, 57507
589, 3, 59, 8183, 12558, 36704, 57507
595, 4, 59, 8043, 15016, 34385, 57507
601, 5, 58, 7949, 16957, 32538, 57507
607, 5, 57, 7960, 18921, 30564, 57507
613, 7, 58, 11329, 10270, 35843, 57507
619, 7, 55, 11652, 10912, 34881, 57507
625, 5, 55, 13805, 14126, 29516, 57507
631, 5, 54, 15239, 15946, 26263, 57507
637, 6, 51, 17024, 17633, 22793, 57507
643, 6, 51, 17437, 18873, 21140, 57507
649, 7, 49, 17775, 19715, 19961, 57507
655, 7, 49, 19706, 2636, 35109, 57507
661, 7, 49, 19570, 2753, 35128, 57507
667, 6, 49, 19529, 3083, 34840, 57507
673, 6, 49, 19426, 3563, 34463, 57507
679, 4, 50, 19314, 3862, 34277, 57507
685, 4, 49, 18089, 4564, 34801, 57507
691, 3, 50, 17829, 4896, 34729, 57507
697, 3, 51, 16069, 3175, 38209, 57507
703, 2, 53, 14978, 4520, 37954, 57507
709, 1, 54, 14100, 5943, 37409, 57507
715, 1, 55, 12633, 7444, 37374, 57507
721, 1, 55, 12234, 8057, 37160, 57507
727, 1, 51, 10564, 9638, 37253, 57507
733, 0, 52, 10064, 10479, 36912, 57507
