ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57501, 0, 0, 0, 0, 57501
360, 57501, 0, 0, 0, 0, 57501
361, 6, 180, 7095, 32804, 17416, 57501
367, 6, 179, 7093, 32809, 17414, 57501
373, 4, 113, 7095, 37371, 12918, 57501
379, 6, 91, 7094, 39225, 11085, 57501
385, 6, 73, 7131, 40438, 9853, 57501
391, 4, 30, 7130, 41767, 8570, 57501
397, 3, 33, 7130, 42771, 7564, 57501
403, 4, 369, 7335, 15406, 34387, 57501
409, 3, 256, 7336, 15652, 34254, 57501
415, 2, 156, 7439, 16588, 33316, 57501
421, 5, 162, 7438, 18035, 31861, 57501
427, 4, 168, 7438, 19181, 30710, 57501
433, 4, 131, 7439, 20983, 28944, 57501
439, 2, 71, 7440, 22124, 27864, 57501
445, 1, 74, 7628, 8432, 41366, 57501
451, 1, 40, 7708, 9451, 40301, 57501
457, 3, 43, 7810, 12197, 37448, 57501
463, 2, 33, 7887, 13733, 35846, 57501
469, 3, 29, 9315, 14511, 33643, 57501
475, 2, 23, 10694, 14832, 31950, 57501
481, 2, 15, 12955, 15371, 29158, 57501
487, 0, 20, 17252, 10136, 30093, 57501
493, 1, 18, 18406, 12215, 26861, 57501
499, 0, 21, 19534, 13442, 24504, 57501
505, 0, 19, 20281, 15645, 21556, 57501
511, 0, 20, 20399, 17006, 20076, 57501
517, 1, 18, 20456, 19337, 17689, 57501
523, 1, 17, 20266, 21194, 16023, 57501
529, 2, 18, 20298, 4537, 32646, 57501
535, 0, 19, 20086, 4552, 32844, 57501
541, 0, 21, 19643, 5339, 32498, 57501
547, 0, 19, 18664, 5678, 33140, 57501
553, 1, 12, 17628, 5714, 34146, 57501
559, 0, 14, 16430, 5876, 35181, 57501
565, 0, 15, 14591, 6569, 36326, 57501
571, 1, 13, 12931, 1888, 42668, 57501
577, 2, 14, 11278, 2657, 43550, 57501
583, 2, 14, 9918, 3671, 43896, 57501
589, 2, 13, 9119, 4328, 44039, 57501
595, 3, 11, 8568, 4298, 44621, 57501
601, 3, 11, 8268, 4597, 44622, 57501
607, 5, 10, 8254, 4168, 45064, 57501
613, 4, 10, 7854, 4624, 45009, 57501
619, 4, 12, 7742, 7408, 42335, 57501
625, 4, 13, 7702, 9961, 39821, 57501
631, 4, 12, 7895, 11298, 38292, 57501
637, 3, 14, 9479, 12088, 35917, 57501
643, 2, 14, 10908, 13222, 33355, 57501
