ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57495, 0, 0, 0, 0, 0, 0, 0, 57495
360, 57495, 0, 0, 0, 0, 0, 0, 0, 57495
361, 1, 3109, 13, 0, 13205, 50, 28119, 12998, 57495
367, 1, 3104, 16, 0, 13199, 34, 28139, 13002, 57495
373, 2, 3103, 15, 0, 13286, 33, 30459, 10597, 57495
379, 3, 3102, 17, 0, 13282, 32, 31250, 9809, 57495
385, 0, 3105, 15, 0, 13260, 30, 32234, 8851, 57495
391, 0, 3104, 15, 0, 13259, 36, 34208, 6873, 57495
397, 0, 3103, 15, 0, 13259, 36, 34770, 6312, 57495
403, 0, 3103, 43, 0, 13364, 94, 113, 40778, 57495
409, 0, 3083, 44, 0, 13363, 77, 112, 40816, 57495
415, 0, 3051, 131, 0, 13362, 93, 221, 40637, 57495
421, 1, 3022, 130, 0, 13478, 232, 210, 40422, 57495
427, 0, 3021, 131, 0, 13479, 221, 209, 40434, 57495
433, 1, 2411, 131, 0, 12150, 190, 226, 42386, 57495
439, 0, 2263, 131, 0, 11490, 206, 203, 43202, 57495
445, 1, 1741, 221, 0, 10710, 184, 63, 44575, 57495
451, 1, 961, 346, 0, 9364, 149, 68, 46606, 57495
457, 1, 712, 331, 0, 8999, 85, 466, 46901, 57495
463, 0, 492, 312, 0, 8734, 79, 555, 47323, 57495
469, 0, 433, 289, 0, 8470, 74, 566, 47663, 57495
475, 1, 224, 289, 0, 8146, 56, 700, 48079, 57495
481, 0, 93, 14, 0, 8126, 55, 805, 48402, 57495
487, 0, 65, 17, 0, 8356, 52, 37, 48968, 57495
493, 0, 463, 36, 0, 10089, 47, 56, 46804, 57495
499, 0, 463, 33, 0, 11294, 48, 56, 45601, 57495
505, 1, 1213, 33, 0, 13896, 44, 58, 42250, 57495
511, 0, 2132, 24, 0, 16201, 45, 56, 39037, 57495
517, 0, 3547, 24, 0, 19372, 47, 46, 34459, 57495
523, 1, 4535, 15, 0, 21644, 43, 53, 31204, 57495
529, 1, 4763, 15, 0, 22475, 30, 38, 30173, 57495
535, 0, 5009, 15, 0, 23123, 34, 35, 29279, 57495
541, 0, 4977, 5, 0, 22855, 35, 37, 29586, 57495
547, 0, 4945, 4, 0, 22669, 32, 37, 29808, 57495
553, 1, 4944, 3, 0, 22465, 22, 38, 30022, 57495
559, 0, 4943, 4, 0, 22310, 22, 41, 30175, 57495
565, 0, 4882, 5, 0, 21676, 22, 45, 30865, 57495
571, 0, 4852, 4, 0, 21285, 23, 53, 31278, 57495
577, 0, 4480, 4, 0, 19840, 23, 89, 33059, 57495
583, 1, 3898, 2, 0, 17688, 25, 158, 35723, 57495
589, 1, 2728, 3, 0, 14764, 22, 320, 39657, 57495
595, 0, 1969, 3, 0, 13040, 23, 413, 42047, 57495
601, 0, 1520, 110, 0, 12135, 24, 418, 43288, 57495
607, 2, 842, 141, 0, 10221, 22, 418, 45849, 57495
