ts, default broker, EWIIS3, Bunnie, total
359, 57501, 0, 0, 57501
360, 57501, 0, 0, 57501
361, 6896, 570, 50035, 57501
367, 6917, 222, 50362, 57501
373, 7014, 229, 50258, 57501
379, 6987, 199, 50315, 57501
385, 6929, 167, 50405, 57501
391, 6883, 133, 50485, 57501
397, 6802, 134, 50565, 57501
403, 6685, 262, 50554, 57501
409, 6731, 502, 50268, 57501
415, 6771, 342, 50388, 57501
421, 6884, 245, 50372, 57501
427, 6908, 260, 50333, 57501
433, 6901, 263, 50337, 57501
439, 6898, 204, 50399, 57501
445, 6828, 204, 50469, 57501
451, 6764, 174, 50563, 57501
457, 6815, 142, 50544, 57501
463, 6841, 136, 50524, 57501
469, 6846, 126, 50529, 57501
475, 6896, 108, 50497, 57501
481, 6900, 107, 50494, 57501
487, 6937, 103, 50461, 57501
493, 6953, 72, 50476, 57501
499, 6865, 74, 50562, 57501
505, 6908, 73, 50520, 57501
511, 6945, 69, 50487, 57501
517, 6942, 65, 50494, 57501
523, 6897, 62, 50542, 57501
529, 6930, 59, 50512, 57501
535, 6970, 57, 50474, 57501
541, 6954, 53, 50494, 57501
547, 6939, 51, 50511, 57501
553, 6942, 51, 50508, 57501
559, 6937, 50, 50514, 57501
565, 6942, 52, 50507, 57501
571, 6955, 52, 50494, 57501
577, 6969, 50, 50482, 57501
583, 6983, 48, 50470, 57501
589, 6784, 48, 50669, 57501
595, 6805, 48, 50648, 57501
601, 6839, 49, 50613, 57501
607, 6793, 48, 50660, 57501
613, 6819, 48, 50634, 57501
619, 6861, 47, 50593, 57501
625, 6818, 47, 50636, 57501
631, 6899, 45, 50557, 57501
637, 6886, 47, 50568, 57501
643, 6862, 48, 50591, 57501
649, 6804, 48, 50649, 57501
655, 6808, 48, 50645, 57501
661, 6857, 49, 50595, 57501
667, 6914, 51, 50536, 57501
673, 6855, 51, 50595, 57501
679, 6955, 50, 50496, 57501
685, 6837, 51, 50613, 57501
691, 6805, 52, 50644, 57501
697, 6815, 53, 50633, 57501
703, 6861, 53, 50587, 57501
709, 6937, 53, 50511, 57501
715, 6884, 52, 50565, 57501
721, 6924, 52, 50525, 57501
727, 6848, 53, 50600, 57501
733, 6939, 53, 50509, 57501
739, 6895, 52, 50554, 57501
745, 6862, 52, 50587, 57501
751, 6913, 52, 50536, 57501
757, 6947, 52, 50502, 57501
763, 6961, 45, 50495, 57501
769, 6969, 46, 50486, 57501
775, 6947, 46, 50508, 57501
781, 6978, 45, 50478, 57501
787, 6914, 46, 50541, 57501
793, 6938, 45, 50518, 57501
799, 6905, 46, 50550, 57501
805, 6861, 46, 50594, 57501
811, 6810, 47, 50644, 57501
817, 6839, 46, 50616, 57501
823, 6854, 47, 50600, 57501
829, 6877, 47, 50577, 57501
835, 6949, 45, 50507, 57501
841, 6951, 46, 50504, 57501
847, 6948, 46, 50507, 57501
853, 6856, 46, 50599, 57501
859, 6844, 47, 50610, 57501
865, 6850, 48, 50603, 57501
871, 6888, 48, 50565, 57501
877, 6458, 47, 50996, 57501
883, 6524, 47, 50930, 57501
889, 6599, 48, 50854, 57501
895, 6699, 48, 50754, 57501
901, 6833, 48, 50620, 57501
907, 6900, 49, 50552, 57501
913, 6911, 49, 50541, 57501
919, 6927, 49, 50525, 57501
925, 6590, 48, 50863, 57501
931, 6641, 49, 50811, 57501
937, 6693, 49, 50759, 57501
943, 6750, 48, 50703, 57501
949, 6626, 47, 50828, 57501
955, 6594, 46, 50861, 57501
961, 6597, 45, 50859, 57501
967, 6713, 45, 50743, 57501
973, 6711, 48, 50742, 57501
979, 6741, 47, 50713, 57501
985, 6850, 39, 50612, 57501
991, 6861, 38, 50602, 57501
997, 6903, 38, 50560, 57501
1003, 6888, 38, 50575, 57501
1009, 6922, 39, 50540, 57501
1015, 6907, 34, 50560, 57501
1021, 6755, 36, 50710, 57501
1027, 6656, 35, 50810, 57501
1033, 6690, 36, 50775, 57501
1039, 6798, 37, 50666, 57501
1045, 6901, 26, 50574, 57501
1051, 6918, 24, 50559, 57501
1057, 6934, 23, 50544, 57501
1063, 6898, 23, 50580, 57501
1069, 6908, 25, 50568, 57501
1075, 6927, 26, 50548, 57501
1081, 6930, 26, 50545, 57501
1087, 6942, 26, 50533, 57501
1093, 6976, 26, 50499, 57501
1099, 6943, 26, 50532, 57501
1105, 6961, 26, 50514, 57501
1111, 6850, 26, 50625, 57501
1117, 6845, 26, 50630, 57501
1123, 6860, 25, 50616, 57501
