ts, default broker, VidyutVanika, AgentUDE, total
359, 57519, 0, 0, 57519
360, 57519, 0, 0, 57519
361, 13, 55876, 1630, 57519
367, 14, 55876, 1629, 57519
373, 9, 55869, 1641, 57519
379, 8, 55865, 1646, 57519
385, 8, 55852, 1659, 57519
391, 10, 55849, 1660, 57519
397, 9, 55840, 1670, 57519
403, 11, 55729, 1779, 57519
409, 10, 55726, 1783, 57519
415, 7, 55728, 1784, 57519
421, 2, 55760, 1757, 57519
427, 4, 55779, 1736, 57519
433, 3, 46364, 11152, 57519
439, 4, 37714, 19801, 57519
445, 6, 9517, 47996, 57519
451, 6, 7419, 50094, 57519
457, 6, 7206, 50307, 57519
463, 5, 7206, 50308, 57519
469, 5, 7172, 50342, 57519
475, 3, 7169, 50347, 57519
481, 2, 7171, 50346, 57519
487, 3, 7788, 49728, 57519
493, 3, 10226, 47290, 57519
499, 3, 14453, 43063, 57519
505, 6, 18500, 39013, 57519
511, 7, 22552, 34960, 57519
517, 6, 25759, 31754, 57519
523, 8, 28061, 29450, 57519
529, 10, 49062, 8447, 57519
535, 7, 52797, 4715, 57519
541, 4, 53303, 4212, 57519
547, 10, 53522, 3987, 57519
553, 11, 53487, 4021, 57519
559, 7, 53395, 4117, 57519
565, 8, 52836, 4675, 57519
571, 8, 51064, 6447, 57519
577, 8, 49093, 8418, 57519
583, 5, 46812, 10702, 57519
589, 7, 43206, 14306, 57519
595, 5, 40064, 17450, 57519
601, 6, 33092, 24421, 57519
607, 6, 24125, 33388, 57519
613, 10, 8647, 48862, 57519
619, 6, 7210, 50303, 57519
625, 7, 7403, 50109, 57519
631, 7, 7784, 49728, 57519
637, 5, 8011, 49503, 57519
643, 5, 7982, 49532, 57519
649, 5, 7952, 49562, 57519
655, 29, 13125, 44365, 57519
661, 24, 15788, 41707, 57519
667, 21, 18889, 38609, 57519
673, 16, 19978, 37525, 57519
679, 14, 21995, 35510, 57519
685, 11, 24325, 33183, 57519
691, 10, 25540, 31969, 57519
697, 10, 38732, 18777, 57519
703, 11, 39178, 18330, 57519
709, 5, 38924, 18590, 57519
715, 6, 38855, 18658, 57519
721, 5, 38608, 18906, 57519
727, 5, 36806, 20708, 57519
733, 5, 34402, 23112, 57519
739, 8, 31635, 25876, 57519
745, 7, 30234, 27278, 57519
751, 9, 27175, 30335, 57519
757, 8, 25477, 32034, 57519
763, 8, 24516, 32995, 57519
769, 7, 20015, 37497, 57519
775, 8, 18163, 39348, 57519
781, 6, 16441, 41072, 57519
