ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 38, 33, 331, 7318, 49787, 57507
367, 37, 25, 206, 7323, 49916, 57507
373, 27, 25, 208, 7336, 49911, 57507
379, 23, 22, 354, 7338, 49770, 57507
385, 22, 28, 386, 7486, 49585, 57507
391, 13, 24, 330, 7634, 49506, 57507
397, 21, 32, 529, 7631, 49294, 57507
403, 26, 27, 403, 7628, 49423, 57507
409, 20, 25, 356, 7633, 49473, 57507
415, 6, 11, 487, 7973, 49030, 57507
421, 5, 5, 699, 7980, 48818, 57507
427, 5, 4, 754, 8013, 48731, 57507
433, 4, 3, 607, 8009, 48884, 57507
439, 2, 5, 462, 7989, 49049, 57507
445, 2, 6, 397, 7990, 49112, 57507
451, 4, 6, 304, 7899, 49294, 57507
457, 3, 4, 313, 7872, 49315, 57507
463, 2, 3, 303, 8232, 48967, 57507
469, 1, 150, 225, 12120, 45011, 57507
475, 2, 538, 182, 14619, 42166, 57507
481, 3, 2771, 176, 17043, 37514, 57507
487, 3, 3427, 171, 17998, 35908, 57507
493, 3, 4652, 167, 21356, 31329, 57507
499, 4, 5267, 156, 22219, 29861, 57507
505, 3, 6098, 157, 23584, 27665, 57507
511, 4, 6222, 145, 23783, 27353, 57507
517, 3, 6249, 144, 23442, 27669, 57507
523, 3, 6247, 133, 23396, 27728, 57507
529, 2, 6245, 134, 23267, 27859, 57507
535, 3, 6246, 132, 23066, 28060, 57507
541, 2, 6130, 122, 21221, 30032, 57507
547, 4, 6008, 121, 19801, 31573, 57507
553, 4, 5291, 123, 18098, 33991, 57507
559, 4, 4793, 101, 17105, 35504, 57507
565, 3, 3829, 101, 15063, 38511, 57507
571, 1, 2851, 80, 13461, 41114, 57507
577, 0, 2062, 82, 11754, 43609, 57507
583, 0, 1567, 83, 10663, 45194, 57507
589, 0, 1167, 83, 10061, 46196, 57507
595, 0, 996, 84, 9273, 47154, 57507
601, 1, 926, 83, 8833, 47664, 57507
607, 1, 776, 83, 8373, 48274, 57507
613, 1, 684, 85, 8224, 48513, 57507
619, 1, 475, 85, 8215, 48731, 57507
625, 3, 298, 79, 7797, 49330, 57507
631, 4, 270, 77, 7959, 49197, 57507
637, 3, 209, 79, 11896, 45320, 57507
643, 3, 282, 79, 13756, 43387, 57507
649, 3, 996, 81, 15962, 40465, 57507
655, 3, 1723, 80, 17963, 37738, 57507
661, 3, 2418, 78, 20459, 34549, 57507
667, 2, 3522, 80, 22441, 31462, 57507
673, 3, 3836, 82, 23356, 30230, 57507
679, 15, 3878, 85, 23829, 29700, 57507
685, 16, 3807, 73, 23668, 29943, 57507
691, 14, 3737, 78, 23514, 30164, 57507
697, 21, 3732, 78, 23436, 30240, 57507
703, 2, 3695, 78, 23218, 30514, 57507
709, 1, 3663, 67, 22104, 31672, 57507
715, 0, 3544, 66, 21210, 32687, 57507
721, 1, 3403, 66, 20230, 33807, 57507
727, 1, 2804, 65, 19173, 35464, 57507
733, 1, 2355, 63, 16033, 39055, 57507
739, 2, 1511, 61, 13290, 42643, 57507
