ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 7011, 0, 246, 3453, 46799, 57509
367, 6904, 106, 245, 1454, 48800, 57509
373, 6870, 138, 245, 1043, 49213, 57509
379, 6839, 169, 245, 830, 49426, 57509
385, 6821, 191, 94, 686, 49717, 57509
391, 6854, 158, 94, 615, 49788, 57509
397, 6788, 223, 94, 555, 49849, 57509
403, 6704, 4865, 94, 38722, 7124, 57509
409, 6727, 6608, 93, 35849, 8232, 57509
415, 6645, 8209, 93, 34329, 8233, 57509
421, 6634, 14209, 93, 28264, 8309, 57509
427, 6684, 19922, 93, 22420, 8390, 57509
433, 6636, 24357, 93, 18169, 8254, 57509
439, 6710, 27865, 93, 14588, 8253, 57509
445, 6773, 39404, 93, 11232, 7, 57509
451, 6820, 41596, 93, 8993, 7, 57509
457, 6841, 44524, 93, 6043, 8, 57509
463, 6837, 45744, 93, 4826, 9, 57509
469, 6845, 46298, 93, 4262, 11, 57509
475, 6791, 46380, 93, 4234, 11, 57509
481, 6786, 46062, 184, 4153, 324, 57509
487, 6812, 45739, 295, 4153, 510, 57509
493, 6801, 44913, 406, 4119, 1270, 57509
499, 6863, 41625, 909, 4118, 3994, 57509
505, 6828, 38568, 1006, 4113, 6994, 57509
511, 6735, 36868, 1332, 4109, 8465, 57509
517, 6741, 32223, 1764, 4079, 12702, 57509
523, 6799, 26165, 2034, 4074, 18437, 57509
529, 6800, 24415, 3557, 4139, 18598, 57509
535, 6817, 21752, 3796, 4387, 20757, 57509
541, 6696, 18269, 4095, 4399, 24050, 57509
547, 6637, 13693, 4455, 4278, 28446, 57509
553, 6661, 12472, 4476, 4206, 29694, 57509
559, 6670, 12233, 4247, 4258, 30101, 57509
565, 6587, 13104, 3796, 4092, 29930, 57509
571, 6639, 24142, 3044, 4008, 19676, 57509
577, 6726, 24312, 2444, 3755, 20272, 57509
583, 6750, 24960, 1526, 3687, 20586, 57509
589, 6861, 25602, 1255, 3205, 20586, 57509
595, 6745, 26475, 945, 2907, 20437, 57509
601, 6761, 26810, 825, 2771, 20342, 57509
607, 6764, 27802, 585, 2518, 19840, 57509
613, 6864, 47725, 464, 2354, 102, 57509
619, 6864, 48148, 374, 2015, 108, 57509
625, 6811, 48765, 285, 1536, 112, 57509
631, 6852, 49346, 151, 1045, 115, 57509
637, 6901, 49295, 161, 1025, 127, 57509
643, 6895, 48623, 142, 1027, 822, 57509
649, 6849, 47235, 140, 1114, 2171, 57509
655, 6877, 49044, 398, 1058, 132, 57509
661, 6932, 48887, 432, 1056, 202, 57509
667, 6926, 47941, 1257, 1039, 346, 57509
673, 6909, 45819, 3071, 1038, 672, 57509
679, 6937, 44728, 3874, 1115, 855, 57509
685, 6869, 38623, 7500, 1476, 3041, 57509
691, 6842, 36853, 8871, 1575, 3368, 57509
697, 6809, 32566, 11677, 1435, 5022, 57509
703, 6846, 28143, 12958, 1406, 8156, 57509
709, 6805, 26606, 13425, 1397, 9276, 57509
715, 6786, 25484, 13737, 1471, 10031, 57509
721, 6769, 22106, 15285, 1267, 12082, 57509
727, 6787, 21980, 14912, 1193, 12637, 57509
733, 6810, 24015, 13386, 1190, 12108, 57509
739, 6839, 33841, 11398, 1171, 4260, 57509
745, 6741, 36692, 8848, 1068, 4160, 57509
751, 6839, 38224, 7807, 1020, 3619, 57509
757, 6833, 40815, 5736, 1007, 3118, 57509
763, 6745, 44318, 3456, 845, 2145, 57509
769, 6831, 45417, 2796, 821, 1644, 57509
775, 6845, 46233, 2096, 782, 1553, 57509
781, 6690, 48309, 1787, 707, 16, 57509
787, 6645, 48843, 1341, 663, 17, 57509
793, 6677, 49440, 773, 601, 18, 57509
799, 6708, 49585, 593, 592, 31, 57509
805, 6706, 49723, 452, 547, 81, 57509
811, 6660, 49867, 272, 554, 156, 57509
817, 6658, 49557, 277, 566, 451, 57509
823, 6671, 48096, 325, 697, 1720, 57509
829, 6699, 43196, 427, 687, 6500, 57509
835, 6694, 36509, 946, 944, 12416, 57509
841, 6740, 32412, 725, 1018, 16614, 57509
847, 6791, 28093, 1483, 1197, 19945, 57509
853, 6880, 24973, 1614, 1133, 22909, 57509
859, 6840, 22770, 1765, 1143, 24991, 57509
865, 6854, 26652, 9010, 1718, 13275, 57509
871, 6821, 25169, 9477, 1690, 14352, 57509
877, 6871, 23532, 10251, 1415, 15440, 57509
883, 6783, 21986, 10572, 1301, 16867, 57509
889, 6825, 20071, 11228, 1358, 18027, 57509
895, 6783, 19758, 11252, 1244, 18472, 57509
901, 6762, 20061, 11005, 942, 18739, 57509
907, 6797, 38050, 9883, 883, 1896, 57509
913, 6801, 39871, 8073, 804, 1960, 57509
919, 6763, 41940, 5943, 743, 2120, 57509
925, 6733, 43115, 4853, 688, 2120, 57509
931, 6652, 44527, 3580, 633, 2117, 57509
937, 6732, 45416, 2686, 559, 2116, 57509
943, 6809, 45671, 2397, 517, 2115, 57509
949, 6831, 48364, 1787, 504, 23, 57509
955, 6646, 48818, 1547, 475, 23, 57509
961, 6728, 49128, 1217, 410, 26, 57509
967, 6794, 49291, 1007, 390, 27, 57509
973, 6667, 49538, 797, 389, 118, 57509
979, 6722, 49451, 707, 384, 245, 57509
985, 6794, 48356, 820, 391, 1148, 57509
991, 6872, 47724, 900, 544, 1469, 57509
997, 6839, 44909, 949, 739, 4073, 57509
1003, 6875, 39335, 1588, 760, 8951, 57509
1009, 6801, 34754, 1796, 920, 13238, 57509
1015, 6806, 28739, 2114, 1058, 18792, 57509
1021, 6812, 26284, 2507, 1082, 20824, 57509
1027, 6833, 22455, 3338, 988, 23895, 57509
1033, 6812, 15583, 535, 830, 33749, 57509
1039, 6777, 11963, 799, 899, 37071, 57509
1045, 6869, 9496, 1040, 620, 39484, 57509
1051, 6816, 8018, 1040, 591, 41044, 57509
1057, 6831, 6441, 1348, 688, 42201, 57509
1063, 6845, 5998, 1609, 559, 42498, 57509
1069, 6717, 7343, 1639, 496, 41314, 57509
1075, 6577, 39646, 2191, 879, 8216, 57509
1081, 6622, 42121, 100, 671, 7995, 57509
1087, 6622, 42814, 100, 589, 7384, 57509
1093, 6762, 43746, 100, 587, 6314, 57509
1099, 6759, 44807, 100, 509, 5334, 57509
1105, 6817, 46210, 101, 438, 3943, 57509
1111, 6738, 47316, 101, 360, 2994, 57509
1117, 6584, 50478, 101, 329, 17, 57509
1123, 6784, 50319, 102, 276, 28, 57509
1129, 6819, 50295, 90, 278, 27, 57509
1135, 6828, 50290, 90, 285, 16, 57509
1141, 6826, 50289, 90, 285, 19, 57509
1147, 6806, 50183, 90, 290, 140, 57509
1153, 6755, 50009, 91, 285, 369, 57509
1159, 6824, 47341, 90, 290, 2964, 57509
1165, 6886, 41999, 164, 306, 8154, 57509
1171, 6839, 36871, 279, 305, 13215, 57509
1177, 6806, 27832, 386, 303, 22182, 57509
1183, 6806, 24707, 439, 375, 25182, 57509
1189, 6875, 17868, 587, 410, 31769, 57509
1195, 6819, 12143, 881, 691, 36975, 57509
1201, 6834, 12408, 1943, 930, 35394, 57509
1207, 6747, 10377, 2020, 879, 37486, 57509
1213, 6822, 9735, 2050, 717, 38185, 57509
1219, 6736, 7987, 2060, 661, 40065, 57509
1225, 6822, 7378, 260, 546, 42503, 57509
1231, 6846, 7024, 261, 491, 42887, 57509
1237, 6792, 6931, 261, 430, 43095, 57509
1243, 6857, 34608, 598, 461, 14985, 57509
1249, 6757, 34736, 598, 429, 14989, 57509
1255, 6780, 34745, 598, 400, 14986, 57509
1261, 6890, 34644, 599, 396, 14980, 57509
1267, 6880, 34780, 539, 333, 14977, 57509
1273, 6737, 35378, 91, 328, 14975, 57509
1279, 6807, 35316, 91, 320, 14975, 57509
1285, 6824, 50273, 91, 296, 25, 57509
1291, 6832, 50267, 92, 293, 25, 57509
1297, 6840, 50260, 92, 293, 24, 57509
1303, 6840, 50257, 91, 294, 27, 57509
1309, 6826, 50287, 92, 273, 31, 57509
1315, 6840, 50207, 92, 333, 37, 57509
1321, 6825, 49982, 92, 340, 270, 57509
1327, 6820, 49675, 91, 353, 570, 57509
1333, 6837, 48677, 487, 539, 969, 57509
1339, 6791, 45384, 1033, 1251, 3050, 57509
1345, 6775, 43213, 1837, 1199, 4485, 57509
1351, 6725, 39881, 2303, 1242, 7358, 57509
1357, 6771, 36872, 2674, 1320, 9872, 57509
1363, 6828, 34181, 3308, 1925, 11267, 57509
1369, 6781, 31402, 4922, 1797, 12607, 57509
1375, 6709, 26447, 4897, 1812, 17644, 57509
1381, 6708, 23749, 5409, 1785, 19858, 57509
1387, 6665, 19803, 5682, 1896, 23463, 57509
