ts, default broker, SPOT, COLDPower18, VidyutVanika, EWIIS3, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 15, 3417, 0, 22484, 31596, 57512
367, 14, 4140, 0, 24542, 28816, 57512
373, 16, 4486, 0, 24836, 28174, 57512
379, 17, 4792, 0, 25559, 27144, 57512
385, 18, 273, 0, 31177, 26044, 57512
391, 17, 321, 0, 32816, 24358, 57512
397, 18, 409, 0, 34612, 22473, 57512
403, 17, 409, 0, 36698, 20388, 57512
409, 17, 63, 0, 38247, 19185, 57512
415, 16, 64, 0, 38618, 18814, 57512
421, 17, 127, 0, 39269, 18099, 57512
427, 16, 156, 0, 39756, 17584, 57512
433, 15, 155, 0, 40255, 17087, 57512
439, 15, 215, 0, 39727, 17555, 57512
445, 14, 389, 0, 39244, 17865, 57512
451, 14, 453, 0, 39171, 17874, 57512
457, 15, 453, 0, 40413, 16631, 57512
463, 14, 403, 0, 44391, 12704, 57512
469, 14, 382, 0, 46515, 10601, 57512
475, 14, 332, 0, 47639, 9527, 57512
481, 15, 272, 0, 48976, 8249, 57512
487, 14, 212, 0, 50579, 6707, 57512
493, 13, 184, 0, 51429, 5886, 57512
499, 13, 124, 0, 52356, 5019, 57512
505, 14, 3, 0, 52839, 4656, 57512
511, 34, 4, 0, 53583, 3891, 57512
517, 32, 141, 0, 54231, 3108, 57512
523, 31, 160, 0, 54251, 3070, 57512
529, 33, 160, 0, 54314, 3005, 57512
535, 35, 294, 0, 54178, 3005, 57512
541, 36, 969, 0, 53499, 3008, 57512
547, 36, 1165, 0, 53304, 3007, 57512
553, 17, 109, 0, 54579, 2807, 57512
559, 14, 246, 0, 54598, 2654, 57512
565, 13, 236, 0, 54649, 2614, 57512
571, 13, 231, 0, 54686, 2582, 57512
577, 13, 226, 0, 54759, 2514, 57512
583, 13, 219, 0, 54794, 2486, 57512
589, 13, 642, 0, 54465, 2392, 57512
595, 13, 639, 0, 54468, 2392, 57512
601, 14, 514, 0, 54623, 2361, 57512
607, 14, 466, 0, 54833, 2199, 57512
613, 13, 466, 0, 54843, 2190, 57512
619, 13, 604, 0, 54725, 2170, 57512
625, 12, 573, 0, 54756, 2171, 57512
631, 12, 415, 0, 54946, 2139, 57512
637, 12, 264, 0, 55287, 1949, 57512
643, 13, 176, 0, 55458, 1865, 57512
649, 13, 176, 0, 55627, 1696, 57512
655, 13, 177, 0, 55747, 1575, 57512
661, 12, 126, 0, 56120, 1254, 57512
667, 12, 94, 0, 56151, 1255, 57512
673, 13, 33, 0, 56412, 1054, 57512
679, 13, 3, 0, 56522, 974, 57512
685, 12, 4, 0, 56552, 944, 57512
691, 12, 296, 0, 56115, 1089, 57512
697, 12, 444, 0, 55996, 1060, 57512
703, 13, 735, 0, 55738, 1026, 57512
709, 14, 918, 0, 55551, 1029, 57512
715, 15, 1209, 0, 55317, 971, 57512
721, 15, 37, 0, 56522, 938, 57512
727, 16, 37, 0, 56522, 937, 57512
733, 17, 38, 0, 56518, 939, 57512
739, 17, 181, 0, 56376, 938, 57512
745, 16, 322, 0, 56236, 938, 57512
751, 17, 324, 0, 56254, 917, 57512
757, 15, 467, 0, 55997, 1033, 57512
763, 14, 478, 0, 56029, 991, 57512
769, 14, 478, 0, 56053, 967, 57512
775, 13, 477, 0, 56085, 937, 57512
781, 13, 415, 0, 56215, 869, 57512
787, 13, 375, 0, 56254, 870, 57512
793, 15, 268, 0, 56399, 830, 57512
799, 15, 154, 0, 56514, 829, 57512
805, 14, 156, 0, 56695, 647, 57512
