ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, VidyutVanika, total
359, 57514, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 57514
361, 16, 13065, 0, 231, 44202, 57514
367, 16, 13061, 0, 231, 44206, 57514
373, 15, 13067, 0, 209, 44223, 57514
379, 15, 13065, 0, 208, 44226, 57514
385, 16, 13064, 0, 205, 44229, 57514
391, 14, 13056, 0, 207, 44237, 57514
397, 15, 13058, 0, 209, 44232, 57514
403, 14, 13058, 0, 212, 44230, 57514
409, 13, 13060, 0, 215, 44226, 57514
415, 12, 13062, 0, 213, 44227, 57514
421, 12, 13064, 0, 210, 44228, 57514
427, 13, 13065, 0, 210, 44226, 57514
433, 14, 10090, 0, 3424, 43986, 57514
439, 14, 6653, 0, 8114, 42733, 57514
445, 13, 4466, 0, 9529, 43506, 57514
451, 13, 3182, 0, 10820, 43499, 57514
457, 13, 2562, 0, 11390, 43549, 57514
463, 13, 2081, 0, 10416, 45004, 57514
469, 13, 1482, 0, 9464, 46555, 57514
475, 13, 1284, 0, 8521, 47696, 57514
481, 13, 1023, 0, 7675, 48803, 57514
487, 13, 828, 0, 7073, 49600, 57514
493, 13, 747, 0, 6650, 50104, 57514
499, 13, 849, 0, 6196, 50456, 57514
505, 13, 854, 0, 5362, 51285, 57514
511, 12, 804, 0, 4910, 51788, 57514
517, 12, 605, 0, 3788, 53109, 57514
523, 12, 909, 0, 3346, 53247, 57514
529, 12, 2324, 0, 2559, 52619, 57514
535, 12, 3484, 0, 2342, 51676, 57514
541, 12, 4239, 0, 1947, 51316, 57514
547, 12, 4974, 0, 1337, 51191, 57514
553, 13, 6080, 0, 1105, 50316, 57514
559, 13, 6608, 0, 931, 49962, 57514
565, 12, 6872, 0, 812, 49818, 57514
571, 12, 7166, 0, 813, 49523, 57514
577, 12, 7141, 0, 783, 49578, 57514
583, 12, 7064, 0, 753, 49685, 57514
589, 12, 6953, 0, 757, 49792, 57514
595, 12, 6803, 0, 757, 49942, 57514
601, 12, 6212, 0, 725, 50565, 57514
607, 13, 5042, 0, 722, 51737, 57514
613, 12, 4760, 0, 702, 52040, 57514
619, 12, 3835, 0, 682, 52985, 57514
625, 12, 2924, 0, 663, 53915, 57514
631, 13, 1997, 0, 599, 54905, 57514
637, 15, 1807, 0, 570, 55122, 57514
643, 16, 1246, 0, 547, 55705, 57514
649, 16, 866, 0, 544, 56088, 57514
655, 16, 800, 0, 547, 56151, 57514
661, 15, 693, 0, 547, 56259, 57514
667, 15, 1015, 0, 546, 55938, 57514
673, 14, 1127, 0, 546, 55827, 57514
679, 13, 979, 0, 545, 55977, 57514
685, 13, 1106, 0, 464, 55931, 57514
691, 13, 1977, 0, 451, 55073, 57514
697, 13, 3237, 0, 373, 53891, 57514
703, 13, 4699, 0, 313, 52489, 57514
709, 14, 5567, 0, 219, 51714, 57514
715, 13, 6396, 0, 203, 50902, 57514
721, 13, 9524, 0, 139, 47838, 57514
727, 13, 10293, 0, 138, 47070, 57514
733, 13, 10838, 0, 128, 46535, 57514
739, 13, 10788, 0, 129, 46584, 57514
745, 14, 10614, 0, 127, 46759, 57514
751, 13, 10692, 0, 132, 46677, 57514
757, 13, 10454, 0, 135, 46912, 57514
763, 13, 10254, 0, 132, 47115, 57514
769, 13, 9355, 0, 132, 48014, 57514
775, 13, 8651, 0, 133, 48717, 57514
781, 13, 7861, 0, 132, 49508, 57514
787, 13, 6288, 0, 107, 51106, 57514
793, 13, 4938, 0, 108, 52455, 57514
799, 13, 3958, 0, 109, 53434, 57514
805, 13, 2828, 0, 109, 54564, 57514
811, 13, 2148, 0, 110, 55243, 57514
817, 13, 1769, 0, 110, 55622, 57514
823, 13, 1258, 0, 137, 56106, 57514
829, 14, 968, 0, 106, 56426, 57514
835, 14, 791, 0, 111, 56598, 57514
841, 14, 833, 0, 105, 56562, 57514
847, 14, 646, 0, 88, 56766, 57514
853, 15, 590, 0, 84, 56825, 57514
859, 15, 812, 0, 43, 56644, 57514
865, 10, 746, 0, 40, 56718, 57514
871, 8, 843, 0, 39, 56624, 57514
877, 6, 869, 0, 39, 56600, 57514
883, 6, 789, 0, 38, 56681, 57514
889, 5, 6636, 0, 38, 50835, 57514
895, 3, 7342, 0, 38, 50131, 57514
901, 2, 7364, 0, 39, 50109, 57514
907, 2, 7363, 0, 39, 50110, 57514
913, 1706, 7338, 0, 43, 48427, 57514
919, 2100, 7330, 0, 46, 48038, 57514
925, 2512, 7482, 0, 47, 47473, 57514
931, 2618, 7363, 0, 45, 47488, 57514
937, 2733, 7315, 0, 45, 47421, 57514
943, 3086, 7245, 0, 42, 47141, 57514
949, 3077, 7099, 0, 41, 47297, 57514
955, 3089, 7055, 0, 45, 47325, 57514
961, 3051, 5336, 0, 45, 49082, 57514
967, 3455, 4359, 0, 44, 49656, 57514
973, 3340, 3560, 0, 42, 50572, 57514
979, 3467, 2520, 0, 43, 51484, 57514
985, 3330, 2012, 0, 46, 52126, 57514
991, 3537, 1410, 0, 45, 52522, 57514
997, 3625, 1078, 0, 47, 52764, 57514
1003, 3716, 942, 0, 44, 52812, 57514
1009, 3776, 1034, 0, 47, 52657, 57514
1015, 3637, 1048, 0, 49, 52780, 57514
1021, 3588, 882, 0, 51, 52993, 57514
1027, 3532, 1150, 0, 47, 52785, 57514
1033, 3349, 2460, 0, 46, 51659, 57514
1039, 3304, 3130, 0, 45, 51035, 57514
1045, 3486, 4843, 0, 46, 49139, 57514
1051, 3447, 5505, 0, 46, 48516, 57514
1057, 3557, 6219, 0, 45, 47693, 57514
1063, 3533, 6244, 0, 42, 47695, 57514
1069, 3148, 7082, 0, 43, 47241, 57514
1075, 3177, 7000, 0, 43, 47294, 57514
1081, 3376, 6861, 0, 47, 47230, 57514
1087, 3368, 6647, 0, 43, 47456, 57514
1093, 3354, 6530, 0, 51, 47579, 57514
1099, 3443, 6282, 0, 45, 47744, 57514
1105, 3369, 6058, 0, 45, 48042, 57514
1111, 3450, 5711, 0, 43, 48310, 57514
1117, 3462, 4721, 0, 41, 49290, 57514
1123, 3259, 3811, 0, 39, 50405, 57514
1129, 3446, 3364, 0, 43, 50661, 57514
1135, 3464, 2891, 0, 45, 51114, 57514
1141, 3400, 2459, 0, 45, 51610, 57514
