ts, default broker, EWIIS3, VidyutVanika, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 15, 494, 57003, 57512
367, 9, 277, 57226, 57512
373, 8, 273, 57231, 57512
379, 7, 278, 57227, 57512
385, 6, 266, 57240, 57512
391, 9, 244, 57259, 57512
397, 9, 252, 57251, 57512
403, 8, 255, 57249, 57512
409, 8, 256, 57248, 57512
415, 8, 254, 57250, 57512
421, 9, 247, 57256, 57512
427, 8, 249, 57255, 57512
433, 10, 2690, 54812, 57512
439, 9, 4148, 53355, 57512
445, 7, 5445, 52060, 57512
451, 7, 5833, 51672, 57512
457, 6, 5998, 51508, 57512
463, 6, 5515, 51991, 57512
469, 7, 5141, 52364, 57512
475, 6, 4588, 52918, 57512
481, 6, 4397, 53109, 57512
487, 6, 4202, 53304, 57512
493, 6, 3920, 53586, 57512
499, 6, 3738, 53768, 57512
505, 7, 3405, 54100, 57512
511, 7, 2753, 54752, 57512
517, 8, 2081, 55423, 57512
523, 8, 1612, 55892, 57512
529, 8, 1519, 55985, 57512
535, 7, 1151, 56354, 57512
541, 6, 887, 56619, 57512
547, 6, 837, 56669, 57512
553, 6, 733, 56773, 57512
559, 6, 731, 56775, 57512
565, 8, 611, 56893, 57512
571, 7, 611, 56894, 57512
577, 7, 613, 56892, 57512
583, 6, 613, 56893, 57512
589, 7, 614, 56891, 57512
595, 7, 564, 56941, 57512
601, 8, 522, 56982, 57512
607, 7, 501, 57004, 57512
613, 6, 480, 57026, 57512
619, 6, 479, 57027, 57512
625, 5, 458, 57049, 57512
631, 6, 458, 57048, 57512
637, 5, 459, 57048, 57512
643, 5, 426, 57081, 57512
649, 6, 425, 57081, 57512
655, 5, 425, 57082, 57512
661, 6, 422, 57084, 57512
667, 8, 420, 57084, 57512
673, 10, 417, 57085, 57512
679, 8, 399, 57105, 57512
685, 8, 378, 57126, 57512
691, 7, 381, 57124, 57512
697, 7, 360, 57145, 57512
703, 7, 338, 57167, 57512
709, 6, 290, 57216, 57512
715, 6, 268, 57238, 57512
721, 5, 269, 57238, 57512
727, 5, 227, 57280, 57512
733, 5, 165, 57342, 57512
739, 6, 165, 57341, 57512
745, 7, 166, 57339, 57512
751, 7, 167, 57338, 57512
757, 7, 168, 57337, 57512
763, 7, 169, 57336, 57512
769, 7, 171, 57334, 57512
775, 7, 170, 57335, 57512
781, 7, 168, 57337, 57512
787, 7, 167, 57338, 57512
793, 7, 167, 57338, 57512
799, 9, 166, 57337, 57512
805, 10, 164, 57338, 57512
811, 10, 162, 57340, 57512
817, 10, 162, 57340, 57512
823, 11, 162, 57339, 57512
829, 10, 162, 57340, 57512
835, 10, 165, 57337, 57512
841, 8, 144, 57360, 57512
847, 7, 149, 57356, 57512
853, 9, 144, 57359, 57512
859, 8, 143, 57361, 57512
865, 7, 137, 57368, 57512
871, 6, 80, 57426, 57512
877, 4, 70, 57438, 57512
883, 4, 68, 57440, 57512
889, 4, 67, 57441, 57512
895, 1, 65, 57446, 57512
901, 1, 64, 57447, 57512
907, 1, 64, 57447, 57512
913, 2267, 66, 55179, 57512
919, 2565, 78, 54869, 57512
925, 3749, 74, 53689, 57512
931, 3851, 73, 53588, 57512
937, 3814, 74, 53624, 57512
943, 3707, 73, 53732, 57512
949, 3745, 71, 53696, 57512
955, 3628, 51, 53833, 57512
961, 3667, 50, 53795, 57512
967, 3641, 54, 53817, 57512
973, 3728, 51, 53733, 57512
979, 3489, 50, 53973, 57512
985, 3436, 48, 54028, 57512
991, 3545, 49, 53918, 57512
997, 3549, 48, 53915, 57512
1003, 3511, 47, 53954, 57512
1009, 3573, 47, 53892, 57512
1015, 3583, 47, 53882, 57512
1021, 3835, 47, 53630, 57512
1027, 3889, 45, 53578, 57512
1033, 3704, 48, 53760, 57512
1039, 3652, 45, 53815, 57512
1045, 3748, 44, 53720, 57512
1051, 3762, 44, 53706, 57512
