ts, default broker, SPOT, VidyutVanika, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 53, 411, 57044, 57508
367, 51, 418, 57039, 57508
373, 51, 414, 57043, 57508
379, 53, 414, 57041, 57508
385, 56, 8, 57444, 57508
391, 57, 9, 57442, 57508
397, 55, 13, 57440, 57508
403, 55, 13, 57440, 57508
409, 53, 6, 57449, 57508
415, 52, 7, 57449, 57508
421, 50, 9, 57449, 57508
427, 49, 10, 57449, 57508
433, 52, 4, 57452, 57508
439, 51, 7, 57450, 57508
445, 52, 7, 57449, 57508
451, 52, 8, 57448, 57508
457, 54, 6, 57448, 57508
463, 53, 6, 57449, 57508
469, 55, 6, 57447, 57508
475, 56, 154, 57298, 57508
481, 53, 9, 57446, 57508
487, 53, 12, 57443, 57508
493, 53, 17, 57438, 57508
499, 50, 19, 57439, 57508
505, 54, 5, 57449, 57508
511, 54, 6, 57448, 57508
517, 54, 6, 57448, 57508
523, 54, 16, 57438, 57508
529, 54, 15, 57439, 57508
535, 55, 18, 57435, 57508
541, 56, 7, 57445, 57508
547, 55, 156, 57297, 57508
553, 55, 158, 57295, 57508
559, 54, 308, 57146, 57508
565, 55, 308, 57145, 57508
571, 54, 308, 57146, 57508
577, 53, 307, 57148, 57508
583, 53, 308, 57147, 57508
589, 53, 220, 57235, 57508
595, 51, 221, 57236, 57508
601, 57, 6, 57445, 57508
607, 57, 6, 57445, 57508
613, 57, 6, 57445, 57508
619, 58, 6, 57444, 57508
625, 61, 4, 57443, 57508
631, 59, 6, 57443, 57508
637, 56, 8, 57444, 57508
643, 56, 7, 57445, 57508
649, 60, 4, 57444, 57508
655, 58, 4, 57446, 57508
661, 58, 5, 57445, 57508
667, 55, 8, 57445, 57508
673, 55, 158, 57295, 57508
679, 56, 158, 57294, 57508
685, 57, 157, 57294, 57508
691, 56, 157, 57295, 57508
697, 57, 5, 57446, 57508
703, 57, 5, 57446, 57508
709, 58, 153, 57297, 57508
715, 57, 304, 57147, 57508
721, 60, 448, 57000, 57508
727, 60, 450, 56998, 57508
733, 61, 451, 56996, 57508
739, 61, 598, 56849, 57508
745, 62, 4, 57442, 57508
751, 60, 5, 57443, 57508
757, 60, 5, 57443, 57508
763, 59, 7, 57442, 57508
769, 58, 5, 57445, 57508
775, 59, 2, 57447, 57508
781, 56, 4, 57448, 57508
787, 57, 5, 57446, 57508
793, 58, 4, 57446, 57508
799, 59, 5, 57444, 57508
805, 59, 6, 57443, 57508
811, 58, 7, 57443, 57508
817, 61, 4, 57443, 57508
823, 60, 5, 57443, 57508
829, 59, 156, 57293, 57508
835, 56, 157, 57295, 57508
841, 55, 308, 57145, 57508
847, 56, 308, 57144, 57508
853, 57, 307, 57144, 57508
859, 56, 455, 56997, 57508
865, 54, 454, 57000, 57508
871, 49, 366, 57093, 57508
877, 47, 365, 57096, 57508
883, 46, 306, 57156, 57508
889, 46, 227, 57235, 57508
895, 45, 242, 57221, 57508
901, 58, 389, 57061, 57508
907, 55, 360, 57093, 57508
913, 47, 333, 57128, 57508
919, 46, 306, 57156, 57508
925, 45, 282, 57181, 57508
931, 43, 285, 57180, 57508
937, 44, 284, 57180, 57508
943, 44, 251, 57213, 57508
949, 43, 161, 57304, 57508
955, 40, 164, 57304, 57508
961, 43, 104, 57361, 57508
967, 42, 39, 57427, 57508
973, 39, 37, 57432, 57508
979, 39, 35, 57434, 57508
985, 41, 35, 57432, 57508
991, 52, 36, 57420, 57508
997, 51, 36, 57421, 57508
1003, 46, 36, 57426, 57508
1009, 47, 2, 57459, 57508
1015, 46, 4, 57458, 57508
1021, 54, 5, 57449, 57508
1027, 51, 9, 57448, 57508
1033, 49, 151, 57308, 57508
1039, 47, 300, 57161, 57508
1045, 53, 304, 57151, 57508
1051, 52, 303, 57153, 57508
1057, 52, 2, 57454, 57508
1063, 46, 3, 57459, 57508
1069, 51, 5, 57452, 57508
1075, 49, 5, 57454, 57508
1081, 47, 4, 57457, 57508
1087, 46, 4, 57458, 57508
1093, 43, 5, 57460, 57508
1099, 42, 5, 57461, 57508
1105, 41, 3, 57464, 57508
1111, 39, 3, 57466, 57508
1117, 38, 4, 57466, 57508
1123, 36, 6, 57466, 57508
1129, 39, 1, 57468, 57508
1135, 40, 2, 57466, 57508
1141, 40, 1, 57467, 57508
1147, 41, 0, 57467, 57508
1153, 40, 100, 57368, 57508
1159, 54, 101, 57353, 57508
1165, 48, 555, 56905, 57508
1171, 48, 555, 56905, 57508
1177, 46, 555, 56907, 57508
1183, 44, 554, 56910, 57508
1189, 44, 554, 56910, 57508
1195, 44, 535, 56929, 57508
1201, 41, 35, 57432, 57508
1207, 39, 35, 57434, 57508
1213, 50, 34, 57424, 57508
1219, 48, 34, 57426, 57508
1225, 50, 33, 57425, 57508
1231, 47, 34, 57427, 57508
1237, 53, 37, 57418, 57508
1243, 50, 40, 57418, 57508
1249, 52, 0, 57456, 57508
1255, 51, 1, 57456, 57508
1261, 48, 1, 57459, 57508
1267, 46, 3, 57459, 57508
1273, 47, 2, 57459, 57508
1279, 44, 3, 57461, 57508
1285, 42, 5, 57461, 57508
1291, 41, 6, 57461, 57508
1297, 46, 2, 57460, 57508
1303, 44, 2, 57462, 57508
1309, 45, 2, 57461, 57508
1315, 44, 1, 57463, 57508
1321, 44, 2, 57462, 57508
1327, 43, 6, 57459, 57508
1333, 41, 8, 57459, 57508
1339, 39, 5, 57464, 57508
1345, 39, 3, 57466, 57508
1351, 38, 3, 57467, 57508
1357, 53, 5, 57450, 57508
1363, 49, 5, 57454, 57508
1369, 48, 6, 57454, 57508
1375, 45, 7, 57456, 57508
1381, 42, 8, 57458, 57508
1387, 44, 7, 57457, 57508
1393, 45, 4, 57459, 57508
1399, 41, 4, 57463, 57508
1405, 53, 5, 57450, 57508
1411, 51, 6, 57451, 57508
1417, 47, 6, 57455, 57508
1423, 49, 7, 57452, 57508
1429, 49, 6, 57453, 57508
1435, 47, 2, 57459, 57508
1441, 43, 1, 57464, 57508
1447, 41, 1, 57466, 57508
1453, 45, 1, 57462, 57508
1459, 44, 1, 57463, 57508
1465, 43, 1, 57464, 57508
1471, 43, 2, 57463, 57508
1477, 44, 1, 57463, 57508
1483, 44, 1, 57463, 57508
1489, 44, 0, 57464, 57508
1495, 54, 2, 57452, 57508
1501, 51, 3, 57454, 57508
1507, 50, 1, 57457, 57508
1513, 46, 0, 57462, 57508
1519, 42, 3, 57463, 57508
1525, 51, 3, 57454, 57508
1531, 47, 4, 57457, 57508
1537, 49, 1, 57458, 57508
1543, 48, 1, 57459, 57508
1549, 53, 1, 57454, 57508
1555, 50, 1, 57457, 57508
1561, 48, 3, 57457, 57508
1567, 47, 3, 57458, 57508
1573, 54, 3, 57451, 57508
1579, 53, 151, 57304, 57508
1585, 53, 3, 57452, 57508
1591, 49, 3, 57456, 57508
1597, 44, 4, 57460, 57508
1603, 44, 5, 57459, 57508
1609, 45, 3, 57460, 57508
1615, 45, 4, 57459, 57508
1621, 45, 4, 57459, 57508
1627, 43, 4, 57461, 57508
1633, 44, 3, 57461, 57508
1639, 43, 3, 57462, 57508
1645, 42, 4, 57462, 57508
1651, 40, 3, 57465, 57508
1657, 39, 5, 57464, 57508
1663, 51, 5, 57452, 57508
1669, 49, 7, 57452, 57508
1675, 49, 7, 57452, 57508
1681, 50, 4, 57454, 57508
1687, 46, 5, 57457, 57508
1693, 42, 5, 57461, 57508
