ts, default broker, CrocodileAgent, EWIIS3, total
359, 57501, 0, 0, 57501
360, 57501, 0, 0, 57501
361, 6940, 2437, 48124, 57501
367, 6753, 2901, 47847, 57501
373, 6634, 3022, 47845, 57501
379, 6706, 3087, 47708, 57501
385, 6752, 3039, 47710, 57501
391, 6826, 2965, 47710, 57501
397, 6882, 2907, 47712, 57501
403, 6947, 2975, 47579, 57501
409, 6966, 2958, 47577, 57501
415, 6844, 3218, 47439, 57501
421, 6839, 3223, 47439, 57501
427, 6803, 3258, 47440, 57501
433, 6790, 3044, 47667, 57501
439, 6761, 2258, 48482, 57501
445, 6874, 2005, 48622, 57501
451, 6915, 3043, 47543, 57501
457, 6921, 5037, 45543, 57501
463, 6819, 6526, 44156, 57501
469, 6703, 16013, 34785, 57501
475, 6415, 19961, 31125, 57501
481, 6637, 23713, 27151, 57501
487, 6693, 28479, 22329, 57501
493, 6707, 31105, 19689, 57501
499, 6782, 33612, 17107, 57501
505, 6614, 34845, 16042, 57501
511, 6716, 36557, 14228, 57501
517, 6709, 36905, 13887, 57501
523, 6730, 36971, 13800, 57501
529, 6753, 36940, 13808, 57501
535, 6755, 36896, 13850, 57501
541, 6867, 36549, 14085, 57501
547, 6932, 35851, 14718, 57501
553, 6913, 35933, 14655, 57501
559, 6903, 34049, 16549, 57501
565, 6875, 34239, 16387, 57501
571, 6906, 34280, 16315, 57501
577, 6931, 34552, 16018, 57501
583, 6868, 33086, 17547, 57501
589, 6797, 33800, 16904, 57501
595, 6730, 34127, 16644, 57501
601, 6717, 34975, 15809, 57501
607, 6747, 35178, 15576, 57501
613, 6878, 35466, 15157, 57501
619, 6919, 36029, 14553, 57501
625, 6924, 36383, 14194, 57501
631, 6876, 36809, 13816, 57501
637, 6855, 37260, 13386, 57501
643, 6937, 38772, 11792, 57501
649, 6865, 40129, 10507, 57501
655, 6848, 42577, 8076, 57501
661, 6845, 43900, 6756, 57501
667, 6797, 45056, 5648, 57501
673, 6897, 45851, 4753, 57501
679, 6866, 47025, 3610, 57501
685, 6818, 47548, 3135, 57501
691, 6884, 47515, 3102, 57501
697, 6862, 47534, 3105, 57501
703, 6881, 47532, 3088, 57501
709, 6797, 47485, 3219, 57501
715, 6801, 47208, 3492, 57501
721, 6866, 47016, 3619, 57501
727, 6795, 46193, 4513, 57501
733, 6879, 46248, 4374, 57501
739, 6836, 46116, 4549, 57501
745, 6765, 45959, 4777, 57501
751, 6878, 44855, 5768, 57501
757, 6747, 45021, 5733, 57501
763, 6858, 43697, 6946, 57501
769, 6848, 44187, 6466, 57501
775, 6845, 44138, 6518, 57501
781, 6888, 44939, 5674, 57501
787, 6901, 45438, 5162, 57501
793, 6747, 46359, 4395, 57501
799, 6734, 46592, 4175, 57501
805, 6464, 47584, 3453, 57501
811, 6490, 47730, 3281, 57501
817, 6636, 48375, 2490, 57501
823, 6637, 48728, 2136, 57501
829, 6812, 48896, 1793, 57501
835, 6847, 49093, 1561, 57501
841, 6842, 49300, 1359, 57501
847, 6859, 49325, 1317, 57501
853, 6863, 49362, 1276, 57501
859, 6873, 49155, 1473, 57501
865, 6883, 49016, 1602, 57501
871, 6833, 49091, 1577, 57501
877, 6884, 48859, 1758, 57501
883, 6960, 48258, 2283, 57501
889, 6810, 48612, 2079, 57501
895, 6854, 48112, 2535, 57501
901, 6847, 48225, 2429, 57501
907, 6847, 47958, 2696, 57501
913, 6850, 48098, 2553, 57501
919, 6914, 47862, 2725, 57501
925, 6759, 48281, 2461, 57501
931, 6842, 48278, 2381, 57501
937, 6726, 48613, 2162, 57501
943, 6830, 48649, 2022, 57501
949, 6851, 48788, 1862, 57501
955, 6893, 48937, 1671, 57501
961, 6889, 49078, 1534, 57501
967, 6911, 49201, 1389, 57501
973, 6819, 49592, 1090, 57501
979, 6638, 49920, 943, 57501
985, 6784, 50065, 652, 57501
991, 6782, 50200, 519, 57501
997, 6389, 50637, 475, 57501
1003, 6203, 50867, 431, 57501
1009, 6348, 50764, 389, 57501
1015, 6485, 50647, 369, 57501
1021, 6660, 50473, 368, 57501
1027, 6826, 50295, 380, 57501
1033, 6899, 49919, 683, 57501
1039, 6897, 49564, 1040, 57501
1045, 6800, 49242, 1459, 57501
1051, 6793, 48973, 1735, 57501
1057, 6812, 48600, 2089, 57501
1063, 6812, 47716, 2973, 57501
1069, 6768, 47718, 3015, 57501
1075, 6716, 47208, 3577, 57501
1081, 6762, 47426, 3313, 57501
1087, 6742, 47761, 2998, 57501
