ts, default broker, CrocodileAgent, EWIIS3, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 7119, 0, 50395, 57514
367, 6898, 375, 50241, 57514
373, 6875, 399, 50240, 57514
379, 6904, 521, 50089, 57514
385, 6898, 674, 49942, 57514
391, 6814, 904, 49796, 57514
397, 6750, 1557, 49207, 57514
403, 6836, 2047, 48631, 57514
409, 6840, 3313, 47361, 57514
415, 6867, 6068, 44579, 57514
421, 6911, 15121, 35482, 57514
427, 6872, 19730, 30912, 57514
433, 6827, 27960, 22727, 57514
439, 6885, 32126, 18503, 57514
445, 6854, 36990, 13670, 57514
451, 6877, 38919, 11718, 57514
457, 6835, 40641, 10038, 57514
463, 6885, 41877, 8752, 57514
469, 6764, 42954, 7796, 57514
475, 6868, 43208, 7438, 57514
481, 6912, 43196, 7406, 57514
487, 6675, 43432, 7407, 57514
493, 6844, 43198, 7472, 57514
499, 6777, 43126, 7611, 57514
505, 6755, 43265, 7494, 57514
511, 6807, 42804, 7903, 57514
517, 6726, 42169, 8619, 57514
523, 6831, 41703, 8980, 57514
529, 6854, 42091, 8569, 57514
535, 6803, 42169, 8542, 57514
541, 6825, 42319, 8370, 57514
547, 6876, 42407, 8231, 57514
553, 6878, 42634, 8002, 57514
559, 6918, 42584, 8012, 57514
565, 6989, 42552, 7973, 57514
571, 6951, 42890, 7673, 57514
577, 6945, 43586, 6983, 57514
583, 6886, 44006, 6622, 57514
589, 6930, 44478, 6106, 57514
595, 6929, 45001, 5584, 57514
601, 6916, 45646, 4952, 57514
607, 6850, 46359, 4305, 57514
613, 6728, 47082, 3704, 57514
619, 6838, 47436, 3240, 57514
625, 6848, 47679, 2987, 57514
631, 6918, 47981, 2615, 57514
637, 6866, 48175, 2473, 57514
643, 6906, 48129, 2479, 57514
649, 6924, 48109, 2481, 57514
655, 6974, 48056, 2484, 57514
661, 7037, 47992, 2485, 57514
667, 6983, 47908, 2623, 57514
673, 6962, 47467, 3085, 57514
679, 7026, 47356, 3132, 57514
685, 7019, 47198, 3297, 57514
691, 7039, 46978, 3497, 57514
697, 6972, 47013, 3529, 57514
703, 6995, 47170, 3349, 57514
709, 6812, 47422, 3280, 57514
715, 6811, 47299, 3404, 57514
721, 6786, 47247, 3481, 57514
727, 6821, 47375, 3318, 57514
733, 6935, 47575, 3004, 57514
739, 6956, 47595, 2963, 57514
745, 6904, 47747, 2863, 57514
751, 6862, 47901, 2751, 57514
757, 6862, 48034, 2618, 57514
763, 6864, 48343, 2307, 57514
769, 6882, 48589, 2043, 57514
775, 6923, 48857, 1734, 57514
781, 6897, 48908, 1709, 57514
787, 6657, 49439, 1418, 57514
793, 6728, 49520, 1266, 57514
799, 6782, 49548, 1184, 57514
805, 6889, 49437, 1188, 57514
811, 6974, 49200, 1340, 57514
817, 6983, 49307, 1224, 57514
823, 6918, 49102, 1494, 57514
829, 6995, 49168, 1351, 57514
835, 6952, 48980, 1582, 57514
841, 6879, 48756, 1879, 57514
847, 6840, 48300, 2374, 57514
853, 6810, 48038, 2666, 57514
859, 6781, 48041, 2692, 57514
865, 6805, 48604, 2105, 57514
871, 6871, 48592, 2051, 57514
877, 6883, 48274, 2357, 57514
883, 6787, 48220, 2507, 57514
889, 6893, 48035, 2586, 57514
895, 6758, 48845, 1911, 57514
901, 6741, 49053, 1720, 57514
907, 6760, 49165, 1589, 57514
913, 6805, 49203, 1506, 57514
919, 6851, 49189, 1474, 57514
925, 6893, 49188, 1433, 57514
931, 6972, 49184, 1358, 57514
937, 7008, 49318, 1188, 57514
943, 7042, 49405, 1067, 57514
949, 6982, 49547, 985, 57514
955, 6972, 49680, 862, 57514
961, 6980, 49733, 801, 57514
967, 6798, 49997, 719, 57514
973, 6641, 50152, 721, 57514
979, 6640, 50168, 706, 57514
985, 6762, 50045, 707, 57514
991, 6793, 49714, 1007, 57514
997, 6914, 49589, 1011, 57514
1003, 6922, 49183, 1409, 57514
1009, 6895, 49136, 1483, 57514
1015, 6857, 48901, 1756, 57514
1021, 6877, 48720, 1917, 57514
1027, 6925, 48503, 2086, 57514
1033, 6983, 48587, 1944, 57514
1039, 6943, 48142, 2429, 57514
1045, 6599, 48842, 2073, 57514
1051, 6655, 48846, 2013, 57514
1057, 6709, 49261, 1544, 57514
1063, 6702, 49313, 1499, 57514
1069, 6803, 49314, 1397, 57514
1075, 6754, 49595, 1165, 57514
1081, 6711, 49815, 988, 57514
1087, 6777, 49807, 930, 57514
1093, 6885, 49800, 829, 57514
1099, 6894, 49847, 773, 57514
1105, 6889, 49856, 769, 57514
1111, 6953, 49875, 686, 57514
1117, 6953, 49876, 685, 57514
1123, 7012, 49859, 643, 57514
1129, 6981, 49990, 543, 57514
1135, 7021, 49950, 543, 57514
1141, 7039, 49931, 544, 57514
1147, 7048, 49914, 552, 57514
1153, 6912, 49949, 653, 57514
1159, 6958, 49964, 592, 57514
1165, 6899, 50018, 597, 57514
1171, 6875, 49002, 1637, 57514
1177, 6917, 48810, 1787, 57514
1183, 6910, 47158, 3446, 57514
1189, 6889, 47348, 3277, 57514
1195, 6923, 46505, 4086, 57514
1201, 6871, 47099, 3544, 57514
1207, 6915, 46762, 3837, 57514
1213, 6808, 46927, 3779, 57514
1219, 6628, 45323, 5563, 57514
1225, 6600, 45571, 5343, 57514
1231, 6707, 45614, 5193, 57514
1237, 6824, 47068, 3622, 57514
1243, 6856, 48174, 2484, 57514
1249, 6872, 49087, 1555, 57514
1255, 6852, 49575, 1087, 57514
1261, 6928, 49592, 994, 57514
1267, 6933, 49752, 829, 57514
1273, 6878, 49915, 721, 57514
1279, 6929, 49896, 689, 57514
1285, 6930, 49939, 645, 57514
1291, 6788, 50114, 612, 57514
1297, 6821, 50084, 609, 57514
1303, 6827, 50112, 575, 57514
1309, 6647, 50320, 547, 57514
1315, 6734, 50258, 522, 57514
1321, 6748, 50235, 531, 57514
1327, 6758, 50217, 539, 57514
1333, 6896, 49974, 644, 57514
1339, 6883, 48654, 1977, 57514
1345, 6857, 48286, 2371, 57514
1351, 6842, 47557, 3115, 57514
1357, 6886, 47515, 3113, 57514
1363, 6893, 45416, 5205, 57514
1369, 6892, 45791, 4831, 57514
1375, 6890, 45333, 5291, 57514
1381, 6630, 45280, 5604, 57514
1387, 6671, 45094, 5749, 57514
1393, 6755, 45114, 5645, 57514
1399, 6810, 45573, 5131, 57514
1405, 6886, 46607, 4021, 57514
1411, 6938, 47358, 3218, 57514
1417, 6960, 47707, 2847, 57514
1423, 7001, 48365, 2148, 57514
1429, 6981, 48831, 1702, 57514
1435, 6947, 49195, 1372, 57514
1441, 6930, 49444, 1140, 57514
1447, 6970, 49547, 997, 57514
1453, 6821, 49779, 914, 57514
1459, 6615, 50076, 823, 57514
1465, 6690, 50204, 620, 57514
1471, 6740, 50185, 589, 57514
1477, 6816, 50169, 529, 57514
1483, 6857, 50142, 515, 57514
1489, 6925, 50091, 498, 57514
1495, 6907, 50125, 482, 57514
1501, 6896, 49838, 780, 57514
1507, 6845, 48958, 1711, 57514
1513, 6851, 48624, 2039, 57514
1519, 6867, 47740, 2907, 57514
1525, 6916, 47529, 3069, 57514
1531, 6904, 47379, 3231, 57514
1537, 6850, 47228, 3436, 57514
1543, 6732, 47653, 3129, 57514
1549, 6780, 47820, 2914, 57514
1555, 6786, 47311, 3417, 57514
1561, 6752, 47373, 3389, 57514
1567, 6763, 47888, 2863, 57514
1573, 6878, 48367, 2269, 57514
1579, 6855, 48694, 1965, 57514
1585, 6799, 48883, 1832, 57514
1591, 6896, 48957, 1661, 57514
1597, 6870, 49269, 1375, 57514
1603, 6884, 49473, 1157, 57514
1609, 6815, 49770, 929, 57514
1615, 6880, 49830, 804, 57514
1621, 6860, 49993, 661, 57514
1627, 6876, 50019, 619, 57514
1633, 6862, 50070, 582, 57514
1639, 6907, 50104, 503, 57514
1645, 6821, 50231, 462, 57514
1651, 6832, 50233, 449, 57514
1657, 6907, 50167, 440, 57514
1663, 6862, 49790, 862, 57514
1669, 6860, 49051, 1603, 57514
1675, 6860, 46514, 4140, 57514
1681, 6861, 46517, 4136, 57514
1687, 6924, 45813, 4777, 57514
1693, 6968, 46366, 4180, 57514
1699, 6975, 46216, 4323, 57514
1705, 6957, 46192, 4365, 57514
1711, 6923, 46182, 4409, 57514
