ts, default broker, CrocodileAgent, AgentUDE, total
359, 57516, 0, 0, 57516
360, 57516, 0, 0, 57516
361, 7073, 8552, 41891, 57516
367, 7024, 8631, 41861, 57516
373, 7073, 8584, 41859, 57516
379, 7022, 8637, 41857, 57516
385, 6905, 8751, 41860, 57516
391, 6941, 8719, 41856, 57516
397, 6800, 8870, 41846, 57516
403, 6842, 11144, 39530, 57516
409, 6814, 12733, 37969, 57516
415, 6829, 15974, 34713, 57516
421, 6853, 19325, 31338, 57516
427, 6817, 28159, 22540, 57516
433, 6827, 34431, 16258, 57516
439, 6847, 37913, 12756, 57516
445, 6828, 43264, 7424, 57516
451, 6796, 44825, 5895, 57516
457, 6732, 45671, 5113, 57516
463, 6767, 46962, 3787, 57516
469, 6887, 46578, 4051, 57516
475, 6858, 45572, 5086, 57516
481, 6871, 42454, 8191, 57516
487, 6858, 39298, 11360, 57516
493, 6795, 35664, 15057, 57516
499, 6840, 32043, 18633, 57516
505, 6885, 27180, 23451, 57516
511, 6959, 22487, 28070, 57516
517, 6977, 17413, 33126, 57516
523, 6881, 13965, 36670, 57516
529, 6681, 11401, 39434, 57516
535, 6694, 9190, 41632, 57516
541, 6723, 6723, 44070, 57516
547, 6646, 5730, 45140, 57516
553, 6710, 4241, 46565, 57516
559, 6868, 3110, 47538, 57516
565, 6802, 2477, 48237, 57516
571, 6856, 2992, 47668, 57516
577, 6795, 3335, 47386, 57516
583, 6716, 3223, 47577, 57516
589, 6838, 3243, 47435, 57516
595, 6814, 3382, 47320, 57516
601, 6840, 4901, 45775, 57516
607, 6891, 5637, 44988, 57516
613, 6888, 46590, 4038, 57516
619, 6898, 49777, 841, 57516
625, 6777, 50136, 603, 57516
631, 6780, 50211, 525, 57516
637, 6818, 50200, 498, 57516
643, 6833, 50076, 607, 57516
649, 6834, 49732, 950, 57516
655, 6816, 49377, 1323, 57516
661, 6877, 48734, 1905, 57516
667, 6889, 48238, 2389, 57516
673, 6706, 47761, 3049, 57516
679, 6753, 47458, 3305, 57516
685, 6676, 35487, 15353, 57516
691, 6551, 25956, 25009, 57516
697, 6659, 21062, 29795, 57516
703, 6639, 16888, 33989, 57516
709, 6766, 13199, 37551, 57516
715, 6787, 10441, 40288, 57516
721, 6848, 7566, 43102, 57516
727, 6889, 5413, 45214, 57516
733, 6880, 4359, 46277, 57516
739, 6849, 7256, 43411, 57516
745, 6885, 7498, 43133, 57516
751, 6776, 7559, 43181, 57516
757, 6903, 7685, 42928, 57516
763, 6944, 7967, 42605, 57516
769, 6940, 8023, 42553, 57516
775, 6838, 8753, 41925, 57516
781, 6643, 46342, 4531, 57516
787, 6466, 49401, 1649, 57516
793, 6552, 49955, 1009, 57516
799, 6645, 50096, 775, 57516
805, 6578, 50001, 937, 57516
811, 6647, 48335, 2534, 57516
817, 6678, 47109, 3729, 57516
823, 6764, 46371, 4381, 57516
829, 6840, 45468, 5208, 57516
835, 6911, 44255, 6350, 57516
841, 6896, 43817, 6803, 57516
847, 6911, 42884, 7721, 57516
853, 6889, 37075, 13552, 57516
859, 6849, 29364, 21303, 57516
865, 6778, 22476, 28262, 57516
871, 6804, 16389, 34323, 57516
877, 6549, 12283, 38684, 57516
883, 6600, 10129, 40787, 57516
889, 6664, 7559, 43293, 57516
895, 6633, 5042, 45841, 57516
901, 6813, 4440, 46263, 57516
907, 6878, 5328, 45310, 57516
913, 6862, 4938, 45716, 57516
919, 6837, 4544, 46135, 57516
925, 6881, 4443, 46192, 57516
931, 6884, 4504, 46128, 57516
937, 6860, 4582, 46074, 57516
943, 6862, 4901, 45753, 57516
949, 6927, 46488, 4101, 57516
955, 6955, 49648, 913, 57516
961, 6923, 49941, 652, 57516
967, 6885, 50036, 595, 57516
973, 6765, 50130, 621, 57516
979, 6719, 49519, 1278, 57516
985, 6853, 48664, 1999, 57516
991, 6825, 48102, 2589, 57516
997, 6362, 47921, 3233, 57516
1003, 6434, 47357, 3725, 57516
1009, 6514, 46887, 4115, 57516
1015, 6663, 46354, 4499, 57516
1021, 6790, 35974, 14752, 57516
1027, 6866, 30801, 19849, 57516
1033, 6845, 2121, 48550, 57516
1039, 6848, 524, 50144, 57516
1045, 6894, 288, 50334, 57516
1051, 6794, 337, 50385, 57516
1057, 6763, 518, 50235, 57516
1063, 6766, 508, 50242, 57516
1069, 6885, 533, 50098, 57516
1075, 6937, 1377, 49202, 57516
1081, 6868, 1757, 48891, 57516
1087, 6930, 1963, 48623, 57516
1093, 6889, 2151, 48476, 57516
1099, 6844, 3241, 47431, 57516
