ts, default broker, VidyutVanika, Bunnie, total
359, 57511, 0, 0, 57511
360, 57511, 0, 0, 57511
361, 15, 7666, 49830, 57511
367, 10, 7666, 49835, 57511
373, 12, 7961, 49538, 57511
379, 13, 7961, 49537, 57511
385, 12, 7961, 49538, 57511
391, 8, 8063, 49440, 57511
397, 8, 8061, 49442, 57511
403, 10, 8208, 49293, 57511
409, 11, 8498, 49002, 57511
415, 13, 8643, 48855, 57511
421, 13, 10871, 46627, 57511
427, 11, 13616, 43884, 57511
433, 8, 16796, 40707, 57511
439, 11, 18515, 38985, 57511
445, 11, 21009, 36491, 57511
451, 11, 23598, 33902, 57511
457, 9, 24337, 33165, 57511
463, 9, 24843, 32659, 57511
469, 8, 24636, 32867, 57511
475, 10, 24519, 32982, 57511
481, 11, 24015, 33485, 57511
487, 12, 23882, 33617, 57511
493, 12, 23103, 34396, 57511
499, 14, 22377, 35120, 57511
505, 14, 21040, 36457, 57511
511, 12, 19563, 37936, 57511
517, 14, 17631, 39866, 57511
523, 14, 15904, 41593, 57511
529, 11, 15015, 42485, 57511
535, 11, 12405, 45095, 57511
541, 14, 10742, 46755, 57511
547, 15, 9940, 47556, 57511
553, 15, 9168, 48328, 57511
559, 12, 8694, 48805, 57511
565, 12, 8434, 49065, 57511
571, 11, 7974, 49526, 57511
577, 13, 8082, 49416, 57511
583, 13, 7954, 49544, 57511
589, 14, 9007, 48490, 57511
595, 15, 10338, 47158, 57511
601, 15, 13091, 44405, 57511
607, 14, 15674, 41823, 57511
613, 13, 18874, 38624, 57511
619, 15, 20955, 36541, 57511
625, 15, 21069, 36427, 57511
631, 17, 21399, 36095, 57511
637, 16, 21434, 36061, 57511
643, 14, 21229, 36268, 57511
649, 15, 21209, 36287, 57511
655, 13, 21029, 36469, 57511
661, 13, 20328, 37170, 57511
667, 12, 19746, 37753, 57511
673, 14, 18845, 38652, 57511
679, 12, 17546, 39953, 57511
685, 12, 15512, 41987, 57511
691, 14, 12764, 44733, 57511
697, 15, 10881, 46615, 57511
703, 15, 9329, 48167, 57511
709, 14, 8786, 48711, 57511
715, 12, 8259, 49240, 57511
721, 13, 7943, 49555, 57511
727, 13, 7783, 49715, 57511
733, 14, 7633, 49864, 57511
739, 12, 7653, 49846, 57511
745, 10, 7651, 49850, 57511
751, 9, 8057, 49445, 57511
757, 10, 10400, 47101, 57511
763, 12, 13676, 43823, 57511
769, 11, 16285, 41215, 57511
775, 11, 18792, 38708, 57511
781, 12, 22010, 35489, 57511
787, 13, 22702, 34796, 57511
793, 16, 24381, 33114, 57511
799, 16, 24960, 32535, 57511
805, 13, 24989, 32509, 57511
811, 13, 24906, 32592, 57511
817, 14, 24849, 32648, 57511
823, 11, 24647, 32853, 57511
829, 10, 23855, 33646, 57511
835, 13, 21734, 35764, 57511
841, 14, 20134, 37363, 57511
847, 12, 18725, 38774, 57511
853, 11, 17170, 40330, 57511
859, 11, 15124, 42376, 57511
865, 9, 25052, 32450, 57511
871, 8, 32969, 24534, 57511
877, 7, 40014, 17490, 57511
883, 7, 44239, 13265, 57511
889, 1857, 38257, 17397, 57511
895, 2369, 6262, 48880, 57511
901, 3366, 7961, 46184, 57511
907, 3257, 14772, 39482, 57511
913, 3806, 18837, 34868, 57511
919, 3930, 22184, 31397, 57511
925, 3789, 13247, 40475, 57511
931, 4391, 16646, 36474, 57511
937, 4289, 20786, 32436, 57511
943, 3954, 23108, 30449, 57511
949, 3784, 27908, 25819, 57511
955, 3753, 29920, 23838, 57511
961, 3560, 32960, 20991, 57511
967, 3552, 34561, 19398, 57511
973, 3445, 35304, 18762, 57511
979, 3390, 36393, 17728, 57511
985, 3448, 37245, 16818, 57511
991, 3492, 20388, 33631, 57511
997, 3643, 22092, 31776, 57511
1003, 3585, 26540, 27386, 57511
1009, 3553, 27998, 25960, 57511
1015, 3439, 27948, 26124, 57511
1021, 3510, 29880, 24121, 57511
1027, 3554, 31675, 22282, 57511
1033, 3644, 31333, 22534, 57511
1039, 3661, 30696, 23154, 57511
1045, 3782, 32179, 21550, 57511
1051, 3711, 32849, 20951, 57511
1057, 3691, 32300, 21520, 57511
1063, 3494, 33602, 20415, 57511
1069, 3379, 34710, 19422, 57511
1075, 3406, 34721, 19384, 57511
1081, 3342, 32941, 21228, 57511
1087, 3599, 5945, 47967, 57511
1093, 3658, 6698, 47155, 57511
1099, 3653, 14571, 39287, 57511
1105, 3751, 18362, 35398, 57511
1111, 3590, 23238, 30683, 57511
1117, 3551, 26193, 27767, 57511
1123, 3443, 29427, 24641, 57511
1129, 3520, 31103, 22888, 57511
1135, 3494, 33258, 20759, 57511
1141, 3469, 33479, 20563, 57511
1147, 3516, 35791, 18204, 57511
1153, 3672, 33862, 19977, 57511
1159, 3486, 16953, 37072, 57511
1165, 3601, 19228, 34682, 57511
1171, 3723, 22712, 31076, 57511
1177, 3430, 24880, 29201, 57511
1183, 3376, 27384, 26751, 57511
1189, 3262, 29174, 25075, 57511
1195, 3401, 29515, 24595, 57511
1201, 3447, 27908, 26156, 57511
1207, 3738, 27903, 25870, 57511
1213, 3531, 28416, 25564, 57511
1219, 3526, 30567, 23418, 57511
1225, 3482, 29283, 24746, 57511
1231, 3447, 29488, 24576, 57511
1237, 3430, 31731, 22350, 57511
1243, 3361, 32858, 21292, 57511
1249, 3339, 30251, 23921, 57511
1255, 3344, 5650, 48517, 57511
1261, 3499, 9573, 44439, 57511
1267, 3590, 13253, 40668, 57511
1273, 3645, 19425, 34441, 57511
1279, 3651, 21606, 32254, 57511
1285, 3577, 26235, 27699, 57511
1291, 3468, 31127, 22916, 57511
1297, 3553, 29789, 24169, 57511
1303, 3554, 31257, 22700, 57511
1309, 3596, 32029, 21886, 57511
1315, 3608, 33099, 20804, 57511
1321, 3624, 32648, 21239, 57511
1327, 3566, 15316, 38629, 57511
1333, 3647, 17856, 36008, 57511
1339, 3499, 23285, 30727, 57511
1345, 3492, 28816, 25203, 57511
1351, 3401, 12053, 42057, 57511
1357, 3511, 16097, 37903, 57511
1363, 3424, 19206, 34881, 57511
1369, 3410, 25888, 28213, 57511
1375, 3342, 28321, 25848, 57511
1381, 3360, 32034, 22117, 57511
1387, 3359, 34264, 19888, 57511
1393, 3303, 30643, 23565, 57511
1399, 3402, 29997, 24112, 57511
1405, 3331, 31601, 22579, 57511
1411, 3222, 32427, 21862, 57511
1417, 3221, 31149, 23141, 57511
1423, 3174, 4664, 49673, 57511
1429, 3135, 5065, 49311, 57511
1435, 3077, 12192, 42242, 57511
1441, 3249, 15108, 39154, 57511
1447, 3104, 17042, 37365, 57511
1453, 3164, 20450, 33897, 57511
1459, 3265, 23935, 30311, 57511
1465, 3351, 28023, 26137, 57511
1471, 3342, 29848, 24321, 57511
1477, 3301, 33039, 21171, 57511
1483, 3213, 34232, 20066, 57511
1489, 3432, 33612, 20467, 57511
1495, 3533, 12416, 41562, 57511
1501, 3404, 16196, 37911, 57511
1507, 3652, 20995, 32864, 57511
1513, 3563, 23384, 30564, 57511
1519, 3482, 25111, 28918, 57511
1525, 3326, 28616, 25569, 57511
1531, 3394, 31735, 22382, 57511
1537, 3421, 30830, 23260, 57511
1543, 3430, 30689, 23392, 57511
1549, 3462, 31367, 22682, 57511
1555, 3469, 33769, 20273, 57511
1561, 3484, 34743, 19284, 57511
1567, 3452, 33113, 20946, 57511
1573, 3520, 35082, 18909, 57511
1579, 3534, 35418, 18559, 57511
1585, 3694, 34215, 19602, 57511
1591, 3730, 5558, 48223, 57511
1597, 3717, 5948, 47846, 57511
1603, 3704, 12106, 41701, 57511
1609, 3431, 18953, 35127, 57511
1615, 3533, 22503, 31475, 57511
1621, 3239, 24734, 29538, 57511
1627, 3370, 29285, 24856, 57511
1633, 3407, 30024, 24080, 57511
1639, 3550, 30793, 23168, 57511
1645, 3577, 32632, 21302, 57511
1651, 3368, 31812, 22331, 57511
1657, 3283, 32727, 21501, 57511
1663, 3307, 15726, 38478, 57511
1669, 3188, 19386, 34937, 57511
1675, 3209, 22886, 31416, 57511
1681, 3353, 28185, 25973, 57511
1687, 3646, 28699, 25166, 57511
