ts, default broker, CrocodileAgent, SPOT, COLDPower18, Bunnie, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 6704, 208, 5, 0, 50586, 57503
367, 6672, 217, 29, 0, 50585, 57503
373, 6500, 297, 56, 0, 50650, 57503
379, 6575, 397, 86, 0, 50445, 57503
385, 6580, 419, 92, 0, 50412, 57503
391, 6610, 449, 96, 0, 50348, 57503
397, 6657, 385, 95, 0, 50366, 57503
403, 6660, 1218, 95, 0, 49530, 57503
409, 6560, 4725, 96, 0, 46122, 57503
415, 6571, 5777, 95, 0, 45060, 57503
421, 6341, 6639, 94, 0, 44429, 57503
427, 6314, 6894, 94, 0, 44201, 57503
433, 6500, 7678, 94, 0, 43231, 57503
439, 6535, 7893, 93, 0, 42982, 57503
445, 6738, 7757, 94, 0, 42914, 57503
451, 6742, 7731, 93, 0, 42937, 57503
457, 6611, 7731, 93, 0, 43068, 57503
463, 6625, 7737, 94, 0, 43047, 57503
469, 6713, 7484, 94, 0, 43212, 57503
475, 6665, 6907, 95, 0, 43836, 57503
481, 6747, 5609, 96, 0, 45051, 57503
487, 6766, 4713, 96, 0, 45928, 57503
493, 6331, 3437, 98, 0, 47637, 57503
499, 6293, 2763, 98, 0, 48349, 57503
505, 6354, 2060, 97, 0, 48992, 57503
511, 6393, 1516, 97, 0, 49497, 57503
517, 6703, 810, 98, 0, 49892, 57503
523, 6605, 599, 98, 0, 50201, 57503
529, 6606, 464, 97, 0, 50336, 57503
535, 6623, 366, 98, 0, 50416, 57503
541, 6450, 362, 98, 0, 50593, 57503
547, 6496, 403, 96, 0, 50508, 57503
553, 6387, 361, 97, 0, 50658, 57503
559, 6455, 424, 97, 0, 50527, 57503
565, 6453, 1106, 96, 0, 49848, 57503
571, 6367, 1783, 95, 0, 49258, 57503
577, 6507, 3300, 96, 0, 47600, 57503
583, 6544, 4870, 96, 0, 45993, 57503
589, 6706, 6528, 95, 0, 44174, 57503
595, 6762, 7089, 95, 0, 43557, 57503
601, 6769, 8139, 96, 0, 42499, 57503
607, 6704, 8318, 96, 0, 42385, 57503
613, 6632, 8343, 96, 0, 42432, 57503
619, 6637, 8325, 97, 0, 42444, 57503
625, 6650, 8246, 98, 0, 42509, 57503
631, 6747, 8128, 97, 0, 42531, 57503
637, 6782, 7847, 98, 0, 42776, 57503
643, 6786, 7647, 97, 0, 42973, 57503
649, 6766, 6875, 96, 0, 43766, 57503
655, 6712, 5437, 95, 0, 45259, 57503
661, 6514, 4305, 95, 0, 46589, 57503
667, 6547, 3707, 95, 0, 47154, 57503
673, 6500, 2903, 95, 0, 48005, 57503
679, 6593, 2013, 95, 0, 48802, 57503
685, 6665, 1182, 95, 0, 49561, 57503
691, 6597, 1031, 95, 0, 49780, 57503
697, 6657, 815, 96, 0, 49935, 57503
703, 6708, 712, 96, 0, 49987, 57503
709, 6628, 710, 97, 0, 50068, 57503
715, 6689, 467, 96, 0, 50251, 57503
721, 6667, 393, 96, 0, 50347, 57503
727, 6713, 323, 94, 0, 50373, 57503
733, 6591, 375, 94, 0, 50443, 57503
739, 6679, 563, 93, 0, 50168, 57503
