ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, Bunnie, total
359, 57527, 0, 0, 0, 0, 57527
360, 57527, 0, 0, 0, 0, 57527
361, 6864, 0, 0, 866, 49797, 57527
367, 6788, 83, 0, 282, 50374, 57527
373, 6913, 52, 0, 320, 50242, 57527
379, 6898, 41, 0, 252, 50336, 57527
385, 6824, 89, 0, 170, 50444, 57527
391, 6846, 82, 0, 326, 50273, 57527
397, 6513, 280, 0, 291, 50443, 57527
403, 6522, 309, 0, 314, 50382, 57527
409, 6587, 278, 0, 408, 50254, 57527
415, 6620, 245, 0, 367, 50295, 57527
421, 6766, 174, 0, 351, 50236, 57527
427, 6777, 184, 0, 317, 50249, 57527
433, 6689, 337, 0, 289, 50212, 57527
439, 6552, 396, 0, 418, 50161, 57527
445, 6627, 645, 0, 402, 49853, 57527
451, 6541, 1342, 0, 764, 48880, 57527
457, 6568, 3264, 0, 748, 46947, 57527
463, 6614, 4707, 0, 530, 45676, 57527
469, 6369, 7039, 0, 475, 43644, 57527
475, 6238, 8473, 0, 389, 42427, 57527
481, 6339, 10540, 0, 295, 40353, 57527
487, 6436, 10698, 0, 203, 40190, 57527
493, 6642, 10577, 0, 183, 40125, 57527
499, 6711, 10577, 0, 134, 40105, 57527
505, 6622, 10630, 0, 122, 40153, 57527
511, 6562, 10708, 0, 121, 40136, 57527
517, 6655, 10503, 0, 101, 40268, 57527
523, 6721, 10134, 0, 101, 40571, 57527
529, 6621, 9867, 0, 101, 40938, 57527
535, 6694, 8523, 0, 89, 42221, 57527
541, 6720, 7703, 0, 88, 43016, 57527
547, 6633, 6679, 0, 90, 44125, 57527
553, 6715, 5456, 0, 91, 45265, 57527
559, 6699, 3841, 0, 89, 46898, 57527
565, 6724, 3196, 0, 89, 47518, 57527
571, 6743, 2607, 0, 90, 48087, 57527
577, 6742, 2123, 0, 92, 48570, 57527
583, 6810, 1610, 0, 91, 49016, 57527
589, 6892, 1050, 0, 88, 49497, 57527
595, 6913, 659, 0, 89, 49866, 57527
601, 6803, 529, 0, 88, 50107, 57527
607, 6789, 278, 0, 79, 50381, 57527
613, 6814, 264, 0, 79, 50370, 57527
619, 6774, 698, 0, 78, 49977, 57527
625, 6727, 3156, 0, 75, 47569, 57527
631, 6705, 4518, 0, 72, 46232, 57527
637, 6778, 5463, 0, 70, 45216, 57527
643, 6655, 6698, 0, 68, 44106, 57527
649, 6595, 6946, 0, 67, 43919, 57527
655, 6611, 6951, 0, 66, 43899, 57527
661, 5545, 7526, 0, 66, 44390, 57527
667, 5501, 7566, 0, 65, 44395, 57527
673, 5867, 7315, 0, 65, 44280, 57527
679, 6234, 7047, 0, 64, 44182, 57527
685, 6340, 6933, 0, 65, 44189, 57527
691, 6505, 6683, 0, 64, 44275, 57527
697, 6503, 5564, 0, 65, 45395, 57527
703, 6537, 4264, 0, 63, 46663, 57527
709, 6664, 3174, 0, 64, 47625, 57527
715, 6747, 2176, 0, 64, 48540, 57527
721, 6775, 1569, 0, 63, 49120, 57527
727, 6777, 1445, 0, 62, 49243, 57527
733, 6828, 1090, 0, 61, 49548, 57527
739, 6823, 871, 0, 52, 49781, 57527
745, 6814, 585, 0, 51, 50077, 57527
751, 6694, 441, 0, 52, 50340, 57527
757, 6678, 430, 0, 53, 50366, 57527
763, 6756, 316, 0, 51, 50404, 57527
769, 6739, 327, 0, 49, 50412, 57527
775, 6722, 256, 0, 49, 50500, 57527
781, 6781, 1069, 0, 48, 49629, 57527
787, 6757, 1961, 0, 48, 48761, 57527
793, 6725, 3335, 0, 49, 47418, 57527
799, 6669, 4543, 0, 48, 46267, 57527
805, 6590, 5409, 0, 49, 45479, 57527
811, 6629, 7906, 0, 49, 42943, 57527
817, 6630, 8474, 0, 48, 42375, 57527
823, 6679, 8877, 0, 49, 41922, 57527
829, 6116, 9170, 0, 49, 42192, 57527
835, 6166, 9151, 0, 49, 42161, 57527
841, 6311, 9010, 0, 49, 42157, 57527
847, 6302, 8971, 0, 50, 42204, 57527
853, 6376, 8185, 0, 50, 42916, 57527
859, 6496, 6966, 0, 49, 44016, 57527
865, 6559, 6019, 0, 49, 44900, 57527
871, 6803, 4989, 0, 44, 45691, 57527
877, 6877, 4577, 0, 47, 46026, 57527
883, 6837, 2842, 0, 49, 47799, 57527
889, 6872, 2363, 0, 50, 48242, 57527
895, 6774, 1690, 0, 51, 49012, 57527
901, 6650, 1545, 0, 51, 49281, 57527
907, 6554, 1274, 0, 50, 49649, 57527
913, 6479, 1004, 0, 49, 49995, 57527
919, 6531, 770, 0, 49, 50177, 57527
925, 6626, 560, 0, 48, 50293, 57527
931, 6742, 399, 0, 48, 50338, 57527
937, 6679, 401, 0, 48, 50399, 57527
943, 6643, 333, 0, 47, 50504, 57527
949, 6596, 1356, 0, 46, 49529, 57527
955, 6667, 1941, 0, 46, 48873, 57527
961, 6636, 5234, 0, 47, 45610, 57527
967, 6542, 5902, 0, 45, 45038, 57527
973, 6691, 8721, 0, 44, 42071, 57527
979, 6643, 9442, 0, 43, 41399, 57527
985, 6610, 10520, 0, 43, 40354, 57527
991, 6691, 10916, 0, 44, 39876, 57527
997, 6658, 10920, 0, 46, 39903, 57527
1003, 6676, 10877, 0, 44, 39930, 57527
1009, 6606, 10948, 0, 43, 39930, 57527
1015, 6568, 10967, 0, 43, 39949, 57527
1021, 6741, 10414, 0, 43, 40329, 57527
1027, 6693, 9842, 0, 43, 40949, 57527
1033, 6760, 8269, 0, 43, 42455, 57527
1039, 6657, 7457, 0, 44, 43369, 57527
1045, 6506, 5564, 0, 42, 45415, 57527
1051, 6271, 4844, 0, 42, 46370, 57527
1057, 6399, 4054, 0, 41, 47033, 57527
1063, 6480, 2446, 0, 42, 48559, 57527
1069, 6596, 1750, 0, 45, 49136, 57527
1075, 6678, 1189, 0, 45, 49615, 57527
1081, 6666, 884, 0, 45, 49932, 57527
1087, 6647, 687, 0, 45, 50148, 57527
1093, 6707, 553, 0, 45, 50222, 57527
1099, 6668, 546, 0, 44, 50269, 57527
1105, 6669, 644, 0, 42, 50172, 57527
1111, 6750, 521, 0, 45, 50211, 57527
1117, 6654, 1276, 0, 45, 49552, 57527
1123, 6658, 1694, 0, 45, 49130, 57527
1129, 6533, 2711, 0, 45, 48238, 57527
1135, 6527, 3832, 0, 36, 47132, 57527
1141, 6543, 6157, 0, 35, 44792, 57527
1147, 6531, 7475, 0, 35, 43486, 57527
1153, 6642, 9187, 0, 33, 41665, 57527
1159, 6603, 9692, 0, 33, 41199, 57527
1165, 6735, 9627, 0, 31, 41134, 57527
1171, 6721, 9585, 0, 32, 41189, 57527
1177, 6740, 9506, 0, 32, 41249, 57527
1183, 6661, 9391, 0, 33, 41442, 57527
1189, 6397, 9390, 0, 34, 41706, 57527
1195, 6430, 8822, 0, 35, 42240, 57527
1201, 6640, 8262, 0, 33, 42592, 57527
1207, 6664, 7361, 0, 33, 43469, 57527
1213, 6630, 6371, 0, 33, 44493, 57527
1219, 6645, 5642, 0, 34, 45206, 57527
1225, 6643, 4434, 0, 35, 46415, 57527
1231, 6648, 3407, 0, 35, 47437, 57527
1237, 6251, 3292, 0, 35, 47949, 57527
1243, 6255, 2408, 0, 36, 48828, 57527
1249, 6431, 2013, 0, 35, 49048, 57527
1255, 6609, 1397, 0, 35, 49486, 57527
1261, 6819, 1066, 0, 33, 49609, 57527
1267, 6841, 529, 0, 34, 50123, 57527
1273, 6613, 615, 0, 33, 50266, 57527
1279, 6625, 412, 0, 34, 50456, 57527
1285, 6655, 903, 0, 34, 49935, 57527
1291, 6763, 972, 0, 34, 49758, 57527
1297, 6790, 4012, 0, 33, 46692, 57527
1303, 6701, 5206, 0, 33, 45587, 57527
1309, 6708, 6627, 0, 32, 44160, 57527
1315, 6555, 7565, 0, 35, 43372, 57527
1321, 6718, 10250, 0, 33, 40526, 57527
1327, 6786, 10774, 0, 34, 39933, 57527
1333, 6663, 10641, 0, 32, 40191, 57527
1339, 6731, 10565, 0, 31, 40200, 57527
1345, 6744, 10552, 0, 30, 40201, 57527
1351, 6694, 10393, 0, 30, 40410, 57527
1357, 6742, 10359, 0, 21, 40405, 57527
1363, 6717, 9663, 0, 25, 41122, 57527
1369, 6604, 8349, 0, 24, 42550, 57527
1375, 6684, 7466, 0, 22, 43355, 57527
1381, 6689, 6780, 0, 22, 44036, 57527
1387, 6722, 5531, 0, 23, 45251, 57527
1393, 6649, 4175, 0, 25, 46678, 57527
1399, 6669, 2359, 0, 25, 48474, 57527
1405, 6599, 1910, 0, 25, 48993, 57527
1411, 6589, 1593, 0, 24, 49321, 57527
1417, 6524, 1336, 0, 23, 49644, 57527
1423, 6562, 1111, 0, 23, 49831, 57527
1429, 6638, 869, 0, 24, 49996, 57527
1435, 6634, 711, 0, 22, 50160, 57527
1441, 6619, 691, 0, 23, 50194, 57527
1447, 6620, 557, 0, 20, 50330, 57527
1453, 6679, 841, 0, 21, 49986, 57527
1459, 6665, 1032, 0, 21, 49809, 57527
1465, 6678, 1978, 0, 22, 48849, 57527
1471, 6707, 3112, 0, 23, 47685, 57527
1477, 6730, 4670, 0, 22, 46105, 57527
1483, 6604, 5939, 0, 22, 44962, 57527
1489, 6567, 7175, 0, 21, 43764, 57527
1495, 6652, 7208, 0, 22, 43645, 57527
1501, 6679, 7273, 0, 21, 43554, 57527
1507, 6725, 7248, 0, 21, 43533, 57527
1513, 6762, 7117, 0, 21, 43627, 57527
1519, 6731, 7072, 0, 21, 43703, 57527
1525, 6489, 6804, 0, 22, 44212, 57527
1531, 6389, 6828, 0, 19, 44291, 57527
1537, 6517, 6265, 0, 20, 44725, 57527
1543, 6552, 4830, 0, 20, 46125, 57527
1549, 6235, 4081, 0, 19, 47192, 57527
1555, 6366, 3120, 0, 10, 48031, 57527
1561, 6424, 2681, 0, 9, 48413, 57527
1567, 6630, 2083, 0, 10, 48804, 57527
1573, 6804, 1474, 0, 10, 49239, 57527
1579, 6926, 1102, 0, 10, 49489, 57527
1585, 6919, 613, 0, 13, 49982, 57527
1591, 6891, 399, 0, 10, 50227, 57527
1597, 6356, 528, 0, 11, 50632, 57527
1603, 6421, 425, 0, 13, 50668, 57527
1609, 6485, 402, 0, 13, 50627, 57527
1615, 6541, 390, 0, 11, 50585, 57527
1621, 6596, 1943, 0, 13, 48975, 57527
1627, 6616, 2465, 0, 13, 48433, 57527
1633, 6601, 3520, 0, 14, 47392, 57527
1639, 6641, 5067, 0, 14, 45805, 57527
1645, 6505, 6714, 0, 16, 44292, 57527
1651, 6626, 8361, 0, 15, 42525, 57527
1657, 6709, 9288, 0, 14, 41516, 57527
1663, 6702, 9463, 0, 15, 41347, 57527
1669, 6888, 9365, 0, 14, 41260, 57527
1675, 6843, 9397, 0, 14, 41273, 57527
1681, 6818, 9358, 0, 13, 41338, 57527
1687, 6628, 9274, 0, 14, 41611, 57527
1693, 6632, 7884, 0, 15, 42996, 57527
1699, 6731, 6313, 0, 15, 44468, 57527
1705, 6665, 5150, 0, 15, 45697, 57527
1711, 6691, 4435, 0, 15, 46386, 57527
1717, 6651, 3855, 0, 13, 47008, 57527
1723, 6725, 3347, 0, 15, 47440, 57527
1729, 6737, 2954, 0, 15, 47821, 57527
1735, 6770, 2549, 0, 15, 48193, 57527
1741, 6767, 1759, 0, 13, 48988, 57527
1747, 6730, 1148, 0, 12, 49637, 57527
1753, 6761, 889, 0, 12, 49865, 57527
1759, 6734, 576, 0, 11, 50206, 57527
1765, 6682, 611, 0, 11, 50223, 57527
1771, 6630, 404, 0, 11, 50482, 57527
1777, 6584, 431, 0, 14, 50498, 57527
1783, 6691, 334, 0, 15, 50487, 57527
1789, 6762, 271, 0, 15, 50479, 57527
1795, 6747, 650, 0, 16, 50114, 57527
1801, 6802, 1615, 0, 16, 49094, 57527
