ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57518, 0, 0, 0, 0, 0, 0, 0, 57518
360, 57518, 0, 0, 0, 0, 0, 0, 0, 57518
361, 3, 7, 5, 0, 7243, 217, 32908, 17135, 57518
367, 4, 4, 5, 0, 7244, 66, 32999, 17196, 57518
373, 3, 4, 3, 0, 7305, 75, 37523, 12605, 57518
379, 1, 4, 3, 0, 7393, 99, 39338, 10680, 57518
385, 1, 5, 3, 0, 7393, 46, 41258, 8812, 57518
391, 1, 4, 6, 0, 7391, 42, 42492, 7582, 57518
397, 1, 5, 6, 0, 7422, 43, 43407, 6634, 57518
403, 1, 5, 6, 0, 7501, 361, 2436, 47208, 57518
409, 0, 3, 5, 0, 7502, 322, 2336, 47350, 57518
415, 2, 1, 5, 0, 7640, 444, 1996, 47430, 57518
421, 2, 1, 4, 0, 9137, 403, 2003, 45968, 57518
427, 1, 667, 4, 0, 11288, 439, 1974, 43145, 57518
433, 1, 1661, 3, 0, 13079, 345, 1991, 40438, 57518
439, 1, 2599, 14, 0, 15197, 214, 1661, 37832, 57518
445, 2, 3004, 4, 0, 17493, 223, 353, 36439, 57518
451, 3, 3611, 4, 0, 18242, 192, 503, 34963, 57518
457, 3, 4059, 4, 0, 19661, 278, 1043, 32470, 57518
463, 3, 4244, 4, 0, 20531, 254, 1212, 31270, 57518
469, 3, 4327, 4, 0, 20553, 214, 1485, 30932, 57518
475, 3, 4326, 7, 0, 20423, 162, 1855, 30742, 57518
481, 1, 4326, 5, 0, 20361, 153, 2028, 30644, 57518
487, 1, 4327, 1, 0, 20274, 115, 358, 32442, 57518
493, 1, 4328, 1, 0, 19832, 112, 549, 32695, 57518
499, 1, 4019, 1, 0, 19301, 110, 799, 33287, 57518
505, 1, 3797, 2, 0, 17846, 108, 1371, 34393, 57518
511, 4, 3064, 1, 0, 15971, 106, 1653, 36719, 57518
517, 3, 2606, 0, 0, 14532, 71, 2020, 38286, 57518
523, 2, 2397, 4, 0, 13901, 69, 2098, 39047, 57518
529, 0, 2278, 2, 0, 13462, 72, 1879, 39825, 57518
535, 1, 1836, 1, 0, 12064, 71, 3964, 39581, 57518
541, 0, 1266, 3, 0, 10597, 68, 7965, 37619, 57518
547, 0, 807, 3, 0, 9038, 72, 11273, 36325, 57518
553, 1, 644, 2, 0, 8478, 72, 12422, 35899, 57518
559, 3, 344, 1, 0, 7919, 73, 13967, 35211, 57518
565, 2, 264, 1, 0, 7739, 73, 15328, 34111, 57518
571, 3, 263, 2, 0, 7699, 73, 7648, 41830, 57518
577, 1, 234, 3, 0, 7619, 72, 8879, 40710, 57518
583, 0, 204, 3, 0, 7824, 69, 8697, 40721, 57518
589, 2, 111, 2, 0, 9328, 70, 9291, 38714, 57518
595, 1, 492, 2, 0, 10917, 62, 9412, 36632, 57518
601, 1, 856, 1, 0, 11987, 57, 8814, 35802, 57518
607, 2, 2224, 1, 0, 14296, 50, 7842, 33103, 57518
613, 0, 3311, 0, 0, 18396, 52, 402, 35357, 57518
619, 1, 4249, 0, 0, 20101, 25, 406, 32736, 57518
625, 1, 4865, 1, 0, 21384, 25, 409, 30833, 57518
631, 1, 4914, 0, 0, 21729, 23, 412, 30439, 57518
637, 3, 4880, 1, 0, 21576, 21, 535, 30502, 57518
643, 2, 4876, 2, 0, 21512, 24, 617, 30485, 57518
649, 1, 4880, 1, 0, 21569, 22, 775, 30270, 57518
655, 2, 4849, 1, 0, 21407, 24, 1464, 29771, 57518
661, 1, 4847, 0, 0, 20957, 22, 2434, 29257, 57518
667, 2, 4655, 74, 0, 19991, 21, 2974, 29801, 57518
673, 2, 4512, 75, 0, 19431, 23, 3267, 30208, 57518
679, 3, 4203, 75, 0, 18661, 23, 3979, 30574, 57518
685, 3, 3563, 75, 0, 16420, 24, 5990, 31443, 57518
691, 3, 3064, 75, 0, 14599, 23, 6234, 33520, 57518
697, 2, 1894, 0, 0, 12127, 25, 1133, 42337, 57518
703, 2, 1593, 0, 0, 11366, 25, 1497, 43035, 57518
709, 2, 1353, 0, 0, 10666, 26, 1765, 43706, 57518
715, 1, 1143, 0, 0, 10225, 27, 2125, 43997, 57518
721, 1, 633, 0, 0, 9485, 26, 2866, 44507, 57518
727, 2, 493, 1, 0, 8915, 24, 3876, 44207, 57518
733, 3, 292, 2, 0, 8461, 22, 4890, 43848, 57518
739, 1, 255, 2, 0, 8208, 18, 655, 48379, 57518
745, 1, 224, 0, 0, 7849, 21, 1059, 48364, 57518
751, 1, 44, 1, 0, 7602, 21, 1449, 48400, 57518
757, 2, 147, 3, 0, 13785, 18, 2283, 41280, 57518
763, 0, 1076, 1, 0, 20065, 19, 2592, 33765, 57518
769, 1, 4001, 1, 0, 26643, 21, 2795, 24056, 57518
775, 0, 5002, 1, 0, 29808, 27, 2839, 19841, 57518
781, 0, 5881, 1, 0, 31645, 29, 534, 19428, 57518
787, 1, 6402, 1, 0, 32091, 26, 800, 18197, 57518
793, 1, 6642, 1, 0, 32805, 25, 892, 17152, 57518
799, 1, 6842, 2, 0, 33190, 26, 1008, 16449, 57518
805, 1, 6885, 0, 0, 33274, 21, 1074, 16263, 57518
811, 2, 6885, 1, 0, 33209, 20, 1065, 16336, 57518
817, 3, 6882, 0, 0, 33137, 20, 1167, 16309, 57518
823, 1, 6882, 0, 0, 33003, 19, 557, 17056, 57518
829, 1, 6879, 0, 0, 31780, 25, 1432, 17401, 57518
835, 1, 6671, 0, 0, 29755, 23, 2119, 18949, 57518
841, 0, 5318, 0, 0, 24569, 21, 4414, 23196, 57518
847, 2, 4777, 0, 0, 21298, 20, 5242, 26179, 57518
853, 1, 3954, 0, 0, 18604, 22, 7101, 27836, 57518
859, 0, 2835, 2, 0, 16172, 20, 8378, 30111, 57518
865, 0, 2063, 2, 0, 32350, 20, 384, 22699, 57518
871, 0, 1675, 1, 0, 37256, 21, 303, 18262, 57518
877, 2, 1522, 2, 0, 40909, 18, 303, 14762, 57518
883, 1, 1249, 0, 0, 44579, 22, 243, 11424, 57518
889, 1, 921, 0, 0, 46352, 10, 454, 9780, 57518
895, 1, 491, 1, 0, 49011, 7, 326, 7681, 57518
901, 1, 350, 0, 0, 51869, 11, 241, 5046, 57518
907, 1, 330, 1, 0, 52919, 9, 164, 4094, 57518
913, 2, 221, 3, 0, 53815, 8, 461, 3008, 57518
919, 1, 180, 2, 0, 8534, 10, 18461, 30330, 57518
925, 3, 126, 1, 0, 12708, 8, 14365, 30307, 57518
931, 1, 157, 3, 0, 22895, 9, 11432, 23021, 57518
937, 3, 246, 2, 0, 29714, 9, 8596, 18948, 57518
943, 2, 289, 3, 0, 35617, 11, 6922, 14674, 57518
949, 2, 540, 3, 0, 43387, 12, 2261, 11313, 57518
955, 1, 593, 4, 0, 45456, 11, 2104, 9349, 57518
961, 0, 846, 0, 0, 45224, 14, 3206, 8228, 57518
967, 1, 815, 0, 0, 46087, 13, 3302, 7300, 57518
973, 1, 815, 1, 0, 47313, 14, 3725, 5649, 57518
