ts, default broker, SPOT, EWIIS3, AgentUDE, Bunnie, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 6794, 94, 51, 26675, 23892, 57506
367, 6836, 96, 64, 26657, 23853, 57506
373, 6847, 94, 54, 30861, 19650, 57506
379, 6862, 94, 60, 33048, 17442, 57506
385, 6880, 94, 65, 34835, 15632, 57506
391, 6866, 94, 64, 36285, 14197, 57506
397, 6874, 95, 103, 37834, 12600, 57506
403, 6864, 94, 310, 429, 49809, 57506
409, 6894, 94, 242, 329, 49947, 57506
415, 6867, 95, 324, 456, 49764, 57506
421, 6878, 96, 324, 456, 49752, 57506
427, 6872, 96, 437, 418, 49683, 57506
433, 6871, 94, 326, 563, 49652, 57506
439, 6940, 94, 294, 562, 49616, 57506
445, 6953, 94, 208, 1, 50250, 57506
451, 6951, 95, 210, 0, 50250, 57506
457, 6931, 93, 257, 2, 50223, 57506
463, 6924, 93, 227, 3, 50259, 57506
469, 6897, 93, 182, 2, 50332, 57506
475, 6918, 93, 176, 4, 50315, 57506
481, 6857, 92, 164, 6, 50387, 57506
487, 6916, 90, 142, 5, 50353, 57506
493, 6937, 90, 111, 5, 50363, 57506
499, 6953, 90, 87, 4, 50372, 57506
505, 6952, 90, 86, 4, 50374, 57506
511, 6953, 90, 82, 4, 50377, 57506
517, 6695, 90, 81, 155, 50485, 57506
523, 6703, 90, 60, 156, 50497, 57506
529, 6754, 90, 50, 6, 50606, 57506
535, 6773, 90, 48, 6, 50589, 57506
541, 6822, 90, 46, 7, 50541, 57506
547, 6879, 91, 41, 5, 50490, 57506
553, 6914, 91, 38, 7, 50456, 57506
559, 6888, 91, 36, 8, 50483, 57506
565, 6909, 91, 36, 6, 50464, 57506
571, 6876, 93, 35, 5, 50497, 57506
577, 6870, 94, 34, 155, 50353, 57506
583, 6891, 92, 35, 155, 50333, 57506
589, 6839, 92, 34, 245, 50296, 57506
595, 6702, 91, 36, 187, 50490, 57506
601, 6723, 93, 38, 186, 50466, 57506
607, 6739, 93, 38, 99, 50537, 57506
613, 6785, 93, 39, 11, 50578, 57506
619, 6769, 92, 36, 20, 50589, 57506
625, 6758, 92, 36, 324, 50296, 57506
631, 6822, 92, 35, 205, 50352, 57506
637, 6759, 91, 35, 294, 50327, 57506
643, 6788, 91, 35, 236, 50356, 57506
649, 6873, 91, 35, 143, 50364, 57506
655, 6867, 91, 35, 124, 50389, 57506
661, 6904, 91, 35, 276, 50200, 57506
667, 6938, 90, 37, 275, 50166, 57506
673, 6918, 91, 36, 276, 50185, 57506
679, 6920, 91, 36, 276, 50183, 57506
685, 6934, 91, 35, 278, 50168, 57506
691, 6960, 91, 34, 578, 49843, 57506
697, 6927, 91, 37, 17, 50434, 57506
703, 6838, 90, 38, 17, 50523, 57506
709, 6797, 91, 39, 319, 50260, 57506
715, 6839, 91, 39, 320, 50217, 57506
721, 6816, 91, 37, 260, 50302, 57506
727, 6853, 90, 37, 170, 50356, 57506
733, 6783, 91, 39, 171, 50422, 57506
739, 6765, 91, 37, 171, 50442, 57506
745, 6841, 92, 37, 174, 50362, 57506
