ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 6930, 0, 0, 327, 50258, 57515
367, 6802, 139, 0, 211, 50363, 57515
373, 6857, 175, 0, 204, 50279, 57515
379, 6856, 153, 0, 207, 50299, 57515
385, 6755, 175, 0, 204, 50381, 57515
391, 6676, 202, 0, 340, 50297, 57515
397, 6697, 161, 0, 255, 50402, 57515
403, 6763, 143, 0, 225, 50384, 57515
409, 6857, 101, 0, 205, 50352, 57515
415, 6758, 140, 0, 174, 50443, 57515
421, 6653, 216, 0, 170, 50476, 57515
427, 6590, 283, 0, 159, 50483, 57515
433, 6636, 238, 0, 170, 50471, 57515
439, 6671, 205, 0, 137, 50502, 57515
445, 6739, 764, 0, 128, 49884, 57515
451, 6773, 1492, 0, 129, 49121, 57515
457, 6877, 2956, 0, 121, 47561, 57515
463, 6818, 4242, 0, 100, 46355, 57515
469, 6893, 6238, 0, 93, 44291, 57515
475, 6891, 8263, 0, 87, 42274, 57515
481, 6844, 9263, 0, 83, 41325, 57515
487, 6806, 9496, 0, 83, 41130, 57515
493, 6867, 9558, 0, 80, 41010, 57515
499, 6685, 9691, 0, 79, 41060, 57515
505, 6685, 9642, 0, 80, 41108, 57515
511, 6720, 9646, 0, 78, 41071, 57515
517, 6628, 9539, 0, 77, 41271, 57515
523, 6451, 9245, 0, 77, 41742, 57515
529, 6439, 8255, 0, 76, 42745, 57515
535, 6554, 7239, 0, 67, 43655, 57515
541, 6564, 6425, 0, 66, 44460, 57515
547, 6503, 5899, 0, 63, 45050, 57515
553, 6496, 4341, 0, 63, 46615, 57515
559, 6586, 2728, 0, 65, 48136, 57515
565, 6557, 1847, 0, 66, 49045, 57515
571, 6655, 1503, 0, 65, 49292, 57515
577, 6562, 1221, 0, 65, 49667, 57515
583, 6575, 934, 0, 67, 49939, 57515
589, 6521, 760, 0, 67, 50167, 57515
595, 6685, 640, 0, 66, 50124, 57515
601, 6697, 588, 0, 66, 50164, 57515
607, 6664, 568, 0, 63, 50220, 57515
613, 6779, 636, 0, 63, 50037, 57515
619, 6822, 1117, 0, 64, 49512, 57515
625, 6837, 2050, 0, 64, 48564, 57515
631, 6734, 3390, 0, 58, 47333, 57515
637, 6729, 4355, 0, 54, 46377, 57515
643, 6709, 5786, 0, 55, 44965, 57515
649, 6657, 7178, 0, 54, 43626, 57515
655, 6598, 7171, 0, 54, 43692, 57515
661, 6422, 7139, 0, 52, 43902, 57515
667, 6465, 7114, 0, 51, 43885, 57515
673, 6609, 7052, 0, 51, 43803, 57515
679, 6564, 7007, 0, 51, 43893, 57515
685, 6634, 6958, 0, 51, 43872, 57515
691, 6794, 6689, 0, 50, 43982, 57515
697, 6813, 6470, 0, 49, 44183, 57515
703, 6808, 5667, 0, 49, 44991, 57515
709, 6769, 4625, 0, 50, 46071, 57515
715, 6698, 3640, 0, 49, 47128, 57515
721, 6694, 2664, 0, 48, 48109, 57515
727, 6654, 1961, 0, 50, 48850, 57515
733, 6683, 1200, 0, 52, 49580, 57515
739, 6704, 961, 0, 51, 49799, 57515
745, 6788, 715, 0, 51, 49961, 57515
751, 6771, 597, 0, 52, 50095, 57515
757, 6574, 541, 0, 52, 50348, 57515
763, 6518, 526, 0, 52, 50419, 57515
769, 6548, 427, 0, 52, 50488, 57515
775, 6645, 294, 0, 52, 50524, 57515
781, 6741, 341, 0, 52, 50381, 57515
787, 6698, 1000, 0, 51, 49766, 57515
793, 6636, 1933, 0, 49, 48897, 57515
799, 6499, 2390, 0, 50, 48576, 57515
805, 6476, 3186, 0, 46, 47807, 57515
811, 6535, 3687, 0, 42, 47251, 57515
817, 6580, 4578, 0, 40, 46317, 57515
823, 6499, 5030, 0, 38, 45948, 57515
829, 6625, 5069, 0, 40, 45781, 57515
835, 6711, 5019, 0, 40, 45745, 57515
841, 6733, 5022, 0, 40, 45720, 57515
847, 6669, 5084, 0, 40, 45722, 57515
853, 6583, 5016, 0, 40, 45876, 57515
859, 6572, 4765, 0, 44, 46134, 57515
865, 6584, 4050, 0, 44, 46837, 57515
871, 6603, 3677, 0, 44, 47191, 57515
877, 6576, 3219, 0, 44, 47676, 57515
883, 6624, 2696, 0, 44, 48151, 57515
889, 6495, 2144, 0, 43, 48833, 57515
895, 6584, 1491, 0, 43, 49397, 57515
901, 6596, 1349, 0, 42, 49528, 57515
907, 6683, 872, 0, 39, 49921, 57515
913, 6546, 883, 0, 39, 50047, 57515
919, 6516, 594, 0, 37, 50368, 57515
925, 6569, 520, 0, 41, 50385, 57515
931, 6550, 615, 0, 30, 50320, 57515
937, 6555, 596, 0, 30, 50334, 57515
943, 6572, 416, 0, 31, 50496, 57515
949, 6730, 309, 0, 31, 50445, 57515
