ts, default broker, COLDPower18, Bunnie, total
359, 57510, 0, 0, 57510
360, 57510, 0, 0, 57510
361, 6862, 0, 50648, 57510
367, 6907, 0, 50603, 57510
373, 6896, 0, 50614, 57510
379, 6931, 0, 50579, 57510
385, 6960, 0, 50550, 57510
391, 6884, 0, 50626, 57510
397, 6871, 0, 50639, 57510
403, 6880, 0, 50630, 57510
409, 6891, 0, 50619, 57510
415, 6893, 0, 50617, 57510
421, 6903, 0, 50607, 57510
427, 6917, 0, 50593, 57510
433, 6885, 0, 50625, 57510
439, 6892, 0, 50618, 57510
445, 6913, 0, 50597, 57510
451, 6873, 0, 50637, 57510
457, 6870, 0, 50640, 57510
463, 6892, 0, 50618, 57510
469, 6907, 0, 50603, 57510
475, 6885, 0, 50625, 57510
481, 6936, 0, 50574, 57510
487, 6980, 0, 50530, 57510
493, 7008, 0, 50502, 57510
499, 6953, 0, 50557, 57510
505, 6994, 0, 50516, 57510
511, 6983, 0, 50527, 57510
517, 6836, 0, 50674, 57510
523, 6734, 0, 50776, 57510
529, 6757, 0, 50753, 57510
535, 6810, 0, 50700, 57510
541, 6834, 0, 50676, 57510
547, 6974, 0, 50536, 57510
553, 6979, 0, 50531, 57510
559, 6963, 0, 50547, 57510
565, 6960, 0, 50550, 57510
571, 6960, 0, 50550, 57510
577, 6869, 0, 50641, 57510
583, 6886, 0, 50624, 57510
589, 6894, 0, 50616, 57510
595, 6830, 0, 50680, 57510
601, 6863, 0, 50647, 57510
607, 6867, 0, 50643, 57510
613, 6751, 0, 50759, 57510
619, 6687, 0, 50823, 57510
625, 6760, 0, 50750, 57510
631, 6785, 0, 50725, 57510
637, 6536, 0, 50974, 57510
643, 6683, 0, 50827, 57510
649, 6717, 0, 50793, 57510
655, 6749, 0, 50761, 57510
661, 6824, 0, 50686, 57510
667, 6829, 0, 50681, 57510
673, 6839, 0, 50671, 57510
679, 6784, 0, 50726, 57510
685, 6823, 0, 50687, 57510
691, 6743, 0, 50767, 57510
697, 6828, 0, 50682, 57510
703, 6812, 0, 50698, 57510
709, 6786, 0, 50724, 57510
715, 6783, 0, 50727, 57510
721, 6789, 0, 50721, 57510
727, 6778, 0, 50732, 57510
