ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 6698, 1883, 1356, 0, 47569, 57506
367, 6755, 1832, 1348, 0, 47571, 57506
373, 6885, 1698, 1343, 0, 47580, 57506
379, 6825, 1760, 1347, 0, 47574, 57506
385, 6803, 1814, 211, 0, 48678, 57506
391, 6829, 1789, 214, 0, 48674, 57506
397, 6756, 1860, 215, 0, 48675, 57506
403, 6742, 13182, 9447, 0, 28135, 57506
409, 6680, 14404, 10081, 0, 26341, 57506
415, 6713, 14496, 10077, 0, 26220, 57506
421, 6775, 14441, 10071, 0, 26219, 57506
427, 6797, 14461, 10048, 0, 26200, 57506
433, 6761, 14563, 10042, 0, 26140, 57506
439, 6762, 14564, 10041, 0, 26139, 57506
445, 6784, 40436, 8173, 0, 2113, 57506
451, 6824, 44670, 5806, 0, 206, 57506
457, 6845, 47111, 3460, 0, 90, 57506
463, 6839, 48102, 2478, 0, 87, 57506
469, 6840, 48463, 2116, 0, 87, 57506
475, 6821, 49084, 1514, 0, 87, 57506
481, 6707, 50562, 167, 0, 70, 57506
487, 6833, 50448, 178, 0, 47, 57506
493, 6834, 50443, 191, 0, 38, 57506
499, 6844, 50418, 204, 0, 40, 57506
505, 6867, 50298, 259, 0, 82, 57506
511, 6858, 50223, 260, 0, 165, 57506
517, 6806, 48290, 1356, 0, 1054, 57506
523, 6837, 47355, 2002, 0, 1312, 57506
529, 6811, 45196, 4528, 0, 971, 57506
535, 6837, 43357, 5888, 0, 1424, 57506
541, 6896, 41317, 7664, 0, 1629, 57506
547, 6880, 39839, 9036, 0, 1751, 57506
553, 6907, 38013, 10618, 0, 1968, 57506
559, 6928, 35014, 13025, 0, 2539, 57506
565, 6881, 32551, 15001, 0, 3073, 57506
571, 6796, 13927, 15022, 0, 21761, 57506
577, 6828, 7630, 12676, 0, 30372, 57506
583, 6833, 7560, 9062, 0, 34051, 57506
589, 6772, 7572, 7250, 0, 35912, 57506
595, 6714, 10134, 5205, 0, 35453, 57506
601, 6767, 14198, 2668, 0, 33873, 57506
607, 6680, 20577, 596, 0, 29653, 57506
613, 6493, 50331, 512, 0, 170, 57506
619, 6626, 50255, 452, 0, 173, 57506
625, 6728, 50404, 194, 0, 180, 57506
631, 6803, 50326, 195, 0, 182, 57506
637, 6875, 50258, 193, 0, 180, 57506
643, 6881, 50271, 194, 0, 160, 57506
649, 6858, 50291, 193, 0, 164, 57506
655, 6886, 50329, 204, 0, 87, 57506
661, 6818, 50395, 204, 0, 89, 57506
667, 6765, 50352, 202, 0, 187, 57506
673, 6743, 49901, 267, 0, 595, 57506
679, 6775, 47861, 326, 0, 2544, 57506
685, 6725, 41606, 981, 0, 8194, 57506
691, 6734, 32060, 2357, 0, 16355, 57506
697, 6731, 24785, 1002, 0, 24988, 57506
703, 6713, 22252, 990, 0, 27551, 57506
709, 6709, 18396, 992, 0, 31409, 57506
715, 6714, 15213, 1083, 0, 34496, 57506
721, 6739, 12650, 1321, 0, 36796, 57506
727, 6703, 10188, 1358, 0, 39257, 57506
