ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
359, 57528, 0, 0, 0, 0, 57528
360, 57528, 0, 0, 0, 0, 57528
361, 9, 6, 7392, 25657, 24464, 57528
367, 10, 6, 7391, 25655, 24466, 57528
373, 12, 5, 7391, 29176, 20944, 57528
379, 10, 7, 7391, 30772, 19348, 57528
385, 10, 5, 7392, 33431, 16690, 57528
391, 9, 7, 7441, 34772, 15299, 57528
397, 7, 7, 7443, 35830, 14241, 57528
403, 6, 8, 7443, 37727, 12344, 57528
409, 8, 9, 7443, 39244, 10824, 57528
415, 11, 8, 7443, 39972, 10094, 57528
421, 12, 8, 7441, 40705, 9362, 57528
427, 11, 7, 7442, 41577, 8491, 57528
433, 9, 6, 7371, 43408, 6734, 57528
439, 8, 5, 7342, 43901, 6272, 57528
445, 9, 6, 9726, 37597, 10190, 57528
451, 10, 5, 10043, 37409, 10061, 57528
457, 7, 6, 11500, 37095, 8920, 57528
463, 7, 5, 12264, 36808, 8444, 57528
469, 6, 6, 12697, 36731, 8088, 57528
475, 6, 6, 13035, 36991, 7490, 57528
481, 6, 3, 14060, 36646, 6813, 57528
487, 7, 2, 14586, 30870, 12063, 57528
493, 7, 2, 14554, 32507, 10458, 57528
499, 5, 1, 14526, 33893, 9103, 57528
505, 5, 3, 14494, 35748, 7278, 57528
511, 5, 3, 14494, 36118, 6908, 57528
517, 3, 3, 13349, 38747, 5426, 57528
523, 2, 3, 12773, 39947, 4803, 57528
529, 4, 5, 12106, 27127, 18286, 57528
535, 7, 5, 11297, 27926, 18293, 57528
541, 7, 4, 10808, 29562, 17147, 57528
547, 6, 4, 10155, 31260, 16103, 57528
553, 4, 5, 9325, 32838, 15356, 57528
559, 6, 3, 8674, 34751, 14094, 57528
565, 6, 3, 8307, 36472, 12740, 57528
571, 8, 2, 7988, 11970, 37560, 57528
577, 6, 4, 7826, 12449, 37243, 57528
583, 3, 3, 7773, 13578, 36171, 57528
589, 3, 4, 7513, 15230, 34778, 57528
595, 4, 5, 7508, 16559, 33452, 57528
601, 3, 106, 7577, 16958, 32884, 57528
607, 4, 105, 7376, 18576, 31467, 57528
613, 4, 105, 9525, 16220, 31674, 57528
619, 4, 106, 10422, 20028, 26968, 57528
625, 3, 107, 11663, 22738, 23017, 57528
631, 3, 107, 12328, 25042, 20048, 57528
637, 5, 107, 12441, 26911, 18064, 57528
643, 6, 17, 12958, 29932, 14615, 57528
649, 7, 17, 13245, 30671, 13588, 57528
655, 7, 7, 14785, 10454, 32275, 57528
661, 4, 6, 14797, 10776, 31945, 57528
667, 4, 6, 14766, 11966, 30786, 57528
673, 5, 3, 14667, 13679, 29174, 57528
679, 6, 2, 14636, 14135, 28749, 57528
685, 6, 2, 13957, 15584, 27979, 57528
691, 7, 2, 13430, 16461, 27628, 57528
697, 6, 1, 13090, 8237, 36194, 57528
703, 7, 2, 11930, 9269, 36320, 57528
709, 6, 3, 11102, 11057, 35360, 57528
715, 3, 5, 10613, 12865, 34042, 57528
721, 4, 4, 10204, 14458, 32858, 57528
727, 4, 4, 9277, 15762, 32481, 57528
733, 4, 4, 8829, 16982, 31709, 57528
739, 4, 4, 8558, 11140, 37822, 57528
745, 3, 6, 8067, 13356, 36096, 57528
751, 3, 4, 7687, 15115, 34719, 57528
757, 3, 4, 7498, 17353, 32670, 57528
763, 2, 4, 7474, 19064, 30984, 57528
769, 1, 1, 7535, 20790, 29201, 57528
775, 1, 1, 7519, 23160, 26847, 57528
781, 3, 2, 12446, 9669, 35408, 57528
787, 6, 3, 14065, 11180, 32274, 57528
793, 7, 3, 15306, 12086, 30126, 57528
799, 6, 6, 16403, 12677, 28436, 57528
805, 7, 4, 17597, 13211, 26709, 57528
811, 7, 3, 18762, 13955, 24801, 57528
817, 8, 0, 19936, 15009, 22575, 57528
823, 6, 0, 21183, 5876, 30463, 57528
829, 5, 1, 21362, 5711, 30449, 57528
835, 3, 2, 21229, 7699, 28595, 57528
841, 4, 2, 21197, 7988, 28337, 57528
847, 4, 2, 21045, 9036, 27441, 57528
853, 4, 1, 19455, 10347, 27721, 57528
859, 3, 1, 18815, 11265, 27444, 57528
865, 4, 1, 34942, 107, 22474, 57528
871, 6, 1, 39679, 103, 17739, 57528
877, 6, 2, 43004, 92, 14424, 57528
883, 6, 2, 45280, 122, 12118, 57528
889, 7, 0, 48353, 220, 8948, 57528
895, 8, 0, 49856, 252, 7412, 57528
901, 7, 1, 51983, 252, 5285, 57528
907, 8, 1, 52853, 350, 4316, 57528
913, 8, 3, 53498, 363, 3656, 57528
919, 8, 2, 53738, 353, 3427, 57528
925, 7, 1, 8628, 8193, 40699, 57528
931, 5, 0, 9344, 8122, 40057, 57528
937, 5, 0, 19717, 8081, 29725, 57528
943, 5, 0, 22011, 8073, 27439, 57528
949, 7, 0, 13268, 10417, 33836, 57528
955, 7, 0, 22594, 10356, 24571, 57528
961, 6, 1, 30243, 10237, 17041, 57528
967, 6, 1, 36655, 8151, 12715, 57528
973, 5, 2, 42266, 6344, 8911, 57528
979, 8, 3, 44832, 5337, 7348, 57528
985, 8, 4, 47564, 4552, 5400, 57528
991, 8, 4, 50013, 3304, 4199, 57528
997, 7, 2, 51422, 2553, 3544, 57528
1003, 7, 1, 52364, 2056, 3100, 57528
1009, 6, 3, 52217, 2036, 3266, 57528
1015, 7, 2, 13584, 3847, 40088, 57528
1021, 5, 1, 15332, 3235, 38955, 57528
1027, 4, 1, 26131, 2708, 28684, 57528
1033, 5, 1, 36077, 598, 20847, 57528
1039, 3, 2, 40932, 890, 15701, 57528
1045, 3, 3, 45453, 954, 11115, 57528
1051, 2, 5, 48208, 1603, 7710, 57528
1057, 1, 8, 49283, 2136, 6100, 57528
1063, 1, 8, 49902, 2136, 5481, 57528
1069, 4, 7, 50315, 2135, 5067, 57528
1075, 5, 7, 52012, 2094, 3410, 57528
1081, 6, 8, 50703, 3281, 3530, 57528
1087, 6, 9, 7953, 23385, 26175, 57528
1093, 6, 10, 8846, 23257, 25409, 57528
1099, 6, 8, 13648, 22907, 20959, 57528
1105, 6, 9, 18537, 22718, 16258, 57528
1111, 7, 8, 7961, 27663, 21889, 57528
1117, 10, 19, 14673, 3798, 39028, 57528
1123, 9, 18, 17395, 3792, 36314, 57528
1129, 8, 17, 22547, 3803, 31153, 57528
1135, 7, 18, 31735, 3795, 21973, 57528
1141, 6, 18, 38796, 3837, 14871, 57528
1147, 8, 8, 41610, 3873, 12029, 57528
1153, 8, 8, 43451, 4134, 9927, 57528
1159, 8, 7, 46509, 2820, 8184, 57528
1165, 5, 6, 47551, 2560, 7406, 57528
1171, 4, 5, 49232, 2201, 6086, 57528
1177, 4, 6, 51391, 1407, 4720, 57528
1183, 6, 3, 52893, 1129, 3497, 57528
