ts, default broker, CrocodileAgent, SPOT, EWIIS3, VidyutVanika, total
359, 57497, 0, 0, 0, 0, 57497
360, 57497, 0, 0, 0, 0, 57497
361, 9, 23, 265, 22268, 34932, 57497
367, 7, 27, 398, 17422, 39643, 57497
373, 5, 33, 397, 15726, 41336, 57497
379, 6, 97, 427, 14692, 42275, 57497
385, 6, 396, 33, 12796, 44266, 57497
391, 6, 495, 33, 9420, 47543, 57497
397, 5, 615, 34, 7231, 49612, 57497
403, 5, 886, 34, 5885, 50687, 57497
409, 5, 1007, 34, 4990, 51461, 57497
415, 6, 1160, 32, 4154, 52145, 57497
421, 6, 1371, 32, 3193, 52895, 57497
427, 6, 1564, 4, 2268, 53655, 57497
433, 7, 2676, 3, 1911, 52900, 57497
439, 8, 3803, 3, 1578, 52105, 57497
445, 8, 3859, 3, 1993, 51634, 57497
451, 7, 3933, 3, 3458, 50096, 57497
457, 5, 3867, 2, 6527, 47096, 57497
463, 5, 3825, 4, 6122, 47541, 57497
469, 5, 3928, 144, 5943, 47477, 57497
475, 6, 3608, 145, 5714, 48024, 57497
481, 6, 3518, 145, 5283, 48545, 57497
487, 6, 3365, 260, 4791, 49075, 57497
493, 4, 3269, 289, 4360, 49575, 57497
499, 5, 3169, 291, 4318, 49714, 57497
505, 5, 2906, 291, 3927, 50368, 57497
511, 4, 2345, 293, 3774, 51081, 57497
517, 4, 1804, 350, 3634, 51705, 57497
523, 5, 1604, 349, 3544, 51995, 57497
529, 6, 1221, 212, 3256, 52802, 57497
535, 6, 999, 362, 3013, 53117, 57497
541, 6, 877, 333, 2812, 53469, 57497
547, 6, 751, 333, 2430, 53977, 57497
553, 7, 1109, 457, 2155, 53769, 57497
559, 5, 1264, 458, 1918, 53852, 57497
565, 5, 1177, 368, 1634, 54313, 57497
571, 5, 1373, 341, 1482, 54296, 57497
577, 6, 2191, 339, 1112, 53849, 57497
583, 6, 2767, 219, 1057, 53448, 57497
589, 6, 4193, 189, 923, 52186, 57497
595, 6, 5307, 154, 818, 51212, 57497
601, 7, 7429, 154, 734, 49173, 57497
607, 7, 7536, 95, 633, 49226, 57497
613, 6, 7839, 35, 594, 49023, 57497
619, 5, 7952, 149, 592, 48799, 57497
625, 5, 7859, 264, 598, 48771, 57497
631, 5, 7454, 235, 598, 49205, 57497
637, 6, 7242, 238, 717, 49294, 57497
643, 6, 7031, 237, 716, 49507, 57497
649, 5, 6733, 120, 663, 49976, 57497
655, 5, 6271, 121, 644, 50456, 57497
661, 5, 5838, 151, 624, 50879, 57497
667, 5, 5059, 152, 544, 51737, 57497
673, 5, 3691, 152, 541, 53108, 57497
679, 5, 3132, 151, 511, 53698, 57497
685, 5, 2600, 152, 510, 54230, 57497
691, 5, 1694, 152, 518, 55128, 57497
697, 6, 1344, 125, 498, 55524, 57497
703, 6, 950, 126, 413, 56002, 57497
709, 7, 791, 94, 413, 56192, 57497
715, 7, 761, 96, 412, 56221, 57497
721, 8, 977, 95, 411, 56006, 57497
727, 7, 1024, 37, 413, 56016, 57497
733, 7, 894, 36, 388, 56172, 57497
739, 7, 1205, 36, 348, 55901, 57497
745, 6, 1715, 34, 348, 55394, 57497
751, 6, 2427, 3, 350, 54711, 57497
757, 5, 3545, 3, 328, 53616, 57497
763, 5, 3819, 4, 326, 53343, 57497
769, 5, 4083, 3, 328, 53078, 57497
775, 6, 4415, 3, 307, 52766, 57497
781, 6, 4912, 3, 307, 52269, 57497
787, 4, 5054, 2, 315, 52122, 57497
793, 4, 4830, 152, 311, 52200, 57497
799, 4, 4715, 156, 314, 52308, 57497
805, 5, 4657, 160, 324, 52351, 57497
811, 5, 4444, 290, 320, 52438, 57497
817, 5, 4094, 5, 322, 53071, 57497
823, 5, 3735, 6, 300, 53451, 57497
829, 5, 2994, 7, 299, 54192, 57497
835, 5, 2480, 7, 295, 54710, 57497
841, 4, 1933, 5, 295, 55260, 57497
847, 4, 1629, 4, 277, 55583, 57497
853, 4, 1229, 3, 266, 55995, 57497
859, 5, 865, 6, 267, 56354, 57497
865, 3, 802, 4, 185, 56503, 57497
871, 5, 754, 37, 188, 56513, 57497
877, 3, 545, 36, 190, 56723, 57497
883, 1, 465, 35, 190, 56806, 57497
889, 1, 427, 0, 193, 56876, 57497
895, 1, 543, 1, 188, 56764, 57497
901, 1, 671, 1, 191, 56633, 57497
907, 1, 825, 1, 165, 56505, 57497
913, 2, 1497, 0, 160, 55838, 57497
919, 3, 2536, 1, 137, 54820, 57497
925, 3, 2655, 1, 137, 54701, 57497
931, 3, 3842, 1, 138, 53513, 57497
937, 3, 4484, 1, 134, 52875, 57497
943, 2, 6025, 1, 136, 51333, 57497
949, 2, 6743, 1, 137, 50614, 57497
955, 2, 6635, 1, 140, 50719, 57497
961, 2348, 6676, 95, 140, 48238, 57497
967, 2368, 6673, 96, 145, 48215, 57497
973, 2891, 6812, 205, 153, 47436, 57497
979, 2938, 6607, 203, 148, 47601, 57497
985, 3058, 6117, 206, 147, 47969, 57497
991, 3262, 5946, 206, 145, 47938, 57497
997, 3335, 5441, 236, 148, 48337, 57497
1003, 3379, 4249, 236, 143, 49490, 57497
1009, 3623, 3924, 235, 139, 49576, 57497
1015, 3657, 3223, 236, 138, 50243, 57497
1021, 3625, 2341, 188, 139, 51204, 57497
1027, 3513, 1763, 125, 136, 51960, 57497
1033, 3427, 1249, 93, 137, 52591, 57497
1039, 3379, 1207, 93, 141, 52677, 57497
1045, 3466, 1111, 94, 143, 52683, 57497
1051, 3437, 994, 94, 139, 52833, 57497
1057, 3427, 833, 94, 140, 53003, 57497
1063, 3343, 886, 94, 139, 53035, 57497
1069, 3460, 928, 94, 138, 52877, 57497
1075, 3469, 1168, 94, 140, 52626, 57497
1081, 3638, 2641, 94, 143, 50981, 57497
1087, 3717, 3354, 94, 139, 50193, 57497
1093, 3644, 4707, 93, 139, 48914, 57497
1099, 3587, 5081, 93, 141, 48595, 57497
1105, 3701, 5839, 93, 143, 47721, 57497
1111, 3726, 6025, 93, 140, 47513, 57497
1117, 3756, 6364, 93, 142, 47142, 57497
1123, 3735, 6319, 93, 143, 47207, 57497
1129, 3563, 6121, 93, 144, 47576, 57497
1135, 3429, 6137, 95, 146, 47690, 57497
1141, 3327, 6269, 153, 267, 47481, 57497
1147, 3457, 6113, 154, 235, 47538, 57497
1153, 3436, 5457, 154, 176, 48274, 57497
1159, 3628, 4829, 153, 171, 48716, 57497
1165, 3637, 4198, 381, 170, 49111, 57497
1171, 3491, 3683, 380, 167, 49776, 57497
1177, 3549, 3538, 380, 167, 49863, 57497
1183, 3216, 3264, 349, 174, 50494, 57497
