ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 3, 2511, 14809, 22579, 17605, 57507
367, 3, 2518, 14809, 22569, 17608, 57507
373, 3, 2515, 14907, 25160, 14922, 57507
379, 3, 2558, 14906, 26535, 13505, 57507
385, 2, 2558, 14947, 27855, 12145, 57507
391, 4, 2556, 14946, 28687, 11314, 57507
397, 5, 2556, 14945, 29825, 10176, 57507
403, 4, 2533, 15038, 6498, 33434, 57507
409, 4, 2512, 15099, 4936, 34956, 57507
415, 4, 2495, 15279, 5814, 33915, 57507
421, 2, 2434, 15375, 7131, 32565, 57507
427, 8, 2413, 15626, 8379, 31081, 57507
433, 5, 1504, 8625, 9658, 37715, 57507
439, 4, 1282, 8006, 10618, 37597, 57507
445, 5, 1004, 7941, 2261, 46296, 57507
451, 4, 703, 8069, 1829, 46902, 57507
457, 5, 484, 7929, 2374, 46715, 57507
463, 2, 445, 8062, 2861, 46137, 57507
469, 3, 359, 8155, 3778, 45212, 57507
475, 8, 334, 8359, 4166, 44640, 57507
481, 6, 225, 8394, 4865, 44017, 57507
487, 6, 332, 8748, 1038, 47383, 57507
493, 6, 708, 15311, 1027, 40455, 57507
499, 5, 2273, 22268, 1143, 31818, 57507
505, 1, 4302, 27140, 1423, 24641, 57507
511, 2, 5420, 31042, 1564, 19479, 57507
517, 2, 6818, 33727, 1611, 15349, 57507
523, 3, 7881, 36522, 1726, 11375, 57507
529, 5, 8632, 37863, 916, 10091, 57507
535, 2, 8864, 37849, 1464, 9328, 57507
541, 1, 8805, 37335, 2015, 9351, 57507
547, 3, 8787, 36828, 2554, 9335, 57507
553, 3, 8714, 36697, 3070, 9023, 57507
559, 3, 8680, 36405, 3361, 9058, 57507
565, 6, 8510, 30135, 4605, 14251, 57507
571, 2, 7960, 23327, 1431, 24787, 57507
577, 1, 6696, 18487, 1984, 30339, 57507
583, 7, 6061, 14897, 2627, 33915, 57507
589, 8, 5000, 11958, 3799, 36742, 57507
595, 1, 3691, 9453, 4654, 39708, 57507
601, 3, 2971, 7381, 5463, 41689, 57507
607, 6, 2643, 7248, 6322, 41288, 57507
613, 5, 56, 7262, 847, 49337, 57507
619, 4, 7, 7193, 856, 49447, 57507
625, 5, 3, 7193, 1428, 48878, 57507
631, 0, 6, 7335, 1530, 48636, 57507
637, 1, 6, 7723, 1765, 48012, 57507
643, 4, 7, 7861, 1869, 47766, 57507
649, 3, 8, 8423, 2241, 46832, 57507
655, 5, 6, 9163, 1410, 46923, 57507
661, 5, 799, 16245, 2803, 37655, 57507
667, 6, 2050, 20057, 3469, 31925, 57507
673, 8, 4078, 26232, 4177, 23012, 57507
679, 2, 5407, 28583, 4804, 18711, 57507
685, 5, 6580, 32159, 5287, 13476, 57507
691, 5, 7353, 34223, 5718, 10208, 57507
697, 3, 8366, 36354, 487, 12297, 57507
703, 8, 8472, 36570, 252, 12205, 57507
709, 5, 8630, 36317, 269, 12286, 57507
715, 5, 8656, 35967, 422, 12457, 57507
721, 4, 8658, 35345, 452, 13048, 57507
