ts, default broker, CrocodileAgent, SPOT, VidyutVanika, Bunnie, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 3, 69, 0, 7617, 49814, 57503
367, 5, 68, 1, 7629, 49800, 57503
373, 2, 218, 27, 10137, 47119, 57503
379, 5, 1218, 869, 13716, 41695, 57503
385, 3, 2230, 1074, 16833, 37363, 57503
391, 1, 2540, 1262, 17762, 35938, 57503
397, 2, 3106, 1796, 20953, 31646, 57503
403, 6, 3417, 2028, 22021, 30031, 57503
409, 0, 4067, 2412, 23210, 27814, 57503
415, 1, 4143, 2839, 23945, 26575, 57503
421, 4, 4143, 2609, 24002, 26745, 57503
427, 3, 4142, 2121, 24061, 27176, 57503
433, 1, 4140, 2083, 24027, 27252, 57503
439, 1, 4132, 1726, 23964, 27680, 57503
445, 3, 4064, 1569, 23129, 28738, 57503
451, 2, 3586, 1968, 20971, 30976, 57503
457, 1, 2968, 2476, 18890, 33168, 57503
463, 4, 2670, 2403, 17320, 35106, 57503
469, 4, 2182, 2295, 15286, 37736, 57503
475, 5, 1814, 2404, 14295, 38985, 57503
481, 2, 1553, 112, 9109, 46727, 57503
487, 3, 1317, 20, 7946, 48217, 57503
493, 6, 898, 0, 7430, 49169, 57503
499, 4, 668, 0, 7712, 49119, 57503
505, 5, 518, 0, 7795, 49185, 57503
511, 4, 397, 0, 7936, 49166, 57503
517, 5, 312, 0, 8299, 48887, 57503
523, 3, 295, 0, 8089, 49116, 57503
529, 4, 267, 0, 8671, 48561, 57503
535, 2, 250, 0, 10099, 47152, 57503
541, 5, 1498, 0, 17038, 38962, 57503
547, 3, 2694, 0, 23413, 31393, 57503
553, 7, 5670, 0, 29669, 22157, 57503
559, 3, 7315, 0, 33408, 16777, 57503
565, 6, 9024, 0, 36868, 11605, 57503
571, 3, 9731, 0, 39171, 8598, 57503
577, 8, 10276, 0, 40410, 6809, 57503
583, 5, 10375, 0, 40669, 6454, 57503
589, 3, 10351, 0, 40085, 7064, 57503
595, 6, 10308, 0, 39909, 7280, 57503
601, 4, 10286, 0, 39267, 7946, 57503
607, 4, 10263, 0, 37814, 9422, 57503
613, 4, 9985, 0, 31621, 15893, 57503
619, 3, 9269, 0, 25320, 22911, 57503
625, 2, 8636, 0, 19139, 29726, 57503
631, 3, 6698, 0, 15221, 35581, 57503
637, 5, 6495, 0, 11567, 39436, 57503
643, 4, 5405, 0, 9405, 42689, 57503
649, 5, 5048, 0, 8188, 44262, 57503
655, 4, 3743, 0, 7422, 46334, 57503
661, 5, 2738, 0, 7623, 47137, 57503
667, 5, 2026, 0, 7452, 48020, 57503
673, 2, 1607, 0, 7967, 47927, 57503
679, 4, 1151, 0, 8109, 48239, 57503
685, 7, 676, 0, 8391, 48429, 57503
691, 4, 756, 0, 8817, 47926, 57503
697, 4, 590, 0, 9095, 47814, 57503
703, 6, 490, 0, 9995, 47012, 57503
709, 7, 817, 0, 15439, 41240, 57503
715, 4, 1556, 0, 22078, 33865, 57503
721, 1, 3627, 0, 28597, 25278, 57503
727, 3, 4765, 0, 31879, 20856, 57503
733, 2, 6277, 0, 36822, 14402, 57503
