ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57506, 0, 0, 0, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 0, 0, 0, 57506
361, 3, 3923, 14, 0, 15637, 290, 23003, 14636, 57506
367, 2, 3940, 4, 0, 15664, 36, 23112, 14748, 57506
373, 3, 4133, 5, 0, 16163, 37, 25610, 11555, 57506
379, 3, 4571, 5, 0, 16756, 31, 27283, 8857, 57506
385, 4, 4627, 3, 0, 17149, 17, 28934, 6772, 57506
391, 4, 4746, 3, 0, 17314, 13, 30043, 5383, 57506
397, 3, 4736, 3, 0, 17322, 39, 30710, 4693, 57506
403, 3, 4739, 63, 0, 17558, 102, 10748, 24293, 57506
409, 4, 4668, 63, 0, 17516, 113, 10921, 24221, 57506
415, 3, 4667, 63, 0, 17576, 85, 11179, 23933, 57506
421, 4, 4626, 62, 0, 17591, 82, 11396, 23745, 57506
427, 2, 4385, 62, 0, 17592, 86, 12668, 22711, 57506
433, 2, 3576, 2, 0, 15374, 60, 14075, 24417, 57506
439, 2, 3096, 2, 0, 13601, 58, 14600, 26147, 57506
445, 2, 2752, 2, 0, 13235, 55, 4972, 36488, 57506
451, 2, 2562, 3, 0, 12765, 126, 4250, 37798, 57506
457, 3, 1669, 3, 0, 11310, 90, 6745, 37686, 57506
463, 3, 1320, 3, 0, 10649, 69, 7443, 38019, 57506
469, 4, 920, 3, 0, 9688, 33, 8465, 38393, 57506
475, 3, 778, 3, 0, 9098, 12, 10131, 37481, 57506
481, 2, 509, 2, 0, 8730, 12, 11306, 36945, 57506
487, 2, 342, 1, 0, 8437, 11, 575, 48138, 57506
493, 2, 306, 0, 0, 8294, 8, 653, 48243, 57506
499, 2, 214, 0, 0, 8228, 10, 1286, 47766, 57506
505, 0, 175, 144, 0, 7951, 10, 1431, 47795, 57506
511, 0, 159, 144, 0, 7819, 10, 1708, 47666, 57506
517, 0, 334, 145, 0, 9369, 9, 1848, 45801, 57506
523, 1, 1025, 143, 0, 11878, 11, 1943, 42505, 57506
529, 1, 1749, 144, 0, 13534, 11, 1163, 40904, 57506
535, 1, 3001, 144, 0, 15276, 10, 1604, 37470, 57506
541, 1, 3858, 145, 0, 16770, 8, 2567, 34157, 57506
547, 1, 4106, 85, 0, 18548, 7, 3028, 31731, 57506
553, 1, 4515, 81, 0, 19852, 8, 4823, 28226, 57506
559, 1, 4800, 81, 0, 20354, 9, 5854, 26407, 57506
565, 1, 4786, 81, 0, 20488, 9, 7420, 24721, 57506
571, 2, 4754, 81, 0, 20489, 7, 468, 31705, 57506
577, 2, 4712, 81, 0, 20369, 7, 825, 31510, 57506
583, 1, 4676, 81, 0, 20195, 8, 874, 31671, 57506
589, 1, 4496, 80, 0, 19966, 9, 1016, 31938, 57506
595, 1, 3996, 20, 0, 18816, 8, 1144, 33521, 57506
601, 1, 3660, 0, 0, 17535, 8, 1392, 34910, 57506
607, 1, 3107, 30, 0, 16405, 8, 1546, 36409, 57506
613, 2, 2167, 30, 0, 14959, 9, 2354, 37985, 57506
619, 2, 1747, 30, 0, 13721, 8, 3013, 38985, 57506
625, 2, 1186, 30, 0, 11656, 9, 5368, 39255, 57506
631, 2, 1106, 30, 0, 11195, 9, 5546, 39618, 57506
637, 1, 657, 143, 0, 9994, 10, 7458, 39243, 57506
643, 2, 626, 143, 0, 9575, 9, 8870, 38281, 57506
649, 2, 536, 143, 0, 9064, 9, 10594, 37158, 57506
655, 1, 432, 173, 0, 8715, 10, 3513, 44662, 57506
661, 0, 302, 143, 0, 8268, 11, 5246, 43536, 57506
667, 0, 252, 144, 0, 7791, 10, 6777, 42532, 57506
673, 0, 199, 143, 0, 7828, 9, 8532, 40795, 57506
679, 0, 165, 143, 0, 7697, 9, 8989, 40503, 57506
685, 0, 166, 113, 0, 9400, 9, 10572, 37246, 57506
691, 0, 490, 53, 0, 10620, 7, 10847, 35489, 57506
697, 0, 2293, 53, 0, 13798, 7, 3424, 37931, 57506
703, 0, 2567, 23, 0, 14945, 8, 2705, 37258, 57506
709, 0, 3753, 23, 0, 17298, 8, 3898, 32526, 57506
715, 0, 4097, 1, 0, 18643, 8, 4326, 30431, 57506
721, 0, 4463, 0, 0, 20170, 9, 4924, 27940, 57506
727, 0, 4677, 69, 0, 20328, 9, 5219, 27204, 57506
733, 0, 4616, 69, 0, 20276, 8, 5638, 26899, 57506
739, 2, 4614, 69, 0, 20306, 8, 1176, 31331, 57506
745, 1, 4577, 69, 0, 20190, 8, 1074, 31587, 57506
751, 0, 4538, 69, 0, 20048, 8, 1266, 31577, 57506
757, 0, 4509, 69, 0, 19683, 10, 1684, 31551, 57506
763, 0, 4212, 69, 0, 18780, 9, 2450, 31986, 57506
769, 0, 3679, 0, 0, 17401, 8, 2739, 33679, 57506
