ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 3, 7, 7714, 30247, 19542, 57513
367, 4, 5, 7702, 30265, 19537, 57513
373, 2, 8, 7701, 33076, 16726, 57513
379, 2, 6, 7694, 36208, 13603, 57513
385, 5, 4, 7738, 38551, 11215, 57513
391, 5, 4, 7771, 39628, 10105, 57513
397, 4, 4, 7801, 41033, 8671, 57513
403, 4, 4, 8174, 3572, 45759, 57513
409, 4, 4, 8202, 3697, 45606, 57513
415, 5, 4, 8204, 3954, 45346, 57513
421, 7, 2, 10435, 4648, 42421, 57513
427, 7, 3, 13515, 5115, 38873, 57513
433, 6, 4, 16685, 5790, 35028, 57513
439, 5, 5, 19804, 6113, 31586, 57513
445, 5, 7, 24090, 1723, 31688, 57513
451, 3, 8, 25332, 2018, 30152, 57513
457, 5, 8, 26543, 2736, 28221, 57513
463, 4, 8, 27134, 2999, 27368, 57513
469, 4, 7, 27399, 3749, 26354, 57513
475, 3, 7, 27273, 4210, 26020, 57513
481, 5, 7, 27179, 4651, 25671, 57513
487, 7, 6, 26730, 232, 30538, 57513
493, 7, 4, 25726, 336, 31440, 57513
499, 6, 3, 24689, 787, 32028, 57513
505, 7, 4, 23378, 1062, 33062, 57513
511, 7, 4, 20889, 1427, 35186, 57513
517, 7, 2, 18011, 2069, 37424, 57513
523, 7, 2, 16234, 2776, 38494, 57513
529, 6, 3, 14260, 413, 42831, 57513
535, 5, 4, 12849, 458, 44197, 57513
541, 6, 4, 11205, 826, 45472, 57513
547, 7, 2, 10500, 1240, 45764, 57513
553, 5, 5, 10260, 1516, 45727, 57513
559, 7, 3, 9469, 1669, 46365, 57513
565, 8, 2, 8997, 1635, 46871, 57513
571, 5, 4, 8634, 153, 48717, 57513
577, 5, 5, 8033, 821, 48649, 57513
583, 4, 7, 8029, 836, 48637, 57513
589, 5, 6, 9787, 879, 46836, 57513
595, 6, 8, 11165, 884, 45450, 57513
601, 6, 6, 13600, 927, 42974, 57513
607, 7, 6, 15484, 1039, 40977, 57513
613, 6, 4, 18471, 1663, 37369, 57513
619, 4, 5, 19760, 2114, 35630, 57513
625, 5, 3, 20989, 2828, 33688, 57513
631, 6, 3, 21574, 3422, 32508, 57513
637, 7, 0, 21389, 4131, 31986, 57513
643, 7, 0, 21314, 4437, 31755, 57513
649, 6, 1, 21328, 5940, 30238, 57513
655, 5, 2, 21190, 804, 35512, 57513
661, 4, 2, 20422, 1179, 35906, 57513
667, 4, 3, 19920, 1694, 35892, 57513
673, 4, 3, 18587, 2776, 36143, 57513
679, 5, 3, 17076, 3071, 37358, 57513
685, 4, 2, 15521, 3999, 37987, 57513
691, 3, 3, 14242, 4528, 38737, 57513
697, 4, 3, 12529, 679, 44298, 57513
703, 5, 3, 11299, 782, 45424, 57513
709, 5, 3, 10409, 1206, 45890, 57513
715, 5, 3, 9829, 1406, 46270, 57513
721, 6, 3, 9168, 1777, 46559, 57513
727, 6, 3, 9174, 1767, 46563, 57513
733, 7, 3, 8912, 2160, 46431, 57513
739, 10, 3, 8838, 491, 48171, 57513
745, 11, 4, 8508, 641, 48349, 57513
751, 9, 4, 9228, 677, 47595, 57513
757, 8, 5, 10717, 1009, 45774, 57513
763, 10, 4, 12974, 1543, 42982, 57513
769, 9, 3, 15141, 1544, 40816, 57513
775, 10, 3, 17220, 1820, 38460, 57513
781, 10, 2, 21838, 528, 35135, 57513
787, 8, 3, 24235, 753, 32514, 57513
793, 8, 3, 25315, 1164, 31023, 57513
799, 21, 2, 25620, 1125, 30745, 57513
805, 22, 24, 25552, 1299, 30616, 57513
811, 15, 32, 25226, 1750, 30490, 57513
817, 17, 24, 25056, 1869, 30547, 57513
823, 16, 26, 24771, 95, 32605, 57513
829, 10, 34, 23973, 667, 32829, 57513
835, 20, 30, 22146, 900, 34417, 57513
841, 10, 41, 21322, 1314, 34826, 57513
847, 7, 43, 18712, 1024, 37727, 57513
853, 8, 42, 17261, 1187, 39015, 57513
859, 8, 41, 15606, 1129, 40729, 57513
865, 8, 40, 24247, 683, 32535, 57513
871, 9, 32, 28040, 975, 28457, 57513
877, 8, 28, 33354, 1328, 22795, 57513
883, 8, 23, 35444, 1376, 20662, 57513
889, 8, 19, 35165, 1932, 20389, 57513
895, 7, 16, 36810, 1959, 18721, 57513
901, 5, 12, 39282, 2071, 16143, 57513
907, 6, 9, 44926, 468, 12104, 57513
913, 7, 8, 43036, 1312, 13150, 57513
919, 6, 7, 43433, 1550, 12517, 57513
925, 6, 6, 44451, 2118, 10932, 57513
931, 5, 5, 45917, 2011, 9575, 57513
937, 5, 6, 44772, 2230, 10500, 57513
943, 3, 5, 45243, 2402, 9860, 57513
949, 3, 4, 48476, 247, 8783, 57513
955, 2, 2, 48866, 678, 7965, 57513
961, 3, 2, 46819, 921, 9768, 57513
967, 3, 5, 46424, 1087, 9994, 57513
973, 4, 4, 47079, 1047, 9379, 57513
979, 4, 6, 47802, 1175, 8526, 57513
985, 1, 6, 47433, 1287, 8786, 57513
991, 5, 4, 18590, 2403, 36511, 57513
997, 5, 3, 18166, 2517, 36822, 57513
1003, 5, 3, 24022, 2958, 30525, 57513
1009, 4, 4, 27003, 2923, 27579, 57513
1015, 6, 5, 30780, 3167, 23555, 57513
1021, 4, 5, 33749, 3198, 20557, 57513
1027, 4, 5, 37585, 3205, 16714, 57513
1033, 6, 0, 34209, 650, 22648, 57513
1039, 6, 0, 32803, 873, 23831, 57513
1045, 4, 0, 34021, 1094, 22394, 57513
1051, 6, 0, 34123, 1251, 22133, 57513
1057, 5, 3, 40190, 916, 16399, 57513
1063, 4, 5, 42623, 831, 14050, 57513
1069, 3, 4, 45440, 664, 11402, 57513
1075, 4, 4, 47169, 613, 9723, 57513
1081, 1720, 93, 37956, 1543, 16201, 57513
1087, 2061, 93, 37465, 1387, 16507, 57513
1093, 2103, 93, 38364, 1288, 15665, 57513
1099, 2445, 93, 40090, 1424, 13461, 57513
1105, 3173, 92, 36697, 1863, 15688, 57513
1111, 3220, 92, 36920, 1874, 15407, 57513
1117, 3307, 92, 40120, 391, 13603, 57513
1123, 3457, 92, 41589, 578, 11797, 57513
1129, 4170, 91, 40241, 719, 12292, 57513
1135, 3971, 91, 41158, 800, 11493, 57513
1141, 3751, 90, 42107, 876, 10689, 57513
1147, 3543, 90, 42968, 878, 10034, 57513
1153, 3965, 90, 40120, 1185, 12153, 57513
1159, 3837, 90, 23029, 2048, 28509, 57513
1165, 3811, 91, 22529, 2249, 28833, 57513
1171, 4577, 92, 26734, 2685, 23425, 57513
1177, 4484, 92, 26469, 3069, 23399, 57513
1183, 4267, 93, 25631, 3656, 23866, 57513
1189, 4034, 92, 14408, 5291, 33688, 57513
1195, 2471, 21, 19635, 5315, 30071, 57513
1201, 1810, 3, 11830, 4303, 39567, 57513
1207, 1368, 1, 10803, 5073, 40268, 57513
1213, 1017, 1, 9451, 6633, 40411, 57513
1219, 793, 2, 9232, 7179, 40307, 57513
1225, 768, 3, 8904, 7998, 39840, 57513
1231, 421, 2, 8667, 8996, 39427, 57513
1237, 267, 1, 8767, 9133, 39345, 57513
1243, 164, 1, 8703, 857, 47788, 57513
1249, 115, 0, 8582, 1005, 47811, 57513
1255, 94, 2, 8443, 1283, 47691, 57513
1261, 65, 3, 10097, 1415, 45933, 57513
1267, 57, 3, 14210, 1565, 41678, 57513
1273, 49, 3, 17684, 1918, 37859, 57513
1279, 35, 2, 19833, 1977, 35666, 57513
1285, 21, 3, 22622, 379, 34488, 57513
1291, 7, 3, 23784, 479, 33240, 57513
1297, 8, 2, 24588, 515, 32400, 57513
1303, 8, 2, 24659, 514, 32330, 57513
1309, 7, 3, 24348, 1242, 31913, 57513
1315, 8, 2, 24165, 1426, 31912, 57513
1321, 7, 2, 24032, 1671, 31801, 57513
1327, 7, 2, 23826, 228, 33450, 57513
1333, 9, 2, 23371, 400, 33731, 57513
1339, 8, 3, 22526, 516, 34460, 57513
1345, 7, 3, 21020, 633, 35850, 57513
1351, 7, 3, 17914, 797, 38792, 57513
1357, 7, 3, 17048, 834, 39621, 57513
1363, 9, 3, 14624, 856, 42021, 57513
1369, 9, 3, 11845, 959, 44697, 57513
1375, 8, 3, 10961, 1005, 45536, 57513
1381, 9, 3, 10631, 1063, 45807, 57513
1387, 9, 2, 9911, 1221, 46370, 57513
1393, 11, 2, 9578, 1980, 45942, 57513
1399, 10, 2, 8851, 1470, 47180, 57513
1405, 10, 3, 8662, 1308, 47530, 57513
1411, 12, 2, 8227, 602, 48670, 57513
1417, 9, 2, 8005, 1042, 48455, 57513
1423, 37, 2, 8242, 1323, 47909, 57513
1429, 23, 18, 9905, 1607, 45960, 57513
1435, 21, 21, 11268, 1600, 44603, 57513
1441, 14, 24, 15341, 1556, 40578, 57513
1447, 11, 27, 16788, 1542, 39145, 57513
1453, 5, 30, 21489, 708, 35281, 57513
1459, 5, 30, 23210, 844, 33424, 57513
1465, 7, 29, 24745, 1051, 31681, 57513
1471, 5, 12, 25143, 732, 31621, 57513
1477, 3, 9, 25032, 798, 31671, 57513
1483, 4, 4, 24977, 639, 31889, 57513
1489, 4, 5, 24868, 891, 31745, 57513
1495, 5, 4, 24446, 79, 32979, 57513
1501, 6, 4, 24031, 554, 32918, 57513
1507, 9, 5, 23404, 430, 33665, 57513
1513, 8, 5, 21017, 472, 36011, 57513
1519, 8, 5, 19638, 396, 37466, 57513
1525, 7, 4, 18625, 495, 38382, 57513
1531, 8, 3, 15224, 675, 41603, 57513
1537, 7, 4, 13284, 182, 44036, 57513
1543, 4, 4, 11494, 180, 45831, 57513
1549, 4, 3, 10953, 329, 46224, 57513
1555, 5, 4, 10220, 350, 46934, 57513
1561, 6, 3, 9339, 906, 47259, 57513
1567, 6, 3, 8744, 917, 47843, 57513
1573, 6, 3, 8624, 937, 47943, 57513
1579, 8, 1, 8324, 49, 49131, 57513
