ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
1159, 3399, 838, 98, 0, 53176, 57511
1165, 3291, 768, 98, 0, 53354, 57511
1171, 3384, 497, 98, 0, 53532, 57511
1177, 3328, 759, 97, 0, 53327, 57511
1183, 3280, 666, 96, 0, 53469, 57511
1189, 3294, 959, 94, 0, 53164, 57511
1195, 3351, 1598, 94, 0, 52468, 57511
1201, 3210, 2189, 94, 0, 52018, 57511
1207, 3273, 2571, 95, 0, 51572, 57511
1213, 3218, 3663, 96, 0, 50534, 57511
1219, 3050, 3967, 96, 0, 50398, 57511
1225, 2960, 4553, 96, 0, 49902, 57511
1231, 3341, 6401, 96, 0, 47673, 57511
1237, 3292, 6938, 97, 0, 47184, 57511
1243, 3284, 7075, 100, 0, 47052, 57511
1249, 3372, 7200, 100, 0, 46839, 57511
1255, 3368, 7026, 99, 0, 47018, 57511
1261, 3443, 7219, 100, 0, 46749, 57511
1267, 3574, 6725, 212, 0, 47000, 57511
1273, 3423, 6430, 212, 0, 47446, 57511
1279, 3421, 5780, 211, 0, 48099, 57511
1285, 3394, 5328, 212, 0, 48577, 57511
1291, 3117, 5099, 212, 0, 49083, 57511
1297, 3160, 4483, 209, 0, 49659, 57511
1303, 3070, 3597, 208, 0, 50636, 57511
1309, 3127, 2770, 148, 0, 51466, 57511
1315, 3326, 2228, 148, 0, 51809, 57511
1321, 3344, 1927, 149, 0, 52091, 57511
1327, 3404, 1823, 148, 0, 52136, 57511
1333, 3228, 1545, 148, 0, 52590, 57511
1339, 3163, 1334, 119, 0, 52895, 57511
1345, 3105, 1178, 120, 0, 53108, 57511
1351, 3097, 1307, 118, 0, 52989, 57511
1357, 3117, 1487, 118, 0, 52789, 57511
1363, 3476, 2198, 117, 0, 51720, 57511
1369, 3521, 3208, 96, 0, 50686, 57511
1375, 3424, 4572, 95, 0, 49420, 57511
1381, 3602, 5118, 95, 0, 48696, 57511
1387, 3479, 5908, 95, 0, 48029, 57511
1393, 3455, 6923, 96, 0, 47037, 57511
1399, 3278, 7974, 95, 0, 46164, 57511
1405, 3279, 8191, 96, 0, 45945, 57511
1411, 3138, 8524, 97, 0, 45752, 57511
1417, 3495, 8398, 97, 0, 45521, 57511
1423, 3560, 8300, 98, 0, 45553, 57511
1429, 3502, 8237, 202, 0, 45570, 57511
1435, 3479, 7734, 200, 0, 46098, 57511
1441, 3382, 7005, 93, 0, 47031, 57511
1447, 3320, 5728, 93, 0, 48370, 57511
1453, 3372, 5052, 99, 0, 48988, 57511
1459, 3212, 4593, 97, 0, 49609, 57511
1465, 3269, 3978, 97, 0, 50167, 57511
1471, 3425, 2985, 96, 0, 51005, 57511
1477, 3516, 2486, 96, 0, 51413, 57511
1483, 3518, 2063, 95, 0, 51835, 57511
1489, 3528, 1432, 94, 0, 52457, 57511
1495, 3593, 1109, 95, 0, 52714, 57511
1501, 3553, 1085, 95, 0, 52778, 57511
1507, 3449, 910, 95, 0, 53057, 57511
1513, 3281, 1030, 95, 0, 53105, 57511
1519, 3239, 839, 95, 0, 53338, 57511
1525, 3276, 1092, 95, 0, 53048, 57511
1531, 3153, 1621, 95, 0, 52642, 57511
1537, 3010, 3227, 94, 0, 51180, 57511
1543, 3229, 3902, 94, 0, 50286, 57511
1549, 3201, 4325, 94, 0, 49891, 57511
1555, 3307, 4925, 94, 0, 49185, 57511
1561, 3267, 6481, 97, 0, 47666, 57511
1567, 3257, 7299, 96, 0, 46859, 57511
1573, 3183, 7812, 97, 0, 46419, 57511
1579, 3233, 7766, 96, 0, 46416, 57511
1585, 3199, 7846, 96, 0, 46370, 57511
1591, 3325, 7783, 94, 0, 46309, 57511
1597, 3216, 7806, 96, 0, 46393, 57511
1603, 3136, 7475, 95, 0, 46805, 57511
1609, 3220, 6518, 95, 0, 47678, 57511
1615, 3101, 6048, 95, 0, 48267, 57511
1621, 3146, 5200, 97, 0, 49068, 57511
