ts, default broker, EWIIS3, Bunnie, total
359, 57515, 0, 0, 57515
360, 57515, 0, 0, 57515
361, 6992, 99, 50424, 57515
367, 6875, 102, 50538, 57515
373, 6736, 96, 50683, 57515
379, 6803, 216, 50496, 57515
385, 6849, 132, 50534, 57515
391, 6929, 126, 50460, 57515
397, 6876, 276, 50363, 57515
403, 6899, 219, 50397, 57515
409, 6888, 332, 50295, 57515
415, 6919, 331, 50265, 57515
421, 6906, 291, 50318, 57515
427, 6902, 291, 50322, 57515
433, 6880, 206, 50429, 57515
439, 6871, 198, 50446, 57515
445, 6930, 136, 50449, 57515
451, 6923, 263, 50329, 57515
457, 6948, 335, 50232, 57515
463, 6888, 328, 50299, 57515
469, 6912, 176, 50427, 57515
475, 6903, 115, 50497, 57515
481, 6928, 115, 50472, 57515
487, 6920, 54, 50541, 57515
493, 6857, 52, 50606, 57515
499, 6776, 49, 50690, 57515
505, 6828, 52, 50635, 57515
511, 6890, 52, 50573, 57515
517, 6663, 50, 50802, 57515
523, 6652, 58, 50805, 57515
529, 6782, 48, 50685, 57515
535, 6866, 48, 50601, 57515
541, 6897, 48, 50570, 57515
547, 6890, 47, 50578, 57515
553, 6906, 47, 50562, 57515
559, 6876, 48, 50591, 57515
565, 6905, 48, 50562, 57515
571, 6900, 48, 50567, 57515
577, 6947, 48, 50520, 57515
583, 6904, 48, 50563, 57515
589, 6830, 48, 50637, 57515
595, 6685, 50, 50780, 57515
601, 6774, 46, 50695, 57515
607, 6784, 43, 50688, 57515
613, 6871, 42, 50602, 57515
619, 6950, 40, 50525, 57515
625, 6949, 41, 50525, 57515
631, 6945, 41, 50529, 57515
637, 6838, 41, 50636, 57515
643, 6844, 40, 50631, 57515
649, 6874, 29, 50612, 57515
655, 6939, 27, 50549, 57515
661, 6944, 28, 50543, 57515
667, 6934, 27, 50554, 57515
673, 6949, 29, 50537, 57515
679, 6970, 29, 50516, 57515
685, 6835, 30, 50650, 57515
691, 6820, 29, 50666, 57515
697, 6827, 28, 50660, 57515
703, 6847, 27, 50641, 57515
709, 6807, 24, 50684, 57515
715, 6687, 25, 50803, 57515
721, 6727, 27, 50761, 57515
727, 6797, 27, 50691, 57515
733, 6853, 27, 50635, 57515
739, 6812, 30, 50673, 57515
745, 6817, 28, 50670, 57515
751, 6783, 28, 50704, 57515
757, 6594, 28, 50893, 57515
763, 6692, 26, 50797, 57515
769, 6712, 25, 50778, 57515
775, 6763, 26, 50726, 57515
781, 6793, 26, 50696, 57515
787, 6728, 24, 50763, 57515
793, 6739, 24, 50752, 57515
799, 6755, 22, 50738, 57515
805, 6801, 23, 50691, 57515
811, 6834, 23, 50658, 57515
817, 6857, 24, 50634, 57515
823, 6871, 24, 50620, 57515
829, 6927, 24, 50564, 57515
835, 6928, 26, 50561, 57515
841, 6898, 27, 50590, 57515
847, 6845, 27, 50643, 57515
853, 6844, 27, 50644, 57515
859, 6830, 26, 50659, 57515
865, 6891, 27, 50597, 57515
871, 6913, 27, 50575, 57515
877, 6811, 28, 50676, 57515
883, 6753, 28, 50734, 57515
889, 6784, 28, 50703, 57515
895, 6810, 28, 50677, 57515
901, 6833, 27, 50655, 57515
907, 6854, 26, 50635, 57515
913, 6800, 26, 50689, 57515
919, 6802, 26, 50687, 57515
925, 6879, 26, 50610, 57515
931, 6819, 26, 50670, 57515
937, 6829, 22, 50664, 57515
943, 6913, 20, 50582, 57515
949, 6845, 18, 50652, 57515
955, 6912, 18, 50585, 57515
961, 6880, 17, 50618, 57515
967, 6917, 17, 50581, 57515
973, 6945, 18, 50552, 57515
979, 6964, 18, 50533, 57515
985, 6953, 19, 50543, 57515
991, 6892, 19, 50604, 57515
997, 6776, 19, 50720, 57515
1003, 6793, 18, 50704, 57515
1009, 6853, 18, 50644, 57515
1015, 6904, 18, 50593, 57515
1021, 6792, 18, 50705, 57515
1027, 6887, 18, 50610, 57515
1033, 6880, 19, 50616, 57515
1039, 6902, 19, 50594, 57515
1045, 6945, 19, 50551, 57515
1051, 6951, 18, 50546, 57515
1057, 6959, 19, 50537, 57515
1063, 6944, 18, 50553, 57515
1069, 6862, 18, 50635, 57515
1075, 6926, 19, 50570, 57515
1081, 6901, 19, 50595, 57515
1087, 6851, 18, 50646, 57515
1093, 6837, 17, 50661, 57515
1099, 6840, 16, 50659, 57515
1105, 6859, 17, 50639, 57515
1111, 6834, 17, 50664, 57515
1117, 6955, 15, 50545, 57515
1123, 6971, 15, 50529, 57515
1129, 6977, 15, 50523, 57515
1135, 6957, 14, 50544, 57515
1141, 6989, 13, 50513, 57515
1147, 6984, 14, 50517, 57515
1153, 6971, 16, 50528, 57515
