ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, Bunnie, total
359, 57514, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 57514
361, 6649, 216, 0, 371, 50278, 57514
367, 6657, 190, 0, 171, 50496, 57514
373, 6746, 140, 0, 311, 50317, 57514
379, 6537, 293, 0, 243, 50441, 57514
385, 6556, 285, 0, 282, 50391, 57514
391, 6509, 315, 0, 420, 50270, 57514
397, 6642, 230, 0, 368, 50274, 57514
403, 6676, 489, 0, 300, 50049, 57514
409, 6720, 494, 0, 247, 50053, 57514
415, 6698, 514, 0, 312, 49990, 57514
421, 6870, 423, 0, 293, 49928, 57514
427, 6774, 750, 0, 244, 49746, 57514
433, 6694, 1865, 0, 253, 48702, 57514
439, 6616, 2762, 0, 226, 47910, 57514
445, 6742, 4756, 0, 222, 45794, 57514
451, 6736, 5583, 0, 185, 45010, 57514
457, 6722, 6209, 0, 196, 44387, 57514
463, 6764, 6227, 0, 170, 44353, 57514
469, 6707, 6319, 0, 157, 44331, 57514
475, 6745, 6196, 0, 155, 44418, 57514
481, 6662, 6201, 0, 140, 44511, 57514
487, 6724, 6096, 0, 110, 44584, 57514
493, 6738, 6060, 0, 110, 44606, 57514
499, 6711, 5983, 0, 111, 44709, 57514
505, 6714, 5724, 0, 110, 44966, 57514
511, 6604, 5041, 0, 112, 45757, 57514
517, 6795, 4114, 0, 111, 46494, 57514
523, 6774, 3415, 0, 111, 47214, 57514
529, 6784, 2387, 0, 108, 48235, 57514
535, 6756, 1815, 0, 105, 48838, 57514
541, 6288, 1477, 0, 106, 49643, 57514
547, 6375, 1041, 0, 106, 49992, 57514
553, 6429, 773, 0, 110, 50202, 57514
559, 6497, 499, 0, 100, 50418, 57514
565, 6584, 396, 0, 100, 50434, 57514
571, 6643, 291, 0, 99, 50481, 57514
577, 6619, 283, 0, 97, 50515, 57514
583, 6628, 263, 0, 98, 50525, 57514
589, 6416, 776, 0, 98, 50224, 57514
595, 6520, 1755, 0, 96, 49143, 57514
601, 6506, 3708, 0, 90, 47210, 57514
607, 6583, 4307, 0, 83, 46541, 57514
613, 6627, 5491, 0, 77, 45319, 57514
619, 6692, 6917, 0, 73, 43832, 57514
625, 6745, 7071, 0, 72, 43626, 57514
631, 6636, 7473, 0, 58, 43347, 57514
637, 6662, 7410, 0, 57, 43385, 57514
643, 6519, 7445, 0, 45, 43505, 57514
649, 6525, 7490, 0, 46, 43453, 57514
655, 6573, 7439, 0, 46, 43456, 57514
661, 6567, 7358, 0, 48, 43541, 57514
667, 6699, 7002, 0, 41, 43772, 57514
673, 6708, 5532, 0, 43, 45231, 57514
679, 6721, 4490, 0, 43, 46260, 57514
685, 6749, 3512, 0, 43, 47210, 57514
691, 6727, 3013, 0, 43, 47731, 57514
697, 6655, 2205, 0, 36, 48618, 57514
703, 6522, 2129, 0, 36, 48827, 57514
709, 6385, 1850, 0, 36, 49243, 57514
715, 6562, 1242, 0, 34, 49676, 57514
721, 6563, 981, 0, 34, 49936, 57514
727, 6462, 787, 0, 34, 50231, 57514
733, 6573, 616, 0, 35, 50290, 57514
739, 6608, 464, 0, 35, 50407, 57514
745, 6635, 418, 0, 35, 50426, 57514
751, 6539, 467, 0, 34, 50474, 57514
757, 6668, 732, 0, 36, 50078, 57514
763, 6673, 2930, 0, 35, 47876, 57514
769, 6650, 3737, 0, 33, 47094, 57514
775, 6738, 4455, 0, 32, 46289, 57514
781, 6785, 6838, 0, 32, 43859, 57514
787, 6739, 7914, 0, 31, 42830, 57514
793, 6738, 9215, 0, 29, 41532, 57514
799, 6763, 9370, 0, 28, 41353, 57514
805, 6702, 9353, 0, 29, 41430, 57514
811, 6664, 9354, 0, 30, 41466, 57514
817, 6659, 9351, 0, 31, 41473, 57514
823, 6639, 9376, 0, 32, 41467, 57514
829, 6618, 9256, 0, 33, 41607, 57514
835, 6681, 8082, 0, 32, 42719, 57514
841, 6732, 6865, 0, 34, 43883, 57514
847, 6805, 6128, 0, 33, 44548, 57514
853, 6816, 4869, 0, 33, 45796, 57514
859, 6776, 4009, 0, 33, 46696, 57514
865, 6740, 3158, 0, 32, 47584, 57514
871, 6681, 2334, 0, 33, 48466, 57514
877, 6800, 1836, 0, 35, 48843, 57514
883, 6801, 1519, 0, 34, 49160, 57514
889, 6722, 1370, 0, 33, 49389, 57514
895, 6734, 599, 0, 32, 50149, 57514
901, 6645, 641, 0, 33, 50195, 57514
907, 6654, 501, 0, 34, 50325, 57514
913, 6555, 491, 0, 32, 50436, 57514
919, 6395, 636, 0, 31, 50452, 57514
925, 6302, 656, 0, 31, 50525, 57514
931, 6490, 571, 0, 29, 50424, 57514
937, 6596, 1833, 0, 30, 49055, 57514
943, 6618, 2562, 0, 28, 48306, 57514
949, 6696, 3284, 0, 32, 47502, 57514
955, 6730, 4864, 0, 32, 45888, 57514
961, 6629, 5576, 0, 33, 45276, 57514
967, 6652, 5976, 0, 30, 44856, 57514
973, 6759, 5794, 0, 29, 44932, 57514
979, 6665, 5798, 0, 31, 45020, 57514
985, 6756, 5776, 0, 30, 44952, 57514
991, 6680, 5831, 0, 20, 44983, 57514
997, 6694, 5830, 0, 20, 44970, 57514
1003, 6705, 5776, 0, 21, 45012, 57514
1009, 6639, 5493, 0, 22, 45360, 57514
1015, 6680, 5015, 0, 23, 45796, 57514
1021, 6774, 4611, 0, 23, 46106, 57514
1027, 6585, 4039, 0, 21, 46869, 57514
1033, 6579, 3048, 0, 21, 47866, 57514
1039, 6652, 1865, 0, 20, 48977, 57514
1045, 6610, 1389, 0, 21, 49494, 57514
1051, 6516, 1078, 0, 21, 49899, 57514
1057, 6530, 870, 0, 20, 50094, 57514
1063, 6449, 740, 0, 20, 50305, 57514
1069, 6563, 693, 0, 21, 50237, 57514
1075, 6519, 537, 0, 21, 50437, 57514
1081, 6529, 438, 0, 21, 50526, 57514
1087, 6525, 641, 0, 23, 50325, 57514
1093, 6544, 1420, 0, 23, 49527, 57514
1099, 6549, 1423, 0, 23, 49519, 57514
1105, 6577, 2540, 0, 25, 48372, 57514
1111, 6555, 3738, 0, 23, 47198, 57514
1117, 6595, 5452, 0, 23, 45444, 57514
1123, 6632, 6385, 0, 22, 44475, 57514
1129, 6590, 7073, 0, 22, 43829, 57514
