ts, default broker, COLDPower18, EWIIS3, total
359, 57513, 0, 0, 57513
360, 57513, 0, 0, 57513
361, 7126, 0, 50387, 57513
367, 7125, 0, 50388, 57513
373, 7123, 0, 50390, 57513
379, 7122, 0, 50391, 57513
385, 7122, 0, 50391, 57513
391, 7123, 0, 50390, 57513
397, 7122, 0, 50391, 57513
403, 7122, 0, 50391, 57513
409, 7122, 0, 50391, 57513
415, 7122, 0, 50391, 57513
421, 7122, 0, 50391, 57513
427, 7121, 0, 50392, 57513
433, 7120, 0, 50393, 57513
439, 7120, 0, 50393, 57513
445, 7120, 0, 50393, 57513
451, 7120, 0, 50393, 57513
457, 7120, 0, 50393, 57513
463, 7121, 0, 50392, 57513
469, 7121, 0, 50392, 57513
475, 7120, 0, 50393, 57513
481, 7122, 0, 50391, 57513
487, 7121, 0, 50392, 57513
493, 7122, 0, 50391, 57513
499, 7123, 0, 50390, 57513
505, 7123, 0, 50390, 57513
511, 7122, 0, 50391, 57513
517, 7123, 0, 50390, 57513
523, 7122, 0, 50391, 57513
529, 7122, 0, 50391, 57513
535, 7122, 0, 50391, 57513
541, 7121, 0, 50392, 57513
547, 7122, 0, 50391, 57513
553, 7122, 0, 50391, 57513
559, 7121, 0, 50392, 57513
565, 7121, 0, 50392, 57513
571, 7122, 0, 50391, 57513
577, 7122, 0, 50391, 57513
583, 7123, 0, 50390, 57513
589, 7123, 0, 50390, 57513
595, 7122, 0, 50391, 57513
601, 7122, 0, 50391, 57513
607, 7122, 0, 50391, 57513
613, 7122, 0, 50391, 57513
619, 7122, 0, 50391, 57513
625, 7123, 0, 50390, 57513
631, 7123, 0, 50390, 57513
637, 7124, 0, 50389, 57513
643, 7124, 0, 50389, 57513
649, 7124, 0, 50389, 57513
655, 7123, 0, 50390, 57513
661, 7124, 0, 50389, 57513
667, 7124, 0, 50389, 57513
673, 7124, 0, 50389, 57513
679, 7123, 0, 50390, 57513
685, 7124, 0, 50389, 57513
691, 7122, 0, 50391, 57513
697, 7121, 0, 50392, 57513
703, 7121, 0, 50392, 57513
709, 7121, 0, 50392, 57513
715, 7121, 0, 50392, 57513
721, 7121, 0, 50392, 57513
727, 7121, 0, 50392, 57513
733, 7121, 0, 50392, 57513
739, 7121, 0, 50392, 57513
745, 7122, 0, 50391, 57513
751, 7121, 0, 50392, 57513
757, 7121, 0, 50392, 57513
763, 7122, 0, 50391, 57513
769, 7122, 0, 50391, 57513
775, 7122, 0, 50391, 57513
781, 7122, 0, 50391, 57513
787, 7122, 0, 50391, 57513
793, 7122, 0, 50391, 57513
799, 7122, 0, 50391, 57513
805, 7122, 0, 50391, 57513
811, 7124, 0, 50389, 57513
817, 7123, 0, 50390, 57513
823, 7123, 0, 50390, 57513
829, 7125, 0, 50388, 57513
835, 7123, 0, 50390, 57513
841, 7123, 0, 50390, 57513
847, 7123, 0, 50390, 57513
853, 7123, 0, 50390, 57513
859, 7122, 0, 50391, 57513
865, 7123, 0, 50390, 57513
871, 7123, 0, 50390, 57513
877, 7122, 0, 50391, 57513
883, 7121, 0, 50392, 57513
889, 7121, 0, 50392, 57513
895, 7121, 0, 50392, 57513
901, 7121, 0, 50392, 57513
907, 7121, 0, 50392, 57513
913, 7121, 0, 50392, 57513
919, 7121, 0, 50392, 57513
925, 7121, 0, 50392, 57513
931, 7122, 0, 50391, 57513
937, 7121, 0, 50392, 57513
943, 7121, 0, 50392, 57513
949, 7121, 0, 50392, 57513
955, 7121, 0, 50392, 57513
961, 7121, 0, 50392, 57513
967, 7121, 0, 50392, 57513
973, 7121, 0, 50392, 57513
979, 7121, 0, 50392, 57513
985, 7121, 0, 50392, 57513
991, 7122, 0, 50391, 57513
997, 7122, 0, 50391, 57513
1003, 7124, 0, 50389, 57513
1009, 7124, 0, 50389, 57513
1015, 7124, 0, 50389, 57513
1021, 7125, 0, 50388, 57513
1027, 7123, 0, 50390, 57513
1033, 7122, 0, 50391, 57513
1039, 7122, 0, 50391, 57513
1045, 7122, 0, 50391, 57513
1051, 7122, 0, 50391, 57513
1057, 7122, 0, 50391, 57513
1063, 7122, 0, 50391, 57513
1069, 7122, 0, 50391, 57513
1075, 7123, 0, 50390, 57513
1081, 7123, 0, 50390, 57513
1087, 7122, 0, 50391, 57513
1093, 7121, 0, 50392, 57513
1099, 7121, 0, 50392, 57513
1105, 7122, 0, 50391, 57513
1111, 7122, 0, 50391, 57513
1117, 7122, 0, 50391, 57513
1123, 7122, 0, 50391, 57513
1129, 7122, 0, 50391, 57513
1135, 7122, 0, 50391, 57513
1141, 7122, 0, 50391, 57513
1147, 7122, 0, 50391, 57513
1153, 7122, 0, 50391, 57513
1159, 7121, 0, 50392, 57513
1165, 7121, 0, 50392, 57513
1171, 7121, 0, 50392, 57513
1177, 7123, 0, 50390, 57513
1183, 7123, 0, 50390, 57513
1189, 7123, 0, 50390, 57513
1195, 7123, 0, 50390, 57513
1201, 7123, 0, 50390, 57513
1207, 7123, 0, 50390, 57513
1213, 7122, 0, 50391, 57513
1219, 7121, 0, 50392, 57513
1225, 7122, 0, 50391, 57513
1231, 7122, 0, 50391, 57513
1237, 7122, 0, 50391, 57513
1243, 7122, 0, 50391, 57513
1249, 7121, 0, 50392, 57513
1255, 7121, 0, 50392, 57513
1261, 7121, 0, 50392, 57513
1267, 7122, 0, 50391, 57513
