ts, default broker, CrocodileAgent, COLDPower18, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 7041, 50468, 0, 57509
367, 6878, 50631, 0, 57509
373, 6760, 50749, 0, 57509
379, 6810, 50699, 0, 57509
385, 6867, 50642, 0, 57509
391, 6908, 50601, 0, 57509
397, 6799, 50710, 0, 57509
403, 6668, 50841, 0, 57509
409, 6764, 50745, 0, 57509
415, 6775, 50734, 0, 57509
421, 6853, 50656, 0, 57509
427, 6939, 50570, 0, 57509
433, 7009, 50500, 0, 57509
439, 6935, 50574, 0, 57509
445, 6959, 50550, 0, 57509
451, 6954, 50555, 0, 57509
457, 6941, 50568, 0, 57509
463, 6970, 50539, 0, 57509
469, 6943, 50566, 0, 57509
475, 6931, 50578, 0, 57509
481, 6892, 50617, 0, 57509
487, 6933, 50576, 0, 57509
493, 6867, 50642, 0, 57509
499, 6850, 50659, 0, 57509
505, 6821, 50688, 0, 57509
511, 6684, 50825, 0, 57509
517, 6715, 50794, 0, 57509
523, 6846, 50663, 0, 57509
529, 6877, 50632, 0, 57509
535, 6924, 50585, 0, 57509
541, 6797, 50712, 0, 57509
547, 6779, 50730, 0, 57509
553, 6785, 50724, 0, 57509
559, 6706, 50803, 0, 57509
565, 6657, 50852, 0, 57509
571, 6654, 50855, 0, 57509
577, 6741, 50768, 0, 57509
583, 6765, 50744, 0, 57509
589, 6819, 50690, 0, 57509
595, 6847, 50662, 0, 57509
601, 6857, 50652, 0, 57509
607, 6881, 50628, 0, 57509
613, 6774, 50735, 0, 57509
619, 6904, 50605, 0, 57509
625, 6787, 50722, 0, 57509
631, 6921, 50588, 0, 57509
637, 6934, 50575, 0, 57509
643, 6933, 50576, 0, 57509
649, 6919, 50590, 0, 57509
655, 6933, 50576, 0, 57509
661, 6937, 50572, 0, 57509
667, 6952, 50557, 0, 57509
673, 6912, 50597, 0, 57509
679, 6886, 50623, 0, 57509
685, 6822, 50687, 0, 57509
691, 6843, 50666, 0, 57509
697, 6915, 50594, 0, 57509
703, 6823, 50686, 0, 57509
709, 6913, 50596, 0, 57509
715, 6939, 50570, 0, 57509
721, 6886, 50623, 0, 57509
727, 6920, 50589, 0, 57509
733, 6890, 50619, 0, 57509
739, 6901, 50608, 0, 57509
745, 6840, 50669, 0, 57509
751, 6925, 50584, 0, 57509
757, 6842, 50667, 0, 57509
763, 6844, 50665, 0, 57509
769, 6895, 50614, 0, 57509
775, 6896, 50613, 0, 57509
781, 6940, 50569, 0, 57509
787, 6942, 50567, 0, 57509
793, 6930, 50579, 0, 57509
799, 6961, 50548, 0, 57509
805, 6803, 50706, 0, 57509
811, 6721, 50788, 0, 57509
817, 6815, 50694, 0, 57509
823, 6866, 50643, 0, 57509
829, 6850, 50659, 0, 57509
835, 6910, 50599, 0, 57509
841, 6837, 50672, 0, 57509
847, 6846, 50663, 0, 57509
853, 6738, 50771, 0, 57509
859, 6748, 50761, 0, 57509
865, 6841, 50668, 0, 57509
871, 7017, 50492, 0, 57509
877, 7046, 50463, 0, 57509
883, 7071, 50438, 0, 57509
889, 6987, 50522, 0, 57509
895, 6916, 50593, 0, 57509
901, 6934, 50575, 0, 57509
907, 6867, 50642, 0, 57509
913, 6903, 50606, 0, 57509
919, 6881, 50628, 0, 57509
925, 6893, 50616, 0, 57509
931, 6931, 50578, 0, 57509
937, 6892, 50617, 0, 57509
943, 6850, 50659, 0, 57509
949, 6780, 50729, 0, 57509
955, 6868, 50641, 0, 57509
961, 6886, 50623, 0, 57509
967, 6846, 50663, 0, 57509
973, 6812, 50697, 0, 57509
979, 6731, 50778, 0, 57509
985, 6704, 50805, 0, 57509
991, 6713, 50796, 0, 57509
997, 6825, 50684, 0, 57509
1003, 6825, 50684, 0, 57509
1009, 6851, 50658, 0, 57509
1015, 6921, 50588, 0, 57509
1021, 6842, 50667, 0, 57509
1027, 6885, 50624, 0, 57509
1033, 6826, 50683, 0, 57509
1039, 6786, 50723, 0, 57509
1045, 6843, 50666, 0, 57509
1051, 6941, 50568, 0, 57509
1057, 6954, 50555, 0, 57509
1063, 6916, 50593, 0, 57509
1069, 6954, 50555, 0, 57509
1075, 6989, 50520, 0, 57509
1081, 6968, 50541, 0, 57509
1087, 6943, 50566, 0, 57509
1093, 6780, 50729, 0, 57509
1099, 6751, 50758, 0, 57509
1105, 6728, 50781, 0, 57509
1111, 6834, 50675, 0, 57509
1117, 6779, 50730, 0, 57509
1123, 6755, 50754, 0, 57509
1129, 6822, 50687, 0, 57509
1135, 6872, 50637, 0, 57509
1141, 6882, 50627, 0, 57509
1147, 6845, 50664, 0, 57509
1153, 6865, 50644, 0, 57509
1159, 6822, 50687, 0, 57509
1165, 6614, 50895, 0, 57509
1171, 6680, 50829, 0, 57509
1177, 6723, 50786, 0, 57509
1183, 6775, 50734, 0, 57509
1189, 6829, 50680, 0, 57509
1195, 6880, 50629, 0, 57509
1201, 6800, 50709, 0, 57509
1207, 6791, 50718, 0, 57509
1213, 6812, 50697, 0, 57509
1219, 6923, 50586, 0, 57509
1225, 6955, 50554, 0, 57509
1231, 6932, 50577, 0, 57509
1237, 6994, 50515, 0, 57509
1243, 6891, 50618, 0, 57509
1249, 6823, 50686, 0, 57509
1255, 6778, 50731, 0, 57509
