ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 15, 164, 1775, 12708, 42851, 57513
367, 11, 164, 1029, 12993, 43316, 57513
373, 11, 164, 707, 13289, 43342, 57513
379, 11, 153, 559, 13416, 43374, 57513
385, 11, 3, 363, 13762, 43374, 57513
391, 11, 3, 304, 13820, 43375, 57513
397, 11, 3, 282, 13843, 43374, 57513
403, 10, 3, 800, 54501, 2199, 57513
409, 10, 2, 673, 56584, 244, 57513
415, 11, 3, 563, 56925, 11, 57513
421, 11, 4, 539, 56949, 10, 57513
427, 11, 4, 520, 56967, 11, 57513
433, 10, 63, 1094, 56315, 31, 57513
439, 9, 152, 1787, 55413, 152, 57513
445, 9, 262, 2628, 54571, 43, 57513
451, 9, 263, 2499, 54638, 104, 57513
457, 8, 313, 2369, 54750, 73, 57513
463, 8, 313, 2175, 54942, 75, 57513
469, 9, 343, 1964, 55102, 95, 57513
475, 9, 342, 1842, 55225, 95, 57513
481, 9, 645, 1440, 55321, 98, 57513
487, 10, 556, 1228, 55714, 5, 57513
493, 10, 774, 998, 55726, 5, 57513
499, 10, 882, 856, 55760, 5, 57513
505, 11, 821, 696, 55981, 4, 57513
511, 11, 1017, 525, 55956, 4, 57513
517, 10, 986, 527, 55986, 4, 57513
523, 10, 816, 507, 56176, 4, 57513
529, 10, 14, 498, 56986, 5, 57513
535, 9, 14, 396, 57088, 6, 57513
541, 9, 16, 384, 57098, 6, 57513
547, 9, 17, 320, 57161, 6, 57513
553, 9, 2, 292, 57204, 6, 57513
559, 9, 1, 266, 57231, 6, 57513
565, 8, 1, 259, 57240, 5, 57513
571, 8, 4, 234, 57262, 5, 57513
577, 8, 3, 231, 57265, 6, 57513
583, 8, 3, 210, 57286, 6, 57513
589, 9, 3, 209, 57286, 6, 57513
595, 9, 155, 210, 57134, 5, 57513
601, 9, 258, 210, 57030, 6, 57513
607, 9, 1104, 212, 56183, 5, 57513
613, 8, 3291, 213, 53998, 3, 57513
619, 10, 3294, 212, 53994, 3, 57513
625, 10, 3524, 212, 53764, 3, 57513
631, 10, 3714, 212, 53574, 3, 57513
637, 10, 3788, 212, 53500, 3, 57513
643, 10, 3823, 191, 53486, 3, 57513
649, 10, 534, 193, 56772, 4, 57513
655, 10, 531, 192, 56776, 4, 57513
661, 9, 534, 193, 56773, 4, 57513
667, 9, 533, 194, 56773, 4, 57513
673, 10, 529, 194, 56777, 3, 57513
679, 11, 663, 193, 56643, 3, 57513
685, 11, 798, 190, 56509, 5, 57513
691, 10, 794, 193, 56511, 5, 57513
697, 12, 885, 191, 56422, 3, 57513
703, 11, 812, 191, 56496, 3, 57513
709, 11, 790, 187, 56522, 3, 57513
715, 11, 749, 186, 56563, 4, 57513
721, 11, 648, 164, 56685, 5, 57513
727, 9, 555, 166, 56778, 5, 57513
733, 10, 415, 164, 56920, 4, 57513
739, 12, 275, 158, 57064, 4, 57513
745, 12, 151, 119, 57227, 4, 57513
751, 11, 101, 121, 57276, 4, 57513
757, 10, 41, 120, 57336, 6, 57513
763, 8, 23, 121, 57354, 7, 57513
769, 8, 445, 124, 56785, 151, 57513
775, 10, 594, 122, 56636, 151, 57513
781, 9, 1686, 125, 55690, 3, 57513
787, 8, 1821, 126, 55554, 4, 57513
793, 7, 1960, 129, 55414, 3, 57513
799, 7, 1959, 129, 55414, 4, 57513
805, 9, 1959, 124, 55416, 5, 57513
811, 10, 1925, 123, 55450, 5, 57513
817, 10, 2011, 122, 55363, 7, 57513
823, 10, 1445, 121, 55930, 7, 57513
829, 9, 1384, 112, 56002, 6, 57513
835, 9, 877, 114, 56509, 4, 57513
841, 8, 728, 115, 56658, 4, 57513
847, 9, 547, 113, 56839, 5, 57513
853, 9, 480, 117, 56901, 6, 57513
859, 9, 511, 115, 56873, 5, 57513
865, 8, 0, 102, 57399, 4, 57513
871, 6, 0, 89, 57414, 4, 57513
877, 9, 2, 92, 57407, 3, 57513
883, 10, 76, 67, 57356, 4, 57513
889, 1898, 90, 69, 55452, 4, 57513
895, 2245, 90, 68, 55105, 5, 57513
901, 2572, 90, 67, 54779, 5, 57513
907, 2790, 91, 69, 54560, 3, 57513
913, 3793, 91, 69, 53557, 3, 57513
919, 3842, 91, 69, 53508, 3, 57513
925, 3750, 90, 66, 53603, 4, 57513
931, 3506, 90, 67, 53847, 3, 57513
937, 3350, 90, 69, 54000, 4, 57513
943, 3439, 90, 61, 53915, 8, 57513
949, 3518, 91, 60, 53838, 6, 57513
955, 3368, 92, 58, 53989, 6, 57513
961, 3580, 92, 58, 53777, 6, 57513
967, 3567, 92, 47, 53800, 7, 57513
973, 3601, 90, 48, 53767, 7, 57513
979, 3516, 90, 48, 53853, 6, 57513
985, 3550, 90, 50, 53818, 5, 57513
991, 3141, 90, 51, 54227, 4, 57513
997, 3348, 1517, 53, 51295, 1300, 57513
1003, 3629, 1513, 49, 51227, 1095, 57513
1009, 3625, 1512, 47, 51427, 902, 57513
1015, 3625, 1512, 46, 51749, 581, 57513
1021, 3487, 1607, 47, 51898, 474, 57513
1027, 3470, 1605, 46, 52130, 262, 57513
1033, 3554, 120, 45, 53789, 5, 57513
1039, 3419, 120, 44, 53925, 5, 57513
1045, 3440, 121, 46, 53896, 10, 57513
1051, 3948, 121, 45, 53392, 7, 57513
1057, 4032, 122, 47, 53306, 6, 57513
1063, 3801, 122, 47, 53537, 6, 57513
1069, 3766, 122, 46, 53572, 7, 57513
1075, 3674, 122, 47, 53666, 4, 57513
1081, 3482, 91, 49, 53887, 4, 57513
1087, 3413, 92, 49, 53955, 4, 57513
1093, 3396, 92, 50, 53971, 4, 57513
1099, 3306, 320, 50, 53833, 4, 57513
1105, 3274, 681, 51, 53503, 4, 57513
1111, 3330, 784, 49, 53345, 5, 57513
1117, 3255, 1033, 50, 53171, 4, 57513
1123, 3402, 1240, 50, 52816, 5, 57513
1129, 3456, 1511, 49, 52488, 9, 57513
1135, 3605, 1535, 50, 52313, 10, 57513
1141, 3625, 1517, 51, 52311, 9, 57513
1147, 3590, 1338, 51, 52527, 7, 57513
1153, 3505, 1292, 51, 52658, 7, 57513
1159, 3369, 1072, 54, 53014, 4, 57513
1165, 3482, 1157, 55, 52813, 6, 57513
1171, 3447, 1043, 52, 52965, 6, 57513
1177, 3546, 840, 51, 53071, 5, 57513
1183, 3595, 640, 53, 53220, 5, 57513
1189, 3584, 699, 54, 53170, 6, 57513
1195, 3761, 579, 51, 53117, 5, 57513
1201, 3656, 539, 48, 53265, 5, 57513
1207, 3664, 478, 48, 53317, 6, 57513
1213, 3664, 409, 47, 53387, 6, 57513
1219, 3643, 378, 48, 53438, 6, 57513
1225, 3695, 347, 49, 53417, 5, 57513
1231, 3721, 208, 50, 53530, 4, 57513
1237, 3837, 178, 49, 53445, 4, 57513
1243, 3649, 146, 50, 53664, 4, 57513
1249, 3815, 145, 50, 53499, 4, 57513
1255, 3781, 110, 49, 53569, 4, 57513
1261, 3765, 90, 49, 53605, 4, 57513
1267, 3564, 229, 50, 53667, 3, 57513
1273, 3522, 252, 49, 53686, 4, 57513
1279, 3743, 253, 48, 53465, 4, 57513
1285, 3707, 260, 50, 53493, 3, 57513
1291, 3681, 258, 50, 53519, 5, 57513
1297, 3797, 378, 53, 53282, 3, 57513
1303, 3701, 611, 51, 53146, 4, 57513
1309, 3588, 736, 54, 53132, 3, 57513
1315, 3673, 737, 55, 53043, 5, 57513
1321, 3747, 739, 53, 52900, 74, 57513
1327, 3745, 777, 51, 52937, 3, 57513
1333, 3707, 841, 49, 52907, 9, 57513
1339, 3699, 811, 47, 52946, 10, 57513
1345, 3484, 788, 49, 53184, 8, 57513
1351, 3533, 664, 48, 53260, 8, 57513
1357, 3390, 571, 59, 53454, 39, 57513
1363, 3655, 540, 44, 53236, 38, 57513
1369, 3689, 463, 47, 53308, 6, 57513
1375, 3632, 292, 46, 53537, 6, 57513
1381, 3634, 230, 46, 53597, 6, 57513
1387, 3498, 230, 42, 53737, 6, 57513
1393, 3549, 204, 45, 53709, 6, 57513
1399, 3537, 150, 47, 53773, 6, 57513
1405, 3570, 150, 48, 53739, 6, 57513
1411, 3604, 150, 45, 53708, 6, 57513
1417, 3513, 150, 44, 53799, 7, 57513
1423, 3327, 130, 44, 54005, 7, 57513
1429, 3387, 91, 42, 53985, 8, 57513
1435, 3524, 232, 42, 53568, 147, 57513
1441, 3517, 473, 45, 53333, 145, 57513
1447, 3330, 718, 45, 53355, 65, 57513
1453, 3527, 786, 46, 53147, 7, 57513
1459, 3594, 919, 45, 52945, 10, 57513
1465, 3629, 995, 45, 52827, 17, 57513
1471, 3781, 1224, 46, 52447, 15, 57513
1477, 3748, 1463, 89, 52021, 192, 57513
1483, 3756, 1426, 88, 52053, 190, 57513
1489, 3651, 1316, 85, 52354, 107, 57513
1495, 3464, 1134, 86, 52728, 101, 57513
1501, 3467, 1298, 88, 52475, 185, 57513
1507, 3366, 1127, 87, 52860, 73, 57513
1513, 3436, 1158, 57, 52819, 43, 57513
1519, 3333, 953, 59, 53081, 87, 57513
1525, 3220, 1079, 48, 53090, 76, 57513
1531, 3394, 939, 48, 53059, 73, 57513
1537, 3426, 928, 49, 53107, 3, 57513
1543, 3262, 745, 48, 53455, 3, 57513
1549, 3233, 682, 49, 53546, 3, 57513
1555, 3287, 607, 45, 53571, 3, 57513
1561, 3357, 519, 46, 53587, 4, 57513
1567, 3327, 486, 46, 53650, 4, 57513
1573, 3237, 222, 43, 54007, 4, 57513
1579, 3386, 201, 43, 53879, 4, 57513
1585, 3537, 171, 44, 53756, 5, 57513
1591, 3725, 171, 43, 53569, 5, 57513
1597, 3794, 141, 42, 53531, 5, 57513
1603, 3746, 113, 40, 53608, 6, 57513
1609, 3870, 683, 41, 52774, 145, 57513
1615, 3942, 685, 42, 52699, 145, 57513
1621, 3494, 786, 44, 53149, 40, 57513
