ts, default broker, SPOT, COLDPower18, VidyutVanika, EWIIS3, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 17, 11829, 0, 30607, 15060, 57513
367, 11, 12689, 0, 33637, 11176, 57513
373, 10, 13392, 0, 34555, 9556, 57513
379, 11, 13790, 0, 35156, 8556, 57513
385, 10, 14030, 0, 35746, 7727, 57513
391, 10, 14058, 0, 36556, 6889, 57513
397, 10, 14060, 0, 38868, 4575, 57513
403, 8, 12338, 0, 40941, 4226, 57513
409, 8, 8895, 0, 45670, 2940, 57513
415, 8, 6882, 0, 48154, 2469, 57513
421, 9, 5265, 0, 49992, 2247, 57513
427, 9, 4606, 0, 50927, 1971, 57513
433, 7, 126, 0, 55582, 1798, 57513
439, 7, 164, 0, 55536, 1806, 57513
445, 6, 164, 0, 55708, 1635, 57513
451, 6, 423, 0, 54473, 2611, 57513
457, 6, 724, 0, 52723, 4060, 57513
463, 5, 1224, 0, 52344, 3940, 57513
469, 5, 2369, 0, 51381, 3758, 57513
475, 5, 2732, 0, 51262, 3514, 57513
481, 5, 2798, 0, 51395, 3315, 57513
487, 5, 2818, 0, 51628, 3062, 57513
493, 5, 2789, 0, 51708, 3011, 57513
499, 5, 2684, 0, 51984, 2840, 57513
505, 6, 2581, 0, 52179, 2747, 57513
511, 7, 2371, 0, 52502, 2633, 57513
517, 8, 2309, 0, 52646, 2550, 57513
523, 8, 2296, 0, 52720, 2489, 57513
529, 8, 2215, 0, 52843, 2447, 57513
535, 8, 1875, 0, 53223, 2407, 57513
541, 8, 1902, 0, 53218, 2385, 57513
547, 8, 1492, 0, 53639, 2374, 57513
553, 7, 892, 0, 54258, 2356, 57513
559, 33, 1176, 0, 53951, 2353, 57513
565, 30, 1204, 0, 54026, 2253, 57513
571, 30, 1356, 0, 53889, 2238, 57513
577, 32, 1334, 0, 53938, 2209, 57513
583, 33, 1339, 0, 53959, 2182, 57513
589, 11, 1337, 0, 54025, 2140, 57513
595, 7, 1059, 0, 54431, 2016, 57513
601, 6, 940, 0, 54692, 1875, 57513
607, 5, 690, 0, 55145, 1673, 57513
613, 5, 556, 0, 55360, 1592, 57513
619, 5, 809, 0, 55129, 1570, 57513
625, 5, 1349, 0, 54629, 1530, 57513
631, 5, 1505, 0, 54473, 1530, 57513
637, 5, 4418, 0, 51559, 1531, 57513
643, 5, 4640, 0, 51377, 1491, 57513
649, 5, 4518, 0, 51497, 1493, 57513
655, 5, 4390, 0, 51686, 1432, 57513
661, 5, 4434, 0, 51659, 1415, 57513
667, 6, 4107, 0, 52006, 1394, 57513
673, 6, 4680, 0, 51495, 1332, 57513
679, 6, 4269, 0, 51946, 1292, 57513
685, 6, 4101, 0, 52115, 1291, 57513
691, 6, 3365, 0, 52860, 1282, 57513
697, 5, 2890, 0, 53332, 1286, 57513
703, 5, 2935, 0, 53331, 1242, 57513
709, 5, 2725, 0, 53542, 1241, 57513
715, 6, 2256, 0, 54034, 1217, 57513
721, 6, 1974, 0, 54355, 1178, 57513
727, 8, 1756, 0, 54585, 1164, 57513
733, 8, 1502, 0, 54840, 1163, 57513
739, 8, 1230, 0, 55172, 1103, 57513
745, 8, 937, 0, 55484, 1084, 57513
751, 8, 576, 0, 55865, 1064, 57513
757, 8, 296, 0, 56145, 1064, 57513
763, 8, 252, 0, 56250, 1003, 57513
769, 7, 181, 0, 56321, 1004, 57513
775, 7, 310, 0, 56191, 1005, 57513
781, 7, 319, 0, 56201, 986, 57513
787, 7, 524, 0, 55996, 986, 57513
793, 7, 1532, 0, 54997, 977, 57513
799, 6, 2090, 0, 54303, 1114, 57513
805, 5, 3184, 0, 53239, 1085, 57513
811, 5, 3881, 0, 52572, 1055, 57513
817, 5, 3930, 0, 52553, 1025, 57513
823, 5, 4326, 0, 52158, 1024, 57513
829, 5, 5232, 0, 51270, 1006, 57513
835, 5, 5707, 0, 50794, 1007, 57513
841, 6, 5763, 0, 50769, 975, 57513
847, 5, 5480, 0, 51052, 976, 57513
853, 5, 5235, 0, 51298, 975, 57513
859, 5, 5074, 0, 51457, 977, 57513
865, 3, 4454, 0, 52260, 796, 57513
871, 3, 3788, 0, 53038, 684, 57513
877, 4, 2863, 0, 54025, 621, 57513
883, 3, 1994, 0, 55036, 480, 57513
889, 1, 43, 0, 57028, 441, 57513
895, 1, 45, 0, 57166, 301, 57513
901, 1, 65, 0, 57168, 279, 57513
907, 1, 70, 0, 57193, 249, 57513
913, 2172, 93, 0, 54998, 250, 57513
919, 2571, 93, 0, 54640, 209, 57513
925, 2668, 93, 0, 54567, 185, 57513
931, 2703, 93, 0, 54532, 185, 57513
937, 3694, 93, 0, 53540, 186, 57513
943, 3688, 93, 0, 53586, 146, 57513
949, 3676, 94, 0, 53598, 145, 57513
955, 3691, 94, 0, 53582, 146, 57513
961, 3452, 93, 0, 53842, 126, 57513
967, 3425, 2362, 0, 51593, 133, 57513
973, 3219, 2298, 0, 51893, 103, 57513
979, 3145, 2294, 0, 51977, 97, 57513
985, 3427, 2294, 0, 51696, 96, 57513
991, 3247, 2294, 0, 51897, 75, 57513
997, 3369, 2394, 0, 51671, 79, 57513
1003, 3935, 2369, 0, 51131, 78, 57513
1009, 3944, 1887, 0, 51604, 78, 57513
1015, 3917, 1304, 0, 52217, 75, 57513
1021, 3774, 1033, 0, 52634, 72, 57513
1027, 3739, 832, 0, 52872, 70, 57513
1033, 3579, 725, 0, 53135, 74, 57513
1039, 3772, 525, 0, 53141, 75, 57513
1045, 3681, 383, 0, 53372, 77, 57513
1051, 3794, 271, 0, 53370, 78, 57513
1057, 3730, 199, 0, 53510, 74, 57513
1063, 3593, 239, 0, 53607, 74, 57513
1069, 3474, 219, 0, 53748, 72, 57513
1075, 3592, 231, 0, 53618, 72, 57513
1081, 3507, 209, 0, 53724, 73, 57513
1087, 3473, 189, 0, 53779, 72, 57513
1093, 3409, 189, 0, 53844, 71, 57513
1099, 3290, 199, 0, 53952, 72, 57513
1105, 3224, 189, 0, 54029, 71, 57513
1111, 3352, 190, 0, 53901, 70, 57513
1117, 3363, 242, 0, 53837, 71, 57513
1123, 3419, 314, 0, 53706, 74, 57513
1129, 3486, 340, 0, 53612, 75, 57513
1135, 3527, 768, 0, 53132, 86, 57513
1141, 3680, 710, 0, 53040, 83, 57513
1147, 3584, 777, 0, 53071, 81, 57513
1153, 3719, 895, 0, 52816, 83, 57513
1159, 3696, 958, 0, 52783, 76, 57513
1165, 3678, 1682, 0, 52078, 75, 57513
1171, 3671, 1729, 0, 52038, 75, 57513
1177, 3749, 155, 0, 53531, 78, 57513
1183, 3762, 216, 0, 53454, 81, 57513
1189, 3696, 270, 0, 53470, 77, 57513
1195, 3816, 270, 0, 53352, 75, 57513
1201, 3985, 528, 0, 52923, 77, 57513
1207, 3894, 597, 0, 52946, 76, 57513
1213, 4027, 668, 0, 52740, 78, 57513
1219, 3846, 802, 0, 52787, 78, 57513
1225, 3917, 872, 0, 52647, 77, 57513
1231, 3592, 842, 0, 53003, 76, 57513
1237, 3299, 838, 0, 53300, 76, 57513
1243, 3411, 744, 0, 53282, 76, 57513
1249, 3496, 634, 0, 53306, 77, 57513
1255, 3361, 490, 0, 53586, 76, 57513
1261, 3411, 348, 0, 53679, 75, 57513
1267, 3547, 305, 0, 53586, 75, 57513
1273, 3649, 391, 0, 53398, 75, 57513
1279, 3677, 391, 0, 53371, 74, 57513
1285, 3359, 290, 0, 53788, 76, 57513
1291, 3373, 265, 0, 53798, 77, 57513
1297, 3168, 269, 0, 54001, 75, 57513
1303, 3193, 951, 0, 53292, 77, 57513
1309, 3304, 1724, 0, 52408, 77, 57513
1315, 3208, 1723, 0, 52499, 83, 57513
1321, 3171, 2142, 0, 52119, 81, 57513
1327, 3302, 2142, 0, 51992, 77, 57513
1333, 3324, 2249, 0, 51862, 78, 57513
1339, 3270, 2457, 0, 51708, 78, 57513
1345, 3298, 2465, 0, 51673, 77, 57513
1351, 3160, 1850, 0, 52422, 81, 57513
1357, 3554, 1928, 0, 51951, 80, 57513
1363, 3558, 1741, 0, 52135, 79, 57513
1369, 3627, 1563, 0, 52240, 83, 57513
1375, 3507, 1535, 0, 52392, 79, 57513
1381, 3370, 1471, 0, 52591, 81, 57513
1387, 3540, 1250, 0, 52644, 79, 57513
1393, 3523, 1063, 0, 52849, 78, 57513
1399, 3744, 934, 0, 52760, 75, 57513
1405, 3776, 713, 0, 52948, 76, 57513
1411, 3776, 503, 0, 53156, 78, 57513
1417, 3692, 367, 0, 53376, 78, 57513
1423, 3731, 285, 0, 53422, 75, 57513
1429, 3684, 236, 0, 53518, 75, 57513
1435, 3593, 205, 0, 53641, 74, 57513
1441, 3763, 185, 0, 53492, 73, 57513
1447, 3837, 185, 0, 53418, 73, 57513
1453, 3984, 164, 0, 53293, 72, 57513
1459, 3960, 415, 0, 53066, 72, 57513
1465, 3959, 776, 0, 52704, 74, 57513
1471, 3635, 779, 0, 53023, 76, 57513
1477, 3605, 1279, 0, 52552, 77, 57513
1483, 3366, 2103, 0, 51966, 78, 57513
1489, 3259, 2195, 0, 51981, 78, 57513
1495, 3177, 2335, 0, 51923, 78, 57513
1501, 3289, 2212, 0, 51939, 73, 57513
1507, 3319, 2199, 0, 51924, 71, 57513
1513, 3355, 2144, 0, 51940, 74, 57513
1519, 3447, 2098, 0, 51893, 75, 57513
1525, 3226, 1699, 0, 52514, 74, 57513
1531, 3113, 1316, 0, 53005, 79, 57513
1537, 3128, 1153, 0, 53153, 79, 57513
1543, 2931, 1234, 0, 53271, 77, 57513
1549, 2974, 1113, 0, 53347, 79, 57513
1555, 3042, 1167, 0, 53227, 77, 57513
1561, 3114, 910, 0, 53409, 80, 57513
1567, 3207, 871, 0, 53354, 81, 57513
1573, 3240, 728, 0, 53468, 77, 57513
1579, 3312, 666, 0, 53459, 76, 57513
1585, 3370, 618, 0, 53447, 78, 57513
1591, 3441, 490, 0, 53504, 78, 57513
