ts, default broker, SPOT, COLDPower18, total
359, 57515, 0, 0, 57515
360, 57515, 0, 0, 57515
361, 7068, 50447, 0, 57515
367, 7067, 50448, 0, 57515
373, 7068, 50447, 0, 57515
379, 7067, 50448, 0, 57515
391, 7067, 50448, 0, 57515
397, 7067, 50448, 0, 57515
403, 7067, 50448, 0, 57515
409, 7067, 50448, 0, 57515
415, 7067, 50448, 0, 57515
421, 7069, 50446, 0, 57515
427, 7069, 50446, 0, 57515
433, 7068, 50447, 0, 57515
439, 7071, 50444, 0, 57515
445, 7068, 50447, 0, 57515
451, 7069, 50446, 0, 57515
457, 7068, 50447, 0, 57515
463, 7068, 50447, 0, 57515
469, 7068, 50447, 0, 57515
475, 7067, 50448, 0, 57515
481, 7066, 50449, 0, 57515
493, 7067, 50448, 0, 57515
499, 7068, 50447, 0, 57515
505, 7068, 50447, 0, 57515
511, 7069, 50446, 0, 57515
517, 7067, 50448, 0, 57515
523, 7069, 50446, 0, 57515
529, 7069, 50446, 0, 57515
535, 7069, 50446, 0, 57515
541, 7069, 50446, 0, 57515
547, 7069, 50446, 0, 57515
553, 7069, 50446, 0, 57515
559, 7065, 50450, 0, 57515
565, 7064, 50451, 0, 57515
571, 7064, 50451, 0, 57515
577, 7067, 50448, 0, 57515
583, 7071, 50444, 0, 57515
589, 7071, 50444, 0, 57515
595, 7071, 50444, 0, 57515
601, 7069, 50446, 0, 57515
607, 7067, 50448, 0, 57515
619, 7070, 50445, 0, 57515
625, 7072, 50443, 0, 57515
631, 7072, 50443, 0, 57515
637, 7071, 50444, 0, 57515
643, 7070, 50445, 0, 57515
655, 7068, 50447, 0, 57515
661, 7068, 50447, 0, 57515
667, 7070, 50445, 0, 57515
673, 7066, 50449, 0, 57515
679, 7065, 50450, 0, 57515
685, 7065, 50450, 0, 57515
691, 7064, 50451, 0, 57515
697, 7065, 50450, 0, 57515
703, 7064, 50451, 0, 57515
709, 7065, 50450, 0, 57515
715, 7064, 50451, 0, 57515
721, 7066, 50449, 0, 57515
727, 7065, 50450, 0, 57515
733, 7066, 50449, 0, 57515
739, 7068, 50447, 0, 57515
745, 7068, 50447, 0, 57515
751, 7066, 50449, 0, 57515
757, 7067, 50448, 0, 57515
763, 7067, 50448, 0, 57515
769, 7067, 50448, 0, 57515
775, 7067, 50448, 0, 57515
781, 7067, 50448, 0, 57515
787, 7067, 50448, 0, 57515
793, 7068, 50447, 0, 57515
799, 7068, 50447, 0, 57515
805, 7066, 50449, 0, 57515
811, 7067, 50448, 0, 57515
817, 7068, 50447, 0, 57515
823, 7068, 50447, 0, 57515
829, 7068, 50447, 0, 57515
841, 7069, 50446, 0, 57515
847, 7067, 50448, 0, 57515
853, 7066, 50449, 0, 57515
859, 7063, 50452, 0, 57515
865, 7062, 50453, 0, 57515
871, 7062, 50453, 0, 57515
883, 7063, 50452, 0, 57515
889, 7065, 50450, 0, 57515
895, 7065, 50450, 0, 57515
901, 7068, 50447, 0, 57515
907, 7065, 50450, 0, 57515
913, 7067, 50448, 0, 57515
925, 7068, 50447, 0, 57515
931, 7068, 50447, 0, 57515
937, 7068, 50447, 0, 57515
943, 7067, 50448, 0, 57515
949, 7067, 50448, 0, 57515
955, 7067, 50448, 0, 57515
961, 7067, 50448, 0, 57515
967, 7066, 50449, 0, 57515
973, 7062, 50453, 0, 57515
979, 7066, 50449, 0, 57515
985, 7065, 50450, 0, 57515
991, 7067, 50448, 0, 57515
1003, 7067, 50448, 0, 57515
1009, 7067, 50448, 0, 57515
1015, 7067, 50448, 0, 57515
1021, 7066, 50449, 0, 57515
1027, 7066, 50449, 0, 57515
1033, 7065, 50450, 0, 57515
1039, 7066, 50449, 0, 57515
1045, 7066, 50449, 0, 57515
1051, 7065, 50450, 0, 57515
1057, 7064, 50451, 0, 57515
1063, 7063, 50452, 0, 57515
1069, 7062, 50453, 0, 57515
1075, 7062, 50453, 0, 57515
1081, 7066, 50449, 0, 57515
1087, 7064, 50451, 0, 57515
1093, 7064, 50451, 0, 57515
1099, 7066, 50449, 0, 57515
1105, 7066, 50449, 0, 57515
1117, 7066, 50449, 0, 57515
1123, 7064, 50451, 0, 57515
1129, 7065, 50450, 0, 57515
1135, 7063, 50452, 0, 57515
1141, 7063, 50452, 0, 57515
1147, 7064, 50451, 0, 57515
1153, 7063, 50452, 0, 57515
1159, 7063, 50452, 0, 57515
1165, 7064, 50451, 0, 57515
1171, 7065, 50450, 0, 57515
1177, 7066, 50449, 0, 57515
1183, 7066, 50449, 0, 57515
1189, 7068, 50447, 0, 57515
1195, 7068, 50447, 0, 57515
1201, 7066, 50449, 0, 57515
1207, 7066, 50449, 0, 57515
