ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 6967, 0, 0, 28448, 22100, 57515
367, 6650, 181, 81, 28445, 22158, 57515
373, 6307, 418, 96, 37354, 13340, 57515
379, 6301, 416, 103, 42525, 8170, 57515
385, 6407, 340, 124, 45744, 4900, 57515
391, 6485, 272, 128, 46992, 3638, 57515
397, 6603, 273, 125, 48030, 2484, 57515
403, 6504, 304, 124, 19014, 31569, 57515
409, 6539, 262, 126, 17980, 32608, 57515
415, 6482, 315, 128, 19890, 30700, 57515
421, 6054, 626, 127, 24921, 25787, 57515
427, 6043, 604, 94, 28259, 22515, 57515
433, 6092, 638, 167, 32325, 18293, 57515
439, 6373, 434, 165, 33164, 17379, 57515
445, 6651, 244, 168, 15746, 34706, 57515
451, 6732, 200, 165, 16082, 34336, 57515
457, 6633, 271, 274, 21102, 29235, 57515
463, 6600, 215, 274, 22153, 28273, 57515
469, 6501, 484, 244, 25795, 24491, 57515
475, 6498, 1465, 207, 28708, 20637, 57515
481, 6512, 3568, 171, 31514, 15750, 57515
487, 6507, 7181, 175, 19222, 24430, 57515
493, 6608, 9148, 153, 21982, 19624, 57515
499, 6568, 10469, 122, 26773, 13583, 57515
505, 6459, 11088, 94, 29803, 10071, 57515
511, 6587, 11347, 90, 31330, 8161, 57515
517, 6644, 11407, 92, 33360, 6012, 57515
523, 6681, 11268, 93, 35097, 4376, 57515
529, 6593, 11399, 124, 17402, 21997, 57515
535, 6587, 11412, 124, 15948, 23444, 57515
541, 6657, 11051, 126, 18758, 20923, 57515
547, 6631, 10491, 120, 22161, 18112, 57515
553, 6572, 9584, 126, 25465, 15768, 57515
559, 6601, 8090, 126, 26359, 16339, 57515
565, 6558, 7468, 121, 28166, 15202, 57515
571, 6634, 6423, 162, 19334, 24962, 57515
577, 6715, 3988, 163, 23589, 23060, 57515
583, 6628, 3100, 206, 26899, 20682, 57515
589, 6702, 2277, 173, 31888, 16475, 57515
595, 6677, 1915, 172, 35210, 13541, 57515
601, 6679, 1711, 173, 37659, 11293, 57515
607, 6697, 1231, 211, 39549, 9827, 57515
613, 6506, 304, 170, 35568, 14967, 57515
619, 6546, 279, 206, 37586, 12898, 57515
625, 6575, 276, 163, 42193, 8308, 57515
631, 6516, 360, 163, 41531, 8945, 57515
637, 6562, 408, 165, 43662, 6718, 57515
643, 6581, 638, 196, 45516, 4584, 57515
649, 6583, 1836, 164, 44388, 4544, 57515
655, 6603, 4251, 155, 27948, 18558, 57515
661, 6623, 4803, 123, 28664, 17302, 57515
667, 6616, 6128, 181, 34008, 10582, 57515
673, 6543, 7097, 185, 38172, 5518, 57515
679, 6529, 7218, 183, 39343, 4242, 57515
685, 6625, 7178, 82, 40935, 2695, 57515
691, 6656, 7191, 63, 41948, 1657, 57515
697, 6667, 7179, 53, 19871, 23745, 57515
703, 6739, 7109, 77, 17343, 26247, 57515
709, 6391, 7106, 61, 20637, 23320, 57515
715, 6251, 6721, 56, 24119, 20368, 57515
721, 6331, 6008, 62, 27717, 17397, 57515
727, 6294, 5031, 87, 30102, 16001, 57515
733, 6269, 4899, 89, 33224, 13034, 57515
739, 6289, 4186, 89, 34453, 12498, 57515
745, 6421, 3051, 94, 40646, 7303, 57515
751, 6608, 2350, 96, 41589, 6872, 57515
757, 6739, 1488, 94, 44736, 4458, 57515
763, 6754, 1142, 94, 46505, 3020, 57515
769, 6711, 898, 90, 46907, 2909, 57515
775, 6575, 742, 92, 46672, 3434, 57515
781, 6356, 729, 91, 23871, 26468, 57515
787, 6425, 611, 92, 24000, 26387, 57515
793, 6641, 381, 95, 27899, 22499, 57515
799, 6672, 423, 97, 30571, 19752, 57515
805, 6674, 635, 97, 35431, 14678, 57515
811, 6656, 1353, 152, 37678, 11676, 57515
817, 6705, 2992, 94, 38732, 8992, 57515
823, 6675, 6004, 93, 23645, 21098, 57515
829, 6581, 7136, 94, 24544, 19160, 57515
835, 6441, 9154, 92, 29572, 12256, 57515
841, 6417, 9518, 93, 32802, 8685, 57515
847, 6520, 9500, 92, 34419, 6984, 57515
853, 6682, 9250, 94, 36864, 4625, 57515
859, 6739, 8838, 95, 38271, 3572, 57515
865, 6710, 8695, 93, 22686, 19331, 57515
871, 6762, 8585, 93, 21088, 20987, 57515
877, 6709, 8562, 49, 24376, 17819, 57515
883, 6474, 8292, 45, 27253, 15451, 57515
889, 6553, 7661, 64, 29894, 13343, 57515
895, 6585, 5582, 83, 31938, 13327, 57515
901, 6706, 4626, 89, 34307, 11787, 57515
907, 6781, 4219, 94, 26095, 20326, 57515
913, 6714, 2799, 94, 28918, 18990, 57515
919, 6652, 2056, 91, 34359, 14357, 57515
925, 6621, 1408, 91, 38756, 10639, 57515
