ts, default broker, CrocodileAgent, SPOT, EWIIS3, VidyutVanika, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 21, 4, 5018, 21314, 31148, 57505
367, 18, 120, 6002, 13683, 37682, 57505
373, 15, 120, 6541, 9391, 41438, 57505
379, 16, 152, 7133, 6723, 43481, 57505
385, 15, 152, 7639, 4594, 45105, 57505
391, 16, 152, 7788, 3033, 46516, 57505
397, 15, 151, 7904, 2384, 47051, 57505
403, 15, 152, 7240, 2327, 47771, 57505
409, 16, 154, 6499, 2011, 48825, 57505
415, 17, 152, 5077, 2541, 49718, 57505
421, 17, 152, 4428, 2727, 50181, 57505
427, 17, 240, 3257, 2998, 50993, 57505
433, 17, 685, 235, 3992, 52576, 57505
439, 17, 806, 235, 3823, 52624, 57505
445, 17, 941, 215, 3010, 53322, 57505
451, 17, 1129, 216, 2016, 54127, 57505
457, 17, 2030, 216, 1561, 53681, 57505
463, 17, 2627, 216, 1156, 53489, 57505
469, 17, 3209, 216, 1084, 52979, 57505
475, 17, 4168, 125, 1001, 52194, 57505
481, 17, 5086, 125, 679, 51598, 57505
487, 17, 5972, 97, 576, 50843, 57505
493, 17, 6369, 66, 506, 50547, 57505
499, 17, 6510, 303, 475, 50200, 57505
505, 17, 6428, 822, 436, 49802, 57505
511, 17, 6439, 922, 377, 49750, 57505
517, 17, 6347, 1189, 375, 49577, 57505
523, 16, 6255, 1170, 336, 49728, 57505
529, 16, 5720, 132, 337, 51300, 57505
535, 16, 5337, 132, 338, 51682, 57505
541, 16, 5337, 121, 337, 51694, 57505
547, 16, 4487, 123, 303, 52576, 57505
553, 16, 3524, 123, 298, 53544, 57505
559, 16, 2605, 124, 236, 54524, 57505
565, 16, 2166, 244, 237, 54842, 57505
571, 17, 1774, 215, 234, 55265, 57505
577, 16, 1334, 335, 234, 55586, 57505
583, 16, 955, 335, 222, 55977, 57505
589, 16, 757, 332, 222, 56178, 57505
595, 16, 858, 301, 225, 56105, 57505
601, 16, 1112, 429, 227, 55721, 57505
607, 16, 1069, 337, 193, 55890, 57505
613, 15, 1177, 317, 194, 55802, 57505
619, 15, 1624, 317, 191, 55358, 57505
625, 15, 1799, 4, 187, 55500, 57505
631, 35, 2914, 4, 187, 54365, 57505
637, 32, 3628, 36, 183, 53626, 57505
643, 30, 4714, 44, 184, 52533, 57505
649, 24, 6339, 43, 184, 50915, 57505
655, 16, 6279, 42, 174, 50994, 57505
661, 17, 6403, 43, 174, 50868, 57505
667, 17, 6399, 285, 174, 50630, 57505
673, 17, 6116, 503, 176, 50693, 57505
679, 15, 6065, 732, 179, 50514, 57505
685, 15, 5893, 885, 180, 50532, 57505
691, 18, 5775, 1023, 175, 50514, 57505
697, 18, 5327, 173, 176, 51811, 57505
703, 16, 4617, 169, 173, 52530, 57505
709, 15, 4194, 161, 173, 52962, 57505
715, 15, 3414, 191, 171, 53714, 57505
721, 15, 2432, 380, 174, 54504, 57505
727, 15, 1491, 392, 171, 55436, 57505
733, 15, 861, 405, 178, 56046, 57505
739, 17, 715, 382, 166, 56225, 57505
745, 15, 583, 350, 167, 56390, 57505
751, 15, 356, 340, 168, 56626, 57505
757, 16, 296, 343, 166, 56684, 57505
763, 15, 187, 251, 154, 56898, 57505
769, 16, 219, 134, 156, 56980, 57505
775, 16, 189, 135, 158, 57007, 57505
781, 16, 436, 134, 154, 56765, 57505
787, 16, 1386, 133, 156, 55814, 57505
793, 17, 3012, 136, 153, 54187, 57505
799, 17, 4045, 105, 153, 53185, 57505
805, 17, 4427, 106, 153, 52802, 57505
811, 17, 5012, 107, 151, 52218, 57505
817, 16, 6047, 4, 151, 51287, 57505
823, 16, 6604, 17, 151, 50717, 57505
829, 15, 7051, 27, 153, 50259, 57505
835, 15, 7208, 28, 155, 50099, 57505
841, 15, 7297, 126, 159, 49908, 57505
847, 15, 7278, 233, 157, 49822, 57505
853, 15, 7364, 446, 158, 49522, 57505
859, 15, 7133, 682, 156, 49519, 57505
865, 13, 5932, 549, 128, 50883, 57505
871, 9, 5333, 505, 102, 51556, 57505
877, 8, 4121, 503, 99, 52774, 57505
883, 6, 3021, 502, 92, 53884, 57505
889, 3, 2431, 514, 91, 54466, 57505
895, 2, 1369, 405, 83, 55646, 57505
901, 16, 960, 674, 88, 55767, 57505
907, 1960, 1134, 646, 85, 53680, 57505
913, 3271, 966, 93, 85, 53090, 57505
919, 3299, 842, 93, 85, 53186, 57505
925, 3292, 603, 93, 82, 53435, 57505
931, 3453, 459, 93, 80, 53420, 57505
937, 3537, 358, 93, 76, 53441, 57505
943, 3396, 205, 94, 77, 53733, 57505
