ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57513, 0, 0, 0, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 0, 0, 0, 57513
361, 3, 4, 155, 0, 252, 7242, 18187, 31670, 57513
367, 4, 1, 155, 0, 174, 7241, 18130, 31808, 57513
373, 1, 2, 165, 0, 178, 7241, 25082, 24844, 57513
379, 1, 4, 166, 0, 138, 7240, 30378, 19586, 57513
385, 3, 3, 36, 0, 191, 7350, 34212, 15718, 57513
391, 3, 4, 34, 0, 183, 7437, 36406, 13446, 57513
397, 2, 3, 33, 0, 218, 7438, 38895, 10924, 57513
403, 1, 4, 33, 0, 124, 7523, 38591, 11237, 57513
409, 2, 5, 32, 0, 153, 7609, 40036, 9676, 57513
415, 1, 4, 32, 0, 144, 7609, 37921, 11802, 57513
421, 0, 4, 34, 0, 165, 7640, 37354, 12316, 57513
427, 1, 4, 2, 0, 152, 7768, 35193, 14393, 57513
433, 1, 4, 3, 0, 126, 7846, 36550, 12983, 57513
439, 0, 3, 3, 0, 108, 7871, 33676, 15852, 57513
445, 1, 3, 4, 0, 334, 8307, 490, 48374, 57513
451, 3, 47, 2, 0, 272, 8276, 484, 48429, 57513
457, 1, 48, 3, 0, 233, 8400, 622, 48206, 57513
463, 0, 187, 4, 0, 229, 9444, 622, 47027, 57513
469, 2, 923, 15, 0, 149, 18022, 626, 37776, 57513
475, 0, 2841, 6, 0, 115, 26288, 622, 27641, 57513
481, 0, 5980, 4, 0, 97, 35167, 689, 15576, 57513
487, 2, 6730, 5, 0, 96, 37158, 698, 12824, 57513
493, 0, 7902, 3, 0, 65, 40222, 592, 8729, 57513
499, 1, 8502, 2, 0, 60, 42082, 494, 6372, 57513
505, 1, 9027, 4, 0, 58, 42867, 474, 5082, 57513
511, 1, 9159, 11, 0, 56, 42880, 415, 4991, 57513
517, 1, 9122, 10, 0, 49, 42523, 337, 5471, 57513
523, 1, 9117, 11, 0, 51, 42408, 337, 5588, 57513
529, 2, 9026, 10, 0, 52, 42114, 96, 6213, 57513
535, 0, 8965, 12, 0, 49, 41575, 129, 6783, 57513
541, 3, 8654, 10, 0, 46, 39529, 217, 9054, 57513
547, 4, 7914, 11, 0, 38, 35990, 219, 13337, 57513
553, 1, 6744, 40, 0, 38, 32210, 289, 18191, 57513
559, 0, 5690, 40, 0, 43, 27364, 347, 24029, 57513
565, 2, 3940, 32, 0, 39, 21749, 374, 31377, 57513
571, 1, 3076, 32, 0, 43, 18856, 371, 35134, 57513
577, 2, 2259, 32, 0, 20, 16095, 468, 38637, 57513
583, 2, 1780, 31, 0, 20, 14100, 499, 41081, 57513
589, 2, 1301, 31, 0, 19, 12749, 470, 42941, 57513
595, 1, 807, 108, 0, 18, 11375, 440, 44764, 57513
601, 1, 697, 108, 0, 19, 10686, 701, 45301, 57513
607, 2, 565, 108, 0, 19, 10174, 862, 45783, 57513
613, 3, 384, 216, 0, 18, 9940, 148, 46804, 57513
619, 3, 344, 217, 0, 8, 9369, 289, 47283, 57513
625, 2, 253, 218, 0, 7, 9386, 597, 47050, 57513
631, 2, 363, 328, 0, 7, 9872, 724, 46217, 57513
637, 3, 1419, 288, 0, 7, 16753, 1233, 37810, 57513
643, 4, 2487, 287, 0, 8, 23126, 1235, 30366, 57513
649, 4, 5499, 286, 0, 11, 28928, 1309, 21476, 57513
655, 2, 6423, 266, 0, 10, 32051, 1412, 17349, 57513
661, 2, 7938, 230, 0, 8, 35120, 1310, 12905, 57513
667, 2, 8531, 139, 0, 10, 37505, 1219, 10107, 57513
673, 2, 8917, 79, 0, 8, 38608, 1251, 8648, 57513
679, 2, 8995, 20, 0, 9, 38791, 1017, 8679, 57513
685, 1, 8994, 21, 0, 12, 38767, 986, 8732, 57513
691, 1, 8955, 21, 0, 13, 38440, 739, 9344, 57513
697, 2, 8930, 0, 0, 13, 37907, 188, 10473, 57513
703, 1, 8831, 0, 0, 12, 37474, 277, 10918, 57513
709, 1, 8341, 0, 0, 11, 35336, 425, 13399, 57513
715, 2, 7780, 0, 0, 9, 33211, 526, 15985, 57513
721, 2, 6910, 0, 0, 10, 29840, 635, 20116, 57513
727, 3, 5428, 0, 0, 10, 25361, 813, 25898, 57513
733, 4, 4369, 0, 0, 8, 21428, 934, 30770, 57513
739, 3, 3529, 0, 0, 9, 18400, 1081, 34491, 57513
745, 3, 2827, 0, 0, 10, 15568, 1148, 37957, 57513
751, 2, 1709, 0, 0, 9, 13181, 1304, 41308, 57513
757, 1, 1145, 0, 0, 10, 11811, 1408, 43138, 57513
763, 1, 1034, 2, 0, 10, 11275, 1441, 43750, 57513
769, 0, 734, 2, 0, 11, 10182, 1662, 44922, 57513
775, 0, 633, 1, 0, 11, 9453, 1582, 45833, 57513
781, 0, 534, 1, 0, 10, 8564, 260, 48144, 57513
787, 1, 305, 1, 0, 9, 8203, 542, 48452, 57513
793, 1, 286, 1, 0, 8, 7942, 654, 48621, 57513
799, 1, 217, 1, 0, 8, 7897, 1032, 48357, 57513
805, 1, 330, 1, 0, 10, 10290, 1177, 45704, 57513
811, 1, 428, 1, 0, 11, 11664, 1186, 44222, 57513
817, 2, 1298, 0, 0, 10, 13661, 1187, 41355, 57513
823, 2, 2113, 0, 0, 10, 15635, 1185, 38568, 57513
829, 4, 3340, 0, 0, 8, 19925, 1119, 33117, 57513
835, 3, 4268, 0, 0, 9, 21034, 1052, 31147, 57513
841, 3, 4562, 1, 0, 8, 22792, 873, 29274, 57513
847, 3, 5171, 1, 0, 7, 24114, 1061, 27156, 57513
853, 4, 5173, 1, 0, 7, 24503, 1156, 26669, 57513
859, 3, 5143, 0, 0, 7, 24424, 1342, 26594, 57513
865, 3, 5112, 62, 0, 8, 29223, 588, 22517, 57513
871, 4, 5080, 63, 0, 7, 24322, 1287, 26750, 57513
877, 4, 4988, 63, 0, 6, 23130, 1909, 27413, 57513
883, 4, 4795, 63, 0, 7, 29715, 2138, 20791, 57513
