ts, default broker, EWIIS3, VidyutVanika, total
359, 57501, 0, 0, 57501
360, 57501, 0, 0, 57501
361, 15, 13637, 43849, 57501
367, 17, 9803, 47681, 57501
373, 17, 8817, 48667, 57501
379, 15, 7836, 49650, 57501
385, 16, 7289, 50196, 57501
391, 15, 6406, 51080, 57501
397, 15, 6157, 51329, 57501
403, 15, 5833, 51653, 57501
409, 15, 5722, 51764, 57501
415, 16, 5421, 52064, 57501
421, 14, 4982, 52505, 57501
427, 15, 4742, 52744, 57501
433, 16, 5487, 51998, 57501
439, 16, 5467, 52018, 57501
445, 16, 4922, 52563, 57501
451, 16, 4129, 53356, 57501
457, 16, 3108, 54377, 57501
463, 17, 2582, 54902, 57501
469, 17, 1957, 55527, 57501
475, 16, 1495, 55990, 57501
481, 14, 1167, 56320, 57501
487, 40, 939, 56522, 57501
493, 50, 849, 56602, 57501
499, 56, 848, 56597, 57501
505, 54, 989, 56458, 57501
511, 21, 909, 56571, 57501
517, 17, 907, 56577, 57501
523, 16, 856, 56629, 57501
529, 15, 764, 56722, 57501
535, 14, 706, 56781, 57501
541, 14, 643, 56844, 57501
547, 13, 582, 56906, 57501
553, 13, 492, 56996, 57501
559, 13, 470, 57018, 57501
565, 13, 440, 57048, 57501
571, 12, 381, 57108, 57501
577, 15, 378, 57108, 57501
583, 15, 298, 57188, 57501
589, 16, 296, 57189, 57501
595, 15, 296, 57190, 57501
601, 16, 295, 57190, 57501
607, 17, 295, 57189, 57501
613, 15, 294, 57192, 57501
619, 13, 293, 57195, 57501
625, 14, 289, 57198, 57501
631, 14, 286, 57201, 57501
637, 14, 278, 57209, 57501
643, 14, 271, 57216, 57501
649, 15, 245, 57241, 57501
655, 15, 245, 57241, 57501
661, 15, 238, 57248, 57501
667, 16, 233, 57252, 57501
673, 15, 217, 57269, 57501
679, 14, 219, 57268, 57501
685, 14, 223, 57264, 57501
691, 13, 224, 57264, 57501
697, 13, 224, 57264, 57501
703, 13, 221, 57267, 57501
709, 13, 222, 57266, 57501
715, 12, 219, 57270, 57501
721, 12, 219, 57270, 57501
727, 13, 219, 57269, 57501
733, 13, 220, 57268, 57501
739, 14, 216, 57271, 57501
745, 14, 214, 57273, 57501
751, 15, 213, 57273, 57501
757, 15, 212, 57274, 57501
763, 15, 212, 57274, 57501
769, 15, 213, 57273, 57501
775, 16, 212, 57273, 57501
781, 16, 211, 57274, 57501
787, 16, 208, 57277, 57501
793, 15, 208, 57278, 57501
799, 16, 202, 57283, 57501
805, 16, 202, 57283, 57501
811, 15, 199, 57287, 57501
817, 15, 198, 57288, 57501
823, 14, 198, 57289, 57501
829, 15, 197, 57289, 57501
835, 16, 195, 57290, 57501
841, 15, 196, 57290, 57501
847, 14, 199, 57288, 57501
853, 14, 210, 57277, 57501
859, 15, 207, 57279, 57501
865, 14, 154, 57333, 57501
871, 7, 141, 57353, 57501
877, 12, 144, 57345, 57501
883, 10, 118, 57373, 57501
889, 1465, 107, 55929, 57501
895, 2427, 104, 54970, 57501
901, 2611, 103, 54787, 57501
907, 2868, 103, 54530, 57501
913, 3897, 99, 53505, 57501
919, 3820, 89, 53592, 57501
925, 3715, 87, 53699, 57501
931, 3660, 82, 53759, 57501
937, 3472, 80, 53949, 57501
943, 3369, 78, 54054, 57501
949, 3311, 77, 54113, 57501
955, 3365, 65, 54071, 57501
961, 3480, 67, 53954, 57501
967, 3530, 64, 53907, 57501
973, 3447, 63, 53991, 57501
979, 3501, 65, 53935, 57501
985, 3334, 63, 54104, 57501
991, 3691, 62, 53748, 57501
997, 3838, 65, 53598, 57501
1003, 3761, 65, 53675, 57501
1009, 3790, 67, 53644, 57501
1015, 4029, 190, 53282, 57501
1021, 3900, 161, 53440, 57501
1027, 3524, 138, 53839, 57501
1033, 3425, 101, 53975, 57501
1039, 3464, 101, 53936, 57501
1045, 3226, 73, 54202, 57501
1051, 3257, 70, 54174, 57501
1057, 3288, 66, 54147, 57501
1063, 3359, 66, 54076, 57501
1069, 3315, 66, 54120, 57501
1075, 3343, 65, 54093, 57501
1081, 3567, 66, 53868, 57501
1087, 3650, 67, 53784, 57501
1093, 3662, 65, 53774, 57501
1099, 3671, 65, 53765, 57501
1105, 3548, 65, 53888, 57501
1111, 3586, 65, 53850, 57501
1117, 3635, 65, 53801, 57501
1123, 3625, 66, 53810, 57501
1129, 3632, 67, 53802, 57501
1135, 3773, 67, 53661, 57501
1141, 3820, 66, 53615, 57501
1147, 3405, 64, 54032, 57501
