ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
361, 2, 45, 154, 0, 55, 7427, 33833, 15992, 57508
367, 2, 46, 153, 0, 45, 7428, 33848, 15986, 57508
373, 3, 49, 153, 0, 43, 8744, 37087, 11429, 57508
379, 3, 147, 154, 0, 42, 9157, 38590, 9415, 57508
385, 2, 680, 4, 0, 32, 10721, 42333, 3736, 57508
391, 3, 902, 4, 0, 18, 11204, 43429, 1948, 57508
397, 3, 1035, 3, 0, 15, 11433, 43983, 1036, 57508
403, 2, 5352, 3, 0, 244, 22624, 9094, 20189, 57508
409, 1, 5426, 3, 0, 251, 23028, 8349, 20450, 57508
415, 1, 6069, 4, 0, 192, 23998, 9223, 18021, 57508
421, 2, 6069, 3, 0, 191, 24038, 10450, 16755, 57508
427, 2, 6067, 34, 0, 174, 24104, 12185, 14942, 57508
433, 1, 6038, 3, 0, 181, 24040, 13097, 14148, 57508
439, 0, 6040, 38, 0, 240, 24033, 13616, 13541, 57508
445, 1, 5627, 68, 0, 288, 23611, 3885, 24028, 57508
451, 1, 5299, 39, 0, 341, 23474, 4399, 23955, 57508
457, 0, 4807, 102, 0, 409, 22755, 6846, 22589, 57508
463, 1, 4284, 131, 0, 407, 22194, 7426, 23065, 57508
469, 1, 3974, 133, 0, 297, 21798, 8169, 23136, 57508
475, 1, 2733, 131, 0, 249, 17813, 9476, 27105, 57508
481, 1, 2030, 124, 0, 129, 15712, 11672, 27840, 57508
487, 1, 1380, 94, 0, 161, 14113, 10022, 31737, 57508
493, 0, 936, 94, 0, 106, 8135, 45390, 2847, 57508
499, 0, 576, 31, 0, 49, 7571, 49171, 110, 57508
505, 0, 499, 0, 0, 45, 7657, 49287, 20, 57508
511, 1, 497, 0, 0, 44, 7584, 49382, 0, 57508
517, 2, 467, 1, 0, 43, 7816, 49179, 0, 57508
523, 1, 386, 1, 0, 44, 7880, 49196, 0, 57508
529, 2, 2789, 1809, 0, 41, 41859, 11008, 0, 57508
535, 1, 2774, 1811, 0, 44, 44154, 8724, 0, 57508
541, 1, 2737, 1807, 0, 46, 45698, 7219, 0, 57508
547, 1, 2769, 1807, 0, 45, 47550, 5336, 0, 57508
553, 1, 2899, 1806, 0, 42, 48349, 4411, 0, 57508
559, 2, 3057, 1744, 0, 45, 48986, 3674, 0, 57508
565, 2, 3146, 1733, 0, 41, 49683, 2903, 0, 57508
571, 6, 4038, 95, 0, 41, 53176, 152, 0, 57508
577, 7, 4067, 2, 0, 41, 53351, 40, 0, 57508
583, 6, 3992, 3, 0, 42, 53426, 39, 0, 57508
589, 5, 4005, 3, 0, 43, 53342, 110, 0, 57508
595, 4, 3972, 63, 0, 43, 52984, 442, 0, 57508
601, 6, 2478, 904, 0, 40, 39891, 14189, 0, 57508
607, 4, 1845, 2640, 0, 118, 31311, 21590, 0, 57508
613, 6, 1760, 4184, 0, 102, 28889, 22567, 0, 57508
619, 6, 1733, 4230, 0, 103, 28099, 23337, 0, 57508
625, 5, 1668, 381, 0, 90, 31173, 24191, 0, 57508
631, 5, 1618, 611, 0, 32, 32047, 23195, 0, 57508
637, 5, 1503, 663, 0, 28, 31489, 23820, 0, 57508
643, 5, 1131, 666, 0, 29, 31104, 24573, 0, 57508
649, 6, 799, 974, 0, 88, 29623, 26018, 0, 57508
655, 2, 565, 1152, 0, 87, 30874, 24828, 0, 57508
661, 2, 455, 1258, 0, 31, 24565, 31197, 0, 57508
667, 5, 384, 1004, 0, 30, 21413, 34672, 0, 57508
673, 2, 295, 747, 0, 25, 19356, 37083, 0, 57508
679, 0, 262, 629, 0, 32, 18188, 38397, 0, 57508
685, 1, 268, 596, 0, 30, 17041, 39572, 0, 57508
691, 1, 298, 402, 0, 31, 16148, 40628, 0, 57508
697, 0, 681, 169, 0, 32, 16421, 40205, 0, 57508
703, 1, 964, 0, 0, 34, 17090, 39419, 0, 57508
709, 0, 1211, 1, 0, 33, 20448, 35815, 0, 57508
715, 2, 2177, 3, 0, 35, 24833, 30458, 0, 57508
721, 2, 4580, 2, 0, 35, 30858, 22031, 0, 57508
727, 1, 7895, 2, 0, 34, 34834, 14742, 0, 57508
733, 0, 9782, 0, 0, 32, 36486, 11208, 0, 57508
739, 0, 13329, 0, 0, 37, 42499, 1643, 0, 57508
745, 0, 14476, 2, 0, 37, 41988, 1005, 0, 57508
751, 14, 15437, 1, 0, 35, 40949, 1072, 0, 57508
757, 8, 15662, 17, 0, 33, 39455, 2333, 0, 57508
763, 17, 15609, 24, 0, 36, 36182, 5640, 0, 57508
769, 16, 15504, 113, 0, 34, 34339, 7502, 0, 57508
775, 19, 15297, 147, 0, 30, 33221, 8794, 0, 57508
781, 23, 15171, 269, 0, 30, 31150, 10865, 0, 57508
787, 22, 14784, 381, 0, 30, 29803, 12488, 0, 57508
793, 8, 13384, 419, 0, 72, 29865, 13760, 0, 57508
799, 4, 11919, 620, 0, 32, 32620, 12313, 0, 57508
805, 2, 10050, 724, 0, 30, 30490, 16212, 0, 57508
811, 1, 7583, 713, 0, 28, 32386, 16797, 0, 57508
817, 2, 5922, 711, 0, 28, 31752, 19093, 0, 57508
823, 0, 3781, 730, 0, 33, 31672, 21292, 0, 57508
829, 1, 2741, 604, 0, 31, 24681, 29450, 0, 57508
835, 1, 2256, 519, 0, 30, 21007, 33695, 0, 57508
841, 0, 1496, 276, 0, 34, 18711, 36991, 0, 57508
847, 2, 1257, 194, 0, 29, 18678, 37348, 0, 57508
853, 3, 906, 221, 0, 28, 18205, 38145, 0, 57508
859, 1, 642, 171, 0, 34, 18125, 38535, 0, 57508
865, 1, 489, 187, 0, 30, 56183, 618, 0, 57508
871, 1, 411, 128, 0, 33, 56369, 566, 0, 57508
877, 0, 406, 128, 0, 32, 56415, 527, 0, 57508
883, 1, 511, 129, 0, 31, 56307, 529, 0, 57508
889, 1, 2696, 79, 0, 35, 53952, 745, 0, 57508
895, 1, 3567, 81, 0, 33, 53077, 749, 0, 57508
901, 0, 4238, 81, 0, 32, 52445, 712, 0, 57508
907, 0, 4455, 81, 0, 31, 50662, 2279, 0, 57508
913, 0, 4959, 60, 0, 31, 45104, 7354, 0, 57508
919, 0, 5038, 32, 0, 30, 42506, 9902, 0, 57508
925, 0, 4978, 31, 0, 28, 40887, 11584, 0, 57508
931, 0, 4912, 81, 0, 28, 39561, 12926, 0, 57508
937, 1, 4685, 80, 0, 32, 35443, 17267, 0, 57508
943, 2, 4578, 81, 0, 33, 34880, 17934, 0, 57508
949, 3, 4470, 51, 0, 36, 16846, 36102, 0, 57508
955, 3, 3521, 31, 0, 30, 21151, 32772, 0, 57508
961, 3, 1797, 31, 0, 32, 22896, 32749, 0, 57508
967, 3, 1278, 31, 0, 31, 23203, 32962, 0, 57508
973, 4, 876, 3, 0, 31, 10324, 46270, 0, 57508
979, 3, 581, 2, 0, 30, 12656, 44236, 0, 57508
985, 0, 146, 1, 0, 29, 15305, 42027, 0, 57508
991, 0, 65, 1, 0, 28, 9076, 48338, 0, 57508
997, 0, 64, 1, 0, 29, 26066, 31348, 0, 57508
1003, 0, 64, 1, 0, 31, 36482, 20930, 0, 57508
1009, 0, 68, 1, 0, 30, 43995, 13414, 0, 57508
1015, 1, 66, 1, 0, 32, 48231, 9177, 0, 57508
1021, 2, 51, 1, 0, 34, 49310, 8110, 0, 57508
1027, 2, 48, 0, 0, 33, 51124, 6301, 0, 57508
1033, 2, 50, 0, 0, 32, 52853, 4571, 0, 57508
1039, 2, 52, 0, 0, 30, 51420, 6004, 0, 57508
1045, 3, 296, 0, 0, 29, 47908, 9272, 0, 57508
1051, 2, 959, 0, 0, 32, 44993, 11522, 0, 57508
1057, 2, 1917, 0, 0, 30, 42223, 13336, 0, 57508
1063, 1, 2066, 0, 0, 30, 42095, 13316, 0, 57508
1069, 1, 2497, 0, 0, 28, 40555, 14427, 0, 57508
1075, 2, 3224, 32, 0, 29, 49437, 4784, 0, 57508
1081, 2, 3755, 32, 0, 29, 46210, 7480, 0, 57508
1087, 1, 3817, 3, 0, 32, 44619, 9036, 0, 57508
1093, 1, 3871, 3, 0, 32, 44320, 9281, 0, 57508
1099, 0, 3837, 2, 0, 31, 43512, 10126, 0, 57508
1105, 1, 3822, 2, 0, 31, 41601, 12051, 0, 57508
1111, 0, 3830, 1, 0, 31, 40874, 12772, 0, 57508
1117, 4, 3749, 1, 0, 31, 19111, 34612, 0, 57508
1123, 1, 3236, 1, 0, 27, 19022, 35221, 0, 57508
1129, 2, 2783, 0, 0, 29, 19116, 35578, 0, 57508
1135, 1, 2459, 0, 0, 30, 18849, 36169, 0, 57508
1141, 3, 2084, 0, 0, 32, 14287, 41102, 0, 57508
1147, 1, 1680, 0, 0, 32, 14199, 41596, 0, 57508
1153, 1, 1049, 0, 0, 34, 14447, 41977, 0, 57508
1159, 1, 651, 30, 0, 34, 11143, 45649, 0, 57508
1165, 1, 480, 30, 0, 34, 11093, 45870, 0, 57508
1171, 1, 392, 30, 0, 30, 11056, 45999, 0, 57508
1177, 2, 329, 30, 0, 32, 10899, 46216, 0, 57508
1183, 0, 226, 30, 0, 31, 10803, 46418, 0, 57508
1189, 1, 138, 30, 0, 32, 10873, 46434, 0, 57508
1195, 0, 135, 30, 0, 32, 10869, 46442, 0, 57508
1201, 0, 100, 0, 0, 33, 25431, 31944, 0, 57508
1207, 0, 68, 1, 0, 31, 22954, 34454, 0, 57508
1213, 1, 101, 2, 0, 30, 9674, 47700, 0, 57508
1219, 2, 104, 2, 0, 28, 9879, 47493, 0, 57508
1225, 0, 246, 1, 0, 28, 9952, 47281, 0, 57508
1231, 0, 240, 1, 0, 27, 9946, 47294, 0, 57508
1237, 2, 224, 1, 0, 29, 10021, 47231, 0, 57508
1243, 1, 926, 1, 0, 33, 37122, 19425, 0, 57508
1249, 0, 1499, 1, 0, 30, 33447, 22531, 0, 57508
1255, 1, 1799, 0, 0, 30, 28460, 27218, 0, 57508
1261, 0, 1807, 0, 0, 34, 24189, 31478, 0, 57508
1267, 1, 1785, 0, 0, 31, 21995, 33696, 0, 57508
1273, 0, 1712, 1, 0, 33, 20466, 35296, 0, 57508
1279, 0, 1476, 0, 0, 30, 19595, 36407, 0, 57508
1285, 1, 1422, 1, 0, 35, 13875, 42174, 0, 57508
1291, 0, 1294, 0, 0, 34, 14033, 42147, 0, 57508
1297, 0, 1001, 0, 0, 33, 14027, 42447, 0, 57508
1303, 0, 771, 0, 0, 32, 14672, 42033, 0, 57508
1309, 0, 754, 0, 0, 29, 14589, 42136, 0, 57508
1315, 0, 753, 0, 0, 30, 14428, 42297, 0, 57508
1321, 0, 593, 0, 0, 31, 13384, 43500, 0, 57508
1327, 0, 488, 30, 0, 33, 9756, 47201, 0, 57508
1333, 0, 367, 30, 0, 34, 9673, 47404, 0, 57508
1339, 0, 337, 0, 0, 32, 9734, 47405, 0, 57508
1345, 0, 341, 0, 0, 28, 9494, 47645, 0, 57508
1351, 0, 309, 0, 0, 27, 9826, 47346, 0, 57508
1357, 1, 266, 0, 0, 26, 10304, 46911, 0, 57508
1363, 1, 263, 0, 0, 27, 10469, 46748, 0, 57508
1369, 1, 327, 0, 0, 28, 50506, 6646, 0, 57508
1375, 26, 259, 0, 0, 27, 50459, 6737, 0, 57508
1381, 12, 954, 16, 0, 28, 37124, 19374, 0, 57508
1387, 17, 940, 24, 0, 26, 37418, 19083, 0, 57508
1393, 10, 1029, 32, 0, 25, 37517, 18895, 0, 57508
1399, 5, 1059, 33, 0, 25, 37625, 18761, 0, 57508
1405, 2, 1015, 34, 0, 27, 37860, 18570, 0, 57508
1411, 2, 1599, 34, 0, 28, 52393, 3452, 0, 57508
1417, 2, 1822, 34, 0, 28, 51224, 4398, 0, 57508
1423, 1, 1864, 28, 0, 27, 51022, 4566, 0, 57508
1429, 2, 1860, 25, 0, 28, 50745, 4848, 0, 57508
1435, 3, 1827, 17, 0, 28, 50467, 5166, 0, 57508
1441, 3, 1792, 10, 0, 28, 50055, 5620, 0, 57508
1447, 2, 1729, 8, 0, 30, 49962, 5777, 0, 57508
1453, 7, 1502, 35, 0, 28, 36840, 19096, 0, 57508
1459, 7, 1046, 34, 0, 29, 36508, 19884, 0, 57508
1465, 7, 990, 32, 0, 30, 36143, 20306, 0, 57508
1471, 6, 895, 31, 0, 32, 36029, 20515, 0, 57508
1477, 6, 695, 31, 0, 33, 35226, 21517, 0, 57508
1483, 6, 599, 31, 0, 34, 35074, 21764, 0, 57508
1489, 6, 398, 31, 0, 32, 34333, 22708, 0, 57508
1495, 6, 419, 88, 0, 31, 16062, 40902, 0, 57508
1501, 3, 299, 88, 0, 30, 19664, 37424, 0, 57508
1507, 2, 208, 58, 0, 32, 22709, 34499, 0, 57508
1513, 1, 176, 59, 0, 33, 25626, 31613, 0, 57508
1519, 1, 111, 59, 0, 34, 27712, 29591, 0, 57508
1525, 1, 109, 59, 0, 29, 28808, 28502, 0, 57508
1531, 0, 107, 29, 0, 31, 32001, 25340, 0, 57508
1537, 0, 148, 1, 0, 30, 53260, 4069, 0, 57508
1543, 0, 141, 1, 0, 30, 52730, 4606, 0, 57508
1549, 0, 143, 2, 0, 27, 52134, 5202, 0, 57508
1555, 0, 258, 2, 0, 24, 51666, 5558, 0, 57508
1561, 0, 1608, 1, 0, 28, 48974, 6897, 0, 57508
1567, 1, 2068, 2, 0, 30, 48261, 7146, 0, 57508
1573, 2, 2303, 1, 0, 30, 47815, 7357, 0, 57508
1579, 0, 3298, 2, 0, 31, 53111, 1066, 0, 57508
1585, 0, 4353, 1, 0, 29, 50699, 2426, 0, 57508
1591, 0, 4595, 0, 0, 28, 50140, 2745, 0, 57508
1597, 2, 4597, 0, 0, 27, 49471, 3411, 0, 57508
1603, 2, 4586, 0, 0, 28, 49034, 3858, 0, 57508
1609, 0, 4520, 0, 0, 29, 48125, 4834, 0, 57508
1615, 0, 4519, 0, 0, 31, 47846, 5112, 0, 57508
1621, 2, 4524, 1, 0, 29, 19553, 33399, 0, 57508
1627, 2, 4389, 1, 0, 30, 19641, 33445, 0, 57508
1633, 2, 3854, 2, 0, 31, 19742, 33877, 0, 57508
1639, 1, 3331, 2, 0, 33, 19892, 34249, 0, 57508
1645, 3, 3005, 1, 0, 32, 11197, 43270, 0, 57508
1651, 3, 2622, 1, 0, 30, 11703, 43149, 0, 57508
1657, 4, 2261, 1, 0, 29, 12021, 43192, 0, 57508
1663, 8, 2096, 40, 0, 29, 9488, 45847, 0, 57508
1669, 7, 1746, 39, 0, 27, 14519, 41170, 0, 57508
1675, 5, 1074, 8, 0, 26, 15752, 40643, 0, 57508
1681, 5, 775, 8, 0, 26, 16656, 40038, 0, 57508
1687, 3, 514, 8, 0, 28, 17245, 39710, 0, 57508
1693, 1, 445, 8, 0, 29, 17042, 39983, 0, 57508
