ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 6690, 218, 95, 26809, 23700, 57512
367, 6626, 170, 93, 26819, 23804, 57512
373, 6537, 195, 94, 29880, 20806, 57512
379, 6517, 134, 95, 32626, 18140, 57512
385, 6365, 315, 93, 35074, 15665, 57512
391, 6452, 312, 93, 36002, 14653, 57512
397, 6356, 344, 93, 36984, 13735, 57512
403, 6212, 395, 93, 647, 50165, 57512
409, 6253, 363, 93, 731, 50072, 57512
415, 6341, 474, 93, 681, 49923, 57512
421, 6593, 334, 93, 827, 49665, 57512
427, 6617, 1197, 93, 824, 48781, 57512
433, 6633, 2063, 93, 965, 47758, 57512
439, 6694, 3531, 94, 966, 46227, 57512
445, 6716, 4618, 94, 3, 46081, 57512
451, 6757, 5476, 95, 3, 45181, 57512
457, 6734, 6153, 94, 4, 44527, 57512
463, 6784, 6570, 96, 4, 44058, 57512
469, 6754, 6591, 96, 4, 44067, 57512
475, 6770, 6566, 96, 3, 44077, 57512
481, 6688, 6578, 94, 5, 44147, 57512
487, 6733, 6395, 94, 132, 44158, 57512
493, 6632, 6422, 92, 255, 44111, 57512
499, 6544, 5686, 93, 597, 44592, 57512
505, 6658, 4752, 93, 622, 45387, 57512
511, 6681, 3373, 91, 656, 46711, 57512
517, 6629, 2427, 91, 813, 47552, 57512
523, 6561, 1447, 90, 847, 48567, 57512
529, 6562, 1115, 90, 147, 49598, 57512
535, 6538, 927, 90, 127, 49830, 57512
541, 6564, 799, 91, 127, 49931, 57512
547, 6575, 728, 91, 282, 49836, 57512
553, 6557, 597, 91, 182, 50085, 57512
559, 6565, 380, 90, 271, 50206, 57512
565, 6581, 332, 91, 270, 50238, 57512
571, 6642, 275, 91, 14, 50490, 57512
577, 6578, 286, 91, 17, 50540, 57512
583, 6576, 342, 90, 18, 50486, 57512
589, 6477, 681, 90, 16, 50248, 57512
595, 6483, 1266, 90, 17, 49656, 57512
601, 6623, 2965, 91, 20, 47813, 57512
607, 6645, 4934, 91, 158, 45684, 57512
613, 6710, 5853, 93, 6, 44850, 57512
619, 6739, 7800, 92, 138, 42743, 57512
625, 6767, 8817, 90, 142, 41696, 57512
631, 6702, 9469, 90, 142, 41109, 57512
637, 6849, 9604, 90, 257, 40712, 57512
643, 6826, 9573, 90, 258, 40765, 57512
649, 6700, 9625, 90, 259, 40838, 57512
655, 6687, 9713, 91, 8, 41013, 57512
661, 6567, 9767, 92, 8, 41078, 57512
667, 6584, 9430, 91, 9, 41398, 57512
673, 6526, 8786, 91, 10, 42099, 57512
679, 6266, 7831, 90, 8, 43317, 57512
685, 6194, 6839, 91, 6, 44382, 57512
691, 6287, 5213, 90, 5, 45917, 57512
697, 6297, 4459, 91, 35, 46630, 57512
703, 6416, 3450, 90, 170, 47386, 57512
709, 6556, 2583, 90, 458, 47825, 57512
715, 6604, 2167, 90, 428, 48223, 57512
721, 6619, 1728, 92, 369, 48704, 57512
727, 6635, 1311, 91, 159, 49316, 57512
733, 6671, 1026, 91, 213, 49511, 57512
739, 6689, 332, 91, 11, 50389, 57512
745, 6628, 433, 91, 11, 50349, 57512
751, 6654, 372, 91, 264, 50131, 57512
757, 6644, 2720, 92, 226, 47830, 57512
763, 6580, 5202, 92, 146, 45492, 57512
769, 6542, 8706, 92, 284, 41888, 57512
775, 6405, 11411, 90, 397, 39209, 57512
781, 6601, 11901, 120, 8, 38882, 57512
787, 6686, 12522, 120, 9, 38175, 57512
