ts, default broker, CrocodileAgent, EWIIS3, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 6905, 535, 50068, 57508
367, 6918, 524, 50066, 57508
373, 6785, 656, 50067, 57508
379, 6905, 534, 50069, 57508
385, 6950, 637, 49921, 57508
391, 6838, 748, 49922, 57508
397, 6919, 666, 49923, 57508
403, 6892, 1426, 49190, 57508
409, 6939, 2099, 48470, 57508
415, 6917, 3242, 47349, 57508
421, 6858, 8727, 41923, 57508
427, 6868, 15222, 35418, 57508
433, 6853, 22584, 28071, 57508
439, 6909, 27022, 23577, 57508
445, 6789, 35515, 15204, 57508
451, 6845, 37418, 13245, 57508
457, 6845, 38854, 11809, 57508
463, 6846, 41019, 9643, 57508
469, 6695, 41288, 9525, 57508
475, 6725, 41258, 9525, 57508
481, 6782, 41234, 9492, 57508
487, 6825, 41191, 9492, 57508
493, 7026, 40950, 9532, 57508
499, 7013, 40657, 9838, 57508
505, 6948, 40212, 10348, 57508
511, 6915, 38719, 11874, 57508
517, 6879, 38413, 12216, 57508
523, 6879, 36319, 14310, 57508
529, 6867, 36777, 13864, 57508
535, 6911, 35899, 14698, 57508
541, 6947, 37131, 13430, 57508
547, 6989, 35977, 14542, 57508
553, 6910, 36716, 13882, 57508
559, 6937, 37991, 12580, 57508
565, 6782, 39141, 11585, 57508
571, 6783, 39610, 11115, 57508
577, 6815, 39909, 10784, 57508
583, 6877, 40168, 10463, 57508
589, 6936, 40857, 9715, 57508
595, 6848, 41506, 9154, 57508
601, 6861, 42243, 8404, 57508
607, 6786, 42816, 7906, 57508
613, 6664, 44150, 6694, 57508
619, 6634, 45291, 5583, 57508
625, 6717, 45711, 5080, 57508
631, 6771, 46306, 4431, 57508
637, 6562, 46547, 4399, 57508
643, 6543, 46589, 4376, 57508
649, 6727, 46425, 4356, 57508
655, 6660, 46079, 4769, 57508
661, 6715, 45821, 4972, 57508
667, 6854, 44819, 5835, 57508
673, 6886, 43570, 7052, 57508
679, 6897, 41007, 9604, 57508
685, 6866, 41144, 9498, 57508
691, 6896, 39752, 10860, 57508
697, 6985, 40595, 9928, 57508
703, 6992, 38770, 11746, 57508
709, 6987, 38295, 12226, 57508
715, 7022, 35246, 15240, 57508
721, 6979, 34899, 15630, 57508
727, 7008, 37666, 12834, 57508
733, 7022, 40036, 10450, 57508
739, 7008, 41599, 8901, 57508
745, 7022, 42548, 7938, 57508
751, 6961, 43282, 7265, 57508
757, 6886, 43888, 6734, 57508
763, 6837, 44653, 6018, 57508
769, 6795, 45320, 5393, 57508
775, 6838, 45577, 5093, 57508
781, 6951, 45656, 4901, 57508
787, 6961, 45684, 4863, 57508
793, 6947, 46047, 4514, 57508
799, 6928, 46118, 4462, 57508
805, 6936, 46221, 4351, 57508
811, 6937, 46079, 4492, 57508
817, 6967, 45980, 4561, 57508
823, 6860, 45492, 5156, 57508
829, 6846, 44910, 5752, 57508
835, 6867, 42796, 7845, 57508
841, 6860, 40482, 10166, 57508
847, 6898, 37474, 13136, 57508
853, 6945, 37446, 13117, 57508
859, 6932, 35632, 14944, 57508
865, 6946, 36381, 14181, 57508
871, 6933, 36638, 13937, 57508
877, 6879, 36777, 13852, 57508
883, 6803, 35471, 15234, 57508
889, 6727, 37192, 13589, 57508
895, 6722, 38574, 12212, 57508
901, 6742, 40878, 9888, 57508
907, 6774, 42438, 8296, 57508
913, 6911, 44058, 6539, 57508
919, 6857, 44609, 6042, 57508
925, 6762, 45398, 5348, 57508
931, 6781, 45592, 5135, 57508
937, 6860, 46196, 4452, 57508
943, 6834, 46376, 4298, 57508
949, 6839, 46743, 3926, 57508
955, 6851, 47230, 3427, 57508
961, 6922, 47654, 2932, 57508
967, 6896, 47890, 2722, 57508
973, 6937, 47930, 2641, 57508
979, 6994, 47893, 2621, 57508
985, 7043, 47807, 2658, 57508
991, 7020, 47552, 2936, 57508
997, 6901, 47785, 2822, 57508
1003, 6731, 47232, 3545, 57508
1009, 6748, 46723, 4037, 57508
1015, 6691, 44285, 6532, 57508
1021, 6841, 43331, 7336, 57508
1027, 6903, 42833, 7772, 57508
1033, 6922, 42766, 7820, 57508
1039, 6986, 42494, 8028, 57508
1045, 7007, 43113, 7388, 57508
1051, 6952, 43007, 7549, 57508
1057, 6951, 43824, 6733, 57508
1063, 6877, 44663, 5968, 57508
1069, 6900, 45775, 4833, 57508
1075, 6793, 46883, 3832, 57508
1081, 6726, 47395, 3387, 57508
1087, 6759, 47538, 3211, 57508
1093, 6771, 47771, 2966, 57508
1099, 6814, 47846, 2848, 57508
1105, 6864, 48252, 2392, 57508
1111, 6834, 48616, 2058, 57508
1117, 6871, 48619, 2018, 57508
1123, 6881, 48696, 1931, 57508
1129, 6864, 48758, 1886, 57508
1135, 6825, 48844, 1839, 57508
1141, 6853, 48885, 1770, 57508
1147, 6883, 48763, 1862, 57508
1153, 6895, 48658, 1955, 57508
1159, 6865, 48764, 1879, 57508
1165, 6883, 48480, 2145, 57508
1171, 6950, 48042, 2516, 57508
1177, 6982, 48127, 2399, 57508
1183, 6932, 47416, 3160, 57508
1189, 6837, 47117, 3554, 57508
1195, 6727, 46950, 3831, 57508
1201, 6803, 47059, 3646, 57508
1207, 6839, 44689, 5980, 57508
1213, 6911, 45363, 5234, 57508
1219, 6913, 44232, 6363, 57508
1225, 6941, 45247, 5320, 57508
1231, 6914, 45511, 5083, 57508
1237, 6929, 45883, 4696, 57508
1243, 6917, 46815, 3776, 57508
1249, 6910, 47618, 2980, 57508
1255, 6945, 47885, 2678, 57508
1261, 6885, 48151, 2472, 57508
1267, 6895, 48390, 2223, 57508
1273, 6870, 48643, 1995, 57508
1279, 6879, 48762, 1867, 57508
1285, 6917, 49024, 1567, 57508
1291, 6799, 49324, 1385, 57508
1297, 6827, 49495, 1186, 57508
1303, 6837, 49613, 1058, 57508
1309, 6881, 49569, 1058, 57508
1315, 6776, 49668, 1064, 57508
1321, 6733, 49752, 1023, 57508
1327, 6872, 49206, 1430, 57508
1333, 6886, 48575, 2047, 57508
1339, 6858, 47469, 3181, 57508
1345, 6925, 47583, 3000, 57508
1351, 6955, 47505, 3048, 57508
1357, 6984, 47430, 3094, 57508
1363, 7054, 46413, 4041, 57508
1369, 7053, 46701, 3754, 57508
1375, 6993, 45470, 5045, 57508
1381, 6923, 44026, 6559, 57508
1387, 6978, 44196, 6334, 57508
1393, 6891, 44561, 6056, 57508
1399, 6877, 45737, 4894, 57508
1405, 6825, 46838, 3845, 57508
1411, 6832, 47303, 3373, 57508
1417, 6848, 47814, 2846, 57508
1423, 6865, 48371, 2272, 57508
1429, 6757, 48836, 1915, 57508
1435, 6784, 48879, 1845, 57508
1441, 6855, 48868, 1785, 57508
1447, 6831, 49170, 1507, 57508
1453, 6516, 49539, 1453, 57508
1459, 6245, 49982, 1281, 57508
1465, 6448, 49878, 1182, 57508
1471, 6604, 49871, 1033, 57508
1477, 6756, 49739, 1013, 57508
1483, 6814, 49693, 1001, 57508
1489, 6859, 49567, 1082, 57508
1495, 6871, 49433, 1204, 57508
1501, 6901, 48898, 1709, 57508
1507, 6920, 48660, 1928, 57508
1513, 6916, 48066, 2526, 57508
1519, 6962, 47127, 3419, 57508
1525, 6959, 47256, 3293, 57508
1531, 6904, 45703, 4901, 57508
1537, 6895, 46490, 4123, 57508
1543, 6800, 46521, 4187, 57508
1549, 6912, 46369, 4227, 57508
1555, 6900, 45074, 5534, 57508
1561, 6901, 45643, 4964, 57508
1567, 6904, 46099, 4505, 57508
1573, 6933, 47093, 3482, 57508
1579, 6988, 47686, 2834, 57508
1585, 6988, 48211, 2309, 57508
1591, 6915, 48388, 2205, 57508
1597, 6968, 48834, 1706, 57508
1603, 6936, 48933, 1639, 57508
1609, 6801, 49286, 1421, 57508
1615, 6832, 49380, 1296, 57508
1621, 6852, 49492, 1164, 57508
1627, 6766, 49662, 1080, 57508
1633, 6792, 49818, 898, 57508
1639, 6762, 49952, 794, 57508
1645, 6820, 49952, 736, 57508
1651, 6619, 50143, 746, 57508
1657, 6706, 49975, 827, 57508
1663, 6749, 50023, 736, 57508
1669, 6794, 49967, 747, 57508
1675, 6862, 48521, 2125, 57508
1681, 6740, 48183, 2585, 57508
1687, 6829, 48045, 2634, 57508
1693, 6807, 47789, 2912, 57508
1699, 6860, 45804, 4844, 57508
1705, 6965, 45809, 4734, 57508
