ts, default broker, COLDPower18, Bunnie, total
359, 57513, 0, 0, 57513
360, 57513, 0, 0, 57513
361, 6935, 0, 50578, 57513
367, 6841, 0, 50672, 57513
373, 6915, 0, 50598, 57513
379, 6950, 0, 50563, 57513
385, 6933, 0, 50580, 57513
391, 6855, 0, 50658, 57513
397, 6883, 0, 50630, 57513
403, 6947, 0, 50566, 57513
409, 6886, 0, 50627, 57513
415, 6910, 0, 50603, 57513
421, 6943, 0, 50570, 57513
427, 6945, 0, 50568, 57513
433, 6818, 0, 50695, 57513
439, 6931, 0, 50582, 57513
445, 6948, 0, 50565, 57513
451, 6957, 0, 50556, 57513
457, 6924, 0, 50589, 57513
463, 6938, 0, 50575, 57513
469, 6851, 0, 50662, 57513
475, 6772, 0, 50741, 57513
481, 6828, 0, 50685, 57513
487, 6830, 0, 50683, 57513
493, 6707, 0, 50806, 57513
499, 6808, 0, 50705, 57513
505, 6849, 0, 50664, 57513
511, 6899, 0, 50614, 57513
517, 6913, 0, 50600, 57513
523, 6970, 0, 50543, 57513
529, 6968, 0, 50545, 57513
535, 6938, 0, 50575, 57513
541, 6957, 0, 50556, 57513
547, 6946, 0, 50567, 57513
553, 6893, 0, 50620, 57513
559, 6894, 0, 50619, 57513
565, 6800, 0, 50713, 57513
571, 6813, 0, 50700, 57513
577, 6791, 0, 50722, 57513
583, 6830, 0, 50683, 57513
589, 6848, 0, 50665, 57513
595, 6847, 0, 50666, 57513
601, 6870, 0, 50643, 57513
607, 6847, 0, 50666, 57513
613, 6899, 0, 50614, 57513
619, 6808, 0, 50705, 57513
625, 6817, 0, 50696, 57513
631, 6836, 0, 50677, 57513
637, 6668, 0, 50845, 57513
643, 6726, 0, 50787, 57513
649, 6850, 0, 50663, 57513
655, 6866, 0, 50647, 57513
661, 6881, 0, 50632, 57513
667, 6936, 0, 50577, 57513
673, 6963, 0, 50550, 57513
679, 6919, 0, 50594, 57513
685, 6917, 0, 50596, 57513
691, 6898, 0, 50615, 57513
697, 6881, 0, 50632, 57513
703, 6880, 0, 50633, 57513
709, 6941, 0, 50572, 57513
715, 6964, 0, 50549, 57513
721, 6989, 0, 50524, 57513
727, 6966, 0, 50547, 57513
733, 6850, 0, 50663, 57513
739, 6900, 0, 50613, 57513
745, 6923, 0, 50590, 57513
751, 6886, 0, 50627, 57513
757, 6917, 0, 50596, 57513
763, 6930, 0, 50583, 57513
769, 6970, 0, 50543, 57513
775, 6856, 0, 50657, 57513
781, 6873, 0, 50640, 57513
787, 6889, 0, 50624, 57513
793, 6920, 0, 50593, 57513
799, 6855, 0, 50658, 57513
805, 6666, 0, 50847, 57513
811, 6720, 0, 50793, 57513
817, 6766, 0, 50747, 57513
823, 6777, 0, 50736, 57513
829, 6865, 0, 50648, 57513
835, 6942, 0, 50571, 57513
841, 6900, 0, 50613, 57513
847, 6978, 0, 50535, 57513
853, 7006, 0, 50507, 57513
859, 6969, 0, 50544, 57513
865, 6983, 0, 50530, 57513
871, 6962, 0, 50551, 57513
877, 6854, 0, 50659, 57513
883, 6863, 0, 50650, 57513
889, 6835, 0, 50678, 57513
895, 6821, 0, 50692, 57513
901, 6777, 0, 50736, 57513
907, 6782, 0, 50731, 57513
913, 6717, 0, 50796, 57513
919, 6781, 0, 50732, 57513
925, 6823, 0, 50690, 57513
931, 6817, 0, 50696, 57513
937, 6823, 0, 50690, 57513
943, 6903, 0, 50610, 57513
949, 6966, 0, 50547, 57513
955, 6960, 0, 50553, 57513
961, 6980, 0, 50533, 57513
967, 7000, 0, 50513, 57513
973, 6935, 0, 50578, 57513
979, 6894, 0, 50619, 57513
985, 6892, 0, 50621, 57513
991, 6837, 0, 50676, 57513
997, 6749, 0, 50764, 57513
1003, 6794, 0, 50719, 57513
1009, 6807, 0, 50706, 57513
1015, 6831, 0, 50682, 57513
1021, 6844, 0, 50669, 57513
1027, 6844, 0, 50669, 57513
1033, 6827, 0, 50686, 57513
1039, 6925, 0, 50588, 57513
1045, 6890, 0, 50623, 57513
1051, 6891, 0, 50622, 57513
1057, 6925, 0, 50588, 57513
1063, 6904, 0, 50609, 57513
1069, 6932, 0, 50581, 57513
1075, 6898, 0, 50615, 57513
1081, 6911, 0, 50602, 57513
1087, 6938, 0, 50575, 57513
1093, 6967, 0, 50546, 57513
1099, 6906, 0, 50607, 57513
1105, 6932, 0, 50581, 57513
1111, 6883, 0, 50630, 57513
1117, 6859, 0, 50654, 57513
1123, 6906, 0, 50607, 57513
1129, 6926, 0, 50587, 57513
1135, 6919, 0, 50594, 57513
1141, 6960, 0, 50553, 57513
1147, 6924, 0, 50589, 57513
1153, 6950, 0, 50563, 57513
1159, 7010, 0, 50503, 57513
1165, 6964, 0, 50549, 57513
1171, 6908, 0, 50605, 57513
1177, 6974, 0, 50539, 57513
1183, 6920, 0, 50593, 57513
1189, 6961, 0, 50552, 57513
1195, 6990, 0, 50523, 57513
1201, 6999, 0, 50514, 57513
1207, 6955, 0, 50558, 57513
1213, 6967, 0, 50546, 57513
1219, 6920, 0, 50593, 57513
1225, 6900, 0, 50613, 57513
1231, 6937, 0, 50576, 57513
1237, 6863, 0, 50650, 57513
1243, 6877, 0, 50636, 57513
1249, 6890, 0, 50623, 57513
1255, 6927, 0, 50586, 57513
1261, 6973, 0, 50540, 57513
1267, 6976, 0, 50537, 57513
