ts, default broker, CrocodileAgent, COLDPower18, total
359, 57519, 0, 0, 57519
360, 57519, 0, 0, 57519
361, 6798, 50721, 0, 57519
367, 6888, 50631, 0, 57519
373, 6869, 50650, 0, 57519
379, 6791, 50728, 0, 57519
385, 6778, 50741, 0, 57519
391, 6807, 50712, 0, 57519
397, 6847, 50672, 0, 57519
403, 6831, 50688, 0, 57519
409, 6908, 50611, 0, 57519
415, 6851, 50668, 0, 57519
421, 6921, 50598, 0, 57519
427, 6949, 50570, 0, 57519
433, 6941, 50578, 0, 57519
439, 6827, 50692, 0, 57519
445, 6865, 50654, 0, 57519
451, 6788, 50731, 0, 57519
457, 6824, 50695, 0, 57519
463, 6851, 50668, 0, 57519
469, 6881, 50638, 0, 57519
475, 6972, 50547, 0, 57519
481, 6983, 50536, 0, 57519
487, 6993, 50526, 0, 57519
493, 7010, 50509, 0, 57519
499, 6928, 50591, 0, 57519
505, 6942, 50577, 0, 57519
511, 6971, 50548, 0, 57519
517, 7018, 50501, 0, 57519
523, 7017, 50502, 0, 57519
529, 6970, 50549, 0, 57519
535, 7015, 50504, 0, 57519
541, 7048, 50471, 0, 57519
547, 7049, 50470, 0, 57519
553, 6908, 50611, 0, 57519
559, 6925, 50594, 0, 57519
565, 6951, 50568, 0, 57519
571, 6904, 50615, 0, 57519
577, 6925, 50594, 0, 57519
583, 6855, 50664, 0, 57519
589, 6841, 50678, 0, 57519
595, 6843, 50676, 0, 57519
601, 6927, 50592, 0, 57519
607, 6942, 50577, 0, 57519
613, 6812, 50707, 0, 57519
619, 6836, 50683, 0, 57519
625, 6895, 50624, 0, 57519
631, 6937, 50582, 0, 57519
637, 6923, 50596, 0, 57519
643, 6877, 50642, 0, 57519
649, 6863, 50656, 0, 57519
655, 6924, 50595, 0, 57519
661, 6885, 50634, 0, 57519
667, 6919, 50600, 0, 57519
673, 6811, 50708, 0, 57519
679, 6791, 50728, 0, 57519
685, 6753, 50766, 0, 57519
691, 6617, 50902, 0, 57519
697, 6652, 50867, 0, 57519
703, 6677, 50842, 0, 57519
709, 6723, 50796, 0, 57519
715, 6808, 50711, 0, 57519
721, 6822, 50697, 0, 57519
727, 6845, 50674, 0, 57519
733, 6744, 50775, 0, 57519
739, 6805, 50714, 0, 57519
745, 6824, 50695, 0, 57519
751, 6876, 50643, 0, 57519
757, 6874, 50645, 0, 57519
763, 6873, 50646, 0, 57519
769, 6790, 50729, 0, 57519
775, 6784, 50735, 0, 57519
781, 6718, 50801, 0, 57519
