ts, default broker, SPOT, EWIIS3, AgentUDE, Bunnie, total
359, 57495, 0, 0, 0, 0, 57495
360, 57495, 0, 0, 0, 0, 57495
361, 6756, 95, 98, 26586, 23960, 57495
367, 6887, 96, 92, 26589, 23831, 57495
373, 6724, 95, 101, 29714, 20861, 57495
379, 6538, 93, 133, 32573, 18158, 57495
385, 6592, 93, 180, 35241, 15389, 57495
391, 6634, 93, 113, 36890, 13765, 57495
397, 6745, 94, 111, 38261, 12284, 57495
403, 6802, 94, 657, 6594, 43348, 57495
409, 6857, 94, 590, 6912, 43042, 57495
415, 6918, 94, 490, 7175, 42818, 57495
421, 6931, 94, 480, 7846, 42144, 57495
427, 6884, 94, 384, 8344, 41789, 57495
433, 6885, 94, 285, 8659, 41572, 57495
439, 6948, 94, 520, 9059, 40874, 57495
445, 6920, 93, 470, 1044, 48968, 57495
451, 6948, 94, 672, 1742, 48039, 57495
457, 6890, 93, 490, 2304, 47718, 57495
463, 6904, 93, 426, 2414, 47658, 57495
469, 6885, 93, 289, 2951, 47277, 57495
475, 6831, 93, 253, 3206, 47112, 57495
481, 6866, 93, 238, 3341, 46957, 57495
487, 6886, 91, 155, 688, 49675, 57495
493, 6636, 91, 146, 920, 49702, 57495
499, 6633, 91, 104, 1712, 48955, 57495
505, 6649, 90, 101, 1864, 48791, 57495
511, 6770, 90, 92, 2449, 48094, 57495
517, 6805, 90, 79, 2901, 47620, 57495
523, 6778, 90, 73, 3096, 47458, 57495
529, 6829, 90, 68, 1046, 49462, 57495
535, 6864, 90, 67, 1019, 49455, 57495
541, 6903, 90, 66, 1446, 48990, 57495
547, 6855, 90, 65, 1825, 48660, 57495
553, 6882, 90, 64, 2788, 47671, 57495
559, 6869, 90, 60, 2766, 47710, 57495
565, 6707, 90, 60, 2865, 47773, 57495
571, 6771, 90, 59, 208, 50367, 57495
577, 6827, 91, 50, 199, 50328, 57495
583, 6760, 90, 45, 368, 50232, 57495
589, 6810, 90, 44, 361, 50190, 57495
595, 6715, 91, 44, 363, 50282, 57495
601, 6825, 91, 43, 470, 50066, 57495
607, 6759, 91, 43, 473, 50129, 57495
613, 6741, 91, 39, 613, 50011, 57495
619, 6768, 91, 39, 784, 49813, 57495
625, 6880, 91, 29, 936, 49559, 57495
631, 6843, 91, 27, 952, 49582, 57495
637, 6724, 91, 26, 941, 49713, 57495
643, 6726, 91, 25, 1341, 49312, 57495
649, 6749, 93, 22, 1483, 49148, 57495
655, 6807, 92, 24, 22, 50550, 57495
661, 6815, 93, 23, 14, 50550, 57495
667, 6816, 92, 23, 187, 50377, 57495
673, 6889, 92, 22, 342, 50150, 57495
679, 6968, 62, 24, 292, 50149, 57495
685, 6993, 48, 25, 459, 49970, 57495
691, 7000, 40, 24, 463, 49968, 57495
697, 6973, 40, 16, 522, 49944, 57495
703, 6961, 26, 16, 603, 49889, 57495
709, 6974, 60, 15, 598, 49848, 57495
715, 6903, 75, 12, 599, 49906, 57495
721, 6805, 80, 12, 587, 50011, 57495
727, 6810, 87, 14, 700, 49884, 57495
733, 6816, 90, 14, 686, 49889, 57495
739, 6746, 92, 14, 353, 50290, 57495
745, 6840, 92, 14, 749, 49800, 57495
751, 6890, 92, 13, 1098, 49402, 57495
757, 6863, 93, 14, 1503, 49022, 57495
763, 6912, 93, 14, 1498, 48978, 57495
769, 6912, 93, 14, 1577, 48899, 57495
775, 6878, 92, 14, 1498, 49013, 57495
781, 6823, 92, 14, 59, 50507, 57495
787, 6826, 92, 14, 334, 50229, 57495
793, 6840, 90, 12, 437, 50116, 57495
799, 6896, 90, 12, 439, 50058, 57495
805, 6571, 90, 13, 437, 50384, 57495
811, 6598, 90, 13, 446, 50348, 57495
817, 6629, 90, 13, 442, 50321, 57495
823, 6663, 90, 14, 718, 50010, 57495
829, 6719, 90, 15, 1405, 49266, 57495
835, 6728, 90, 15, 1409, 49253, 57495
841, 6826, 90, 15, 1512, 49052, 57495
847, 6875, 90, 16, 1462, 49052, 57495
853, 6863, 91, 15, 1709, 48817, 57495
859, 6895, 91, 16, 1984, 48509, 57495
865, 6815, 91, 17, 1046, 49526, 57495
871, 6824, 91, 17, 1138, 49425, 57495
877, 6825, 91, 17, 1300, 49262, 57495
883, 6847, 91, 17, 2025, 48515, 57495
889, 6807, 91, 17, 2732, 47848, 57495
895, 6722, 91, 15, 2735, 47932, 57495
901, 6282, 91, 14, 2883, 48225, 57495
907, 6309, 91, 13, 793, 50289, 57495
913, 6426, 91, 13, 897, 50068, 57495
919, 6475, 91, 14, 1469, 49446, 57495
925, 6628, 91, 15, 1991, 48770, 57495
931, 6701, 91, 14, 2408, 48281, 57495
937, 6791, 91, 14, 2950, 47649, 57495
943, 6869, 91, 13, 2952, 47570, 57495
949, 6843, 91, 14, 29, 50518, 57495
955, 6808, 91, 14, 169, 50413, 57495
961, 6843, 91, 15, 188, 50358, 57495
967, 6842, 91, 15, 179, 50368, 57495
973, 6687, 90, 15, 303, 50400, 57495
979, 6649, 90, 15, 604, 50137, 57495
985, 6716, 90, 16, 742, 49931, 57495
991, 6719, 90, 15, 364, 50307, 57495
997, 6814, 90, 13, 522, 50056, 57495
1003, 6856, 90, 14, 684, 49851, 57495
1009, 6850, 90, 14, 695, 49846, 57495
1015, 6919, 90, 14, 796, 49676, 57495
1021, 6932, 90, 15, 1056, 49402, 57495
1027, 6851, 90, 15, 1315, 49224, 57495
1033, 6823, 91, 15, 227, 50339, 57495
1039, 6890, 92, 14, 230, 50269, 57495
1045, 6631, 92, 14, 341, 50417, 57495
1051, 6666, 91, 15, 629, 50094, 57495
1057, 6686, 91, 15, 868, 49835, 57495
1063, 6687, 91, 14, 1102, 49601, 57495
1069, 6765, 91, 14, 1367, 49258, 57495
1075, 6775, 91, 18, 258, 50353, 57495
1081, 6839, 91, 17, 266, 50282, 57495
1087, 6855, 91, 17, 405, 50127, 57495
1093, 6912, 91, 16, 398, 50078, 57495
1099, 6899, 90, 17, 547, 49942, 57495
1105, 6906, 91, 16, 796, 49686, 57495
1111, 6878, 92, 15, 832, 49678, 57495
1117, 6850, 92, 15, 647, 49891, 57495
1123, 6796, 92, 15, 914, 49678, 57495
1129, 6845, 91, 16, 1257, 49286, 57495
1135, 6866, 91, 17, 1392, 49129, 57495
1141, 6882, 91, 17, 1487, 49018, 57495
1147, 6890, 91, 17, 1613, 48884, 57495
1153, 6884, 91, 17, 1859, 48644, 57495
1159, 6857, 91, 17, 23, 50507, 57495
1165, 6830, 91, 16, 254, 50304, 57495
1171, 6817, 91, 16, 253, 50318, 57495
1177, 6854, 91, 15, 273, 50262, 57495
1183, 6821, 91, 13, 266, 50304, 57495
1189, 6801, 91, 13, 522, 50068, 57495
1195, 6871, 92, 11, 521, 50000, 57495
1201, 6858, 92, 14, 16, 50515, 57495
1207, 6851, 92, 13, 19, 50520, 57495
1213, 6886, 92, 9, 40, 50468, 57495
1219, 6793, 92, 9, 187, 50414, 57495
1225, 6850, 92, 9, 338, 50206, 57495
1231, 6858, 91, 10, 328, 50208, 57495
1237, 6539, 91, 10, 477, 50378, 57495
1243, 6552, 91, 11, 38, 50803, 57495
1249, 6575, 238, 11, 41, 50630, 57495
1255, 6730, 238, 10, 34, 50483, 57495
1261, 6814, 238, 9, 127, 50307, 57495
1267, 6905, 238, 8, 429, 49915, 57495
1273, 6918, 238, 8, 614, 49717, 57495
1279, 6891, 237, 8, 437, 49922, 57495
1285, 6912, 237, 10, 154, 50182, 57495
1291, 6925, 180, 12, 162, 50216, 57495
1297, 6939, 151, 11, 164, 50230, 57495
1303, 6952, 151, 10, 168, 50214, 57495
1309, 6946, 152, 8, 182, 50207, 57495
1315, 6953, 152, 8, 171, 50211, 57495
1321, 6933, 122, 7, 290, 50143, 57495
1327, 6955, 122, 7, 27, 50384, 57495
1333, 6989, 122, 8, 127, 50249, 57495
1339, 6996, 122, 8, 228, 50141, 57495
1345, 6962, 122, 8, 388, 50015, 57495
1351, 6922, 93, 6, 332, 50142, 57495
1357, 6905, 93, 7, 412, 50078, 57495
1363, 6947, 93, 7, 511, 49937, 57495
1369, 6934, 92, 9, 152, 50308, 57495
1375, 6920, 93, 9, 185, 50288, 57495
1381, 6921, 93, 8, 677, 49796, 57495
1387, 6949, 93, 9, 667, 49777, 57495
1393, 6929, 93, 8, 811, 49654, 57495
1399, 6949, 93, 8, 913, 49532, 57495
1405, 6880, 93, 9, 909, 49604, 57495
1411, 6826, 93, 10, 168, 50398, 57495
1417, 6874, 92, 11, 621, 49897, 57495
1423, 6874, 92, 12, 572, 49945, 57495
1429, 6868, 92, 11, 742, 49782, 57495
1435, 6829, 91, 10, 1036, 49529, 57495
1441, 6769, 90, 9, 1184, 49443, 57495
1447, 6784, 90, 8, 1122, 49491, 57495
1453, 6813, 90, 8, 114, 50470, 57495
1459, 6821, 90, 8, 285, 50291, 57495
1465, 6815, 90, 9, 239, 50342, 57495
1471, 6823, 90, 10, 160, 50412, 57495
1477, 6859, 90, 8, 142, 50396, 57495
1483, 6911, 91, 9, 129, 50355, 57495
1489, 6897, 91, 10, 433, 50064, 57495
1495, 6876, 91, 12, 27, 50489, 57495
1501, 6858, 91, 9, 181, 50356, 57495
1507, 6778, 91, 10, 337, 50279, 57495
1513, 6846, 92, 10, 618, 49929, 57495
1519, 6916, 92, 11, 502, 49974, 57495
1525, 6882, 91, 12, 394, 50116, 57495
1531, 6910, 91, 12, 326, 50156, 57495
1537, 6815, 90, 24, 316, 50250, 57495
1543, 6859, 90, 21, 416, 50109, 57495
1549, 6874, 90, 20, 562, 49949, 57495
1555, 6826, 90, 10, 727, 49842, 57495
1561, 6867, 90, 10, 1090, 49438, 57495
1567, 6821, 90, 10, 1030, 49544, 57495
1573, 6638, 90, 11, 1186, 49570, 57495
1579, 6656, 90, 10, 729, 50010, 57495
1585, 6722, 90, 7, 2274, 48402, 57495
1591, 6713, 90, 9, 3055, 47628, 57495
1597, 6736, 91, 9, 3861, 46798, 57495
1603, 6848, 90, 9, 4361, 46187, 57495
1609, 6856, 91, 10, 5767, 44771, 57495
1615, 6891, 91, 9, 6246, 44258, 57495
1621, 6811, 90, 9, 1149, 49436, 57495
1627, 6784, 90, 9, 1276, 49336, 57495
1633, 6758, 90, 9, 1435, 49203, 57495
1639, 6753, 90, 9, 1972, 48671, 57495
1645, 6809, 90, 9, 2541, 48046, 57495
1651, 6831, 90, 9, 2686, 47879, 57495
1657, 6866, 91, 8, 3373, 47157, 57495
1663, 6859, 91, 9, 594, 49942, 57495
1669, 6887, 90, 9, 901, 49608, 57495
1675, 6826, 90, 8, 962, 49609, 57495
1681, 6759, 90, 7, 1315, 49324, 57495
1687, 6776, 90, 7, 1344, 49278, 57495
1693, 6659, 90, 7, 1756, 48983, 57495
1699, 6550, 90, 8, 2000, 48847, 57495
1705, 6634, 90, 9, 791, 49971, 57495
1711, 6640, 55, 9, 1156, 49635, 57495
1717, 6797, 43, 9, 1525, 49121, 57495
1723, 6880, 23, 8, 1558, 49026, 57495
1729, 6906, 41, 8, 1558, 48982, 57495
1735, 6867, 71, 10, 1856, 48691, 57495
