ts, default broker, SPOT, COLDPower18, EWIIS3, Bunnie, total
1621, 6826, 93, 0, 20, 50574, 57513
1627, 6896, 95, 0, 18, 50504, 57513
1633, 6910, 95, 0, 18, 50490, 57513
1639, 6910, 95, 0, 19, 50489, 57513
1645, 6782, 94, 0, 19, 50618, 57513
1651, 6786, 94, 0, 20, 50613, 57513
1657, 6776, 95, 0, 18, 50624, 57513
1663, 6801, 96, 0, 17, 50599, 57513
1669, 6856, 96, 0, 18, 50543, 57513
1675, 6850, 95, 0, 18, 50550, 57513
1681, 6845, 94, 0, 19, 50555, 57513
1687, 6812, 95, 0, 18, 50588, 57513
1693, 6815, 95, 0, 16, 50587, 57513
1699, 6836, 95, 0, 17, 50565, 57513
1705, 6769, 95, 0, 17, 50632, 57513
1711, 6791, 96, 0, 14, 50612, 57513
1717, 6850, 95, 0, 19, 50549, 57513
1723, 6827, 95, 0, 17, 50574, 57513
1729, 6800, 95, 0, 17, 50601, 57513
1735, 6861, 94, 0, 18, 50540, 57513
1741, 6650, 95, 0, 18, 50750, 57513
1747, 6709, 95, 0, 16, 50693, 57513
1753, 6785, 95, 0, 17, 50616, 57513
1759, 6787, 95, 0, 18, 50613, 57513
1765, 6875, 95, 0, 17, 50526, 57513
