ts, default broker, SPOT, COLDPower18, EWIIS3, Bunnie, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 6903, 188, 0, 89, 50333, 57513
367, 6889, 203, 0, 72, 50349, 57513
373, 6626, 206, 0, 84, 50597, 57513
379, 6531, 197, 0, 81, 50704, 57513
385, 6607, 67, 0, 233, 50606, 57513
391, 6664, 85, 0, 204, 50560, 57513
397, 6535, 93, 0, 200, 50685, 57513
403, 6568, 94, 0, 172, 50679, 57513
409, 6592, 94, 0, 423, 50404, 57513
415, 6690, 94, 0, 361, 50368, 57513
421, 6706, 95, 0, 226, 50486, 57513
427, 6751, 105, 0, 165, 50492, 57513
433, 6824, 105, 0, 133, 50451, 57513
439, 6825, 106, 0, 104, 50478, 57513
445, 6868, 95, 0, 103, 50447, 57513
451, 6892, 95, 0, 107, 50419, 57513
457, 6866, 95, 0, 107, 50445, 57513
463, 6872, 95, 0, 75, 50471, 57513
469, 6702, 94, 0, 74, 50643, 57513
475, 6666, 94, 0, 72, 50681, 57513
481, 6712, 94, 0, 59, 50648, 57513
487, 6846, 94, 0, 56, 50517, 57513
493, 6888, 94, 0, 53, 50478, 57513
499, 6869, 95, 0, 52, 50497, 57513
505, 6807, 94, 0, 53, 50559, 57513
511, 6893, 94, 0, 29, 50497, 57513
517, 6757, 93, 0, 31, 50632, 57513
523, 6713, 93, 0, 31, 50676, 57513
529, 6707, 93, 0, 29, 50684, 57513
535, 6688, 93, 0, 28, 50704, 57513
541, 6697, 93, 0, 28, 50695, 57513
547, 6732, 93, 0, 28, 50660, 57513
553, 6760, 93, 0, 28, 50632, 57513
559, 6775, 93, 0, 31, 50614, 57513
565, 6388, 93, 0, 29, 51003, 57513
571, 6418, 94, 0, 29, 50972, 57513
577, 6528, 93, 0, 29, 50863, 57513
583, 6692, 93, 0, 29, 50699, 57513
589, 6758, 93, 0, 26, 50636, 57513
595, 6798, 93, 0, 28, 50594, 57513
601, 6840, 93, 0, 28, 50552, 57513
607, 6848, 93, 0, 28, 50544, 57513
613, 6862, 95, 0, 28, 50528, 57513
619, 6914, 95, 0, 26, 50478, 57513
625, 6889, 95, 0, 24, 50505, 57513
631, 6835, 95, 0, 23, 50560, 57513
637, 6824, 94, 0, 26, 50569, 57513
643, 6815, 94, 0, 29, 50575, 57513
649, 6879, 94, 0, 28, 50512, 57513
655, 6899, 93, 0, 29, 50492, 57513
661, 6955, 93, 0, 29, 50436, 57513
667, 6984, 93, 0, 30, 50406, 57513
673, 6962, 93, 0, 30, 50428, 57513
679, 6805, 93, 0, 30, 50585, 57513
685, 6843, 94, 0, 18, 50558, 57513
691, 6857, 93, 0, 20, 50543, 57513
697, 6829, 93, 0, 19, 50572, 57513
703, 6871, 93, 0, 19, 50530, 57513
709, 6503, 93, 0, 19, 50898, 57513
715, 6384, 93, 0, 19, 51017, 57513
721, 6484, 93, 0, 18, 50918, 57513
727, 6626, 94, 0, 19, 50774, 57513
733, 6731, 94, 0, 18, 50670, 57513
739, 6847, 94, 0, 18, 50554, 57513
745, 6787, 94, 0, 18, 50614, 57513
751, 6866, 95, 0, 18, 50534, 57513
757, 6874, 94, 0, 20, 50525, 57513
763, 6903, 94, 0, 19, 50497, 57513
769, 6904, 93, 0, 20, 50496, 57513
775, 6918, 94, 0, 20, 50481, 57513
781, 6831, 94, 0, 18, 50570, 57513
787, 6798, 94, 0, 18, 50603, 57513
793, 6821, 94, 0, 18, 50580, 57513
799, 6789, 95, 0, 15, 50614, 57513
805, 6550, 96, 0, 15, 50852, 57513
811, 6549, 94, 0, 17, 50853, 57513
817, 6541, 94, 0, 17, 50861, 57513
823, 6711, 94, 0, 17, 50691, 57513
829, 6827, 95, 0, 17, 50574, 57513
835, 6877, 95, 0, 16, 50525, 57513
841, 6837, 95, 0, 15, 50566, 57513
847, 6824, 94, 0, 15, 50580, 57513
853, 6794, 94, 0, 18, 50607, 57513
859, 6830, 94, 0, 19, 50570, 57513
865, 6903, 95, 0, 20, 50495, 57513
871, 6882, 95, 0, 20, 50516, 57513
877, 6890, 95, 0, 19, 50509, 57513
883, 6926, 95, 0, 18, 50474, 57513
889, 6865, 93, 0, 19, 50536, 57513
895, 6870, 93, 0, 20, 50530, 57513
901, 6686, 94, 0, 20, 50713, 57513
907, 6644, 94, 0, 20, 50755, 57513
913, 6636, 94, 0, 20, 50763, 57513
919, 6743, 94, 0, 20, 50656, 57513
925, 6793, 93, 0, 19, 50608, 57513
931, 6822, 94, 0, 19, 50578, 57513
937, 6900, 94, 0, 18, 50501, 57513
943, 6880, 95, 0, 18, 50520, 57513
949, 6717, 95, 0, 19, 50682, 57513
955, 6773, 95, 0, 18, 50627, 57513
961, 6747, 63, 0, 19, 50684, 57513
967, 6797, 59, 0, 18, 50639, 57513
973, 6813, 52, 0, 19, 50629, 57513
979, 6766, 51, 0, 20, 50676, 57513
985, 6819, 53, 0, 21, 50620, 57513
991, 6814, 64, 0, 22, 50613, 57513
997, 6887, 84, 0, 21, 50521, 57513
1003, 6860, 90, 0, 19, 50544, 57513
1009, 6913, 94, 0, 17, 50489, 57513
1015, 6840, 94, 0, 16, 50563, 57513
1021, 6847, 94, 0, 17, 50555, 57513
1027, 6878, 94, 0, 15, 50526, 57513
1033, 6873, 94, 0, 16, 50530, 57513
1039, 6894, 94, 0, 16, 50509, 57513
1045, 6818, 94, 0, 18, 50583, 57513
1051, 6854, 94, 0, 17, 50548, 57513
1057, 6884, 94, 0, 15, 50520, 57513
1063, 6824, 93, 0, 15, 50581, 57513
1069, 6254, 93, 0, 16, 51150, 57513
1075, 6368, 93, 0, 18, 51034, 57513
1081, 6510, 94, 0, 19, 50890, 57513
1087, 6584, 94, 0, 18, 50817, 57513
1093, 6633, 95, 0, 18, 50767, 57513
1099, 6648, 95, 0, 18, 50752, 57513
1105, 6725, 94, 0, 19, 50675, 57513
1111, 6752, 94, 0, 18, 50649, 57513
1117, 6785, 95, 0, 18, 50615, 57513
1123, 6795, 95, 0, 17, 50606, 57513
1129, 6777, 94, 0, 19, 50623, 57513
1135, 6784, 94, 0, 18, 50617, 57513
1141, 6807, 94, 0, 17, 50595, 57513
1147, 6773, 94, 0, 18, 50628, 57513
1153, 6834, 94, 0, 19, 50566, 57513
1159, 6834, 94, 0, 19, 50566, 57513
1165, 6800, 94, 0, 19, 50600, 57513
1171, 6795, 94, 0, 19, 50605, 57513
1177, 6795, 95, 0, 18, 50605, 57513
1183, 6810, 94, 0, 19, 50590, 57513
1189, 6486, 95, 0, 18, 50914, 57513
1195, 6549, 96, 0, 16, 50852, 57513
1201, 6597, 97, 0, 15, 50804, 57513
1207, 6642, 95, 0, 19, 50757, 57513
1213, 6776, 95, 0, 19, 50623, 57513
1219, 6818, 95, 0, 19, 50581, 57513
1225, 6793, 95, 0, 18, 50607, 57513
1231, 6797, 94, 0, 17, 50605, 57513
1237, 6841, 94, 0, 18, 50560, 57513
1243, 6821, 93, 0, 20, 50579, 57513
1249, 6884, 93, 0, 21, 50515, 57513
1255, 6878, 93, 0, 20, 50522, 57513
1261, 6879, 93, 0, 20, 50521, 57513
1267, 6873, 93, 0, 21, 50526, 57513
1273, 6857, 94, 0, 18, 50544, 57513
1279, 6870, 94, 0, 18, 50531, 57513
1285, 6919, 94, 0, 18, 50482, 57513
1291, 6918, 94, 0, 18, 50483, 57513
1297, 6810, 95, 0, 17, 50591, 57513
1303, 6901, 95, 0, 18, 50499, 57513
1309, 6895, 95, 0, 18, 50505, 57513
1315, 6812, 95, 0, 15, 50591, 57513
1321, 6843, 94, 0, 16, 50560, 57513
1327, 6796, 94, 0, 16, 50607, 57513
1333, 6832, 94, 0, 15, 50572, 57513
1339, 6799, 94, 0, 14, 50606, 57513
1345, 6731, 95, 0, 15, 50672, 57513
1351, 6770, 95, 0, 15, 50633, 57513
1357, 6722, 95, 0, 16, 50680, 57513
1363, 6777, 95, 0, 17, 50624, 57513
1369, 6820, 95, 0, 17, 50581, 57513
1375, 6868, 93, 0, 20, 50532, 57513
1381, 6904, 94, 0, 19, 50496, 57513
1387, 6891, 95, 0, 18, 50509, 57513
1393, 6899, 96, 0, 17, 50501, 57513
1399, 6901, 96, 0, 17, 50499, 57513
1405, 6779, 95, 0, 18, 50621, 57513
1411, 6741, 96, 0, 17, 50659, 57513
1417, 6636, 95, 0, 18, 50764, 57513
1423, 6726, 95, 0, 18, 50674, 57513
1429, 6765, 95, 0, 18, 50635, 57513
1435, 6767, 95, 0, 17, 50634, 57513
1441, 6838, 95, 0, 17, 50563, 57513
1447, 6799, 95, 0, 16, 50603, 57513
1453, 6806, 95, 0, 16, 50596, 57513
1459, 6807, 93, 0, 18, 50595, 57513
1465, 6821, 93, 0, 18, 50581, 57513
1471, 6842, 93, 0, 18, 50560, 57513
1477, 6926, 94, 0, 17, 50476, 57513
1483, 6878, 95, 0, 17, 50523, 57513
1489, 6866, 95, 0, 16, 50536, 57513
1495, 6885, 95, 0, 16, 50517, 57513
1501, 6859, 95, 0, 15, 50544, 57513
1507, 6912, 95, 0, 15, 50491, 57513
1513, 6891, 95, 0, 16, 50511, 57513
1519, 6898, 97, 0, 15, 50503, 57513
1525, 6722, 96, 0, 16, 50679, 57513
1531, 6773, 96, 0, 15, 50629, 57513
1537, 6788, 95, 0, 17, 50613, 57513
1543, 6789, 95, 0, 17, 50612, 57513
1549, 6856, 95, 0, 18, 50544, 57513
1555, 6876, 95, 0, 17, 50525, 57513
1561, 6870, 93, 0, 19, 50531, 57513
1567, 6811, 93, 0, 18, 50591, 57513
1573, 6823, 93, 0, 21, 50576, 57513
1579, 6614, 93, 0, 21, 50785, 57513
1585, 6730, 94, 0, 21, 50668, 57513
1591, 6782, 94, 0, 20, 50617, 57513
1597, 6491, 93, 0, 18, 50911, 57513
1603, 6550, 93, 0, 19, 50851, 57513
1609, 6618, 93, 0, 18, 50784, 57513
1615, 6777, 93, 0, 20, 50623, 57513
