ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 18, 2037, 12124, 0, 43330, 57509
367, 18, 2033, 12121, 0, 43337, 57509
373, 16, 2036, 12124, 0, 43333, 57509
379, 13, 2038, 12122, 0, 43336, 57509
385, 14, 2037, 12122, 0, 43336, 57509
391, 13, 2040, 12107, 0, 43349, 57509
397, 12, 2040, 12105, 0, 43352, 57509
403, 12, 2069, 9129, 0, 46299, 57509
409, 13, 2069, 7435, 0, 47992, 57509
415, 12, 2098, 6077, 0, 49322, 57509
421, 12, 2098, 5594, 0, 49805, 57509
427, 12, 2099, 4739, 0, 50659, 57509
433, 14, 1298, 597, 0, 55600, 57509
439, 13, 849, 598, 0, 56049, 57509
445, 13, 792, 609, 0, 56095, 57509
451, 13, 927, 608, 0, 55961, 57509
457, 12, 1251, 717, 0, 55529, 57509
463, 12, 1420, 719, 0, 55358, 57509
469, 14, 1465, 707, 0, 55323, 57509
475, 13, 1841, 527, 0, 55128, 57509
481, 14, 2317, 61, 0, 55117, 57509
487, 15, 2396, 60, 0, 55038, 57509
493, 15, 3051, 60, 0, 54383, 57509
499, 16, 3944, 60, 0, 53489, 57509
505, 16, 4599, 55, 0, 52839, 57509
511, 13, 5414, 56, 0, 52026, 57509
517, 16, 5842, 67, 0, 51584, 57509
523, 14, 5913, 57, 0, 51525, 57509
529, 13, 5863, 437, 0, 51196, 57509
535, 13, 5503, 443, 0, 51550, 57509
541, 13, 5321, 624, 0, 51551, 57509
547, 14, 5040, 963, 0, 51492, 57509
553, 14, 4708, 125, 0, 52662, 57509
559, 12, 4489, 123, 0, 52885, 57509
565, 12, 3980, 247, 0, 53270, 57509
571, 11, 3372, 249, 0, 53877, 57509
577, 11, 2742, 259, 0, 54497, 57509
583, 11, 1953, 375, 0, 55170, 57509
589, 11, 1563, 488, 0, 55447, 57509
595, 11, 919, 554, 0, 56025, 57509
601, 12, 699, 503, 0, 56295, 57509
607, 12, 440, 570, 0, 56487, 57509
613, 12, 330, 627, 0, 56540, 57509
619, 12, 250, 597, 0, 56650, 57509
625, 12, 468, 585, 0, 56444, 57509
631, 11, 568, 586, 0, 56344, 57509
637, 11, 1037, 435, 0, 56026, 57509
643, 11, 1205, 332, 0, 55961, 57509
649, 15, 2234, 31, 0, 55229, 57509
655, 28, 3081, 34, 0, 54366, 57509
661, 22, 3890, 57, 0, 53540, 57509
667, 25, 5206, 62, 0, 52216, 57509
673, 17, 5910, 62, 0, 51520, 57509
679, 14, 6150, 186, 0, 51159, 57509
685, 12, 6641, 188, 0, 50668, 57509
691, 13, 6596, 188, 0, 50712, 57509
697, 12, 6515, 287, 0, 50695, 57509
703, 12, 6462, 475, 0, 50560, 57509
709, 13, 6349, 711, 0, 50436, 57509
715, 14, 6030, 692, 0, 50773, 57509
721, 14, 5553, 67, 0, 51875, 57509
727, 13, 5222, 58, 0, 52216, 57509
733, 13, 4560, 58, 0, 52878, 57509
739, 12, 3370, 179, 0, 53948, 57509
745, 12, 2809, 177, 0, 54511, 57509
751, 12, 1970, 296, 0, 55231, 57509
757, 12, 1610, 292, 0, 55595, 57509
763, 13, 1169, 534, 0, 55793, 57509
769, 13, 916, 543, 0, 56037, 57509
775, 13, 737, 507, 0, 56252, 57509
781, 14, 508, 505, 0, 56482, 57509
787, 13, 458, 500, 0, 56538, 57509
793, 14, 1333, 76, 0, 56086, 57509
799, 12, 1464, 47, 0, 55986, 57509
805, 12, 1387, 47, 0, 56063, 57509
811, 12, 1756, 48, 0, 55693, 57509
817, 12, 3233, 48, 0, 54216, 57509
823, 12, 4010, 48, 0, 53439, 57509
829, 13, 4841, 46, 0, 52609, 57509
835, 15, 6278, 46, 0, 51170, 57509
841, 13, 7727, 45, 0, 49724, 57509
847, 13, 8431, 17, 0, 49048, 57509
853, 12, 8552, 16, 0, 48929, 57509
859, 14, 8468, 16, 0, 49011, 57509
865, 3, 8106, 15, 0, 49385, 57509
871, 0, 7331, 16, 0, 50162, 57509
877, 2, 6539, 17, 0, 50951, 57509
883, 0, 4977, 11, 0, 52521, 57509
889, 1, 4285, 89, 0, 53134, 57509
895, 3, 3095, 92, 0, 54319, 57509
901, 16, 3221, 853, 0, 53419, 57509
907, 2256, 2303, 524, 0, 52426, 57509
913, 3442, 1909, 433, 0, 51725, 57509
919, 3441, 1563, 372, 0, 52133, 57509
925, 3603, 1197, 451, 0, 52258, 57509
931, 3475, 979, 421, 0, 52634, 57509
937, 3431, 684, 361, 0, 53033, 57509
943, 3424, 659, 302, 0, 53124, 57509
949, 3552, 771, 337, 0, 52849, 57509
955, 3520, 735, 277, 0, 52977, 57509
961, 3562, 539, 271, 0, 53137, 57509
967, 3528, 558, 241, 0, 53182, 57509
973, 3380, 511, 210, 0, 53408, 57509
979, 3418, 665, 179, 0, 53247, 57509
985, 3601, 3314, 149, 0, 50445, 57509
991, 3686, 4357, 129, 0, 49337, 57509
997, 3541, 6270, 99, 0, 47599, 57509
1003, 3469, 6770, 100, 0, 47170, 57509
1009, 3582, 7506, 100, 0, 46321, 57509
1015, 3424, 7862, 99, 0, 46124, 57509
1021, 3467, 7805, 54, 0, 46183, 57509
1027, 3465, 7738, 50, 0, 46256, 57509
1033, 3469, 7747, 44, 0, 46249, 57509
1039, 3367, 7767, 65, 0, 46310, 57509
1045, 3376, 8485, 829, 0, 44819, 57509
1051, 3392, 8121, 826, 0, 45170, 57509
1057, 3274, 7204, 748, 0, 46283, 57509
1063, 3275, 6734, 764, 0, 46736, 57509
1069, 3349, 5366, 763, 0, 48031, 57509
1075, 3364, 3765, 687, 0, 49693, 57509
1081, 3494, 3126, 687, 0, 50202, 57509
1087, 3444, 2372, 549, 0, 51144, 57509
1093, 3447, 2062, 537, 0, 51463, 57509
1099, 3441, 1774, 385, 0, 51909, 57509
1105, 3551, 1533, 94, 0, 52331, 57509
1111, 3473, 1367, 94, 0, 52575, 57509
1117, 3439, 1431, 95, 0, 52544, 57509
1123, 3306, 1539, 94, 0, 52570, 57509
1129, 3225, 1333, 94, 0, 52857, 57509
1135, 3128, 1383, 95, 0, 52903, 57509
1141, 3116, 1142, 96, 0, 53155, 57509
1147, 3173, 1880, 96, 0, 52360, 57509
1153, 3214, 2539, 95, 0, 51661, 57509
1159, 3270, 3519, 96, 0, 50624, 57509
1165, 3317, 3948, 96, 0, 50148, 57509
1171, 3396, 4909, 96, 0, 49108, 57509
1177, 3311, 6443, 97, 0, 47658, 57509
1183, 3152, 8013, 96, 0, 46248, 57509
1189, 3315, 8111, 96, 0, 45987, 57509
1195, 3295, 8142, 96, 0, 45976, 57509
1201, 3423, 8188, 238, 0, 45660, 57509
1207, 3480, 8370, 348, 0, 45311, 57509
1213, 3364, 8366, 415, 0, 45364, 57509
1219, 3383, 7988, 524, 0, 45614, 57509
1225, 3312, 7413, 692, 0, 46092, 57509
1231, 3303, 7185, 709, 0, 46312, 57509
1237, 3275, 6165, 710, 0, 47359, 57509
1243, 3317, 5947, 788, 0, 47457, 57509
1249, 3348, 4777, 838, 0, 48546, 57509
1255, 3143, 3930, 750, 0, 49686, 57509
1261, 3327, 3208, 720, 0, 50254, 57509
1267, 3187, 2938, 722, 0, 50662, 57509
1273, 3281, 1964, 652, 0, 51612, 57509
1279, 3303, 1579, 724, 0, 51903, 57509
1285, 3292, 1106, 461, 0, 52650, 57509
1291, 3283, 1135, 372, 0, 52719, 57509
1297, 3279, 1118, 342, 0, 52770, 57509
1303, 3346, 979, 291, 0, 52893, 57509
1309, 3350, 821, 239, 0, 53099, 57509
1315, 3282, 1464, 239, 0, 52524, 57509
1321, 3382, 1893, 215, 0, 52019, 57509
1327, 3381, 2988, 165, 0, 50975, 57509
1333, 3303, 3999, 134, 0, 50073, 57509
1339, 3295, 5167, 124, 0, 48923, 57509
1345, 3370, 6277, 94, 0, 47768, 57509
1351, 3387, 7626, 94, 0, 46402, 57509
1357, 3541, 7729, 95, 0, 46144, 57509
1363, 3580, 7614, 105, 0, 46210, 57509
1369, 3446, 7608, 95, 0, 46360, 57509
1375, 3386, 7481, 94, 0, 46548, 57509
1381, 3496, 7445, 226, 0, 46342, 57509
1387, 3474, 7380, 347, 0, 46308, 57509
1393, 3514, 6893, 469, 0, 46633, 57509
1399, 3411, 6078, 467, 0, 47553, 57509
1405, 3258, 5247, 466, 0, 48538, 57509
1411, 3147, 4754, 465, 0, 49143, 57509
1417, 3377, 4191, 465, 0, 49476, 57509
1423, 3300, 2727, 431, 0, 51051, 57509
1429, 3229, 2596, 371, 0, 51313, 57509
1435, 3160, 2231, 282, 0, 51836, 57509
1441, 3310, 1563, 222, 0, 52414, 57509
