ts, default broker, VidyutVanika, AgentUDE, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 12, 30028, 27474, 57514
367, 15, 30029, 27470, 57514
373, 14, 30029, 27471, 57514
379, 12, 30026, 27476, 57514
385, 12, 30032, 27470, 57514
391, 14, 30017, 27483, 57514
397, 15, 30012, 27487, 57514
403, 9, 30208, 27297, 57514
409, 6, 30296, 27212, 57514
415, 4, 30643, 26867, 57514
421, 5, 33137, 24372, 57514
427, 5, 34089, 23420, 57514
433, 4, 35036, 22474, 57514
439, 2, 36127, 21385, 57514
445, 4, 44286, 13224, 57514
451, 6, 44844, 12664, 57514
457, 5, 44506, 13003, 57514
463, 4, 43772, 13738, 57514
469, 4, 39843, 17667, 57514
475, 5, 35507, 22002, 57514
481, 5, 31486, 26023, 57514
487, 6, 28630, 28878, 57514
493, 7, 25876, 31631, 57514
499, 6, 24857, 32651, 57514
505, 7, 22980, 34527, 57514
511, 8, 21069, 36437, 57514
517, 10, 18939, 38565, 57514
523, 8, 15156, 42350, 57514
529, 4, 13366, 44144, 57514
535, 5, 12487, 45022, 57514
541, 5, 11218, 46291, 57514
547, 5, 10339, 47170, 57514
553, 5, 9642, 47867, 57514
559, 5, 9193, 48316, 57514
565, 5, 9042, 48467, 57514
571, 6, 8445, 49063, 57514
577, 6, 8188, 49320, 57514
583, 6, 7885, 49623, 57514
589, 8, 8387, 49119, 57514
595, 7, 9047, 48460, 57514
601, 6, 9590, 47918, 57514
607, 6, 10418, 47090, 57514
613, 6, 15278, 42230, 57514
619, 6, 15544, 41964, 57514
625, 6, 15469, 42039, 57514
631, 4, 15425, 42085, 57514
637, 3, 15212, 42299, 57514
643, 4, 15148, 42362, 57514
649, 4, 15098, 42412, 57514
655, 5, 15176, 42333, 57514
661, 6, 15172, 42336, 57514
667, 6, 14683, 42825, 57514
673, 7, 14181, 43326, 57514
679, 8, 13901, 43605, 57514
685, 7, 12489, 45018, 57514
691, 6, 11689, 45819, 57514
697, 11, 10339, 47164, 57514
703, 7, 9746, 47761, 57514
709, 8, 9126, 48380, 57514
715, 8, 8714, 48792, 57514
721, 7, 8189, 49318, 57514
727, 6, 8018, 49490, 57514
733, 5, 7669, 49840, 57514
739, 5, 7781, 49728, 57514
745, 3, 7711, 49800, 57514
751, 4, 7618, 49892, 57514
757, 6, 7725, 49783, 57514
763, 5, 7748, 49761, 57514
769, 6, 8340, 49168, 57514
775, 8, 8314, 49192, 57514
781, 8, 17780, 39726, 57514
787, 7, 19427, 38080, 57514
793, 5, 21135, 36374, 57514
799, 5, 21308, 36201, 57514
805, 6, 21311, 36197, 57514
811, 7, 21223, 36284, 57514
817, 7, 21081, 36426, 57514
823, 8, 21134, 36372, 57514
829, 7, 21105, 36402, 57514
835, 7, 20968, 36539, 57514
841, 5, 20605, 36904, 57514
847, 4, 20572, 36938, 57514
853, 5, 19225, 38284, 57514
859, 3, 17074, 40437, 57514
865, 3, 53260, 4251, 57514
871, 4, 55530, 1980, 57514
877, 2, 55664, 1848, 57514
883, 4, 55999, 1511, 57514
889, 4, 56050, 1460, 57514
895, 5, 56168, 1341, 57514
901, 5, 56601, 908, 57514
907, 5, 56382, 1127, 57514
913, 6, 52437, 5071, 57514
919, 6, 51113, 6395, 57514
925, 6, 14039, 43469, 57514
931, 4, 16367, 41143, 57514
937, 4, 22353, 35157, 57514
943, 4, 31861, 25649, 57514
949, 4, 48999, 8511, 57514
955, 3, 51643, 5868, 57514
961, 3, 50600, 6911, 57514
967, 4, 50843, 6667, 57514
973, 3, 50487, 7024, 57514
979, 4, 50493, 7017, 57514
985, 5, 48280, 9229, 57514
991, 4, 13247, 44263, 57514
997, 5, 8013, 49496, 57514
1003, 7, 16126, 41381, 57514
1009, 3, 24893, 32618, 57514
1015, 2, 34868, 22644, 57514
1021, 3, 37981, 19530, 57514
1027, 5, 39938, 17571, 57514
1033, 8, 53436, 4070, 57514
1039, 7, 52205, 5302, 57514
1045, 3, 48791, 8720, 57514
1051, 4, 48718, 8792, 57514
1057, 6, 48899, 8609, 57514
1063, 6, 49362, 8146, 57514
1069, 2, 49170, 8342, 57514
1075, 3, 54248, 3263, 57514
1081, 6, 50671, 6837, 57514
1087, 5, 51457, 6052, 57514
1093, 5, 13655, 43854, 57514
1099, 6, 21825, 35683, 57514
1105, 5, 31994, 25515, 57514
1111, 30, 36101, 21383, 57514
1117, 31, 50998, 6485, 57514
1123, 29, 52195, 5290, 57514
1129, 14, 49753, 7747, 57514
1135, 7, 51628, 5879, 57514
1141, 8, 51477, 6029, 57514
1147, 4, 52326, 5184, 57514
1153, 4, 49995, 7515, 57514
1159, 10, 14671, 42833, 57514
1165, 9, 11165, 46340, 57514
1171, 8, 14959, 42547, 57514
1177, 8, 25422, 32084, 57514
1183, 7, 30618, 26889, 57514
1189, 8, 36214, 21292, 57514
1195, 8, 42649, 14857, 57514
1201, 13, 10069, 47432, 57514
1207, 10, 7743, 49761, 57514
1213, 8, 7443, 50063, 57514
1219, 8, 7398, 50108, 57514
1225, 9, 7368, 50137, 57514
1231, 10, 7249, 50255, 57514
1237, 10, 7198, 50306, 57514
1243, 8, 7627, 49879, 57514
1249, 7, 7777, 49730, 57514
1255, 8, 8039, 49467, 57514
1261, 9, 9800, 47705, 57514
1267, 9, 11267, 46238, 57514
1273, 5, 13480, 44029, 57514
1279, 4, 16388, 41122, 57514
1285, 5, 32237, 25272, 57514
1291, 3, 34474, 23037, 57514
1297, 5, 35212, 22297, 57514
1303, 4, 35598, 21912, 57514
1309, 2, 35703, 21809, 57514
1315, 6, 35247, 22261, 57514
1321, 5, 35081, 22428, 57514
1327, 11, 35268, 22235, 57514
1333, 11, 34817, 22686, 57514
1339, 11, 33528, 23975, 57514
1345, 10, 33059, 24445, 57514
1351, 11, 31993, 25510, 57514
1357, 11, 29093, 28410, 57514
1363, 11, 23497, 34006, 57514
1369, 13, 21102, 36399, 57514
1375, 13, 17685, 39816, 57514
1381, 15, 15469, 42030, 57514
1387, 14, 14450, 43050, 57514
1393, 14, 12130, 45370, 57514
1399, 13, 10965, 46536, 57514
1405, 12, 10491, 47011, 57514
1411, 12, 12942, 44560, 57514
1417, 12, 12999, 44503, 57514
1423, 11, 13099, 44404, 57514
1429, 11, 13548, 43955, 57514
1435, 12, 14408, 43094, 57514
1441, 12, 15087, 42415, 57514
1447, 12, 15413, 42089, 57514
1453, 11, 40880, 16623, 57514
1459, 12, 43555, 13947, 57514
1465, 11, 44563, 12940, 57514
1471, 11, 45042, 12461, 57514
1477, 39, 44757, 12718, 57514
1483, 39, 44034, 13441, 57514
1489, 39, 42898, 14577, 57514
1495, 23, 42560, 14931, 57514
1501, 14, 41674, 15826, 57514
1507, 13, 41314, 16187, 57514
1513, 7, 39785, 17722, 57514
1519, 7, 38914, 18593, 57514
1525, 4, 31269, 26241, 57514
1531, 5, 26831, 30678, 57514
1537, 8, 22542, 34964, 57514
1543, 8, 19697, 37809, 57514
1549, 6, 14365, 43143, 57514
1555, 6, 12076, 45432, 57514
1561, 8, 11188, 46318, 57514
1567, 8, 10268, 47238, 57514
1573, 8, 9608, 47898, 57514
1579, 11, 9965, 47538, 57514
1585, 12, 9579, 47923, 57514
1591, 15, 9442, 48057, 57514
1597, 14, 10785, 46715, 57514
1603, 13, 11122, 46379, 57514
1609, 12, 11576, 45926, 57514
1615, 12, 12853, 44649, 57514
1621, 8, 37011, 20495, 57514
1627, 9, 39330, 18175, 57514
1633, 7, 40507, 17000, 57514
1639, 6, 41509, 15999, 57514
1645, 7, 41748, 15759, 57514
1651, 5, 41021, 16488, 57514
1657, 7, 40479, 17028, 57514
1663, 8, 39990, 17516, 57514
1669, 40, 39406, 18068, 57514
1675, 29, 39150, 18335, 57514
1681, 12, 38869, 18633, 57514
1687, 15, 38251, 19248, 57514
1693, 9, 30465, 27040, 57514
1699, 8, 24685, 32821, 57514
1705, 7, 22601, 34906, 57514
1711, 7, 19571, 37936, 57514
1717, 8, 17788, 39718, 57514
1723, 8, 16800, 40706, 57514
1729, 10, 15184, 42320, 57514
1735, 9, 13599, 43906, 57514
1741, 10, 12287, 45217, 57514
1747, 6, 12400, 45108, 57514
1753, 6, 11554, 45954, 57514
1759, 5, 10955, 46554, 57514
1765, 5, 11235, 46274, 57514
1771, 4, 11370, 46140, 57514
1777, 7, 11425, 46082, 57514
1783, 5, 11398, 46111, 57514
1789, 9, 40528, 16977, 57514
1795, 11, 43740, 13763, 57514
1801, 9, 44107, 13398, 57514
1807, 9, 44184, 13321, 57514
1813, 8, 43771, 13735, 57514
1819, 8, 43021, 14485, 57514
