ts, default broker, CrocodileAgent, SPOT, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 57518, 0, 0, 57518
367, 8449, 49066, 3, 57518
373, 7711, 49725, 82, 57518
379, 7387, 50040, 91, 57518
385, 7282, 50138, 98, 57518
391, 7115, 50304, 99, 57518
397, 7123, 50294, 101, 57518
403, 7067, 50346, 105, 57518
409, 7039, 50349, 130, 57518
415, 6993, 50396, 129, 57518
421, 6794, 50609, 115, 57518
427, 6800, 50585, 133, 57518
433, 6794, 50566, 158, 57518
439, 6743, 46214, 4561, 57518
445, 6780, 39493, 11245, 57518
451, 6878, 35737, 14903, 57518
457, 6778, 31186, 19554, 57518
463, 6840, 28747, 21931, 57518
469, 6875, 25767, 24876, 57518
475, 6795, 22593, 28130, 57518
481, 6817, 20263, 30438, 57518
487, 6880, 20188, 30450, 57518
493, 6534, 21470, 29514, 57518
499, 6531, 24179, 26808, 57518
505, 6737, 48907, 1874, 57518
511, 6876, 50532, 110, 57518
517, 6960, 50558, 0, 57518
523, 6920, 50598, 0, 57518
529, 6928, 50590, 0, 57518
535, 6878, 50640, 0, 57518
541, 6882, 50636, 0, 57518
547, 6895, 50623, 0, 57518
553, 6866, 50652, 0, 57518
559, 6894, 50624, 0, 57518
565, 6909, 50609, 0, 57518
571, 6905, 50613, 0, 57518
577, 6866, 50652, 0, 57518
583, 6877, 50641, 0, 57518
589, 6898, 50620, 0, 57518
595, 6945, 50573, 0, 57518
601, 6890, 50628, 0, 57518
607, 6919, 50599, 0, 57518
613, 6614, 50904, 0, 57518
619, 6713, 50805, 0, 57518
625, 6702, 50816, 0, 57518
631, 6739, 50779, 0, 57518
637, 6696, 50822, 0, 57518
643, 6747, 50771, 0, 57518
649, 6776, 50742, 0, 57518
655, 6863, 50655, 0, 57518
661, 6891, 50627, 0, 57518
667, 6914, 50604, 0, 57518
673, 6849, 50669, 0, 57518
679, 6922, 50596, 0, 57518
685, 6973, 50545, 0, 57518
