ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
359, 57525, 0, 0, 0, 0, 57525
360, 57525, 0, 0, 0, 0, 57525
361, 13, 378, 1058, 11735, 44341, 57525
367, 7, 409, 272, 11893, 44944, 57525
373, 7, 413, 169, 11957, 44979, 57525
379, 7, 429, 135, 11958, 44996, 57525
385, 9, 432, 126, 11960, 44998, 57525
391, 8, 445, 117, 11959, 44996, 57525
397, 9, 457, 108, 11957, 44994, 57525
403, 6, 11401, 218, 42629, 3271, 57525
409, 7, 12278, 217, 44518, 505, 57525
415, 8, 12383, 130, 44749, 255, 57525
421, 8, 12376, 154, 44765, 222, 57525
427, 9, 12376, 152, 44764, 224, 57525
433, 9, 12259, 833, 43460, 964, 57525
439, 6, 12064, 1887, 42352, 1216, 57525
445, 10, 12170, 2905, 41779, 661, 57525
451, 9, 12254, 2222, 42439, 601, 57525
457, 8, 12261, 1005, 43617, 634, 57525
463, 7, 12253, 513, 44027, 725, 57525
469, 8, 12299, 312, 44185, 721, 57525
475, 7, 2163, 288, 53979, 1088, 57525
481, 9, 731, 165, 55472, 1148, 57525
487, 9, 603, 140, 56436, 337, 57525
493, 6, 605, 127, 56357, 430, 57525
499, 6, 525, 126, 56438, 430, 57525
505, 10, 690, 123, 56075, 627, 57525
511, 8, 781, 121, 55889, 726, 57525
517, 7, 826, 124, 55483, 1085, 57525
523, 6, 1448, 123, 54690, 1258, 57525
529, 7, 1835, 125, 55208, 350, 57525
535, 7, 2301, 110, 54902, 205, 57525
541, 6, 2489, 81, 54747, 202, 57525
547, 7, 4202, 68, 53045, 203, 57525
553, 7, 7981, 64, 49270, 203, 57525
559, 8, 9269, 66, 47981, 201, 57525
565, 10, 10929, 61, 46323, 202, 57525
571, 7, 13864, 66, 43553, 35, 57525
577, 8, 16090, 63, 41358, 6, 57525
583, 8, 18163, 50, 39300, 4, 57525
589, 7, 19085, 51, 38298, 84, 57525
595, 9, 19113, 52, 38190, 161, 57525
601, 8, 18931, 49, 38220, 317, 57525
607, 6, 18659, 52, 38307, 501, 57525
613, 7, 18374, 59, 37879, 1206, 57525
619, 5, 17923, 62, 37920, 1615, 57525
625, 4, 14463, 55, 41137, 1866, 57525
631, 6, 12970, 52, 42338, 2159, 57525
637, 5, 12245, 54, 42990, 2231, 57525
643, 5, 10923, 53, 44186, 2358, 57525
649, 6, 8376, 51, 46488, 2604, 57525
655, 6, 7191, 56, 50156, 116, 57525
661, 7, 5052, 57, 52165, 244, 57525
667, 5, 4017, 61, 53044, 398, 57525
673, 7, 3180, 54, 53734, 550, 57525
679, 8, 2416, 46, 54476, 579, 57525
685, 7, 1874, 47, 54693, 904, 57525
691, 7, 1374, 43, 55120, 981, 57525
697, 7, 1886, 49, 55574, 9, 57525
703, 7, 1683, 44, 55785, 6, 57525
709, 9, 1550, 41, 55917, 8, 57525
715, 9, 1550, 45, 55916, 5, 57525
721, 6, 2768, 46, 54699, 6, 57525
727, 6, 3356, 41, 54117, 5, 57525
733, 6, 4340, 40, 53135, 4, 57525
739, 2, 4934, 39, 52535, 15, 57525
745, 1, 6322, 38, 51143, 21, 57525
751, 3, 7155, 37, 50306, 24, 57525
757, 0, 7371, 39, 50090, 25, 57525
763, 0, 7155, 39, 49388, 943, 57525
769, 2, 7030, 38, 47588, 2867, 57525
775, 3, 7031, 40, 45975, 4476, 57525
781, 8, 6869, 42, 48370, 2236, 57525
787, 6, 6691, 43, 48549, 2236, 57525
793, 6, 5831, 47, 49411, 2230, 57525
799, 5, 5223, 45, 49990, 2262, 57525
805, 6, 4825, 42, 50394, 2258, 57525
811, 6, 4315, 47, 50875, 2282, 57525
817, 7, 3311, 45, 51515, 2647, 57525
823, 1, 2216, 35, 53335, 1938, 57525
829, 0, 1776, 41, 51566, 4142, 57525
835, 0, 1528, 35, 51193, 4769, 57525
841, 2, 1353, 38, 49608, 6524, 57525
847, 3, 927, 36, 49337, 7222, 57525
853, 1, 784, 41, 47741, 8958, 57525
859, 5, 1076, 40, 46420, 9984, 57525
865, 1, 977, 40, 55703, 804, 57525
871, 0, 1615, 43, 55590, 277, 57525
877, 0, 1592, 45, 55643, 245, 57525
883, 0, 1483, 40, 55760, 242, 57525
889, 1631, 1464, 38, 54216, 176, 57525
895, 2508, 1403, 35, 53491, 88, 57525
901, 2828, 1617, 40, 52983, 57, 57525
907, 2935, 1652, 42, 52889, 7, 57525
913, 3805, 1662, 37, 52015, 6, 57525
919, 3706, 1617, 40, 52159, 3, 57525
925, 3664, 1518, 41, 52297, 5, 57525
931, 3658, 1429, 40, 52392, 6, 57525
937, 3560, 1274, 38, 52643, 10, 57525
943, 3489, 957, 31, 53043, 5, 57525
949, 3564, 1251, 98, 39099, 13513, 57525
955, 3551, 1048, 69, 39675, 13182, 57525
961, 3344, 1065, 63, 39974, 13079, 57525
967, 3509, 960, 64, 40054, 12938, 57525
973, 3591, 755, 65, 40232, 12882, 57525
979, 3751, 667, 37, 40263, 12807, 57525
985, 3794, 563, 33, 40427, 12708, 57525
991, 3738, 605, 36, 52003, 1143, 57525
997, 3766, 566, 39, 52767, 387, 57525
1003, 3549, 581, 38, 52873, 484, 57525
1009, 3573, 598, 37, 52722, 595, 57525
1015, 3610, 508, 36, 52959, 412, 57525
1021, 3621, 246, 38, 53083, 537, 57525
1027, 3520, 248, 34, 53056, 667, 57525
1033, 3487, 331, 39, 52943, 725, 57525
1039, 3594, 1198, 43, 51835, 855, 57525
1045, 3549, 1244, 40, 51852, 840, 57525
1051, 3657, 1214, 41, 51798, 815, 57525
1057, 3649, 1209, 40, 51812, 815, 57525
1063, 3772, 1233, 42, 51667, 811, 57525
1069, 3693, 1290, 42, 51688, 812, 57525
1075, 3601, 1365, 39, 52485, 35, 57525
1081, 3518, 1370, 39, 52563, 35, 57525
1087, 3508, 1417, 40, 52556, 4, 57525
1093, 3570, 1413, 37, 52500, 5, 57525
1099, 3562, 1400, 37, 52520, 6, 57525
1105, 3426, 1452, 35, 52567, 45, 57525
1111, 3613, 1216, 38, 52329, 329, 57525
1117, 3312, 1365, 54, 51461, 1333, 57525
1123, 3308, 1199, 39, 51934, 1045, 57525
1129, 3326, 1104, 38, 52226, 831, 57525
1135, 3397, 965, 39, 52461, 663, 57525
1141, 3340, 833, 42, 52734, 576, 57525
1147, 3391, 641, 41, 52908, 544, 57525
1153, 3187, 600, 37, 53201, 500, 57525
1159, 3362, 554, 35, 53488, 86, 57525
