ts, default broker, EWIIS3, Bunnie, total
359, 57500, 0, 0, 57500
360, 57500, 0, 0, 57500
361, 6933, 248, 50319, 57500
367, 6944, 142, 50414, 57500
373, 6831, 288, 50381, 57500
379, 6857, 271, 50372, 57500
385, 6849, 233, 50418, 57500
391, 6869, 240, 50391, 57500
397, 6586, 205, 50709, 57500
403, 6645, 171, 50684, 57500
409, 6674, 143, 50683, 57500
415, 6683, 116, 50701, 57500
421, 6553, 116, 50831, 57500
427, 6615, 111, 50774, 57500
433, 6686, 273, 50541, 57500
439, 6748, 365, 50387, 57500
445, 6866, 282, 50352, 57500
451, 6898, 225, 50377, 57500
457, 6929, 174, 50397, 57500
463, 6942, 131, 50427, 57500
469, 6949, 99, 50452, 57500
475, 6987, 98, 50415, 57500
481, 6927, 94, 50479, 57500
487, 6899, 81, 50520, 57500
493, 6934, 74, 50492, 57500
499, 6914, 67, 50519, 57500
505, 6864, 63, 50573, 57500
511, 6876, 62, 50562, 57500
517, 6866, 59, 50575, 57500
523, 6796, 57, 50647, 57500
529, 6782, 58, 50660, 57500
535, 6832, 57, 50611, 57500
541, 6871, 57, 50572, 57500
547, 6938, 52, 50510, 57500
553, 6916, 52, 50532, 57500
559, 6902, 51, 50547, 57500
565, 6967, 51, 50482, 57500
571, 6914, 52, 50534, 57500
577, 6882, 53, 50565, 57500
583, 6921, 54, 50525, 57500
589, 6934, 54, 50512, 57500
595, 6880, 54, 50566, 57500
601, 6869, 48, 50583, 57500
607, 6881, 47, 50572, 57500
613, 6877, 45, 50578, 57500
619, 6907, 45, 50548, 57500
625, 6916, 46, 50538, 57500
631, 6971, 46, 50483, 57500
637, 6735, 47, 50718, 57500
643, 6731, 47, 50722, 57500
649, 6828, 46, 50626, 57500
655, 6778, 46, 50676, 57500
661, 6871, 35, 50594, 57500
667, 6835, 35, 50630, 57500
673, 6888, 35, 50577, 57500
679, 6879, 35, 50586, 57500
685, 6915, 34, 50551, 57500
691, 6967, 33, 50500, 57500
697, 6911, 35, 50554, 57500
703, 6934, 30, 50536, 57500
709, 6658, 30, 50812, 57500
715, 6698, 30, 50772, 57500
721, 6763, 32, 50705, 57500
727, 6764, 31, 50705, 57500
733, 6861, 30, 50609, 57500
739, 6777, 27, 50696, 57500
745, 6887, 27, 50586, 57500
751, 6907, 29, 50564, 57500
757, 6926, 30, 50544, 57500
763, 6936, 31, 50533, 57500
769, 6873, 30, 50597, 57500
775, 6895, 30, 50575, 57500
781, 6671, 31, 50798, 57500
787, 6715, 32, 50753, 57500
793, 6724, 31, 50745, 57500
799, 6790, 30, 50680, 57500
805, 6895, 30, 50575, 57500
811, 6946, 31, 50523, 57500
817, 6922, 30, 50548, 57500
823, 6973, 30, 50497, 57500
829, 6995, 29, 50476, 57500
835, 6867, 29, 50604, 57500
841, 6929, 30, 50541, 57500
847, 6962, 30, 50508, 57500
853, 6941, 30, 50529, 57500
859, 6923, 29, 50548, 57500
865, 6914, 29, 50557, 57500
871, 6822, 29, 50649, 57500
877, 6838, 28, 50634, 57500
883, 6861, 27, 50612, 57500
889, 6899, 27, 50574, 57500
895, 6876, 28, 50596, 57500
901, 6917, 29, 50554, 57500
907, 6992, 28, 50480, 57500
913, 6958, 29, 50513, 57500
919, 6915, 29, 50556, 57500
925, 6885, 30, 50585, 57500
931, 6972, 31, 50497, 57500
937, 6946, 30, 50524, 57500
943, 6975, 27, 50498, 57500
949, 7002, 27, 50471, 57500
955, 6910, 29, 50561, 57500
961, 6892, 29, 50579, 57500
967, 6949, 28, 50523, 57500
973, 6798, 29, 50673, 57500
979, 6772, 30, 50698, 57500
985, 6806, 30, 50664, 57500
991, 6805, 29, 50666, 57500
997, 6905, 29, 50566, 57500
1003, 6958, 28, 50514, 57500
1009, 6881, 28, 50591, 57500
1015, 6795, 30, 50675, 57500
1021, 6787, 29, 50684, 57500
1027, 6471, 29, 51000, 57500
1033, 6523, 27, 50950, 57500
1039, 6697, 28, 50775, 57500
1045, 6650, 26, 50824, 57500
1051, 6817, 28, 50655, 57500
1057, 6882, 27, 50591, 57500
1063, 6846, 28, 50626, 57500
1069, 6899, 28, 50573, 57500
1075, 6975, 27, 50498, 57500
1081, 6995, 28, 50477, 57500
1087, 7014, 24, 50462, 57500
1093, 7025, 24, 50451, 57500
1099, 6963, 26, 50511, 57500
1105, 6944, 26, 50530, 57500
1111, 6942, 25, 50533, 57500
1117, 6934, 26, 50540, 57500
1123, 6789, 26, 50685, 57500
1129, 6820, 26, 50654, 57500
1135, 6885, 26, 50589, 57500
1141, 6865, 26, 50609, 57500
1147, 6924, 26, 50550, 57500
1153, 6922, 26, 50552, 57500
1159, 6903, 25, 50572, 57500
1165, 6895, 24, 50581, 57500
1171, 6935, 23, 50542, 57500
1177, 6914, 23, 50563, 57500
1183, 6916, 24, 50560, 57500
1189, 6816, 26, 50658, 57500
1195, 6862, 26, 50612, 57500
1201, 6821, 26, 50653, 57500
1207, 6831, 27, 50642, 57500
1213, 6802, 28, 50670, 57500
1219, 6771, 27, 50702, 57500
1225, 6798, 27, 50675, 57500
1231, 6883, 28, 50589, 57500
1237, 6938, 27, 50535, 57500
1243, 6981, 28, 50491, 57500
1249, 6979, 28, 50493, 57500
1255, 6974, 28, 50498, 57500
1261, 6850, 28, 50622, 57500
1267, 6832, 28, 50640, 57500
1273, 6796, 27, 50677, 57500
1279, 6760, 27, 50713, 57500
1285, 6838, 27, 50635, 57500
1291, 6836, 26, 50638, 57500
1297, 6866, 25, 50609, 57500
1303, 6895, 25, 50580, 57500
1309, 6868, 25, 50607, 57500
1315, 6875, 24, 50601, 57500
1321, 6947, 27, 50526, 57500
1327, 6918, 27, 50555, 57500
1333, 6737, 27, 50736, 57500
1339, 6761, 26, 50713, 57500
1345, 6780, 27, 50693, 57500
1351, 6851, 28, 50621, 57500
1357, 6921, 27, 50552, 57500
1363, 6982, 28, 50490, 57500
1369, 6919, 28, 50553, 57500
1375, 6951, 27, 50522, 57500
1381, 6978, 28, 50494, 57500
1387, 6931, 28, 50541, 57500
1393, 6949, 28, 50523, 57500
1399, 6970, 27, 50503, 57500
