ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 7116, 0, 0, 0, 50393, 57509
367, 6820, 30124, 233, 0, 20332, 57509
373, 6921, 38264, 309, 0, 12015, 57509
379, 6914, 42606, 345, 0, 7644, 57509
385, 6908, 45690, 93, 0, 4818, 57509
391, 6809, 46880, 93, 0, 3727, 57509
397, 6812, 47255, 123, 0, 3319, 57509
403, 6711, 47408, 144, 0, 3246, 57509
409, 6771, 47337, 234, 0, 3167, 57509
415, 6794, 47313, 255, 0, 3147, 57509
421, 6826, 47280, 285, 0, 3118, 57509
427, 6789, 47334, 315, 0, 3071, 57509
433, 6759, 47369, 153, 0, 3228, 57509
439, 6755, 38446, 480, 0, 11828, 57509
445, 6723, 30282, 1107, 0, 19397, 57509
451, 6772, 21421, 1777, 0, 27539, 57509
457, 6794, 16622, 2250, 0, 31843, 57509
463, 6792, 13544, 5328, 0, 31845, 57509
469, 6864, 10349, 8966, 0, 31330, 57509
475, 6825, 7921, 11923, 0, 30840, 57509
481, 6874, 6274, 14390, 0, 29971, 57509
487, 6847, 5882, 15274, 0, 29506, 57509
493, 6721, 6759, 16604, 0, 27425, 57509
499, 6760, 8167, 17671, 0, 24911, 57509
505, 6751, 10621, 17063, 0, 23074, 57509
511, 6674, 15702, 15767, 0, 19366, 57509
517, 6721, 23967, 11572, 0, 15249, 57509
523, 6714, 27692, 9432, 0, 13671, 57509
529, 6769, 31265, 7532, 0, 11943, 57509
535, 6766, 33563, 6400, 0, 10780, 57509
541, 6790, 37306, 4891, 0, 8522, 57509
547, 6664, 40355, 3522, 0, 6968, 57509
553, 6613, 44950, 115, 0, 5831, 57509
559, 6680, 45656, 115, 0, 5058, 57509
565, 6681, 45840, 130, 0, 4858, 57509
571, 6640, 45804, 351, 0, 4714, 57509
577, 6607, 44909, 1321, 0, 4672, 57509
583, 6576, 43304, 2998, 0, 4631, 57509
589, 6585, 39379, 6945, 0, 4600, 57509
595, 6618, 31968, 14323, 0, 4600, 57509
601, 6715, 26063, 20067, 0, 4664, 57509
607, 6679, 22120, 24054, 0, 4656, 57509
613, 6596, 18766, 27520, 0, 4627, 57509
619, 6652, 15244, 30949, 0, 4664, 57509
625, 6710, 13646, 32461, 0, 4692, 57509
631, 6709, 10666, 35534, 0, 4600, 57509
637, 6768, 9227, 36947, 0, 4567, 57509
643, 6745, 6966, 39252, 0, 4546, 57509
649, 6756, 5122, 41091, 0, 4540, 57509
655, 6748, 4693, 41530, 0, 4538, 57509
661, 6775, 5706, 40487, 0, 4541, 57509
667, 6817, 6940, 39215, 0, 4537, 57509
673, 6846, 11448, 34697, 0, 4518, 57509
679, 6786, 17057, 29192, 0, 4474, 57509
685, 6870, 24943, 21245, 0, 4451, 57509
691, 6851, 28715, 17601, 0, 4342, 57509
697, 6907, 33975, 12807, 0, 3820, 57509
703, 6901, 37902, 9348, 0, 3358, 57509
709, 6561, 41198, 6814, 0, 2936, 57509
715, 6589, 42101, 6000, 0, 2819, 57509
721, 6601, 43513, 4855, 0, 2540, 57509
727, 6628, 45164, 3466, 0, 2251, 57509
733, 6712, 45615, 2919, 0, 2263, 57509
739, 6752, 45552, 2940, 0, 2265, 57509
745, 6687, 45267, 3318, 0, 2237, 57509
751, 6757, 43185, 5325, 0, 2242, 57509
757, 6820, 39909, 8538, 0, 2242, 57509
763, 6888, 35137, 13068, 0, 2416, 57509
769, 6773, 27095, 21083, 0, 2558, 57509
775, 6819, 22327, 25834, 0, 2529, 57509
781, 6683, 19323, 29046, 0, 2457, 57509
787, 6510, 15066, 33474, 0, 2459, 57509
793, 6513, 12812, 35788, 0, 2396, 57509
799, 6533, 10032, 38574, 0, 2370, 57509
805, 6659, 7806, 40728, 0, 2316, 57509
811, 6705, 6011, 42443, 0, 2350, 57509
817, 6729, 5906, 42527, 0, 2347, 57509
823, 6779, 6765, 41698, 0, 2267, 57509
829, 6834, 6816, 41621, 0, 2238, 57509
835, 6780, 8793, 39703, 0, 2233, 57509
841, 6787, 15360, 33128, 0, 2234, 57509
847, 6746, 21789, 26741, 0, 2233, 57509
853, 6743, 30740, 17801, 0, 2225, 57509
859, 6813, 33182, 15311, 0, 2203, 57509
865, 6823, 39070, 9737, 0, 1879, 57509
871, 6763, 40655, 8235, 0, 1856, 57509
877, 6668, 42993, 6315, 0, 1533, 57509
883, 6556, 44882, 4818, 0, 1253, 57509
889, 6576, 45351, 4408, 0, 1174, 57509
895, 6521, 46696, 3306, 0, 986, 57509
901, 6521, 47543, 2459, 0, 986, 57509
907, 6650, 47375, 2492, 0, 992, 57509
913, 6706, 46545, 3262, 0, 996, 57509
919, 6679, 45466, 4380, 0, 984, 57509
925, 6749, 40594, 9171, 0, 995, 57509
931, 6758, 33788, 15926, 0, 1037, 57509
937, 6789, 28600, 21084, 0, 1036, 57509
943, 6831, 23739, 25769, 0, 1170, 57509
949, 6818, 19369, 30267, 0, 1055, 57509
955, 6794, 15609, 34039, 0, 1067, 57509
961, 6780, 14450, 35211, 0, 1068, 57509
967, 6752, 12329, 37312, 0, 1116, 57509
973, 6682, 9732, 40042, 0, 1053, 57509
979, 6692, 7474, 42298, 0, 1045, 57509
985, 6730, 5369, 44381, 0, 1029, 57509
991, 6666, 4694, 45117, 0, 1032, 57509
997, 6482, 5789, 44158, 0, 1080, 57509
1003, 6399, 11163, 38901, 0, 1046, 57509
1009, 6402, 15618, 34450, 0, 1039, 57509
1015, 6589, 22120, 27635, 0, 1165, 57509
1021, 6672, 29773, 19930, 0, 1134, 57509
1027, 6711, 34726, 14976, 0, 1096, 57509
1033, 6757, 39743, 10006, 0, 1003, 57509
1039, 6649, 41882, 8002, 0, 976, 57509
1045, 6744, 43214, 6697, 0, 854, 57509
1051, 6848, 45614, 4420, 0, 627, 57509
1057, 6815, 50072, 93, 0, 529, 57509
1063, 6815, 50113, 95, 0, 486, 57509
1069, 6844, 50080, 98, 0, 487, 57509
1075, 6866, 49741, 415, 0, 487, 57509
1081, 6847, 48485, 1684, 0, 493, 57509
1087, 6767, 46624, 3550, 0, 568, 57509
1093, 6819, 43458, 6697, 0, 535, 57509
1099, 6835, 35543, 14511, 0, 620, 57509
1105, 6850, 28086, 22016, 0, 557, 57509
1111, 6836, 25477, 24637, 0, 559, 57509
1117, 6767, 21695, 28431, 0, 616, 57509
1123, 6736, 17942, 32111, 0, 720, 57509
1129, 6793, 14206, 35886, 0, 624, 57509
1135, 6822, 10323, 39772, 0, 592, 57509
1141, 6626, 8121, 42186, 0, 576, 57509
1147, 6679, 6579, 43601, 0, 650, 57509
1153, 6667, 5851, 44387, 0, 604, 57509
1159, 6648, 5241, 45043, 0, 577, 57509
1165, 6511, 8592, 41859, 0, 547, 57509
1171, 6661, 11360, 38945, 0, 543, 57509
1177, 6732, 16751, 33482, 0, 544, 57509
1183, 6727, 23492, 26767, 0, 523, 57509
1189, 6904, 28994, 21092, 0, 519, 57509
1195, 6912, 36777, 13300, 0, 520, 57509
1201, 6757, 41585, 8676, 0, 491, 57509
1207, 6730, 43599, 6691, 0, 489, 57509
1213, 6705, 44123, 6195, 0, 486, 57509
1219, 6731, 44626, 5666, 0, 486, 57509
1225, 6760, 45835, 4487, 0, 427, 57509
1231, 6701, 47030, 3415, 0, 363, 57509
1237, 6702, 47587, 2857, 0, 363, 57509
1243, 6664, 47722, 2754, 0, 369, 57509
1249, 6665, 46844, 3627, 0, 373, 57509
1255, 6648, 45608, 4881, 0, 372, 57509
1261, 6630, 42426, 7989, 0, 464, 57509
1267, 6779, 35295, 14873, 0, 562, 57509
1273, 6703, 28407, 21945, 0, 454, 57509
1279, 6724, 21356, 28889, 0, 540, 57509
1285, 6819, 16569, 33634, 0, 487, 57509
1291, 6760, 13336, 36775, 0, 638, 57509
1297, 6704, 11404, 38837, 0, 564, 57509
1303, 6698, 10027, 40250, 0, 534, 57509
1309, 6611, 8436, 41873, 0, 589, 57509
1315, 6616, 7154, 43073, 0, 666, 57509
1321, 6680, 5697, 44582, 0, 550, 57509
1327, 6675, 4860, 45241, 0, 733, 57509
1333, 6825, 6143, 43841, 0, 700, 57509
1339, 6794, 8918, 41189, 0, 608, 57509
1345, 6810, 16862, 33260, 0, 577, 57509
1351, 6689, 25879, 24392, 0, 549, 57509
1357, 6752, 31000, 19245, 0, 512, 57509
1363, 6852, 33104, 17041, 0, 512, 57509
1369, 6826, 35840, 14363, 0, 480, 57509
1375, 6821, 38080, 12164, 0, 444, 57509
1381, 6734, 40118, 10234, 0, 423, 57509
1387, 6658, 42413, 8016, 0, 422, 57509
1393, 6685, 44146, 6315, 0, 363, 57509
