ts, default broker, SPOT, Bunnie, total
359, 57496, 0, 0, 57496
360, 57496, 0, 0, 57496
361, 6904, 93, 50499, 57496
367, 6864, 95, 50537, 57496
373, 6848, 95, 50553, 57496
379, 6896, 95, 50505, 57496
385, 6890, 94, 50512, 57496
391, 6883, 94, 50519, 57496
397, 6803, 94, 50599, 57496
403, 6806, 94, 50596, 57496
409, 6870, 93, 50533, 57496
415, 6907, 93, 50496, 57496
421, 6880, 93, 50523, 57496
427, 6845, 95, 50556, 57496
433, 6852, 94, 50550, 57496
439, 6833, 94, 50569, 57496
445, 6835, 93, 50568, 57496
451, 6814, 93, 50589, 57496
457, 6822, 93, 50581, 57496
463, 6941, 93, 50462, 57496
469, 6950, 93, 50453, 57496
475, 6929, 94, 50473, 57496
481, 6951, 93, 50452, 57496
487, 6903, 94, 50499, 57496
493, 6936, 96, 50464, 57496
499, 6943, 96, 50457, 57496
505, 6896, 94, 50506, 57496
511, 6894, 95, 50507, 57496
517, 6896, 94, 50506, 57496
523, 6917, 96, 50483, 57496
529, 6918, 95, 50483, 57496
535, 6939, 95, 50462, 57496
541, 6912, 95, 50489, 57496
547, 6877, 95, 50524, 57496
553, 6843, 94, 50559, 57496
559, 6886, 94, 50516, 57496
565, 6761, 95, 50640, 57496
571, 6769, 96, 50631, 57496
577, 6759, 93, 50644, 57496
583, 6733, 93, 50670, 57496
589, 6602, 94, 50800, 57496
595, 6674, 94, 50728, 57496
601, 6736, 96, 50664, 57496
607, 6815, 96, 50585, 57496
613, 6835, 97, 50564, 57496
619, 6863, 97, 50536, 57496
625, 6870, 94, 50532, 57496
631, 6865, 94, 50537, 57496
637, 6850, 93, 50553, 57496
643, 6844, 93, 50559, 57496
649, 6900, 93, 50503, 57496
655, 6927, 94, 50475, 57496
661, 6948, 94, 50454, 57496
667, 6933, 94, 50469, 57496
673, 6912, 95, 50489, 57496
679, 6893, 95, 50508, 57496
685, 6853, 95, 50548, 57496
691, 6806, 94, 50596, 57496
697, 6869, 94, 50533, 57496
703, 6911, 94, 50491, 57496
709, 6830, 94, 50572, 57496
715, 6831, 95, 50570, 57496
721, 6852, 96, 50548, 57496
727, 6785, 96, 50615, 57496
733, 6680, 97, 50719, 57496
739, 6645, 96, 50755, 57496
745, 6760, 94, 50642, 57496
751, 6797, 95, 50604, 57496
757, 6841, 95, 50560, 57496
763, 6800, 95, 50601, 57496
769, 6878, 95, 50523, 57496
775, 6876, 94, 50526, 57496
781, 6822, 94, 50580, 57496
787, 6840, 96, 50560, 57496
793, 6807, 95, 50594, 57496
799, 6879, 95, 50522, 57496
805, 6928, 95, 50473, 57496
811, 6925, 95, 50476, 57496
817, 6932, 95, 50469, 57496
823, 6919, 95, 50482, 57496
829, 6939, 96, 50461, 57496
835, 6918, 97, 50481, 57496
841, 6799, 93, 50604, 57496
847, 6814, 93, 50589, 57496
853, 6793, 93, 50610, 57496
859, 6873, 93, 50530, 57496
865, 6909, 94, 50493, 57496
871, 6903, 95, 50498, 57496
877, 6781, 95, 50620, 57496
883, 6801, 96, 50599, 57496
889, 6807, 97, 50592, 57496
895, 6849, 97, 50550, 57496
901, 6897, 98, 50501, 57496
907, 6925, 99, 50472, 57496
913, 6848, 95, 50553, 57496
919, 6855, 96, 50545, 57496
925, 6900, 94, 50502, 57496
931, 6865, 94, 50537, 57496
937, 6865, 94, 50537, 57496
943, 6819, 94, 50583, 57496
949, 6709, 93, 50694, 57496
955, 6599, 93, 50804, 57496
961, 6717, 95, 50684, 57496
967, 6798, 97, 50601, 57496
973, 6821, 95, 50580, 57496
979, 6850, 95, 50551, 57496
985, 6843, 95, 50558, 57496
991, 6821, 97, 50578, 57496
997, 6836, 98, 50562, 57496
1003, 6772, 98, 50626, 57496
1009, 6749, 96, 50651, 57496
1015, 6821, 96, 50579, 57496
1021, 6852, 94, 50550, 57496
1027, 6780, 95, 50621, 57496
