ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 18, 4, 1361, 8323, 47809, 57515
367, 18, 3, 731, 8363, 48400, 57515
373, 17, 3, 514, 8353, 48628, 57515
379, 17, 4, 378, 8354, 48762, 57515
385, 16, 7, 360, 8354, 48778, 57515
391, 16, 7, 326, 8355, 48811, 57515
397, 16, 6, 265, 8355, 48873, 57515
403, 15, 148, 17395, 36908, 3049, 57515
409, 15, 147, 10374, 46316, 663, 57515
415, 13, 146, 6588, 50344, 424, 57515
421, 11, 144, 5113, 51821, 426, 57515
427, 10, 144, 4191, 52743, 427, 57515
433, 11, 144, 3466, 53467, 427, 57515
439, 12, 174, 2466, 54435, 428, 57515
445, 10, 174, 2123, 55135, 73, 57515
451, 10, 203, 1831, 55457, 14, 57515
457, 9, 234, 1270, 55987, 15, 57515
463, 8, 233, 1157, 56101, 16, 57515
469, 8, 255, 385, 56850, 17, 57515
475, 7, 322, 272, 56892, 22, 57515
481, 6, 747, 271, 56466, 25, 57515
487, 10, 1090, 267, 56142, 6, 57515
493, 14, 1743, 259, 55494, 5, 57515
499, 12, 2482, 254, 54762, 5, 57515
505, 14, 3394, 254, 53849, 4, 57515
511, 12, 3623, 250, 53623, 7, 57515
517, 14, 3718, 245, 53534, 4, 57515
523, 14, 3575, 245, 53674, 7, 57515
529, 2, 3516, 249, 53726, 22, 57515
535, 2, 3487, 247, 53667, 112, 57515
541, 2, 3466, 249, 53453, 345, 57515
547, 2, 3401, 247, 53525, 340, 57515
553, 3, 3008, 246, 53646, 612, 57515
559, 3, 2682, 244, 53838, 748, 57515
565, 3, 2026, 244, 54357, 885, 57515
571, 6, 1283, 245, 55561, 420, 57515
577, 5, 473, 247, 56429, 361, 57515
583, 3, 111, 239, 56639, 523, 57515
589, 3, 47, 236, 56008, 1221, 57515
595, 3, 7, 236, 55911, 1358, 57515
601, 3, 7, 234, 54978, 2293, 57515
607, 3, 9, 234, 54849, 2420, 57515
613, 3, 244, 234, 55506, 1528, 57515
619, 3, 374, 227, 54509, 2402, 57515
625, 3, 775, 230, 53638, 2869, 57515
631, 1, 775, 230, 53633, 2876, 57515
637, 1, 870, 226, 53539, 2879, 57515
643, 1, 1255, 228, 53149, 2882, 57515
649, 2, 2600, 227, 51801, 2885, 57515
655, 2, 5468, 229, 51629, 187, 57515
661, 2, 6839, 227, 50349, 98, 57515
667, 2, 7588, 227, 49629, 69, 57515
673, 2, 8263, 229, 48951, 70, 57515
679, 2, 9891, 226, 47324, 72, 57515
685, 1, 9941, 226, 47133, 214, 57515
691, 1, 9747, 226, 46998, 543, 57515
697, 1, 9364, 219, 47180, 751, 57515
703, 1, 9174, 219, 46935, 1186, 57515
709, 1, 9077, 221, 45418, 2798, 57515
715, 1, 8725, 219, 45525, 3045, 57515
721, 0, 7462, 220, 46197, 3636, 57515
727, 1, 4694, 207, 48926, 3687, 57515
733, 1, 3195, 195, 50186, 3938, 57515
739, 0, 2454, 195, 54392, 474, 57515
745, 0, 1725, 192, 55055, 543, 57515
751, 0, 175, 194, 56363, 783, 57515
757, 1, 5, 192, 56259, 1058, 57515
763, 1, 9, 189, 56058, 1258, 57515
769, 2, 6, 193, 56055, 1259, 57515
775, 2, 8, 191, 55955, 1359, 57515
781, 2, 107, 193, 56439, 774, 57515
787, 3, 208, 193, 56051, 1060, 57515
793, 2, 501, 192, 55669, 1151, 57515
799, 23, 837, 192, 55309, 1154, 57515
805, 19, 2145, 190, 53983, 1178, 57515
811, 17, 4487, 188, 51705, 1118, 57515
817, 17, 8341, 189, 47918, 1050, 57515
823, 27, 9311, 190, 47851, 136, 57515
829, 13, 10829, 190, 46393, 90, 57515
835, 11, 11774, 189, 45488, 53, 57515
841, 10, 12164, 189, 45108, 44, 57515
847, 10, 12635, 195, 44634, 41, 57515
853, 9, 12852, 195, 44409, 50, 57515
859, 7, 12995, 202, 44164, 147, 57515
865, 5, 12313, 118, 45071, 8, 57515
871, 4, 11642, 91, 45769, 9, 57515
877, 4, 11325, 98, 44390, 1698, 57515
883, 3, 8561, 93, 47105, 1753, 57515
889, 2195, 4965, 89, 48480, 1786, 57515
895, 2440, 3970, 95, 49235, 1775, 57515
901, 2582, 2592, 93, 50441, 1807, 57515
907, 2839, 1554, 88, 51798, 1236, 57515
913, 2850, 1081, 93, 51822, 1669, 57515
919, 2822, 606, 95, 52024, 1968, 57515
925, 2788, 480, 94, 52082, 2071, 57515
931, 2985, 337, 95, 51874, 2224, 57515
937, 3154, 312, 93, 51449, 2507, 57515
943, 3253, 245, 97, 51350, 2570, 57515
949, 3169, 231, 97, 53815, 203, 57515
955, 3400, 642, 96, 53221, 156, 57515
961, 3383, 670, 97, 53240, 125, 57515
