ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
967, 3438, 819, 95, 53038, 125, 57515
973, 3478, 1028, 103, 52781, 125, 57515
979, 3628, 1860, 94, 51805, 128, 57515
985, 3531, 2986, 96, 50775, 127, 57515
991, 3613, 3657, 94, 50143, 8, 57515
997, 3351, 5328, 94, 48734, 8, 57515
1003, 3438, 6279, 94, 47696, 8, 57515
1009, 3142, 8221, 96, 46041, 15, 57515
1015, 3307, 9249, 96, 44848, 15, 57515
1021, 3387, 9770, 95, 44248, 15, 57515
1027, 3504, 9609, 96, 44286, 20, 57515
1033, 3544, 9230, 96, 44403, 242, 57515
1039, 3685, 9124, 201, 43887, 618, 57515
1045, 3733, 8921, 96, 43140, 1625, 57515
1051, 3685, 7976, 92, 43810, 1952, 57515
1057, 3498, 6959, 96, 44829, 2133, 57515
1063, 3473, 6302, 93, 45427, 2220, 57515
1069, 3480, 4745, 92, 46718, 2480, 57515
1075, 3584, 3785, 97, 48017, 2032, 57515
1081, 3632, 1803, 99, 48272, 3709, 57515
1087, 3603, 946, 100, 48641, 4225, 57515
1093, 3523, 397, 103, 48345, 5147, 57515
1099, 3399, 427, 95, 47695, 5899, 57515
1105, 3311, 430, 99, 47608, 6067, 57515
1111, 3481, 248, 98, 46983, 6705, 57515
1117, 3232, 623, 98, 52172, 1390, 57515
1123, 3330, 702, 97, 52225, 1161, 57515
1129, 3219, 902, 97, 52164, 1133, 57515
1135, 3313, 868, 97, 52155, 1082, 57515
1141, 3126, 943, 95, 52307, 1044, 57515
1147, 3252, 1482, 94, 51700, 987, 57515
1153, 3188, 2662, 91, 50846, 728, 57515
1159, 3431, 3774, 94, 49931, 285, 57515
1165, 3241, 4520, 92, 49481, 181, 57515
1171, 3110, 5339, 92, 48788, 186, 57515
1177, 3053, 5737, 93, 48439, 193, 57515
1183, 3193, 6430, 95, 47603, 194, 57515
1189, 3369, 6619, 93, 47085, 349, 57515
1195, 3499, 6264, 91, 46771, 890, 57515
1201, 3493, 5971, 92, 47764, 195, 57515
1207, 3541, 6097, 95, 47647, 135, 57515
1213, 3496, 5864, 100, 47557, 498, 57515
1219, 3544, 5321, 100, 47951, 599, 57515
1225, 3433, 4191, 94, 49167, 630, 57515
1231, 3497, 3068, 96, 50224, 630, 57515
1237, 3393, 2493, 98, 50901, 630, 57515
1243, 3518, 1722, 97, 52015, 163, 57515
1249, 3198, 1341, 95, 52091, 790, 57515
1255, 3422, 693, 98, 52511, 791, 57515
1261, 3452, 284, 96, 52650, 1033, 57515
1267, 3639, 208, 95, 52419, 1154, 57515
1273, 3497, 224, 96, 52292, 1406, 57515
1279, 3437, 160, 95, 52313, 1510, 57515
1285, 3451, 163, 93, 53477, 331, 57515
1291, 3490, 165, 93, 53514, 253, 57515
1297, 3227, 314, 91, 53150, 733, 57515
1303, 3408, 260, 91, 53023, 733, 57515
1309, 3123, 806, 87, 52762, 737, 57515
1315, 3204, 1599, 87, 51887, 738, 57515
1321, 3281, 3237, 88, 50192, 717, 57515
1327, 3247, 5302, 86, 48764, 116, 57515
1333, 3347, 6823, 88, 47221, 36, 57515
1339, 3495, 7579, 88, 46347, 6, 57515
1345, 3502, 8438, 89, 45480, 6, 57515
1351, 3531, 9073, 94, 44811, 6, 57515
1357, 3565, 10280, 95, 43569, 6, 57515
1363, 3621, 10417, 88, 43271, 118, 57515
1369, 3419, 10648, 93, 43159, 196, 57515
1375, 3444, 10452, 95, 42900, 624, 57515
1381, 3350, 10191, 208, 42076, 1690, 57515
1387, 3444, 9161, 95, 42690, 2125, 57515
1393, 3577, 7621, 95, 44099, 2123, 57515
1399, 3705, 5507, 123, 46000, 2180, 57515
1405, 3864, 3995, 93, 47282, 2281, 57515
1411, 3662, 3110, 100, 50203, 440, 57515
1417, 3661, 2203, 90, 50891, 670, 57515
1423, 3539, 1579, 93, 51632, 672, 57515
1429, 3426, 628, 90, 52536, 835, 57515
1435, 3608, 422, 91, 52428, 966, 57515
1441, 3776, 216, 92, 52062, 1369, 57515
1447, 3727, 179, 95, 52136, 1378, 57515
1453, 3715, 252, 94, 53108, 346, 57515
1459, 3572, 397, 93, 53219, 234, 57515
1465, 3590, 535, 93, 52963, 334, 57515
1471, 3716, 573, 93, 52849, 284, 57515
1477, 3880, 849, 90, 52502, 194, 57515
1483, 3848, 1234, 92, 52205, 136, 57515
1489, 3753, 2771, 95, 50860, 36, 57515
1495, 3739, 3845, 97, 49829, 5, 57515
1501, 3534, 4494, 97, 49375, 15, 57515
1507, 3550, 5884, 95, 47981, 5, 57515
1513, 3721, 7298, 92, 46398, 6, 57515
1519, 3744, 8245, 94, 45425, 7, 57515
1525, 3752, 8586, 90, 45078, 9, 57515
1531, 3734, 8254, 90, 45313, 124, 57515
1537, 3778, 8051, 91, 45423, 172, 57515
1543, 3876, 8262, 89, 45115, 173, 57515
1549, 3732, 8058, 100, 45224, 401, 57515
1555, 3721, 7681, 95, 45616, 402, 57515
1561, 3705, 6123, 99, 47004, 584, 57515
1567, 3564, 4980, 95, 48065, 811, 57515
1573, 3481, 4365, 95, 48774, 800, 57515
1579, 3497, 3001, 91, 50863, 63, 57515
1585, 3610, 1699, 88, 51940, 178, 57515
1591, 3532, 641, 91, 52929, 322, 57515
1597, 3506, 333, 90, 53266, 320, 57515
1603, 3578, 380, 92, 53144, 321, 57515
1609, 3567, 345, 92, 53191, 320, 57515
1615, 3667, 150, 89, 53175, 434, 57515
1621, 3522, 106, 91, 53608, 188, 57515
1627, 3478, 468, 95, 53065, 409, 57515
1633, 3391, 639, 91, 52651, 743, 57515
1639, 3280, 630, 90, 52771, 744, 57515
1645, 3374, 1202, 89, 52106, 744, 57515
1651, 3341, 1476, 87, 51865, 746, 57515
1657, 3407, 3023, 87, 50249, 749, 57515
1663, 3256, 4541, 92, 49579, 47, 57515
1669, 3361, 5438, 95, 48568, 53, 57515
1675, 3629, 6090, 95, 47643, 58, 57515
1681, 3612, 7363, 89, 46391, 60, 57515
1687, 3725, 8284, 91, 45342, 73, 57515
1693, 3563, 8307, 86, 45478, 81, 57515
1699, 3572, 8124, 90, 45607, 122, 57515
1705, 3583, 7883, 92, 45840, 117, 57515
1711, 3555, 7758, 91, 45613, 498, 57515
1717, 3617, 7325, 102, 45574, 897, 57515
1723, 3610, 6841, 103, 45950, 1011, 57515
1729, 3502, 5310, 95, 47434, 1174, 57515
1735, 3606, 4003, 93, 48507, 1306, 57515
1741, 3599, 2979, 92, 49197, 1648, 57515
1747, 3573, 2495, 90, 51165, 192, 57515
1753, 3700, 1160, 99, 52350, 206, 57515
1759, 3512, 272, 90, 53431, 210, 57515
1765, 3487, 191, 94, 53303, 440, 57515
1771, 3456, 176, 93, 53351, 439, 57515
1777, 3659, 130, 93, 53192, 441, 57515
1783, 3671, 92, 103, 53206, 443, 57515
1789, 3589, 166, 94, 53651, 15, 57515
1795, 3539, 294, 95, 53572, 15, 57515
1801, 3447, 439, 94, 53520, 15, 57515
1807, 3392, 638, 97, 53373, 15, 57515
1813, 3401, 797, 97, 53215, 5, 57515
