ts, default broker, COLDPower18, EWIIS3, VidyutVanika, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 7, 0, 264, 7969, 49275, 57515
367, 7, 0, 177, 7958, 49373, 57515
373, 7, 0, 289, 7960, 49259, 57515
379, 7, 0, 229, 7993, 49286, 57515
385, 8, 0, 165, 7985, 49357, 57515
391, 8, 0, 143, 8517, 48847, 57515
397, 8, 0, 142, 10650, 46715, 57515
403, 7, 0, 146, 11813, 45549, 57515
409, 7, 0, 157, 14684, 42667, 57515
415, 6, 0, 140, 16940, 40429, 57515
421, 5, 0, 142, 21113, 36255, 57515
427, 5, 0, 160, 23904, 33446, 57515
433, 6, 0, 165, 24876, 32468, 57515
439, 5, 0, 144, 24939, 32427, 57515
445, 6, 0, 131, 24834, 32544, 57515
451, 6, 0, 114, 24810, 32585, 57515
457, 5, 0, 119, 24659, 32732, 57515
463, 5, 0, 106, 24247, 33157, 57515
469, 5, 0, 94, 23665, 33751, 57515
475, 5, 0, 90, 22773, 34647, 57515
481, 4, 0, 88, 21611, 35812, 57515
487, 4, 0, 84, 19953, 37474, 57515
493, 4, 0, 85, 17130, 40296, 57515
499, 4, 0, 67, 14422, 43022, 57515
505, 3, 0, 64, 13016, 44432, 57515
511, 4, 0, 61, 11596, 45854, 57515
517, 3, 0, 62, 9946, 47504, 57515
523, 1, 0, 61, 9493, 47960, 57515
529, 1, 0, 58, 9303, 48153, 57515
535, 1, 0, 57, 8554, 48903, 57515
541, 1, 0, 56, 8104, 49354, 57515
547, 2, 0, 55, 8031, 49427, 57515
553, 2, 0, 54, 7856, 49603, 57515
559, 3, 0, 53, 7793, 49666, 57515
565, 2, 0, 54, 10052, 47407, 57515
571, 2, 0, 43, 11039, 46431, 57515
577, 3, 0, 39, 13140, 44333, 57515
583, 4, 0, 36, 15853, 41622, 57515
589, 4, 0, 36, 17089, 40386, 57515
595, 3, 0, 36, 19239, 38237, 57515
601, 3, 0, 36, 19680, 37796, 57515
607, 2, 0, 38, 20096, 37379, 57515
613, 3, 0, 36, 20022, 37454, 57515
619, 3, 0, 36, 19985, 37491, 57515
625, 3, 0, 36, 19818, 37658, 57515
631, 4, 0, 35, 19814, 37662, 57515
637, 4, 0, 36, 19072, 38403, 57515
643, 3, 0, 37, 18631, 38844, 57515
649, 2, 0, 36, 17829, 39648, 57515
655, 2, 0, 37, 16737, 40739, 57515
661, 2, 0, 36, 15307, 42170, 57515
667, 2, 0, 37, 13761, 43715, 57515
673, 2, 0, 37, 12405, 45071, 57515
679, 1, 0, 37, 11081, 46396, 57515
685, 0, 0, 38, 10041, 47436, 57515
691, 1, 0, 38, 8985, 48491, 57515
697, 1, 0, 36, 8554, 48924, 57515
703, 1, 0, 36, 8201, 49277, 57515
709, 1, 0, 36, 8001, 49477, 57515
715, 2, 0, 37, 7649, 49827, 57515
721, 1, 0, 38, 7581, 49895, 57515
727, 1, 0, 38, 7589, 49887, 57515
733, 2, 0, 36, 9938, 47539, 57515
739, 3, 0, 35, 12786, 44691, 57515
745, 7, 0, 30, 15194, 42284, 57515
751, 8, 0, 30, 17272, 40205, 57515
757, 8, 0, 28, 20415, 37064, 57515
763, 6, 0, 29, 22044, 35436, 57515
769, 5, 0, 32, 24598, 32880, 57515
775, 5, 0, 32, 24931, 32547, 57515
781, 5, 0, 32, 25504, 31974, 57515
787, 5, 0, 32, 25522, 31956, 57515
793, 5, 0, 33, 25538, 31939, 57515
799, 4, 0, 34, 25393, 32084, 57515
805, 3, 0, 31, 24686, 32795, 57515
811, 3, 0, 34, 23173, 34305, 57515
817, 4, 0, 34, 21690, 35787, 57515
823, 4, 0, 32, 20247, 37232, 57515
829, 5, 0, 31, 19226, 38253, 57515
835, 4, 0, 32, 17457, 40022, 57515
841, 4, 0, 31, 13766, 43714, 57515
847, 4, 0, 32, 12636, 44843, 57515
853, 4, 0, 31, 10929, 46551, 57515
859, 4, 0, 30, 9970, 47511, 57515
865, 3, 0, 31, 21743, 35738, 57515
871, 3, 0, 31, 29712, 27769, 57515
877, 3, 0, 33, 36474, 21005, 57515
883, 3, 0, 33, 39160, 18319, 57515
889, 3, 0, 34, 8859, 48619, 57515
895, 4, 0, 33, 8705, 48773, 57515
901, 4, 0, 33, 9967, 47511, 57515
907, 3, 0, 34, 13323, 44155, 57515
913, 2196, 0, 31, 16145, 39143, 57515
919, 2408, 0, 32, 19257, 35818, 57515
925, 2687, 0, 32, 25488, 29308, 57515
931, 3005, 0, 33, 30561, 23916, 57515
937, 3069, 0, 35, 29776, 24635, 57515
943, 3160, 0, 34, 31556, 22765, 57515
949, 3263, 0, 34, 32986, 21232, 57515
955, 3395, 0, 33, 33911, 20176, 57515
961, 3531, 0, 32, 35407, 18545, 57515
