ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57513, 0, 0, 0, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 0, 0, 0, 57513
361, 3, 160, 15, 0, 87, 7119, 33830, 16299, 57513
367, 1, 159, 4, 0, 79, 7128, 33851, 16291, 57513
373, 1, 261, 4, 0, 79, 7706, 36755, 12707, 57513
379, 1, 376, 4, 0, 75, 8487, 38703, 9867, 57513
385, 1, 562, 2, 0, 62, 9297, 40432, 7157, 57513
391, 2, 629, 2, 0, 51, 9627, 41084, 6118, 57513
397, 2, 691, 2, 0, 49, 9726, 41776, 5267, 57513
403, 1, 5069, 2, 0, 365, 22427, 1030, 28619, 57513
409, 1, 5151, 3, 0, 260, 22633, 1075, 28390, 57513
415, 1, 5151, 3, 0, 232, 22867, 1149, 28110, 57513
421, 0, 5217, 3, 0, 181, 22936, 1218, 27958, 57513
427, 1, 5212, 3, 0, 129, 22936, 1375, 27857, 57513
433, 0, 5150, 4, 0, 190, 22932, 1451, 27786, 57513
439, 0, 5092, 4, 0, 202, 22917, 1585, 27713, 57513
445, 0, 5044, 3, 0, 212, 22778, 148, 29328, 57513
451, 0, 5017, 5, 0, 199, 22728, 139, 29425, 57513
457, 0, 4950, 5, 0, 160, 22069, 139, 30190, 57513
463, 1, 4810, 5, 0, 149, 21799, 170, 30579, 57513
469, 1, 4671, 3, 0, 144, 21381, 171, 31142, 57513
475, 0, 3560, 3, 0, 128, 17732, 201, 35889, 57513
481, 1, 2916, 34, 0, 129, 15866, 267, 38300, 57513
487, 1, 2350, 34, 0, 122, 13914, 424, 40668, 57513
493, 2, 1772, 34, 0, 97, 11932, 459, 43217, 57513
499, 3, 1322, 148, 0, 56, 11490, 685, 43809, 57513
505, 2, 943, 148, 0, 55, 10141, 1261, 44963, 57513
511, 2, 776, 148, 0, 55, 9417, 1412, 45703, 57513
517, 1, 477, 148, 0, 54, 9035, 2325, 45473, 57513
523, 1, 413, 115, 0, 52, 8920, 2616, 45396, 57513
529, 1, 365, 115, 0, 51, 8808, 1805, 46368, 57513
535, 1, 255, 116, 0, 38, 8667, 2631, 45805, 57513
541, 0, 388, 56, 0, 34, 10162, 3504, 43369, 57513
547, 1, 657, 56, 0, 22, 12341, 3728, 40708, 57513
553, 1, 1772, 26, 0, 23, 14117, 4660, 36914, 57513
559, 1, 2432, 2, 0, 21, 15464, 5222, 34371, 57513
565, 2, 2724, 2, 0, 19, 16771, 5762, 32233, 57513
571, 1, 3771, 0, 0, 17, 19022, 663, 34039, 57513
577, 1, 4132, 0, 0, 17, 19650, 825, 32888, 57513
583, 1, 4503, 0, 0, 17, 19779, 1315, 31898, 57513
589, 1, 4451, 0, 0, 16, 19628, 1578, 31839, 57513
595, 1, 4444, 0, 0, 16, 19453, 1585, 32014, 57513
601, 1, 4414, 0, 0, 14, 19301, 1778, 32005, 57513
607, 1, 4409, 0, 0, 14, 19058, 1856, 32175, 57513
613, 0, 4396, 1, 0, 13, 18471, 166, 34466, 57513
619, 0, 4294, 0, 0, 15, 17966, 44, 35194, 57513
625, 0, 4027, 0, 0, 13, 17373, 46, 36054, 57513
631, 0, 3620, 0, 0, 13, 16009, 242, 37629, 57513
637, 0, 2920, 0, 0, 14, 14486, 241, 39852, 57513
643, 0, 2191, 0, 0, 14, 12828, 376, 42104, 57513
649, 0, 1481, 0, 0, 14, 11156, 514, 44348, 57513
655, 0, 1174, 1, 0, 15, 10496, 313, 45514, 57513
661, 0, 833, 1, 0, 14, 9671, 635, 46359, 57513
667, 0, 744, 1, 0, 15, 9296, 587, 46870, 57513
673, 0, 463, 0, 0, 13, 8976, 897, 47164, 57513
679, 0, 326, 0, 0, 13, 8662, 999, 47513, 57513
685, 0, 243, 1, 0, 14, 8442, 1110, 47703, 57513
691, 0, 242, 1, 0, 14, 8164, 1253, 47839, 57513
697, 1, 153, 1, 0, 13, 8454, 43, 48848, 57513
703, 0, 94, 2, 0, 13, 8547, 56, 48801, 57513
709, 0, 87, 2, 0, 12, 8882, 202, 48328, 57513
715, 1, 530, 1, 0, 14, 11877, 332, 44758, 57513
721, 1, 1003, 1, 0, 15, 14164, 327, 42002, 57513
727, 1, 1393, 0, 0, 14, 14996, 441, 40668, 57513
733, 0, 2462, 0, 0, 16, 16361, 443, 38231, 57513
739, 0, 3100, 0, 0, 16, 17691, 278, 36428, 57513
745, 1, 4185, 0, 0, 14, 19233, 462, 33618, 57513
751, 1, 4181, 0, 0, 14, 19563, 881, 32873, 57513
757, 0, 4158, 0, 0, 14, 19420, 1378, 32543, 57513
763, 0, 4137, 0, 0, 14, 19355, 1478, 32529, 57513
769, 0, 4137, 0, 0, 14, 19051, 1713, 32598, 57513
775, 0, 4134, 0, 0, 14, 18828, 1941, 32596, 57513
781, 2, 4137, 89, 0, 12, 18686, 246, 34341, 57513
787, 2, 3905, 89, 0, 11, 17481, 632, 35393, 57513
793, 2, 3694, 90, 0, 12, 15918, 1354, 36443, 57513
799, 2, 3471, 90, 0, 12, 14765, 1646, 37527, 57513
805, 3, 3013, 91, 0, 10, 13387, 1847, 39162, 57513
811, 2, 2386, 91, 0, 11, 12021, 2426, 40576, 57513
817, 2, 1662, 91, 0, 9, 10526, 2857, 42366, 57513
823, 1, 1274, 3, 0, 8, 9792, 49, 46386, 57513
829, 2, 1018, 3, 0, 8, 9099, 231, 47152, 57513
835, 1, 687, 2, 0, 8, 8599, 239, 47977, 57513
841, 1, 594, 2, 0, 8, 8572, 230, 48106, 57513
847, 1, 465, 1, 0, 8, 8383, 239, 48416, 57513
853, 0, 344, 1, 0, 9, 8159, 374, 48626, 57513
859, 0, 303, 1, 0, 8, 7988, 386, 48827, 57513
865, 1, 250, 0, 0, 10, 20020, 6, 37226, 57513
871, 1, 154, 0, 0, 8, 29353, 10, 27987, 57513
877, 1, 396, 1, 0, 8, 14941, 352, 41814, 57513
883, 1, 336, 1, 0, 6, 19860, 309, 37000, 57513
