ts, default broker, CrocodileAgent, EWIIS3, AgentUDE, Bunnie, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 6503, 5909, 100, 21689, 23304, 57505
367, 6639, 5935, 76, 21704, 23151, 57505
373, 6838, 6263, 73, 26310, 18021, 57505
379, 6710, 6724, 124, 29014, 14933, 57505
385, 6764, 6892, 103, 30918, 12828, 57505
391, 6701, 6991, 117, 31980, 11716, 57505
397, 6558, 7059, 114, 32983, 10791, 57505
403, 6547, 7136, 316, 1130, 42376, 57505
409, 6540, 7130, 332, 1132, 42371, 57505
415, 6617, 7048, 279, 1130, 42431, 57505
421, 6570, 7081, 270, 1131, 42453, 57505
427, 6629, 6957, 233, 1132, 42554, 57505
433, 6667, 5976, 204, 1164, 43494, 57505
439, 6718, 4878, 195, 1184, 44530, 57505
445, 6777, 3952, 170, 455, 46151, 57505
451, 6777, 2795, 125, 499, 47309, 57505
457, 6645, 2294, 130, 547, 47889, 57505
463, 6706, 1625, 107, 594, 48473, 57505
469, 6788, 1275, 103, 890, 48449, 57505
475, 6699, 1103, 98, 917, 48688, 57505
481, 6736, 849, 87, 1074, 48759, 57505
487, 6752, 718, 68, 153, 49814, 57505
493, 6819, 462, 69, 1553, 48602, 57505
499, 6642, 450, 70, 2064, 48279, 57505
505, 6689, 374, 70, 3148, 47224, 57505
511, 6693, 378, 58, 3165, 47211, 57505
517, 6594, 408, 54, 3617, 46832, 57505
523, 6748, 428, 50, 4260, 46019, 57505
529, 6681, 1551, 50, 2100, 47123, 57505
535, 6679, 2179, 46, 2367, 46234, 57505
541, 6795, 3793, 46, 3914, 42957, 57505
547, 6720, 4802, 39, 4426, 41518, 57505
553, 6728, 5398, 38, 5838, 39503, 57505
559, 6657, 5710, 38, 6410, 38690, 57505
565, 6327, 5771, 36, 7104, 38267, 57505
571, 6322, 5911, 35, 85, 45152, 57505
577, 6390, 5871, 37, 96, 45111, 57505
583, 6414, 5822, 36, 88, 45145, 57505
589, 6453, 5823, 35, 309, 44885, 57505
595, 6490, 5686, 35, 414, 44880, 57505
601, 6593, 5155, 33, 414, 45310, 57505
607, 6579, 4951, 33, 410, 45532, 57505
613, 6390, 4591, 32, 6, 46486, 57505
619, 6408, 3422, 34, 35, 47606, 57505
625, 6501, 2900, 35, 38, 48031, 57505
631, 6432, 2233, 34, 38, 48768, 57505
637, 6458, 1926, 34, 37, 49050, 57505
643, 6616, 1159, 36, 47, 49647, 57505
649, 6746, 889, 37, 55, 49778, 57505
655, 6782, 678, 35, 7, 50003, 57505
661, 6803, 524, 37, 8, 50133, 57505
667, 6757, 479, 36, 28, 50205, 57505
673, 6788, 452, 36, 29, 50200, 57505
679, 6768, 450, 36, 41, 50210, 57505
685, 6869, 346, 36, 42, 50212, 57505
691, 6805, 787, 35, 44, 49834, 57505
697, 6838, 878, 35, 15, 49739, 57505
703, 6766, 1566, 35, 17, 49121, 57505
709, 6871, 2189, 37, 124, 48284, 57505
715, 6809, 2139, 36, 124, 48397, 57505
721, 6761, 3168, 36, 127, 47413, 57505
727, 6632, 3346, 35, 127, 47365, 57505
733, 6455, 3416, 34, 118, 47482, 57505
739, 6463, 3455, 34, 4, 47549, 57505
745, 6607, 3299, 33, 6, 47560, 57505
751, 6695, 3206, 36, 5, 47563, 57505
757, 6785, 3079, 37, 145, 47459, 57505
763, 6750, 3054, 37, 154, 47510, 57505
769, 6723, 2913, 36, 156, 47677, 57505
775, 6708, 2822, 36, 295, 47644, 57505
781, 6726, 2400, 39, 3, 48337, 57505
787, 6664, 2202, 39, 143, 48457, 57505
793, 6689, 1511, 40, 179, 49086, 57505
799, 6731, 1481, 40, 182, 49071, 57505
805, 6616, 1197, 39, 178, 49475, 57505
811, 6504, 987, 39, 325, 49650, 57505
817, 6505, 968, 39, 330, 49663, 57505
823, 6543, 705, 38, 302, 49917, 57505
829, 6560, 526, 37, 596, 49786, 57505
835, 6648, 458, 37, 743, 49619, 57505
841, 6677, 577, 37, 1248, 48966, 57505
847, 6560, 658, 34, 1674, 48579, 57505
853, 6596, 907, 35, 1768, 48199, 57505
859, 6738, 1084, 35, 1738, 47910, 57505
865, 6746, 3640, 32, 179, 46908, 57505
871, 6727, 4704, 32, 324, 45718, 57505
877, 6628, 6404, 36, 292, 44145, 57505
883, 6676, 7434, 37, 261, 43097, 57505
889, 6622, 8268, 36, 351, 42228, 57505
895, 6590, 8442, 35, 441, 41997, 57505
901, 6715, 8441, 35, 403, 41911, 57505
907, 6669, 8437, 30, 8, 42361, 57505
913, 6670, 8298, 31, 243, 42263, 57505
919, 6673, 8300, 31, 364, 42137, 57505
