ts, default broker, COLDPower18, EWIIS3, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 7117, 0, 50389, 57506
367, 7117, 0, 50389, 57506
373, 7115, 0, 50391, 57506
379, 7115, 0, 50391, 57506
385, 7115, 0, 50391, 57506
391, 7114, 0, 50392, 57506
397, 7114, 0, 50392, 57506
403, 7115, 0, 50391, 57506
409, 7116, 0, 50390, 57506
415, 7115, 0, 50391, 57506
421, 7114, 0, 50392, 57506
427, 7113, 0, 50393, 57506
433, 7113, 0, 50393, 57506
439, 7114, 0, 50392, 57506
445, 7114, 0, 50392, 57506
451, 7115, 0, 50391, 57506
457, 7115, 0, 50391, 57506
463, 7115, 0, 50391, 57506
469, 7115, 0, 50391, 57506
475, 7115, 0, 50391, 57506
481, 7115, 0, 50391, 57506
487, 7115, 0, 50391, 57506
493, 7115, 0, 50391, 57506
499, 7114, 0, 50392, 57506
505, 7113, 0, 50393, 57506
511, 7113, 0, 50393, 57506
517, 7113, 0, 50393, 57506
523, 7114, 0, 50392, 57506
529, 7113, 0, 50393, 57506
535, 7114, 0, 50392, 57506
541, 7115, 0, 50391, 57506
547, 7116, 0, 50390, 57506
553, 7115, 0, 50391, 57506
559, 7114, 0, 50392, 57506
565, 7114, 0, 50392, 57506
571, 7114, 0, 50392, 57506
577, 7114, 0, 50392, 57506
583, 7114, 0, 50392, 57506
589, 7114, 0, 50392, 57506
595, 7115, 0, 50391, 57506
601, 7115, 0, 50391, 57506
607, 7113, 0, 50393, 57506
613, 7113, 0, 50393, 57506
619, 7113, 0, 50393, 57506
625, 7113, 0, 50393, 57506
631, 7114, 0, 50392, 57506
637, 7114, 0, 50392, 57506
643, 7114, 0, 50392, 57506
649, 7115, 0, 50391, 57506
655, 7115, 0, 50391, 57506
661, 7115, 0, 50391, 57506
667, 7115, 0, 50391, 57506
673, 7116, 0, 50390, 57506
679, 7116, 0, 50390, 57506
685, 7115, 0, 50391, 57506
691, 7115, 0, 50391, 57506
697, 7117, 0, 50389, 57506
703, 7117, 0, 50389, 57506
709, 7116, 0, 50390, 57506
715, 7116, 0, 50390, 57506
721, 7117, 0, 50389, 57506
727, 7117, 0, 50389, 57506
733, 7117, 0, 50389, 57506
739, 7117, 0, 50389, 57506
745, 7116, 0, 50390, 57506
751, 7117, 0, 50389, 57506
757, 7117, 0, 50389, 57506
763, 7117, 0, 50389, 57506
769, 7115, 0, 50391, 57506
775, 7114, 0, 50392, 57506
781, 7114, 0, 50392, 57506
787, 7114, 0, 50392, 57506
793, 7115, 0, 50391, 57506
799, 7114, 0, 50392, 57506
805, 7115, 0, 50391, 57506
811, 7114, 0, 50392, 57506
817, 7114, 0, 50392, 57506
823, 7114, 0, 50392, 57506
829, 7114, 0, 50392, 57506
835, 7114, 0, 50392, 57506
841, 7114, 0, 50392, 57506
847, 7115, 0, 50391, 57506
853, 7115, 0, 50391, 57506
859, 7115, 0, 50391, 57506
865, 7115, 0, 50391, 57506
871, 7114, 0, 50392, 57506
877, 7114, 0, 50392, 57506
883, 7116, 0, 50390, 57506
889, 7115, 0, 50391, 57506
895, 7116, 0, 50390, 57506
901, 7116, 0, 50390, 57506
907, 7116, 0, 50390, 57506
913, 7117, 0, 50389, 57506
919, 7117, 0, 50389, 57506
925, 7116, 0, 50390, 57506
931, 7116, 0, 50390, 57506
937, 7117, 0, 50389, 57506
943, 7117, 0, 50389, 57506
949, 7118, 0, 50388, 57506
955, 7117, 0, 50389, 57506
961, 7116, 0, 50390, 57506
967, 7114, 0, 50392, 57506
973, 7114, 0, 50392, 57506
979, 7116, 0, 50390, 57506
985, 7116, 0, 50390, 57506
991, 7116, 0, 50390, 57506
997, 7117, 0, 50389, 57506
1003, 7116, 0, 50390, 57506
1009, 7116, 0, 50390, 57506
1015, 7119, 0, 50387, 57506
1021, 7117, 0, 50389, 57506
1027, 7117, 0, 50389, 57506
1033, 7117, 0, 50389, 57506
1039, 7117, 0, 50389, 57506
1045, 7117, 0, 50389, 57506
1051, 7117, 0, 50389, 57506
1057, 7117, 0, 50389, 57506
1063, 7118, 0, 50388, 57506
1069, 7118, 0, 50388, 57506
1075, 7118, 0, 50388, 57506
1081, 7118, 0, 50388, 57506
1087, 7118, 0, 50388, 57506
1093, 7118, 0, 50388, 57506
1099, 7118, 0, 50388, 57506
1105, 7119, 0, 50387, 57506
1111, 7119, 0, 50387, 57506
1117, 7120, 0, 50386, 57506
1123, 7117, 0, 50389, 57506
1129, 7118, 0, 50388, 57506
1135, 7117, 0, 50389, 57506
1141, 7116, 0, 50390, 57506
1147, 7115, 0, 50391, 57506
1153, 7116, 0, 50390, 57506
1159, 7115, 0, 50391, 57506
1165, 7116, 0, 50390, 57506
1171, 7117, 0, 50389, 57506
1177, 7116, 0, 50390, 57506
1183, 7116, 0, 50390, 57506
1189, 7117, 0, 50389, 57506
1195, 7116, 0, 50390, 57506
1201, 7116, 0, 50390, 57506
1207, 7117, 0, 50389, 57506
1213, 7117, 0, 50389, 57506
1219, 7116, 0, 50390, 57506
1225, 7116, 0, 50390, 57506
1231, 7116, 0, 50390, 57506
1237, 7115, 0, 50391, 57506
1243, 7115, 0, 50391, 57506
1249, 7114, 0, 50392, 57506
1255, 7114, 0, 50392, 57506
1261, 7115, 0, 50391, 57506
1267, 7116, 0, 50390, 57506
1273, 7117, 0, 50389, 57506
1279, 7117, 0, 50389, 57506
1285, 7117, 0, 50389, 57506
1291, 7117, 0, 50389, 57506
1297, 7117, 0, 50389, 57506
1303, 7117, 0, 50389, 57506
1309, 7118, 0, 50388, 57506
1315, 7117, 0, 50389, 57506
1321, 7118, 0, 50388, 57506
1327, 7117, 0, 50389, 57506
1333, 7117, 0, 50389, 57506
1339, 7117, 0, 50389, 57506
1345, 7117, 0, 50389, 57506
1351, 7117, 0, 50389, 57506
1357, 7118, 0, 50388, 57506
1363, 7117, 0, 50389, 57506
1369, 7117, 0, 50389, 57506
1375, 7116, 0, 50390, 57506
1381, 7115, 0, 50391, 57506
1387, 7116, 0, 50390, 57506
1393, 7117, 0, 50389, 57506
1399, 7117, 0, 50389, 57506
1405, 7117, 0, 50389, 57506
1411, 7120, 0, 50386, 57506
1417, 7121, 0, 50385, 57506
1423, 7120, 0, 50386, 57506
1429, 7119, 0, 50387, 57506
1435, 7119, 0, 50387, 57506
1441, 7117, 0, 50389, 57506
1447, 7118, 0, 50388, 57506
1453, 7118, 0, 50388, 57506
1459, 7118, 0, 50388, 57506
1465, 7117, 0, 50389, 57506
1471, 7116, 0, 50390, 57506
1477, 7115, 0, 50391, 57506
1483, 7115, 0, 50391, 57506
1489, 7116, 0, 50390, 57506
1495, 7116, 0, 50390, 57506
1501, 7116, 0, 50390, 57506
1507, 7117, 0, 50389, 57506
1513, 7115, 0, 50391, 57506
1519, 7116, 0, 50390, 57506
1525, 7116, 0, 50390, 57506
1531, 7117, 0, 50389, 57506
1537, 7118, 0, 50388, 57506
1543, 7117, 0, 50389, 57506
1549, 7117, 0, 50389, 57506
1555, 7117, 0, 50389, 57506
1561, 7117, 0, 50389, 57506
1567, 7117, 0, 50389, 57506
1573, 7117, 0, 50389, 57506
1579, 7117, 0, 50389, 57506
1585, 7116, 0, 50390, 57506
1591, 7116, 0, 50390, 57506
1597, 7116, 0, 50390, 57506
1603, 7115, 0, 50391, 57506
1609, 7115, 0, 50391, 57506
1615, 7114, 0, 50392, 57506
1621, 7115, 0, 50391, 57506
1627, 7116, 0, 50390, 57506
1633, 7116, 0, 50390, 57506
1639, 7115, 0, 50391, 57506
1645, 7117, 0, 50389, 57506
1651, 7117, 0, 50389, 57506
1657, 7118, 0, 50388, 57506
1663, 7118, 0, 50388, 57506
1669, 7120, 0, 50386, 57506
1675, 7118, 0, 50388, 57506
1681, 7116, 0, 50390, 57506
1687, 7116, 0, 50390, 57506
1693, 7119, 0, 50387, 57506
1699, 7119, 0, 50387, 57506
1705, 7120, 0, 50386, 57506
1711, 7120, 0, 50386, 57506
1717, 7119, 0, 50387, 57506
1723, 7119, 0, 50387, 57506
1729, 7120, 0, 50386, 57506
1735, 7121, 0, 50385, 57506
