ts, default broker, CrocodileAgent, COLDPower18, AgentUDE, Bunnie, total
359, 57502, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 57502
361, 6683, 200, 0, 28226, 22393, 57502
367, 6738, 228, 0, 28229, 22307, 57502
373, 6711, 290, 0, 32036, 18465, 57502
379, 6581, 506, 0, 34497, 15918, 57502
385, 6609, 743, 0, 36088, 14062, 57502
391, 6563, 925, 0, 36911, 13103, 57502
397, 6607, 986, 0, 37394, 12515, 57502
403, 6713, 6446, 0, 87, 44256, 57502
409, 6709, 6669, 0, 88, 44036, 57502
415, 6638, 6779, 0, 87, 43998, 57502
421, 6485, 6987, 0, 86, 43944, 57502
427, 6484, 6927, 0, 90, 44001, 57502
433, 6509, 6959, 0, 218, 43816, 57502
439, 6542, 6976, 0, 218, 43766, 57502
445, 6634, 6950, 0, 12, 43906, 57502
451, 6697, 6894, 0, 137, 43774, 57502
457, 6667, 6675, 0, 139, 44021, 57502
463, 6645, 6575, 0, 142, 44140, 57502
469, 6624, 6434, 0, 265, 44179, 57502
475, 6665, 4188, 0, 263, 46386, 57502
481, 6645, 3409, 0, 264, 47184, 57502
487, 6718, 2316, 0, 140, 48328, 57502
493, 6763, 1703, 0, 142, 48894, 57502
499, 6748, 1379, 0, 144, 49231, 57502
505, 6691, 1048, 0, 144, 49619, 57502
511, 6633, 958, 0, 143, 49768, 57502
517, 6647, 901, 0, 289, 49665, 57502
523, 6696, 848, 0, 290, 49668, 57502
529, 6777, 566, 0, 8, 50151, 57502
535, 6745, 453, 0, 13, 50291, 57502
541, 6692, 792, 0, 613, 49405, 57502
547, 6702, 1225, 0, 759, 48816, 57502
553, 6616, 2543, 0, 900, 47443, 57502
559, 6627, 3528, 0, 905, 46442, 57502
565, 6563, 5195, 0, 1171, 44573, 57502
571, 6541, 6172, 0, 37, 44752, 57502
577, 6489, 7867, 0, 38, 43108, 57502
583, 6627, 8339, 0, 37, 42499, 57502
589, 6673, 8195, 0, 38, 42596, 57502
595, 6686, 8181, 0, 36, 42599, 57502
601, 6763, 8067, 0, 35, 42637, 57502
607, 6659, 8112, 0, 35, 42696, 57502
613, 6759, 8000, 0, 124, 42619, 57502
619, 6752, 7842, 0, 187, 42721, 57502
625, 6759, 7254, 0, 422, 43067, 57502
631, 6777, 6104, 0, 481, 44140, 57502
637, 6765, 5265, 0, 573, 44899, 57502
643, 6752, 4235, 0, 544, 45971, 57502
649, 6607, 3307, 0, 521, 47067, 57502
655, 6566, 2718, 0, 37, 48181, 57502
661, 6500, 1915, 0, 37, 49050, 57502
667, 6325, 1612, 0, 37, 49528, 57502
673, 6425, 1382, 0, 147, 49548, 57502
679, 6478, 1199, 0, 149, 49676, 57502
685, 6425, 929, 0, 98, 50050, 57502
691, 6516, 757, 0, 98, 50131, 57502
697, 6600, 697, 0, 8, 50197, 57502
703, 6712, 521, 0, 158, 50111, 57502
709, 6680, 528, 0, 158, 50136, 57502
715, 6645, 1268, 0, 156, 49433, 57502
