ts, default broker, SPOT, COLDPower18, VidyutVanika, AgentUDE, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 16, 0, 0, 55849, 1642, 57507
367, 13, 0, 0, 55853, 1641, 57507
373, 12, 3, 0, 55852, 1640, 57507
379, 10, 4, 0, 55854, 1639, 57507
385, 10, 3, 0, 55854, 1640, 57507
391, 36, 5, 0, 55829, 1637, 57507
397, 26, 31, 0, 55791, 1659, 57507
403, 16, 224, 0, 57119, 148, 57507
409, 16, 230, 0, 57192, 69, 57507
415, 17, 237, 0, 57186, 67, 57507
421, 22, 247, 0, 57180, 58, 57507
427, 20, 240, 0, 57180, 67, 57507
433, 5, 377, 0, 56929, 196, 57507
439, 2, 664, 0, 56668, 173, 57507
445, 7, 989, 0, 56476, 35, 57507
451, 10, 1145, 0, 56320, 32, 57507
457, 10, 964, 0, 56502, 31, 57507
463, 9, 1095, 0, 56371, 32, 57507
469, 10, 1324, 0, 56141, 32, 57507
475, 11, 1776, 0, 55689, 31, 57507
481, 11, 2091, 0, 55373, 32, 57507
487, 3, 1580, 0, 55884, 40, 57507
493, 3, 2901, 0, 54561, 42, 57507
499, 4, 3012, 0, 54447, 44, 57507
505, 4, 3573, 0, 53889, 41, 57507
511, 3, 181, 0, 57144, 179, 57507
517, 1, 0, 0, 57432, 74, 57507
523, 2, 0, 0, 57461, 44, 57507
529, 13, 0, 0, 57456, 38, 57507
535, 15, 0, 0, 57456, 36, 57507
541, 14, 0, 0, 57457, 36, 57507
547, 12, 0, 0, 57458, 37, 57507
553, 9, 0, 0, 57457, 41, 57507
559, 12, 0, 0, 57458, 37, 57507
565, 13, 0, 0, 57457, 37, 57507
571, 10, 0, 0, 57459, 38, 57507
577, 11, 0, 0, 57457, 39, 57507
583, 16, 0, 0, 57456, 35, 57507
589, 13, 0, 0, 57457, 37, 57507
595, 14, 0, 0, 57456, 37, 57507
601, 15, 0, 0, 57456, 36, 57507
607, 13, 0, 0, 57455, 39, 57507
613, 16, 0, 0, 57306, 185, 57507
619, 9, 0, 0, 57430, 68, 57507
625, 6, 0, 0, 57462, 39, 57507
631, 8, 0, 0, 57462, 37, 57507
637, 8, 0, 0, 57461, 38, 57507
643, 6, 0, 0, 57461, 40, 57507
649, 5, 0, 0, 57462, 40, 57507
655, 1, 0, 0, 57460, 46, 57507
661, 2, 0, 0, 57462, 43, 57507
667, 1, 0, 0, 57461, 45, 57507
679, 1, 0, 0, 57460, 46, 57507
685, 3, 0, 0, 57457, 47, 57507
691, 4, 0, 0, 57456, 47, 57507
697, 5, 0, 0, 57454, 48, 57507
703, 5, 0, 0, 57455, 47, 57507
709, 4, 0, 0, 57457, 46, 57507
715, 3, 0, 0, 57457, 47, 57507
721, 2, 0, 0, 57457, 48, 57507
727, 4, 0, 0, 57455, 48, 57507
733, 3, 0, 0, 57455, 49, 57507
739, 12, 0, 0, 57458, 37, 57507
745, 9, 0, 0, 57456, 42, 57507
751, 13, 0, 0, 57456, 38, 57507
757, 10, 0, 0, 57458, 39, 57507
763, 10, 0, 0, 57456, 41, 57507
769, 12, 0, 0, 57455, 40, 57507
